GEOID,POP,X,Y
020130001001,2039,-163.97089668025939,54.67900024349785
020130001002,802,-161.11558711111803,55.60797416785745
020130001003,579,-160.03569544644927,55.12799031548400
020160001001,978,-175.29879248607750,52.00504700000000
020160002001,1750,-166.84455996714095,53.90081325947712
020160002002,2504,-166.86891746152952,53.58488269894253
020200001011,3297,-149.46515573491925,61.43056685587342
020200001012,2353,-148.82782616174265,61.26112524801235
020200001021,1146,-149.47109927227532,61.38919877409889
020200001022,1663,-149.32778404486612,61.31960608049226
020200001023,2406,-149.53835911938415,61.39847509045258
020200002011,2658,-149.57514623974564,61.33838826338039
020200002012,1660,-149.57747480502314,61.32155661044734
020200002021,1303,-149.56336762482329,61.32486961109055
020200002022,1886,-149.52957064689176,61.33327441198960
020200002023,1625,-149.55547675902750,61.32015673144187
020200002024,1570,-149.55257714481573,61.31404803187584
020200002041,1693,-149.16150575458943,61.20430313026346
020200002042,1889,-149.26223785159706,61.16822270091760
020200002051,2698,-149.52353798466095,61.30168736802156
020200002052,1839,-149.48098382415259,61.30255761776637
020200002053,1605,-149.52514527060941,61.30807270174865
020200002054,1279,-149.55358170107831,61.30696652647078
020200002061,1194,-149.52637425124433,61.31357807055066
020200002062,2219,-149.49724990051439,61.31915812611231
020200005001,970,-149.91404093490681,61.23475506615092
020200005002,1154,-149.85845843074111,61.22992964615934
020200006011,889,-149.81211177050830,61.22957695850320
020200006012,1050,-149.80465333989727,61.22955158031753
020200006013,1569,-149.85055542733187,61.22392149958103
020200006014,820,-149.81212947525418,61.22595975955549
020200006021,1022,-149.79720350724915,61.22955672393891
020200006022,783,-149.79955774599543,61.22473866271276
020200006023,911,-149.80466290438198,61.22597616166171
020200007011,3349,-149.76815449698321,61.22106524123594
020200007012,1152,-149.75926872643427,61.21426573438212
020200007013,1326,-149.77398242158367,61.21344935343203
020200007014,1159,-149.76671929382474,61.21298351451177
020200007021,1011,-149.74073636248423,61.22460719034328
020200007022,1669,-149.73959712473845,61.22056657005213
020200007023,2755,-149.74666820197965,61.21549773349903
020200007031,1042,-149.72322841377880,61.22917946006287
020200007032,718,-149.72951330777354,61.22242741440225
020200007033,1188,-149.72587673542927,61.21872704764579
020200007034,1495,-149.72588687944420,61.21523054334147
020200007035,1112,-149.72568533665213,61.21121546871103
020200008011,1234,-149.79936450316103,61.22098247678309
020200008012,606,-149.78915185425137,61.22232874774503
020200008013,675,-149.78191385703829,61.22300329035875
020200008014,1194,-149.78585639270682,61.21502536141583
020200008015,868,-149.79701589373138,61.21603855378805
020200008016,1340,-149.80437172056943,61.21619865911842
020200008017,897,-149.80113175951672,61.21160769890241
020200008021,871,-149.80111839165249,61.20798943377407
020200008022,1257,-149.78650611360544,61.20323218417200
020200008023,785,-149.78211974947746,61.19706408821283
020200008024,1846,-149.80039651777116,61.20215624771847
020200009011,2131,-149.84552789514294,61.21387612611498
020200009012,1936,-149.81905434563728,61.21762265820458
020200009013,1023,-149.86103048315934,61.20972986811699
020200009021,1301,-149.86398271502202,61.20481562071576
020200009022,1076,-149.85530011084782,61.20491974085699
020200009023,781,-149.84485039489286,61.20374403270917
020200010001,920,-149.87669702225023,61.20521669442387
020200010002,1585,-149.87306107118249,61.21510094358857
020200010003,802,-149.87307036163128,61.20918987468838
020200010004,635,-149.88327848032350,61.21066731485733
020200011001,1657,-149.89126134855897,61.21770887611515
020200012001,742,-149.90742993701895,61.21582229433437
020200012002,611,-149.89323167422376,61.21098067113937
020200012003,490,-149.91892726951320,61.21603986061456
020200012004,1074,-149.89873103495705,61.20696266774711
020200012005,832,-149.91126949557324,61.20839077788943
020200013001,1262,-149.95441620991087,61.21400106129173
020200013002,827,-149.93347156976566,61.20337522437567
020200013003,1138,-149.92286135964667,61.20057523707300
020200014011,863,-149.90253010727685,61.20161152750104
020200014012,1036,-149.90968342719469,61.19894667504319
020200014013,1029,-149.88792329251586,61.19683800019224
020200014021,1100,-149.89275699517643,61.20125731202927
020200014022,1068,-149.87818976602722,61.20046499729331
020200015001,1296,-149.85369790829304,61.19828426449549
020200015002,1059,-149.84571074323108,61.19147811283140
020200015003,972,-149.84381816759998,61.18444760384970
020200015004,1838,-149.85821010780867,61.18858445818177
020200016011,1143,-149.82221042014325,61.20787690358441
020200016012,1161,-149.81903645499978,61.20130353070252
020200016013,1520,-149.83087664814573,61.20211394640992
020200016021,812,-149.81442995219061,61.19125446742875
020200016022,1333,-149.78587460732632,61.19085437038163
020200016023,1008,-149.78180898199554,61.18520450279326
020200016024,1038,-149.79652012073615,61.18318223514974
020200017011,1301,-149.77006998090920,61.19182469385700
020200017012,1785,-149.75648497243219,61.19029155069266
020200017013,1148,-149.75115134461328,61.18492750000000
020200017014,2590,-149.77142336284251,61.18549615381676
020200017021,945,-149.75434288242312,61.20698366595073
020200017022,1236,-149.75597059248759,61.20006449012317
020200017023,1631,-149.77101140901823,61.19889430616586
020200017024,1128,-149.77025255096589,61.20607616144687
020200017311,739,-149.74084948724382,61.20769368201090
020200017312,1369,-149.72640242713607,61.20592189444182
020200017313,1952,-149.72584392463855,61.19918484003800
020200017314,1320,-149.74029019442858,61.19894018850725
020200017315,739,-149.74166055046751,61.20411713075404
020200017321,1843,-149.74128149010727,61.18848873859035
020200017322,1821,-149.72604585964299,61.19180072394859
020200017323,1410,-149.72084565225231,61.18458550000000
020200017324,1037,-149.72684130299780,61.18542618651013
020200018011,1024,-149.84858013995049,61.17794223645390
020200018012,1287,-149.84200785817927,61.17050086337262
020200018013,1300,-149.85022300758115,61.17123166931434
020200018014,761,-149.85512337041908,61.17047743862879
020200018021,776,-149.83073888160402,61.18267886343513
