DISTRICT,VTD,POP
2,1287,1069.0
2,697,1403.0
2,487,1253.0
2,1103,776.0
2,422,1018.0
2,698,722.0
2,1375,426.0
2,699,330.0
2,484,1043.0
2,686,1841.0
2,685,2490.0
2,687,1023.0
2,486,4666.0
2,1099,4380.0
2,258,5158.0
2,688,2455.0
2,577,2949.0
2,694,446.0
2,465,1529.0
2,485,1196.0
2,260,1551.0
2,257,469.0
2,256,821.0
2,420,887.0
2,421,1304.0
2,261,930.0
2,262,1145.0
2,259,693.0
2,466,1569.0
2,425,2185.0
2,1100,731.0
2,426,2945.0
2,424,1442.0
2,423,2417.0
2,427,2133.0
2,483,1713.0
2,464,1643.0
2,1380,1659.0
2,695,1758.0
2,696,497.0
2,482,172.0
2,468,664.0
2,467,520.0
6,1120,404.0
6,635,644.0
6,453,2935.0
6,634,403.0
6,451,654.0
6,541,2225.0
6,632,2192.0
6,636,2011.0
6,542,1589.0
6,805,2924.0
6,633,2662.0
6,814,2869.0
6,544,2658.0
6,804,3264.0
6,540,2015.0
6,543,2837.0
6,452,897.0
7,837,3778.0
7,463,3435.0
7,454,1950.0
7,462,3198.0
7,1445,2650.0
7,456,1231.0
6,555,3123.0
6,631,1823.0
6,458,8906.0
6,1297,3329.0
6,809,3245.0
6,459,2034.0
6,1433,3178.0
6,1482,1842.0
6,795,2513.0
6,554,3680.0
6,838,1801.0
6,1119,3437.0
6,1296,2808.0
6,1438,2634.0
6,810,3859.0
6,808,2746.0
6,806,2048.0
6,807,3362.0
6,811,2533.0
2,131,2862.0
2,1143,2071.0
2,412,6267.0
2,414,2260.0
2,221,2229.0
2,1467,1890.0
2,1145,3693.0
2,129,422.0
2,1415,1321.0
2,1046,2670.0
2,413,2874.0
2,1461,1386.0
2,89,2576.0
2,83,2295.0
2,1533,1453.0
2,1324,2827.0
2,82,4054.0
2,90,233.0
2,1144,2537.0
2,1146,4258.0
2,222,5031.0
2,85,4052.0
2,1054,3382.0
2,1364,4097.0
2,1497,2165.0
2,1048,3351.0
2,1363,2927.0
2,1239,5522.0
2,1238,3058.0
2,130,849.0
2,1047,1400.0
2,1359,2715.0
2,828,2604.0
2,831,2822.0
2,1110,358.0
2,829,124.0
2,84,1128.0
2,1223,1743.0
2,223,646.0
2,224,179.0
2,1280,1267.0
2,79,3710.0
2,80,1525.0
2,86,1411.0
2,87,1683.0
2,1447,1424.0
2,255,1713.0
2,346,2157.0
2,345,2427.0
2,77,1195.0
2,78,1450.0
2,92,1777.0
2,93,1401.0
2,128,947.0
2,94,1118.0
2,81,1130.0
2,1101,227.0
2,825,62.0
2,827,2037.0
2,127,474.0
2,416,2416.0
2,523,1647.0
2,91,1388.0
2,826,109.0
2,415,924.0
2,525,5937.0
2,1045,777.0
2,88,424.0
2,524,1522.0
2,132,1974.0
2,830,517.0
2,429,698.0
2,428,2210.0
2,692,676.0
2,390,688.0
2,1121,320.0
2,1118,3337.0
2,411,2418.0
2,1465,3252.0
2,1134,2275.0
2,693,1374.0
2,1442,1626.0
2,1114,1916.0
2,1535,1696.0
2,665,1842.0
2,666,2855.0
2,691,882.0
2,394,264.0
2,1268,303.0
2,448,854.0
2,449,977.0
2,690,803.0
2,1098,1044.0
2,450,946.0
2,446,1449.0
2,1117,1363.0
2,447,1691.0
2,1124,1660.0
2,1481,955.0
2,1273,931.0
2,1431,376.0
2,1441,999.0
2,1123,275.0
2,1487,1750.0
2,1122,1211.0
2,526,1733.0
2,391,92.0
2,689,5531.0
2,1152,2616.0
6,812,413.0
6,548,4984.0
6,883,1579.0
6,1448,984.0
6,956,420.0
6,1157,3422.0
6,958,2261.0
6,1156,1985.0
6,955,3629.0
6,884,1046.0
6,954,2745.0
6,885,3112.0
6,1327,2272.0
6,1154,597.0
6,1153,2681.0
6,547,176.0
6,957,155.0
6,882,125.0
6,877,62.0
6,879,51.0
6,878,2814.0
6,880,816.0
6,915,1219.0
6,953,2225.0
6,1526,987.0
6,914,1389.0
9,409,466.0
9,407,437.0
9,392,1716.0
9,1097,2355.0
9,408,772.0
9,410,5995.0
9,393,1864.0
9,673,925.0
9,671,775.0
9,1485,208.0
9,1486,0.0
9,672,1044.0
1,403,264.0
1,595,8.0
1,6,265.0
1,609,94.0
1,5,5249.0
1,208,6770.0
1,209,551.0
1,358,23.0
1,7,3690.0
8,296,77.0
1,210,8359.0
1,231,5772.0
1,610,4219.0
9,3,7916.0
8,1495,3173.0
8,1360,2306.0
8,756,1716.0
8,1483,2279.0
8,1446,1732.0
8,560,5499.0
8,1113,1638.0
8,1264,1757.0
8,501,3815.0
8,1455,1426.0
8,1322,1645.0
8,742,1915.0
8,1384,1263.0
9,4,925.0
9,334,6957.0
9,395,4791.0
8,251,3983.0
8,300,2071.0
8,316,6396.0
8,319,10566.0
8,68,9727.0
8,254,8874.0
9,396,990.0
9,170,3158.0
9,169,397.0
9,759,2446.0
9,168,1312.0
9,303,9794.0
9,272,638.0
9,302,9667.0
9,15,15499.0
9,419,20367.0
9,333,1627.0
9,273,11855.0
9,10,5155.0
9,418,4486.0
9,11,4828.0
9,9,1700.0
9,274,6937.0
9,301,15024.0
9,16,13779.0
9,1063,6953.0
9,741,13349.0
9,332,8457.0
9,417,1398.0
9,637,5282.0
9,198,10656.0
9,406,13860.0
9,321,2923.0
9,320,6417.0
9,384,3832.0
9,1286,5741.0
9,322,1710.0
7,47,3627.0
7,48,4080.0
9,559,10676.0
9,397,3297.0
9,750,6421.0
9,1413,5496.0
9,118,3397.0
9,365,12273.0
9,383,12919.0
9,116,13609.0
9,117,6238.0
9,612,10996.0
9,187,11589.0
9,405,3488.0
9,1080,5844.0
9,1276,4079.0
9,72,8090.0
9,733,10695.0
9,1484,7662.0
7,1036,6113.0
7,1034,8321.0
7,1037,8496.0
8,1112,3048.0
8,1270,1761.0
8,1507,3384.0
8,0,2145.0
8,745,3657.0
8,545,3911.0
8,21,4487.0
8,22,4826.0
8,23,4469.0
8,400,3582.0
8,336,4402.0
8,1420,8261.0
8,399,5987.0
8,1315,3603.0
8,24,2272.0
8,802,6637.0
8,279,8080.0
8,1254,3679.0
9,619,7056.0
8,433,3212.0
8,1090,1739.0
8,1089,7667.0
8,434,1728.0
8,312,4169.0
8,311,6112.0
8,643,7656.0
8,644,5467.0
8,803,6769.0
8,614,8715.0
8,613,7204.0
3,1053,6542.0
3,1042,12885.0
9,499,6276.0
3,1043,5461.0
3,638,4230.0
7,382,7216.0
3,305,7020.0
7,1116,8877.0
7,347,10627.0
7,241,5154.0
7,240,9390.0
7,239,5051.0
2,1230,1147.0
8,835,4286.0
8,834,3058.0
8,1041,4688.0
8,709,14119.0
8,710,10003.0
8,566,10526.0
9,1478,5199.0
9,1314,8517.0
9,1383,4837.0
9,1373,4043.0
3,1072,4950.0
8,430,8870.0
3,749,6737.0
3,1418,10838.0
3,1038,15496.0
3,432,5493.0
3,587,3635.0
3,1362,6640.0
1,585,3323.0
1,1092,1451.0
1,1088,5567.0
1,14,2880.0
1,654,3624.0
1,246,3259.0
1,247,3516.0
1,730,1796.0
1,1130,4982.0
1,107,4342.0
1,1105,2055.0
1,653,6628.0
1,1265,5801.0
1,1320,5394.0
1,1139,1645.0
1,206,4992.0
1,1076,3911.0
1,1417,4398.0
1,721,4967.0
1,207,5786.0
1,569,15313.0
1,1087,2859.0
1,1368,5361.0
1,203,2707.0
1,1425,2698.0
1,570,2716.0
1,599,6848.0
1,1029,3547.0
1,1260,3574.0
1,642,5995.0
1,1488,11901.0
1,1073,4436.0
8,309,4435.0
8,579,5820.0
1,592,3077.0
1,59,3483.0
8,443,6350.0
8,1326,9451.0
8,1249,5316.0
8,1361,6365.0
8,1294,6194.0
8,49,3437.0
8,318,9816.0
8,310,3535.0
8,1301,4596.0
8,751,5349.0
8,105,4240.0
8,200,2167.0
8,284,4502.0
8,1266,2551.0
8,19,3053.0
8,20,4293.0
8,173,3738.0
8,29,5446.0
8,28,3029.0
8,313,2928.0
8,232,3130.0
8,1050,4571.0
8,30,1547.0
8,172,3760.0
8,1525,2668.0
8,58,7768.0
1,100,3972.0
1,51,4065.0
1,1137,5715.0
1,1136,4318.0
1,1256,2792.0
1,439,3324.0
1,1138,605.0
1,436,2437.0
1,1434,2066.0
1,441,2702.0
1,798,3852.0
1,1272,1307.0
1,282,7430.0
1,189,3702.0
1,230,1831.0
1,1074,2332.0
1,401,1633.0
1,244,3820.0
1,1300,2021.0
1,243,4624.0
1,1259,1428.0
1,238,4132.0
1,1108,6933.0
8,275,3104.0
8,212,13348.0
8,211,11164.0
8,328,3605.0
8,104,4290.0
8,102,2436.0
8,103,5787.0
1,237,2713.0
1,1149,3600.0
1,324,2191.0
1,1257,3896.0
1,1271,3977.0
1,1520,2669.0
1,1437,1945.0
1,1261,8137.0
3,1498,10017.0
3,679,10071.0
1,1278,4851.0
1,1325,3181.0
1,1303,4843.0
1,440,3765.0
1,1255,3819.0
1,530,3045.0
1,1523,4942.0
1,1107,5840.0
1,1466,3393.0
3,50,5782.0
3,539,6798.0
3,1382,5230.0
3,38,16076.0
3,37,10926.0
3,561,11746.0
3,1032,4338.0
3,1355,4767.0
3,431,9670.0
3,497,10484.0
3,381,10020.0
3,1430,6567.0
3,1527,4188.0
3,1319,5921.0
3,498,6630.0
3,1071,12065.0
3,43,11941.0
3,1412,11460.0
3,180,9924.0
1,1367,7484.0
1,108,4749.0
1,1262,3602.0
1,242,3822.0
1,286,3764.0
1,1227,4251.0
1,326,1339.0
3,1356,9351.0
3,1357,2421.0
3,1358,3443.0
3,109,4302.0
3,528,3445.0
3,216,4709.0
3,1078,4055.0
3,591,4385.0
3,1464,3488.0
3,1052,8334.0
3,1311,9977.0
3,1056,5167.0
3,1096,5294.0
3,1021,12226.0
3,111,15253.0
3,110,9991.0
3,36,7037.0
3,228,6800.0
3,227,12075.0
3,181,4047.0
3,335,13486.0
3,1379,10289.0
3,1057,8433.0
3,361,4989.0
3,527,9126.0
3,1250,7344.0
3,438,12004.0
3,32,8930.0
3,195,2242.0
3,622,5693.0
3,720,7033.0
3,35,9953.0
3,39,8078.0
3,350,8674.0
3,360,9134.0
3,359,6830.0
3,648,4945.0
3,348,9676.0
3,1022,5637.0
3,1231,7115.0
3,119,8532.0
3,376,6607.0
3,1234,5666.0
3,40,8589.0
3,389,6682.0
3,349,9052.0
3,74,5550.0
3,75,425.0
3,73,6815.0
3,76,8059.0
3,368,6710.0
4,1371,4978.0
4,1235,4076.0
4,1290,8854.0
4,369,41.0
4,1236,4507.0
4,1018,5427.0
4,1055,11255.0
4,533,6030.0
4,596,6425.0
4,601,9208.0
4,1049,5431.0
4,597,7623.0
4,747,7171.0
4,375,17.0
3,371,0.0
3,367,5921.0
3,373,0.0
3,366,0.0
3,374,0.0
3,372,0.0
1,46,7968.0
1,758,1799.0
1,1480,5505.0
1,1293,3297.0
1,95,2575.0
1,96,4813.0
1,1081,4247.0
1,202,6329.0
1,1253,3786.0
1,190,4220.0
1,621,4892.0
1,1060,1969.0
1,1279,5023.0
1,1372,6115.0
1,1106,4178.0
1,1039,3655.0
1,201,4849.0
1,17,3415.0
1,754,2791.0
1,620,3907.0
1,623,1634.0
1,737,2824.0
1,1479,3796.0
1,205,2330.0
1,1277,6343.0
1,1436,2892.0
1,502,5334.0
1,1458,3566.0
1,504,2697.0
1,8,4775.0
1,1299,4355.0
1,1151,3461.0
1,645,7677.0
1,503,10504.0
1,357,8142.0
1,352,3961.0
1,1424,7965.0
1,1411,1226.0
1,330,3271.0
1,1500,4879.0
1,329,4469.0
1,1422,6525.0
1,283,7455.0
1,537,4298.0
1,325,3817.0
1,529,493.0
1,506,2827.0
1,582,9095.0
1,445,5066.0
1,444,2840.0
1,1095,4367.0
1,1440,3069.0
1,1246,5960.0
1,1419,2911.0
1,1426,4616.0
4,287,6602.0
4,1044,6223.0
4,715,4866.0
4,1516,3317.0
4,34,10021.0
4,33,3675.0
4,218,3375.0
4,1459,18453.0
4,1457,7764.0
4,1317,10718.0
4,558,5363.0
4,752,5126.0
4,1463,2278.0
4,1077,6165.0
4,481,3481.0
4,1079,6516.0
4,1521,4440.0
4,113,5219.0
4,114,7314.0
4,217,6834.0
4,121,5020.0
4,277,5675.0
4,1369,4928.0
4,1252,2741.0
4,1070,5435.0
4,289,4448.0
4,288,2691.0
4,120,4587.0
4,1129,7287.0
3,716,5322.0
4,717,6643.0
4,536,4611.0
4,1292,3648.0
5,56,8815.0
5,226,9551.0
4,192,8032.0
5,1511,3004.0
4,833,7234.0
4,564,7601.0
4,535,145.0
4,534,7629.0
4,178,3692.0
4,1064,5614.0
4,764,2789.0
4,185,9640.0
4,1414,4614.0
4,1263,6908.0
4,179,5254.0
4,404,5531.0
4,1132,6691.0
4,41,5630.0
4,581,6871.0
4,1233,4937.0
4,1248,6165.0
4,1310,5060.0
4,1309,5096.0
4,53,11421.0
4,590,7042.0
4,1051,3759.0
4,1512,1516.0
4,42,3094.0
4,580,5952.0
4,1528,5988.0
4,713,6806.0
4,1091,14674.0
4,1423,6034.0
4,112,10970.0
4,1295,4975.0
4,1282,9711.0
4,625,7969.0
4,624,7837.0
4,1288,3747.0
4,1429,4367.0
4,1274,3294.0
4,567,9648.0
4,1058,4024.0
4,1283,11191.0
4,1127,4030.0
4,245,7386.0
4,532,5417.0
4,1033,7175.0
4,1024,5116.0
4,331,7474.0
4,1025,5269.0
4,1323,3016.0
4,1284,3059.0
4,740,2694.0
4,617,2395.0
4,616,2646.0
4,1225,8191.0
5,1374,3405.0
5,583,8638.0
5,1232,6657.0
5,1093,7731.0
5,1094,4152.0
5,1370,4189.0
5,1228,5245.0
5,1421,4737.0
4,54,8176.0
4,196,7698.0
4,197,6792.0
5,589,7754.0
5,1020,4406.0
5,1509,4445.0
