BLOCK,PRECINCT
080010078011000,08001001230
080010078011001,08001001230
080010078011002,08001001230
080010078011003,08001001230
080010078011004,08001001229
080010078011005,08001001229
080010078011006,08001001229
080010078011007,08001001229
080010078011008,08001001229
080010078011009,08001001229
080010078011010,08001001229
080010078011011,08001001230
080010078011012,08001001230
080010078011013,08001001230
080010078011014,08001001229
080010078011015,08001001229
080010078011016,08001001229
080010078012000,08001001229
080010078012001,08001001229
080010078012002,08001001229
080010078012003,08001001229
080010078012004,08001001229
080010078012005,08001001229
080010078012006,08001001229
080010078012007,08001001229
080010078012008,08001001229
080010078012009,08001001229
080010078012010,08001001229
080010078012011,08001001229
080010078012012,08001001229
080010078012013,08001001229
080010078012014,08001001229
080010078012015,08001001229
080010078012016,08001001229
080010078021000,08001001231
080010078021001,08001001231
080010078021002,08001001231
080010078021003,08001001231
080010078021004,08001001230
080010078021005,08001001230
080010078021006,08001001230
080010078021007,08001001230
080010078021008,08001001230
080010078021009,08001001230
080010078021010,08001001231
080010078021011,08001001231
080010078021012,08001001231
080010078022000,08001001232
080010078022001,08001001232
080010078022002,08001001232
080010078022003,08001001232
080010078022004,08001001232
080010078022005,08001001232
080010078023000,08001001232
080010078023001,08001001232
080010078023002,08001001231
080010078023003,08001001231
080010078023004,08001001231
080010078023005,08001001231
080010078023006,08001001231
080010078023007,08001001232
080010079001000,08001001230
080010079001001,08001001230
080010079001002,08001001230
080010079001003,08001001253
080010079001004,08001001253
080010079001005,08001001230
080010079001006,08001001230
080010079001007,08001001253
080010079001008,08001001253
080010079001009,08001001253
080010079001010,08001001253
080010079001011,08001001253
080010079001012,08001001253
080010079001013,08001001253
080010079001014,08001001253
080010079001015,08001001230
080010079001016,08001001230
080010079001017,08001001230
080010079001018,08001001230
080010079001019,08001001230
080010079001020,08001001230
080010079001021,08001001230
080010079001022,08001001230
080010079001023,08001001230
080010079001024,08001001230
080010079001025,08001001253
080010079001026,08001001253
080010079001027,08001001253
080010079001028,08001001253
080010079001029,08001001230
080010079002000,08001001253
080010079002001,08001001253
080010079002002,08001001253
080010079002003,08001001253
080010079002004,08001001253
080010079002005,08001001253
080010079002006,08001001253
080010079002007,08001001253
080010079002008,08001001253
080010079002009,08001001253
080010079003000,08001001230
080010079003001,08001001230
080010079003002,08001001230
080010079003003,08001001230
080010079003004,08001001229
080010079003005,08001001229
080010079003006,08001001229
080010079003007,08001001229
080010079003008,08001001229
080010079003009,08001001229
080010079003010,08001001229
080010079003011,08001001229
080010079003012,08001001230
080010079003013,08001001230
080010079003014,08001001230
080010079003015,08001001230
080010079004000,08001001229
080010079004001,08001001229
080010079004002,08001001229
080010079004003,08001001229
080010079004004,08001001229
080010079004005,08001001229
080010079004006,08001001229
080010079004007,08001001229
080010079004008,08001001229
080010079004009,08001001229
080010079004010,08001001229
080010079004011,08001001229
080010079004012,08001001229
080010079004013,08001001229
080010079004014,08001001229
080010079004015,08001001229
080010079004016,08001001229
080010079004017,08001001229
080010080001000,08001001232
080010080001001,08001001232
080010080001002,08001001232
080010080001003,08001001232
080010080001004,08001001232
080010080001005,08001001232
080010080001006,08001001232
080010080001007,08001001231
080010080001008,08001001231
080010080001009,08001001232
080010080001010,08001001232
080010080001011,08001001232
080010080001012,08001001232
080010080001013,08001001232
080010080002000,08001001232
080010080002001,08001001232
080010080002002,08001001232
080010080002003,08001001232
080010080002004,08001001231
080010080002005,08001001231
080010080002006,08001001232
080010080002007,08001001232
080010080002008,08001001232
080010080002009,08001001232
080010080002010,08001001232
080010080002011,08001001232
080010080002012,08001001231
080010080002013,08001001232
080010080002014,08001001232
080010080002015,08001001232
080010080002016,08001001232
080010080002017,08001001232
080010080002018,08001001232
080010080002019,08001001232
080010080003000,08001001231
080010080003001,08001001231
080010080003002,08001001231
080010080003003,08001001231
080010080003004,08001001231
080010080003005,08001001231
080010080003006,08001001231
080010080003007,08001001231
080010080003008,08001001231
080010080003009,08001001231
080010080003010,08001001231
080010080003011,08001001231
080010080003012,08001001231
080010080003013,08001001231
080010080004000,08001001231
080010080004001,08001001231
080010080004002,08001001231
080010080004003,08001001230
080010080004004,08001001230
080010080004005,08001001230
