GEOID,POP,X,Y
090010101011000,27,-73.67181121854208,41.12577374584995
090010101011001,198,-73.67426791524289,41.11539792276719
090010101011002,18,-73.68694406304000,41.10893082692073
090010101011003,0,-73.68773754053429,41.10277526792354
090010101011004,4,-73.68738565827523,41.11872825391073
090010101011005,58,-73.69104422858912,41.11408804040448
090010101011006,6,-73.68272559146432,41.09440361467393
090010101011007,168,-73.67350467345399,41.09868606862261
090010101011008,56,-73.68010179587795,41.10604147344571
090010101011009,48,-73.68251840994880,41.08528841906134
090010101011010,1,-73.67834355216429,41.08999769920091
090010101011011,20,-73.67626785406590,41.08421197355423
090010101011012,44,-73.67173841167296,41.08777407838041
090010101011013,58,-73.67224121547950,41.07793329167770
090010101011014,0,-73.66968790714286,41.07312600000000
090010101011015,0,-73.67076771410747,41.07005543723284
090010101011016,51,-73.67664888699932,41.07270347640499
090010101011017,26,-73.67276988025843,41.06530953121891
090010101011018,117,-73.66867846254171,41.06110053257320
090010101011019,163,-73.66361743306889,41.07272457802545
090010101011020,13,-73.65884014122160,41.06625503324643
090010101011021,254,-73.65850999783746,41.05796576652610
090010101011022,17,-73.65461534213536,41.05537569501244
090010101011023,17,-73.65341507623864,41.06114507488277
090010101011024,19,-73.66800489071723,41.05338311792451
090010101011025,53,-73.66207131411781,41.04799517175256
090010101012000,12,-73.70138034009709,41.08047094582069
090010101012001,194,-73.69086925900743,41.06754752806918
090010101013000,0,-73.71680061872146,41.09850100000000
090010101013001,0,-73.72035200669146,41.09912728460517
090010101014000,325,-73.67993402801481,41.05392052149475
090010101014001,0,-73.67446925366482,41.05529350000000
090010101014002,14,-73.67231567914557,41.05586970488699
090010101014003,80,-73.67019936577356,41.04785825069748
090010101014004,6,-73.66777987519677,41.04579041224772
090010101014005,0,-73.66983692674134,41.04634050000000
090010101014006,162,-73.67134542591265,41.03975633884188
090010101014007,9,-73.67119238788955,41.03897844658927
090010101014008,0,-73.67335676102178,41.04005134567598
090010101014009,111,-73.67374666190275,41.04256981608630
090010101014010,110,-73.67449647275971,41.04474244115887
090010101014011,136,-73.67842466175259,41.04502475941443
090010101014012,75,-73.67775611632690,41.04844531843594
090010101014013,14,-73.68426670265349,41.04823732638698
090010101014014,0,-73.68166847977986,41.04445043465905
090010101014015,43,-73.66712270987115,41.04869434046847
090010101014016,3,-73.66561629413785,41.04916860498159
090010101014017,15,-73.66297900883144,41.04349622353303
090010101014018,63,-73.66499323916385,41.04442400593906
090010101014019,14,-73.66706145114762,41.04392905000644
090010101014020,14,-73.66607132298050,41.04405435050674
090010101014021,24,-73.66430382417313,41.04073725066145
090010101014022,66,-73.66583768779677,41.04017510987709
090010101014023,48,-73.66841209539066,41.03689664971393
090010101014024,198,-73.67116083400927,41.03577386425246
090010101014025,41,-73.67272241359477,41.03678203527093
090010101014026,35,-73.68752945495463,41.05719598564676
090010101014027,9,-73.68886540825447,41.05540624312165
090010101015000,22,-73.70043058970208,41.11257494765625
090010101015001,88,-73.70929737737700,41.10288650000000
090010101015002,54,-73.70568400125052,41.10246747940841
090010101015003,119,-73.69832350504760,41.10404573221771
090010101015004,6,-73.70099165304508,41.10573233220246
090010101015005,51,-73.69262461224601,41.10072078422805
090010101015006,36,-73.69328339402693,41.09272072664687
090010101015007,28,-73.69798765480209,41.09229292889648
090010101015008,28,-73.70074470009953,41.09177712912567
090010101015009,49,-73.70421750123697,41.08666718082296
090010101015010,72,-73.71231146470654,41.09632519124567
090010101015011,23,-73.70763550021138,41.07812379190940
090010101015012,104,-73.71086230142686,41.08690981902925
090010101015013,110,-73.69974146714908,41.06874267447408
090010101015014,110,-73.69243866815721,41.08515702117020
090010101015015,0,-73.69707965878388,41.08108352767928
090010101015016,225,-73.68345535649426,41.07213681624665
090010101015017,19,-73.68448379031520,41.07845555639398
090010101021000,6,-73.61893364345579,41.12401809289893
090010101021001,51,-73.61673682346985,41.11866284752330
090010101021002,89,-73.61224260109725,41.11066387583676
090010101021003,22,-73.61657601401694,41.10998893320875
090010101021004,92,-73.61240912485681,41.10161850000000
090010101021005,22,-73.60918233799502,41.09975702360780
090010101021006,14,-73.61136444012750,41.09826163539338
090010101021007,18,-73.60638010044028,41.10563135921353
090010101021008,27,-73.60413492486094,41.10232545982784
090010101021009,69,-73.61883673972811,41.09946515983536
090010101021010,15,-73.61908760482999,41.09287425792199
090010101021011,19,-73.61595896868634,41.09268465136695
090010101021012,11,-73.61479355481526,41.09426722435542
090010101021013,12,-73.60795398439372,41.09642526063954
090010101021014,18,-73.60705376435001,41.10038711846371
090010101021015,0,-73.61019659387495,41.09351900000000
090010101021016,0,-73.60130100875993,41.09822511734871
090010101021017,10,-73.60229352870110,41.09949894407283
090010101021018,26,-73.61656231822201,41.08990536478728
090010101021019,56,-73.60800084006272,41.09254438146768
090010101021020,10,-73.60342260401386,41.09122309141460
090010101021021,71,-73.60013180325247,41.09603170951693
090010101021022,32,-73.60165200568245,41.09061324050799
090010101021023,58,-73.60282694420721,41.08141600469858
090010101021024,10,-73.60141035028514,41.08640708936798
090010101021025,193,-73.60827503915100,41.08141947242824
090010101021026,0,-73.61393940586291,41.08044138536906
090010101021027,70,-73.60613578666485,41.08955224829688
090010101021028,250,-73.61968806754230,41.08211815606435
090010101021029,53,-73.61424396026652,41.08255320933711
090010101021030,22,-73.61451060717205,41.07653443666074
090010101022000,29,-73.63547665471137,41.09143959583187
090010101022001,61,-73.64483037188121,41.09408055344193
090010101022002,49,-73.65088048067629,41.09291242423509
090010101022003,28,-73.64289945965609,41.09017450000000
090010101022004,0,-73.63883569672439,41.09027476722309
090010101022005,32,-73.63347751143097,41.09054249684643
090010101022006,14,-73.63053995843926,41.09180056170513
090010101022007,21,-73.62796744800814,41.08842187344093
090010101022008,37,-73.62445944543377,41.08780986740088
090010101022009,14,-73.62486440936783,41.08426863381280
090010101022010,259,-73.63005955195483,41.08004299991761
090010101022011,58,-73.63303960312096,41.08813030828772
090010101022012,34,-73.62544724422969,41.07287681074682
090010101022013,41,-73.65912306845804,41.08856421095858
090010101022014,225,-73.65377898137250,41.08111018779415
090010101022015,104,-73.64411737032249,41.08520940608561
090010101022016,59,-73.66066237777947,41.08352812414222
090010101022017,70,-73.65801069292746,41.08128769261536
090010101022018,4,-73.63674217857481,41.08524258437392
090010101022019,31,-73.63913638129344,41.08094248614437
090010101022020,20,-73.64063075818416,41.08066089191266
090010101022021,7,-73.63964825536998,41.07755365921745
090010101022022,32,-73.63712047892164,41.08029864393119
090010101022023,39,-73.64915604675811,41.07298662352818
090010101022024,101,-73.64793668888308,41.08100333223548
090010101023000,223,-73.63106538425166,41.13248203863813
090010101023001,104,-73.63771163560534,41.13980567711454
090010101023002,40,-73.64019009728410,41.13727776619438
090010101023003,52,-73.64414436491656,41.13182429435910
