GEOID,POP,X,Y
150010201001,1826,-155.10448814853513,19.83333474698559
150010201002,1044,-155.21823422075016,19.84685935675400
150010201003,1350,-155.17037548772578,19.80620033929891
150010201004,1213,-155.09639496826344,19.79218061203752
150010202021,888,-155.25419117689404,19.66898917704478
150010202022,1147,-155.09578287881291,19.74466980566796
150010203001,1184,-155.11364161083998,19.71830165452142
150010203002,1148,-155.08771447125957,19.73060846604324
150010203003,1490,-155.09231345621285,19.72029740471307
150010204001,1433,-155.08747146175358,19.71116632427949
150010204002,822,-155.09194784686221,19.71222096239503
150010204003,1262,-155.07979205671978,19.72656771712446
150010205001,981,-155.06972771931905,19.71651183914555
150010205002,1135,-155.06995396840432,19.70255683262145
150010205003,2213,-155.08198994270779,19.69911747580097
150010205004,1615,-155.07692310904872,19.70831201852534
150010206001,788,-155.00984191938704,19.72815450000000
150010206002,899,-155.03633140901155,19.69560427492566
150010206003,1648,-155.03913237714016,19.72878565656620
150010206004,2296,-155.05960645518851,19.68497916210091
150010207011,2134,-155.07331809854995,19.68945437135617
150010207012,1505,-155.07221779490138,19.67898702182626
150010207013,1172,-155.08549363972256,19.68855974535552
150010207021,1515,-155.10219867642738,19.67714923576967
150010207022,1902,-155.09219454495081,19.67899930534563
150010207023,1230,-155.08464184199690,19.67690490163522
150010208011,1413,-155.10136818780200,19.68668302711180
150010208012,1910,-155.14638232747134,19.69251021200704
150010208013,1042,-155.14955103942017,19.67469021550044
150010208021,1050,-155.11623622100876,19.71316281599468
150010208022,587,-155.11695137499458,19.70120460870046
150010208023,2340,-155.12678505861621,19.70027886198717
150010208024,1294,-155.10090925691907,19.70960946662253
150010208025,1273,-155.10697322649062,19.69967625550120
150010209001,786,-155.07726011035146,19.65835114627859
150010209002,1159,-155.08657893704438,19.66891500521166
150010209003,871,-155.10469449885787,19.65403718872480
150010209004,1126,-155.10450639379920,19.66806534981480
150010209005,860,-155.13213153286546,19.64558772792805
150010210031,1765,-155.01658054171614,19.56066737047791
150010210032,1797,-155.00274188632415,19.51497633927306
150010210033,1841,-154.98346379455376,19.53066710888758
150010210034,555,-155.00308656758949,19.52869912022872
150010210035,1465,-155.00499774313855,19.54051058390186
150010210111,1777,-155.13677938757380,19.56910966646058
150010210112,1108,-155.25708300471311,19.48765239783809
150010210113,1503,-155.18179197673226,19.52731040549690
150010210131,1051,-155.00156216699111,19.64475097392381
