BLOCK,PRECINCT
160010001011000,16001011916
160010001011001,16001011916
160010001011002,16001011916
160010001011003,16001011916
160010001011004,16001011916
160010001011005,16001011916
160010001011006,16001011916
160010001011007,16001011916
160010001011008,16001011916
160010001011009,16001011916
160010001011010,16001011916
160010001011011,16001011916
160010001011012,16001011916
160010001011013,16001011916
160010001011014,16001011916
160010001011015,16001011916
160010001011016,16001011916
160010001011017,16001011916
160010001011018,16001011916
160010001011019,16001011916
160010001011020,16001011916
160010001011021,16001011916
160010001011022,16001011916
160010001011023,16001011916
160010001011024,16001011916
160010001011025,16001011916
160010001011026,16001011916
160010001012000,16001011915
160010001012001,16001011915
160010001012002,16001011915
160010001012003,16001011915
160010001012004,16001011915
160010001012005,16001011915
160010001012006,16001011915
160010001012007,16001011915
160010001012008,16001011916
160010001012009,16001011916
160010001012010,16001011916
160010001012011,16001011916
160010001012012,16001011916
160010001012013,16001011916
160010001012014,16001011916
160010001012015,16001011916
160010001012016,16001011916
160010001012017,16001011915
160010001012018,16001011916
160010001012019,16001011916
160010001012020,16001011916
160010001012021,16001011916
160010001012022,16001011916
160010001012023,16001011916
160010001012024,16001011916
160010001012025,16001011916
160010001012026,16001011916
160010001012027,16001011916
160010001012028,16001011916
160010001012029,16001011916
160010001012030,16001011916
160010001012031,16001011916
160010001012032,16001011916
160010001012033,16001011916
160010001012034,16001011916
160010001012035,16001011916
160010001021000,16001011913
160010001021001,16001011913
160010001021002,16001011913
160010001021003,16001011913
160010001021004,16001011913
160010001021005,16001011913
160010001021006,16001011913
160010001021007,16001011913
160010001021008,16001011913
160010001021009,16001011913
160010001021010,16001011913
160010001021011,16001011915
160010001021012,16001011914
160010001021013,16001011914
160010001021014,16001011914
160010001021015,16001011915
160010001021016,16001011914
160010001021017,16001011914
160010001021018,16001011914
160010001021019,16001011914
160010001021020,16001011913
160010001021021,16001011913
160010001021022,16001011915
160010001021023,16001011915
160010001021024,16001011915
160010001021025,16001011915
160010001021026,16001011915
160010001021027,16001011915
160010001021028,16001011915
160010001021029,16001011915
160010001021030,16001011915
160010001021031,16001011915
160010001021032,16001011916
160010001021033,16001011916
160010001021034,16001011914
160010001021035,16001011914
160010001021036,16001011914
160010001021037,16001011914
160010001021038,16001011914
160010001021039,16001011914
160010001021040,16001011914
160010001021041,16001011914
160010001021042,16001011914
