GEOID,POP,X,Y
210019701001,822,-85.20705907503394,37.25541582107828
210019701002,799,-85.13181720298049,37.22663333927361
210019702001,1755,-85.32521736097610,37.17482463678803
210019703001,834,-85.14420537519842,37.16986618617107
210019703002,1297,-85.16320289955134,37.12580648020708
210019703003,874,-85.17542815262252,37.07319477299917
210019704011,1536,-85.31855400721174,37.04548067957261
210019704012,1092,-85.31693141050201,37.09358418553496
210019704013,1718,-85.34665776216076,37.10270577081555
210019704021,1968,-85.25426865833253,37.11649537537850
210019704022,1666,-85.29563083934181,37.10056535091326
210019704023,901,-85.30681516268001,37.13581376981472
210019705001,1201,-85.45456315091758,37.08659812217881
210019705002,1133,-85.41116038021211,36.99652681988987
210019706001,1307,-85.25958594719093,36.99133588026895
210039201001,1211,-86.22277528442561,36.85785395192597
210039201002,840,-86.14610718433985,36.85925438035831
210039201003,1244,-86.10025704497798,36.82585323520445
210039202001,1274,-86.28638109518653,36.79894570650364
210039202002,1594,-86.35669101687550,36.75383226982854
210039203001,1716,-86.22077204154171,36.77555978621671
210039203002,1846,-86.23625120294905,36.73278651725287
210039203003,820,-86.19457265697262,36.75551013598105
210039203004,719,-86.18711898184830,36.76318596827242
210039204001,1977,-86.16799667382234,36.71120810877785
210039204002,1128,-86.08827015540642,36.75809189157626
210039204003,933,-86.15827209612920,36.75105042199983
210039204004,525,-86.18694303726333,36.74606462910506
210039205001,1413,-86.04883815407742,36.68106023483645
210039206001,1561,-86.34223865054595,36.68525178784231
210039206002,1787,-86.23328222672480,36.67113917479793
210059501011,941,-84.92368661598505,38.08462980203770
210059501012,1046,-84.93626775546150,38.06701682858731
210059501021,2477,-84.88060383284056,38.08058153058688
210059501022,1224,-84.90920906748482,38.05849228951347
210059501023,2403,-84.85710471799658,38.05807418109433
210059501024,884,-84.87123191566728,38.03855926564223
210059502011,1423,-84.93483472726545,38.01776895331682
210059502012,1427,-84.89458083707851,38.02702718640993
210059502013,1876,-84.90520498902690,38.02990540385216
210059502014,955,-84.90209708784245,38.01936425384756
210059502021,1424,-84.85186775809233,37.99402881805789
210059502022,1862,-84.88858108285491,38.00274949751515
210059502023,680,-84.88984500574648,37.97964349999999
210059503001,2382,-85.02952671823428,38.04692075336852
210059504001,1698,-84.99170298880958,37.95565825367045
210059504002,1150,-85.09661854828666,37.94499515265719
210079501001,577,-88.99907866027269,37.16564095104732
210079501002,1018,-88.96958524617298,37.07124182063637
210079501003,1531,-88.91719581635606,37.10810445073184
210079501004,849,-88.92339013355964,37.02421029475835
210079502001,1420,-89.08158772301917,37.06085130379241
210079503001,757,-88.91013304261025,36.96460364135243
210079503002,749,-89.03331156695677,36.95901096504345
210079503003,827,-89.08315936991238,36.99277853173127
210099501001,1022,-85.81321590250792,37.11684738562455
210099501002,677,-85.84795664276642,37.07914823522089
210099501003,1891,-85.90300313584027,37.06568865440197
210099502001,879,-85.92588440930555,37.13516027937776
210099502002,1418,-85.94803955643556,37.10045519109624
210099502003,1240,-86.01798926149092,37.13871448008378
210099503001,847,-86.01735131347677,37.10900681669166
210099503002,1371,-86.03469815756463,37.04587626019372
210099503003,1289,-85.98658677414957,37.07032665506124
210099504011,1985,-85.94188030329120,36.98595092637574
210099504012,652,-85.95820379821198,37.00222971450670
210099504021,710,-85.90460500039750,36.98790421894986
210099504022,716,-85.91379268866187,36.98036782397305
