GEOID,POP,X,Y
220850006-2,1511,-93.66465728268508,31.55481668326178
220850006-4,191,-93.61623574683334,31.59088757820608
220850005-8,475,-93.52803343237555,31.57060009349778
220750001-1,423,-89.95143421436995,29.81679095277955
220750008-3,397,-89.57813643023630,29.28811493355995
220750009-1,1213,-89.49311288889002,29.24720079724266
220750008-1,1202,-90.01480176730058,29.70331799294144
220750006-2,1190,-90.03878081931926,29.74582666078803
220750007-1,832,-89.88710361431323,29.58645784552340
220010007-4,1196,-92.40871385562460,30.41488667097694
220010006-1,1913,-92.41277940188733,30.20646983732050
22001006-13,779,-92.37763838922226,30.24351641449491
220010006-5,736,-92.39059480744044,30.22748492189745
220010006-3,945,-92.38199265380470,30.22047629264407
22019000405,3485,-93.28917321332517,30.22206642833592
22019000441,2026,-93.25377201312259,30.24646428290094
220850003-6,579,-93.48750595138453,31.57682841473477
220850004-1,2135,-93.47167180578928,31.54366766127592
22019000407,1755,-93.34875189095497,30.22279370422697
22019000408,1725,-93.33434944364717,30.22040789583735
22019000601,982,-93.43013767439724,30.45589400795893
22019000262,675,-92.91719692088745,30.11502233352794
220750003-1,2915,-89.99726863949660,29.85579712265663
220750002-2,1440,-90.00359513517519,29.88095341131792
220750005-2,1646,-90.02859283227848,29.84870700000000
220750004-1,1014,-89.98508852366393,29.85191912315616
220750004-2,1885,-90.00438668352132,29.83778595303208
220750002-1,1885,-89.96424099996847,29.88392877228616
220750006-1,1768,-90.03805589540831,29.78767413560411
220750005-1,1307,-90.03635798650973,29.81722074174954
220750008-2,735,-89.79236093502971,29.36470193567295
22085002-6A,914,-93.64035270494101,31.50953792909728
22103000502,1750,-89.97173125520943,30.61906134689726
22103000S25,1098,-89.77670893756917,30.27252042605142
22103000906,1336,-89.83041545466364,30.27845304355503
22055000034,3848,-92.09827081871234,30.16019253922319
22055000008,2292,-92.10204901934644,30.27770769442147
22055000119,1151,-92.12489392455586,30.27899205416975
22055000025,1184,-92.07859736622495,30.24463609902103
22055000092,3757,-91.99654244873508,30.19125545535555
22055000109,2825,-92.04190511942573,30.12394122078802
22055000117,2210,-92.05495165090132,30.11662641518063
22055000108,3289,-92.01987523185115,30.11649233523737
22055000081,873,-92.05281909917177,30.18783741024983
22103000114,1832,-90.18929636467067,30.45293277636046
22103000104,1261,-90.17455171250046,30.43677166189747
22103000108,964,-90.21381432913718,30.48464368681987
22103000C05,854,-90.10177386014377,30.46273649869815
22103000403,1976,-90.06474700050239,30.36994273156499
22103000410,1892,-90.06347994495948,30.37927909406171
22103000M02,1393,-90.08238179772184,30.37049109204207
22103000415,797,-90.06729621221444,30.38266632632974
22103000C01,1152,-90.13740928696551,30.48490021953777
22103000C11,2034,-90.11925361667235,30.50284150000000
22103000118,2195,-90.16963580997185,30.48097246839813
22103000205,1875,-90.04755762935835,30.63482813250873
22103000914,1300,-89.76247288439876,30.33578801022268
22103000S06,1888,-89.78922482922439,30.28187672783143
22103000504,1139,-89.97149536655554,30.54398287392180
2201100012B,1177,-93.21668922050142,30.47877198771801
22055000039,3814,-92.06130390748457,30.22507576677475
22055000040,1183,-92.04782132537666,30.22722870044364
22103000505,1678,-90.01838058808710,30.57154590026644
22103000A02,2449,-90.02000066429305,30.46590777749546
22103000308,1157,-90.06296186363673,30.46459200318036
22103000C09,1930,-90.10175298288259,30.50810431130641
22103000C06,2235,-90.11151957231979,30.49003379674748
22103000501,752,-89.89520083098226,30.64611970551158
22019000702,1119,-93.58451316961717,30.18222798871327
22019000761,928,-93.56635971330701,30.13669988975098
22019000370,2736,-93.15516706023247,30.09963144821175
22019000562,654,-93.54380146478069,30.26253339150738
22019000364,3165,-93.15286832968481,30.17084126909782
2201900371N,2226,-93.18878079639417,30.15731836288955
22019000308,1801,-93.19923353405231,30.23300693066339
22019000260,2127,-93.08224007523501,30.11676710963410
2202300016C,183,-92.97859165809864,29.98730054506007
22019000307,832,-93.20790267030438,30.24090218751869
22103000314,2559,-90.14143231138664,30.51587917834812
22103000301,1610,-90.17206264874666,30.53980068831575
22103000S19,1702,-89.77908723210479,30.30069580941734
22103000902,1225,-89.79577888604109,30.32826521293109
22103000305,1732,-90.06908041527085,30.47426390450315
22103000818,1359,-89.74206068856999,30.25263800813300
22103000814,2127,-89.75138890034970,30.25121440746049
22011000001,621,-93.58426808145160,30.49714695841508
22011000017,1070,-93.21485513130315,30.83859613429499
22103000106,3258,-90.23157505412260,30.46004637661973
22103000116,1294,-90.21475627837459,30.45250727822619
22103000111,2304,-90.21547535154066,30.43957645180454
22055000100,1838,-91.93485760787547,30.15680456095337
22055000094,2775,-92.03339693941936,30.15911937547308
22055000011,2803,-92.01466996126780,30.28517537927265
22103000604,1102,-89.73511227761996,30.43642813407224
22103000P01,2284,-89.74963569718408,30.37324150468097
22103000M09,1291,-90.04137567229236,30.35690277728748
22103000M10,1925,-90.02437860708929,30.37043382238182
22103000409,1922,-89.98259183482337,30.36284241015987
22103000M05,950,-90.06172910067433,30.35378555698003
22055000103,4106,-91.99821394165564,30.06830875537725
220450014-1,2029,-91.92830096527106,30.06036108976682
22055000101,3932,-91.96153014716339,30.10726181992015
22055000065,1573,-92.01193142272757,30.21431539539059
22055000062,460,-92.00782498219985,30.22048891692990
22055000091,3791,-92.04856429269702,30.14292161380046
22103000811,2086,-89.72267212359115,30.28352595302195
22103000817,2061,-89.70858541750805,30.28368879582465
22103000806,2085,-89.72866028126536,30.27874645068769
22103000C08,895,-90.08762224292310,30.48880045560421
22103000304,2367,-90.06237397303201,30.49062198780476
22103000703,1080,-89.97140475535589,30.29627505954963
22103000807,1471,-89.71230195158530,30.29555487256426
22103000812,1739,-89.72788085325199,30.29465205423385
22019000310,1422,-93.21019909427766,30.22666410314313
22019000465,947,-93.42298857076368,30.22595276597211
22019000406,2352,-93.37431224662136,30.21986573943887
22019000311,801,-93.19085721526858,30.22150120960338
22019000321,1144,-93.18466926656298,30.20940277129592
22019000165,2822,-93.20964997427789,30.31459971640131
2201900313E,1562,-93.14827188443110,30.21322629419315
22019000314,1547,-93.21268098987372,30.21852747996254
22019000469,1527,-93.43753192552191,30.09834041543806
22019000361,2256,-93.15170832810243,30.24421705841178
22019000318,1645,-93.21422334314369,30.20566089988883
22019000464,2078,-93.23039628867335,30.26635074085013
22055000037,3806,-92.20554019223836,30.16802999597874
22055000030,1699,-92.08171686330560,30.22356533005829
22055000005,1350,-92.04156455140705,30.32540653439471
22055000002,2096,-91.98874984159673,30.33569804167785
22055000122,1657,-92.01247100524601,30.35771530770353
22055000027,1199,-92.19304779401551,30.22648817510605
22055000051,1469,-92.02410546664841,30.23430362508984
22055000099,2079,-91.95549482964904,30.14156503828316
22011000003,425,-93.55662477592479,30.68683662311179
22011000002,88,-93.65344672457246,30.57005869344268
22011000019,392,-93.04018855427668,30.85072426946628
22011000025,2516,-93.29653156339886,30.86204944342983
22011000026,1577,-93.27623523731584,30.86115033446105
2201100025B,1050,-93.29317817295085,30.87906898871118
22011000028,1085,-93.26581090399900,30.84054458547288
22055000093,2269,-92.01085580760287,30.16956566588445
