BLOCK,PRECINCT
240010001001000,2400101-000
240010001001001,2400101-000
240010001001002,2400101-000
240010001001003,2400101-000
240010001001004,2400101-000
240010001001005,2400101-000
240010001001006,2400101-000
240010001001007,2400101-000
240010001001008,2400101-000
240010001001009,2400101-000
240010001001010,2400101-000
240010001001011,2400101-000
240010001001012,2400101-000
240010001001013,2400101-000
240010001001014,2400101-000
240010001001015,2400101-000
240010001001016,2400101-000
240010001001017,2400101-000
240010001001018,2400101-000
240010001001019,2400101-000
240010001001020,2400101-000
240010001001021,2400101-000
240010001001022,2400101-000
240010001001023,2400101-000
240010001001024,2400101-000
240010001001025,2400101-000
240010001001026,2400101-000
240010001001027,2400101-000
240010001001028,2400101-000
240010001001029,2400101-000
240010001001030,2400101-000
240010001001031,2400101-000
240010001001032,2400101-000
240010001001033,2400101-000
240010001001034,2400101-000
240010001001035,2400101-000
240010001001036,2400101-000
240010001001037,2400101-000
240010001001038,2400101-000
240010001001039,2400101-000
240010001001040,2400101-000
240010001001041,2400101-000
240010001001042,2400101-000
240010001001043,2400101-000
240010001001044,2400101-000
240010001001045,2400101-000
240010001001046,2400101-000
240010001001047,2400101-000
240010001001048,2400101-000
240010001001049,2400101-000
240010001001050,2400101-000
240010001001051,2400101-000
240010001001052,2400101-000
240010001001053,2400101-000
240010001001054,2400101-000
240010001001055,2400101-000
240010001001056,2400101-000
240010001001057,2400101-000
240010001001058,2400101-000
240010001001059,2400101-000
240010001001060,2400101-000
240010001001061,2400101-000
240010001001062,2400101-000
240010001002000,2400103-000
240010001002001,2400103-000
240010001002002,2400103-000
240010001002003,2400103-000
240010001002004,2400103-000
240010001002005,2400103-000
240010001002006,2400121-000
240010001002007,2400121-000
240010001002008,2400121-000
240010001002009,2400103-000
240010001002010,2400103-000
240010001002011,2400103-000
240010001002012,2400103-000
240010001002013,2400103-000
240010001002014,2400103-000
240010001002015,2400103-000
240010001002016,2400103-000
240010001002017,2400103-000
240010001002018,2400103-000
240010001002019,2400121-000
240010001002020,2400103-000
240010001002021,2400121-000
240010001002022,2400121-000
240010001002023,2400121-000
240010001002024,2400103-000
240010001002025,2400121-000
240010001002026,2400121-000
240010001002027,2400121-000
240010001002028,2400121-000
240010001002029,2400121-000
240010001002030,2400121-000
240010001002031,2400121-000
240010001002032,2400103-000
240010001002033,2400103-000
240010001002034,2400103-000
240010001002035,2400103-000
