GEOID,POP,X,Y
24001000100,3370,-78.51017481313724,39.63443612324152
24001000200,4097,-78.68782558868226,39.62575572503666
24001000500,2055,-78.72785958785884,39.65597210832859
24001000600,3081,-78.74066130226430,39.63738100656764
24001000700,3330,-78.75265547511650,39.63295868158124
24001000800,1902,-78.76502421415033,39.62998673092134
24001001000,2126,-78.76802970603828,39.65739591761660
24001001100,1431,-78.77202944372074,39.65145221730190
24001001200,2899,-78.78978853422419,39.65114890519045
24001001300,4990,-78.81226356544359,39.61877737438104
24001001401,3890,-78.83640136755881,39.64402314977215
24001001402,1439,-78.80996967692133,39.65192004981389
24001001502,1845,-78.78663560703532,39.70284114776204
24001001503,1716,-78.86964990062565,39.70553457107175
24001001600,1618,-78.92404195591254,39.68855528738001
24001001700,4300,-78.87937798837243,39.66361661193410
24001001800,3891,-78.94319118785523,39.65521221592654
24001001900,2514,-78.93174252474086,39.60985381987629
24001002000,5370,-78.88847361015073,39.55175888152127
24001002100,3055,-78.98417435671003,39.55121230941723
24001002200,3684,-78.99412770854481,39.48623484008868
24001002300,5503,-78.73898319239146,39.68962463015723
24003701101,4369,-76.58023368028587,38.94056550921976
24003701103,3690,-76.54414788169501,38.93553507811128
24003701104,4083,-76.56393756296947,38.93474150000000
24003701201,3864,-76.50526670064579,38.88986463533638
24003701202,4968,-76.52476799985413,38.91576972756478
24003701301,4003,-76.63404542911019,38.92700644165879
24003701302,4035,-76.64505778953294,38.86646253831776
24003701400,3503,-76.56682605225065,38.87065120932018
24003702100,6854,-76.59100123614840,39.05151232832373
24003702204,4465,-76.69081097787110,38.99571418670387
24003702205,5881,-76.69229639520059,39.00841454994186
24003702206,6651,-76.66975278449128,39.01129108153830
24003702208,8244,-76.66669174067043,39.03163272639249
24003702209,4400,-76.68384145891987,39.02094968094356
24003702300,5799,-76.64707147406470,38.96873197779258
24003702402,7373,-76.56020905377650,38.97928216208412
24003702500,6850,-76.53171307846431,38.95755547566073
24003702601,5689,-76.50412257281455,38.93714925871078
24003702602,5952,-76.47019262122562,38.93067351760055
24003702702,4108,-76.54540814264733,39.01657825672162
24003702703,2503,-76.51456316991515,38.99931332370042
24003702704,2618,-76.53744911507948,38.98968674761768
24003706102,2337,-76.49420542336978,38.97656164009545
24003706103,1463,-76.48956592970924,38.97966630394555
24003706302,3354,-76.48161654978993,38.96839771677287
24003706303,2474,-76.48512931682433,38.95551848356282
24003706304,2249,-76.47297612091322,38.95693460499161
24003706402,3520,-76.49502387999536,38.96654023621770
24003706403,4104,-76.50615386609255,38.96362798814366
24003706404,2872,-76.49729283758343,38.95585765457104
