GEOID,POP,X,Y
290019501001,1400,-92.51270368603207,40.29998457897246
290019501002,1411,-92.44922543567289,40.19913533471135
290019501003,895,-92.42499267295791,40.09208345192314
290019502001,805,-92.68695198956172,40.28417244588882
290019502002,753,-92.77903061117759,40.23025637229533
290019502003,1253,-92.68602455345113,40.08769261848596
290019503001,706,-92.61686939855254,40.22718915115559
290019503002,662,-92.58547851999539,40.20406893390310
290019503003,746,-92.58107888223266,40.19965998248617
290019503004,811,-92.58174310476166,40.19434277586267
290019504001,1587,-92.56971897915794,40.23312732964749
290019504002,1676,-92.55661038341292,40.21794308690989
290019504003,930,-92.55621302643166,40.19917363335593
290019505011,1512,-92.58901791505903,40.18328177336456
290019505012,746,-92.58866138872872,40.19463554813960
290019505013,1665,-92.63698445501463,40.18687304350511
290019505021,861,-92.55537244294776,40.16688436618489
290019505022,943,-92.57343486716658,40.18546685057928
290019505023,1459,-92.58614229498342,40.16192359554677
290019509001,849,-92.57308767347365,40.19776668939650
290019509002,732,-92.57231043254363,40.19201515237518
290019509003,568,-92.58178319798344,40.19125437258251
290019510001,2344,-92.58062052739801,40.18514634921042
290030101001,1757,-94.82948760131953,39.87159750557419
290030101002,1949,-94.83180649611727,39.82842489067209
290030101003,1661,-94.79675984349552,39.84156322865694
290030101004,845,-94.68352538713344,39.84980241827562
290030102011,882,-94.86178336017821,39.93898332750994
290030102012,1136,-94.85418118735724,39.92113515257139
290030102013,1944,-94.80604182917108,39.92216619018397
290030102021,1150,-94.85463276429755,39.97938427322406
290030102022,1789,-94.80099584840987,39.97284959896065
290030103001,845,-94.95871105922885,40.05137755373907
290030103002,1130,-94.92590703278681,39.91169493515217
290030104001,948,-94.84085970356678,40.07199143940763
290030104002,809,-94.69597441521519,40.05175016607083
290030104003,1290,-94.68957830131990,39.92674094231350
290059501001,676,-95.29312563672148,40.42972747941936
290059501002,802,-95.40670125939955,40.32793461091233
290059501003,683,-95.37442189897564,40.45450052216668
290059501004,897,-95.39459738363453,40.42675279495319
290059502001,897,-95.53467580604523,40.34424903304296
290059502002,477,-95.58602080322184,40.51043867345751
290059502003,873,-95.47199784437767,40.42232819043731
290079501001,697,-91.45851019571803,39.30410769614708
290079501002,2137,-91.48726769630882,39.31573159032384
290079501003,962,-91.51998636783800,39.30596882260815
290079502001,840,-91.81773687848614,39.28742577962211
