GEOID,POP,X,Y
370010201001,1329,-79.44837654053968,36.09912464033680
370010201002,1255,-79.45079365808630,36.09221092882890
370010201003,789,-79.44549123577016,36.08353754571479
370010201004,667,-79.43660998745258,36.09386957174500
370010202001,1020,-79.41212051229829,36.08891427000728
370010202002,678,-79.42653464102193,36.09935975327684
370010202003,944,-79.42369007774431,36.08848110092463
370010202004,1495,-79.42023112942279,36.09495933964025
370010203011,976,-79.40503046007333,36.11243302779325
370010203012,1312,-79.41302331096706,36.10188535445282
370010203013,1925,-79.40051609180166,36.10123541487847
370010203021,1560,-79.39046429018434,36.09925979275220
370010203022,2414,-79.38863102329670,36.08949259401322
370010204001,2394,-79.43706389317468,36.12803784778625
370010204002,1494,-79.41965763948438,36.11627801919204
370010204003,702,-79.42861694806807,36.10753501839428
370010204004,882,-79.42583328186055,36.10315124578351
370010204005,1084,-79.43726858344345,36.11020921697531
370010205011,2667,-79.47847714949896,36.12010649837009
370010205012,1298,-79.47493187058627,36.10520166483087
370010205021,2567,-79.45212142384064,36.11725309628320
370010205022,1022,-79.44059793407742,36.10355552949598
370010205023,710,-79.45974463183063,36.11008113786881
370010206011,887,-79.48168611200161,36.09630363445049
370010206012,921,-79.49078228727549,36.08996228526625
370010206013,1362,-79.47648651917902,36.08506756478596
370010206021,688,-79.45871562800124,36.10399023477437
370010206022,1821,-79.46333981586335,36.09428975761979
370010207011,906,-79.48870591279336,36.07728647071108
370010207012,1520,-79.47094693087979,36.07595941757791
370010207013,1100,-79.48277240692086,36.07148959305973
370010207014,1492,-79.48178754336875,36.06217256853007
370010207021,1393,-79.45826611209013,36.07787780531708
370010207022,1311,-79.45129627248828,36.07368114820419
370010207023,1342,-79.46070818886247,36.06954697892463
370010207024,1017,-79.46540225239785,36.05613319839598
370010208011,1930,-79.45021703796378,36.04885714214092
370010208021,797,-79.43144822015232,36.08665713508213
370010208022,1210,-79.43565267618060,36.08375294152923
370010208023,1335,-79.43403318647110,36.07485560532098
370010208024,883,-79.42481834807339,36.07819984827972
370010208025,802,-79.41743583802773,36.08095412037939
370010208026,1148,-79.42036891197324,36.07193052760699
370010209011,1414,-79.40815361052073,36.06595465668374
370010209012,1029,-79.40715523963792,36.05411932254985
370010209013,1428,-79.42560174031095,36.05157431250417
370010209021,2336,-79.41924877295020,36.02946948497669
370010209022,1551,-79.40262235323588,36.03796140078848
370010210001,1145,-79.39408436013508,36.07418233305593
370010210002,1909,-79.39659096166301,36.08004178994871
370010210003,1037,-79.40653322854571,36.07341853312176
370010211011,599,-79.37941715119688,36.07631138579899
370010211012,2707,-79.37106900815685,36.06851723298156
370010211013,678,-79.39378719542343,36.06497875359875
370010211021,1193,-79.39005420411084,36.05696369219336
370010211022,1171,-79.38189393528486,36.04870752676285
370010211023,1223,-79.37861086313941,36.03189497662908
370010212011,2978,-79.33450421184536,36.11522813932510
370010212012,2295,-79.36956185565721,36.11630765864917
370010212013,1032,-79.35299484318632,36.07554110438942
370010212041,1258,-79.33599069279062,36.05410508538979
370010212042,3959,-79.30071128624490,36.04160215970209
370010212051,994,-79.28069841042797,36.07980962659315
370010212052,2398,-79.26654516777964,36.08267849252065
370010212053,4571,-79.28856625987763,36.06738279042303
370010212061,1267,-79.32474265698181,36.08264450575374
370010212062,2454,-79.29810594836096,36.08618983463124
370010212063,1661,-79.27721757395489,36.09181411327065
370010212071,1750,-79.29617338930926,36.10609268825888
370010212072,1748,-79.26720313282820,36.10206275823409
370010213001,1376,-79.35361688569576,36.19855941868955
370010213002,1129,-79.30742989710046,36.20198368804022
370010213003,1057,-79.27430903855263,36.20489899650243
370010213004,1564,-79.27799285375588,36.13382122044305
370010213005,1052,-79.31848093803320,36.14865734875782
370010214001,1578,-79.40419250826268,36.14727632467218
370010214002,1090,-79.40546468338837,36.21027241207194
370010215001,1138,-79.50843551709188,36.19389559942748
370010215002,1440,-79.47802784957020,36.22259592272079
370010215003,1998,-79.46558707908039,36.16321406301618
370010216001,1178,-79.51351730914479,36.16078931588252
370010216002,1135,-79.51151843677712,36.13807028700426
370010216003,2612,-79.52779199083542,36.11205454595624
370010216004,3988,-79.50726095670581,36.11746386166278
370010217011,1451,-79.52809409417601,36.09943338351330
370010217012,2028,-79.53040581931516,36.08839720527261
370010217021,2163,-79.50262688210177,36.10125895565005
370010217022,2201,-79.50395587462469,36.08954476718363
