GEOID,POP,X,Y
37001020100,4040,-79.44559863712541,36.09147773770120
37001020200,4137,-79.41954004852680,36.09191031491781
37001020301,4213,-79.40607109870201,36.10677724836280
37001020302,3974,-79.38910217129383,36.09200275560242
37001020400,6556,-79.43248116471905,36.12169620280200
37001020501,3965,-79.47741010393150,36.11562049403781
37001020502,4299,-79.45260440553962,36.11391860205305
37001020601,3170,-79.48313062482241,36.09024679992348
37001020602,2509,-79.46256770059301,36.09590947696586
37001020701,5018,-79.48078514501367,36.06987715111855
37001020702,5063,-79.46244103514353,36.06269399342402
37001020801,1930,-79.45021703796378,36.04885714214092
37001020802,6175,-79.42759916601027,36.07796518560232
37001020901,3871,-79.41731136232850,36.05483905915467
37001020902,3887,-79.41390454252468,36.03219904164818
37001021000,4091,-79.39850587131426,36.07697782751200
37001021101,3984,-79.37640670711038,36.06987678165108
37001021102,3587,-79.38132098845730,36.04040410591226
37001021201,6305,-79.35321293736691,36.10670169724265
37001021204,5217,-79.31457541786069,36.04651557022367
37001021205,7963,-79.28306662785337,36.07204170103888
37001021206,5382,-79.30603605695293,36.08555773717963
37001021207,3498,-79.29188009070853,36.10549546562294
37001021300,6178,-79.31615310275970,36.18511494752454
37001021400,2668,-79.40501796543091,36.18815164980811
37001021500,4576,-79.47990177463004,36.19922622623955
37001021600,8913,-79.51282114441936,36.13786617762306
37001021701,3479,-79.52966273006975,36.09194471411016
37001021702,5897,-79.50783637202250,36.09273812902440
37001021703,7974,-79.51673203153031,36.05273636148916
37001021801,4706,-79.49531841168354,35.98571502846364
37001021802,3618,-79.43976053992699,35.94242422151903
37001021803,3042,-79.47766080298321,35.87788228372477
37001021901,4630,-79.38096153046233,35.97704560758177
37001021902,4424,-79.32826494631463,35.88771132223153
37001022001,3759,-79.33419592731011,35.99822427483608
37001022002,4717,-79.28726220728164,35.97479868143632
37003040100,3248,-81.07338364427862,35.97542420110545
37003040200,3877,-81.24198706815787,35.97748479338036
37003040300,3090,-81.27831434960096,35.88745943777950
37003040400,6503,-81.17584188427990,35.92002972959794
37003040500,6560,-81.09588611683178,35.86313564828842
37003040600,6320,-81.19459142799006,35.85390047827941
37003040700,6846,-81.30153976079878,35.82834288143975
37005950100,4058,-81.00782564361509,36.48322511389055
37005950200,3762,-81.11890640217753,36.52033817154739
37005950300,3068,-81.22659483495164,36.49066670922242
37007920100,2783,-79.94043919346734,34.98568165502897
37007920200,1411,-80.10521598668544,35.09930021472944
37007920301,4504,-80.23671664462790,35.07038314830806
37007920302,649,-80.23175973285987,34.95031170041941
37007920400,2475,-80.07966289409796,35.01142002333712
37007920501,944,-80.13040749535371,34.94481062655994
37007920502,4442,-80.05643999011339,34.94493405998840
37007920600,3481,-80.11373903204735,34.86171601868933
37007980000,1366,-80.18269329741767,34.98997858233881
37009970200,2497,-81.54320640403456,36.52822985913122
37009970300,2390,-81.65550324076213,36.47284082670851
37009970400,4360,-81.50648816629757,36.40705350000000
37009970501,3511,-81.43418168356594,36.39458877053779
37009970502,3007,-81.47063519197305,36.45266795271671
