GEOID,POP,X,Y
370210001.1,2982,-82.54701138647846,35.59217545554938
370210053.1,4491,-82.75083546053474,35.63599654589793
370210068.1,7502,-82.68118222211307,35.61199157802456
370210022.2,2640,-82.53532979346957,35.64071091222700
370210027.2,953,-82.51253310043259,35.64555536214550
370210058.1,2908,-82.55909524476718,35.71422989543252
370210059.1,4812,-82.48309378598134,35.69443221046063
37191000004,6559,-78.01334762377002,35.49067517481004
37191000026,4017,-78.04876118591484,35.27077166077802
37191002530,5830,-78.09849693115702,35.21553279596918
3706100CALY,1212,-78.08357971547569,35.15424144965829
37191000028,6744,-77.97234338897691,35.24626910416711
37191000002,5146,-77.89350538157827,35.52155755428949
370210066.1,2449,-82.43427439517144,35.60282333150199
37143BETHEL,3458,-76.36965893960880,36.09057800094301
370210044.1,7404,-82.62931832785566,35.52944441874912
370210024.1,3652,-82.62994229553566,35.55519545180537
370210048.1,6078,-82.69300719105962,35.56090786048944
370210038.3,4459,-82.44376630253268,35.50902116339076
370210036.1,3047,-82.30643405293610,35.67047676885438
37111FORT-1,1825,-82.20693391554171,35.67488175706642
37111FORT-2,2555,-82.19693987282344,35.61652434588864
370210060.2,1953,-82.47164747167538,35.56314482379406
37035000019,1798,-81.38669513703520,35.70657250310137
37035000006,3365,-81.15532758062662,35.71859730231305
37035000002,3234,-81.44794931182273,35.59768988793333
370230029-B,1635,-81.59142193328198,35.59968980510481
370230029-A,1680,-81.55763888849123,35.65652219627215
3710900NB35,5623,-81.44786674788722,35.49354611009104
37035000030,6482,-81.29089498229528,35.76043772993609
37035000014,2188,-81.35010050843317,35.73969217888045
37035000032,4844,-81.20778198799081,35.63342976996304
37035000001,4700,-81.11055101246538,35.61755272260237
370210002.1,4207,-82.56802919336927,35.60274132488971
37035000017,3404,-81.38136372959104,35.73226094833104
37035000026,2414,-81.36214809181695,35.75463740891917
37035000024,5642,-81.40569214264750,35.66296865171368
37023000012,2484,-81.50838652483823,35.67620321244571
37023000013,4093,-81.43979297534536,35.70402818206510
37023000015,2311,-81.40142368409022,35.74155034832000
371350000SM,3133,-79.01696537425160,36.10730283476732
371350000CP,3603,-79.08954187181153,36.11066371286040
37063000044,8084,-78.95114252782277,36.10416733412080
371350000HE,2569,-79.08009324912632,36.06786971282295
37135000ENO,4369,-79.02810094139775,36.05522254162964
37063000045,6643,-78.90810953324501,36.08049498183538
37063000050,5837,-78.96912968485975,36.02185189822583
37153000004,2794,-79.76762684848916,34.89706524699339
370210011.1,1924,-82.56079815252370,35.58913639726905
370210045.1,6087,-82.65802996065553,35.57283049873926
370210039.2,2140,-82.35794386624909,35.51893641341664
370210039.3,3403,-82.39285986288617,35.55189384653289
370210037.1,2006,-82.27367512058275,35.52838725334608
370210003.1,2753,-82.55522585167910,35.60764826271656
370210054.2,7290,-82.55043848075294,35.49496457043243
370210018.2,6719,-82.53705633575493,35.49195362769145
370890000FL,6262,-82.50572963108658,35.43322365825722
370210052.1,5885,-82.69392182425473,35.68711814758591
37035000016,4587,-81.31269034992117,35.74625819920603
37035000029,6691,-81.26089445126884,35.78570701132262
37035000012,2513,-81.32462206252953,35.72632792981629
37035000023,5644,-81.33805947999330,35.66582725327284
371050000D1,5806,-79.29111720396753,35.48704967980854
371050000D2,5260,-79.21705371333283,35.52522843324251
371050000C1,9306,-79.17708530070442,35.36992540892287
371050000C2,6044,-79.25775460126351,35.41166578212338
371350000WD,4206,-79.05022981307292,35.95668419495210
37135000WDS,441,-79.03852925422889,35.96533040792490
37153000009,7457,-79.70370294474125,34.84778226372691
371050000E1,3837,-79.04892469638339,35.49998727073288
371050000E2,7009,-79.11764085057834,35.43726934199028
3708500PR23,8867,-78.94459746561071,35.41664256131208
3708500PR26,6206,-78.67000092347517,35.30310757190098
3708500PR24,11090,-78.65933359800204,35.40612492714890
3710100PR14,4010,-78.52312082646124,35.44452233347486
3708500PR25,4927,-78.58794999041501,35.30360164556977
3708500PR29,6817,-78.60966548457648,35.33585133274405
370210047.1,6233,-82.73134356623885,35.48102214669054
37143PARKVI,2497,-76.42611843957425,36.23136609389029
37143NEW-HO,3037,-76.29029464785332,36.14898476914330
3706100WOLF,2954,-77.97436644432004,35.12421899705131
370210025.1,3169,-82.48628291010974,35.58629873001251
370210008.3,3785,-82.51733321174422,35.55288605540716
370210060.4,1787,-82.48406828027346,35.54122481617379
370210008.2,4358,-82.52192726535434,35.53664395938342
370210034.1,1413,-82.32702064969202,35.62063881467614
3706100MAGN,2554,-78.09666363105073,34.88158603410668
3716300ROWA,2962,-78.26102009993745,34.90772739690991
3716300INGO,2154,-78.30504818929057,34.84250359391059
3706100BEUL,4309,-77.73724136866716,34.93326803711290
37107000PH2,2165,-77.72309746125292,35.05618005407713
3706100KENA,4641,-77.94301542659227,34.95688190904604
37135000CS1,2200,-79.09774118134941,36.00586571696687
37153000008,5326,-79.63713929155747,34.92336783191003
37165006-89,4950,-79.51684885341088,34.89260249044104
37153000005,1101,-79.78956289853170,34.90468650426533
37165001-16,7523,-79.39424550652924,34.78234654887965
37155000019,4448,-79.35822156198056,34.69136274214648
3703100NPT2,4193,-76.91841986384718,34.78977599131233
3703100NPT1,5237,-76.83408804400135,34.81072010983571
3703100IBSP,392,-76.88540842701813,34.68127561548619
3703100MHD2,4058,-76.75226564611896,34.72580533067612
3703100ABCH,1398,-76.73166761854060,34.68156798494299
3703100MHD1,3259,-76.70622270244355,34.73996841303117
3708500PR07,24663,-79.03845595634529,35.33138899116048
3706100WALL,6933,-77.98167733834221,34.76074143283549
3706100ROSE,2789,-78.03217554107592,34.82811257022050
3706100WARS,5137,-78.09104107783638,34.99593532155166
3716300TURK,1734,-78.18744524704360,34.98548341522876
3706100FAIS,2355,-78.08636125047826,35.08569710596575
3716300GIDD,2243,-78.23401160994828,35.14728816764573
3706100GLIS,1191,-77.87667671471917,35.08444997803073
37165000004,5187,-79.49800269731497,34.72244811886354
37165000003,4378,-79.50479594938805,34.76260478050425
37017000P80,1533,-78.72278381155400,34.78933542602169
37017000P45,783,-78.46658496493588,34.76729888412807
3701700P202,3379,-78.77702608133082,34.57738956880539
37017000P55,848,-78.31450975053451,34.47932381440737
3713300BC21,8747,-77.19264662095054,34.67097291217726
3713300ML23,1754,-77.30369592762499,34.88715605615154
37103000P07,1687,-77.20299464579269,34.89151023425008
3713300NR02,3202,-77.39722198306454,34.75786701959781
37143NICANO,356,-76.47153773514736,36.32282125736165
37035000013,3021,-81.36547734192206,35.73255300000000
371350000NS,3849,-79.06116542610592,35.91696584070706
371350000WW,3999,-79.06357606599276,35.90079958513748
37019000016,5689,-78.51697402279147,33.88111747019587
370190004B2,8717,-78.03998640386058,34.22466479827003
3701900004A,13732,-77.99130656442385,34.14626596959551
37129000W03,2983,-77.94892775263698,34.22062451169086
37129000W26,3960,-77.94473934212085,34.20108474289743
37019000021,6403,-78.06827166021340,34.04543480568130
37019000007,4116,-77.98845559602104,33.96582787327795
37019000017,7259,-78.53788998230685,33.96766273059588
37019000019,6031,-78.56913189307733,33.90645682078654
37019000008,6325,-78.06154782981888,33.93592894948505
37019000020,4976,-78.30907324279315,33.89459622480696
37019000015,8144,-78.43729109165714,33.89671326679232
37153000002,6905,-79.79451782180159,34.97716727177168
37153000001,7460,-79.77814059238874,34.93381645256950
37153000013,1107,-79.73601557761845,35.13890387303874
37165002-25,5096,-79.44422842788464,34.70638531907561
371350000KM,2562,-79.04049847487620,35.87831825826450
37035000031,6123,-81.01252254373171,35.60788048031327
37035000008,3461,-81.20175818895608,35.71057446735380
371350000LC,3363,-79.08791169285479,35.91177394760670
37191000013,2799,-77.90493770002765,35.37177799038053
37191000007,6645,-77.85324200865860,35.42173850332305
37191000001,3542,-78.01546980927925,35.55024022753510
37191001920,4630,-77.98316846974919,35.36362545800566
37191000029,2454,-77.97583456438787,35.38637729315406
37191000012,4852,-77.93081650617408,35.39165661814484
37057000062,3444,-80.07986941877375,35.89020769178912
37057000066,3417,-80.08584011759415,35.87058227399034
37123000LIT,813,-79.84552579005543,35.46211838855120
37055000KDH,7656,-75.64356954806637,36.02785629329643
370550000EL,124,-75.93191798062415,35.83209906116076
