3112300003P,3116100008P
3112300005P,3112300009P
31055002-01,31055002-02
3111100002P,3111100016P
31055004-04,31055004-07
31055007-15,31055007-16
3104500002P,3104500005P
3105100003P,3105100004P
31055007-29,31055007-30
31055005-07,31055005-10
31055006-04,31055006-09
31055004-05,31055004-08
31079000002,31079000007
3110100004P,3110100005P
3110900200P,3110900207P
3112100008P,3112100013P
3104100014P,3104100026P
3109300002P,3112100005P
31153000023,31153000041
3110900090P,3110900326P
3110900150P,3110900152P
3108900010P,3108900011P
3116700003P,3117900004P
3111900001P,3111900011P
3110900191P,3110900317P
31055003-06,31055003-22
3107700004P,3109300001P
3109300008P,3112100010P
31019000019,31019000026
31019000015,31019000019
3109700005P,3109700008P
31079000005,3107900004P
3118500001P,3118500005P
3102700001P,3102700004P
3118500005W,3118500006W
3110900014P,3110900301P
31019000002,31019000003
31055005-31,31055008-53
31055005-18,31153000054
3114300008P,3118500002P
3107700001P,3117500001P
3100100008W,3100100012W
3110900135P,3110900150P
31055004-06,31055004-10
3111900007P,3111900012P
3114100015P,3114100016P
31019000019,31019000028
31055007-04,31055008-17
31055007-15,31055007-18
31153000046,31153000061
3116700008P,3116700012P
3106300006P,3106500001P
31055005-10,31055005-25
31055002-11,31055002-25
3115500004W,311550000W5
3110900322P,3110900323P
3106100003P,3118100001P
3110900034P,3110900035P
31153000048,31153000049
3106300001P,3111100007P
3110900087P,3110900099P
3111900022P,3111900023P
3104700008P,3106300004P
3110900190P,3110900192P
3103500001P,3103500005P
3106500005P,31083008302
3114500005P,3114500006P
3115900008P,3115900010P
3102700001P,3102700003P
31055006-32,31055006-35
3104700005P,3104700010P
3110900197P,3110900216P
31021000002,31021000007
3114100025P,3114100041P
31055005-10,31153000057
3107300002P,3107300003P
3104100010P,3111100009P
3116700013P,3116700016P
3110900163P,3110900164P
3118500001P,3118500003W
3112500007P,3112500008P
3114100026P,3114100027P
3102700001P,3102700002P
3114700002P,3114700006P
3110900050P,3110900051P
3112500001P,3112500002P
31055004-19,31055008-01
31055005-09,31153000031
3109700001P,3109700005P
31055005-32,31055008-47
31055008-08,31055008-10
31055007-13,31055008-19
3106100005P,31083008301
3103700002P,3103700009P
31055003-12,31055003-19
31055003-11,31055004-01
31055006-33,31055008-42
3102500002P,3102500005P
3112100004P,3112100010P
3107900040P,3107900041P
3110900110P,3110900124P
3100300005W,3100300006P
3110900213P,3110900215P
31055005-09,31055005-24
3105300011P,3105300017P
3114700012P,3114700015P
3110900136P,3110900152P
3115700016P,3115700030P
3110900070P,3110900081P
3114700004P,3114700006P
3112100001P,3112100002P
3110900098P,3110900100P
31055001-02,31055002-03
3115700009P,3115700010P
3100100002W,3100100011W
3110900084P,3110900328P
3110900204P,3115100005P
3111100002P,3111100003P
3103100011P,3103100013P
3110900106P,3110900110P
3103900006P,3103900007P
31055005-01,31055005-05
3110900205P,3110900320P
3102500001W,3102500004P
3102500004P,3102500005P
3115700003P,3115700008P
3116300001P,3116300006P
3115700022P,3115700023P
3110900185P,3110900327P
3105300010P,3105300011P
3106700008P,3109700004P
3106500006P,3106500007P
3105300008P,3105300009P
3114500004P,3114500006P
3116900004P,3116900013P
3116700008P,3116700010P
31055003-09,31055003-15
3103900006P,3116700016P
31055003-06,31055003-11
3110100009P,3110100010P
3114100004P,3114100005P
3112300004P,3112300007P
31055002-03,31055002-20
31055008-13,3117700015P
3103500006P,3103500007P
31055004-08,31055008-04
3101700002P,3110300002P
3110900132P,3110900146P
3104300004P,3104300005P
31055007-28,31055007-34
3101100005P,3101100007P
3106100001P,3106100003P
31055008-46,31153000051
3102500001P,3110900195P
3104100010P,3104100015P
31015000001,31015000002
3104700002P,3104700016P
3112100003P,3112100006P
3114100023P,3114100029P
3106700004P,3110900211P
3110900309P,3110900313P
31055002-02,31055002-06
31055006-26,31055007-19
3101100001P,3101100004P
3115500007P,3115500008P
3112100013P,3114300004P
3102700015P,3102700018P
3110900321P,3110900327P
3114500014P,3114500016P
3103300007P,3103300010P
31055008-44,31055008-53
3111900014P,3111900020P
31013001306,31013001311
31079000015,31079000016
31055001-17,31055001-26
3110900080P,3110900084P
31055006-30,31055006-34
3110900072P,3110900074P
3103700003P,3105300005P
31055002-03,31055002-23
3100100006P,3100100015W
31019000004,31019000020
31019000002,31019000020
31055005-03,31055005-23
3114100005P,3114100009P
3104100028P,3104700002P
3110900154P,3110900318P
3110900086P,3110900087P
3105900010P,3116900002P
3110900133P,3110900135P
3110900021P,3110900022P
3117700004P,3117700007W
3100500001P,3110100002P
3117700009P,3117700013P
31055008-13,31055008-57
31055008-12,3117700012P
3102500002P,3102500003P
31055001-07,31055001-08
3115700005P,3115700007P
3110900028P,3110900194P
3100300008P,3111900015P
3117700003W,3117700010P
3102300014P,3114300009P
3110900027P,3110900034P
3109300008P,3112100012P
