GEOID,POP,X,Y
3117900009P,1480,-97.00965676426522,42.23276650492107
3117900013P,1454,-97.02509184525397,42.23079864104466
3117900011P,1480,-96.99939275182118,42.24340258947927
3114700005P,349,-95.84085474372598,40.08759816476203
3114700004P,231,-95.70000949817722,40.21838440635111
3117900012P,1559,-97.02450801960252,42.23869038701962
3110100010P,1164,-101.71500519981208,41.11651586658355
3110100008P,1256,-101.71880060804901,41.15690650000000
3110100006P,284,-101.54249794844277,41.09396750810192
3110100003P,857,-101.37716586364270,41.20856161548603
3118500001P,1096,-97.71259550524645,40.96007178944448
3118500002P,591,-97.48296948810103,41.00303494637276
3118500001W,1152,-97.59031786084100,40.88753050000000
3118500003W,1417,-97.60540332785672,40.88678530339549
3118500004P,1026,-97.45259734212526,40.85036002036399
3118500012P,1348,-97.59719935255153,40.86862244884661
3100500001P,434,-101.69582980130268,41.56890275420709
3110100004P,780,-101.93353640369173,41.13609726307035
3108500001P,232,-101.23331850493651,40.52072590218340
3108500003P,323,-100.94603720142798,40.43459234617593
3112700008P,307,-95.68550649159896,40.30539042744615
3112700009P,971,-95.84501368652924,40.46657426782299
3102900002P,634,-101.65974343265654,40.54456827426218
3112700004P,879,-95.98165189610263,40.34905712579810
3110100001P,454,-101.87624943513411,41.32458612895373
3102900003P,694,-101.42386507940509,40.55047175751664
3109700005P,796,-96.28602608244580,40.32858996094190
3109700007P,2512,-96.15195922448410,40.39324336166894
3102300001W,947,-97.13220317225925,41.25493254754528
3102300008P,651,-97.07734193994531,41.31203557493466
3102300003W,1017,-97.12845246926611,41.26645375763638
3102300002W,937,-97.12319832142792,41.24827783793231
3102300005P,653,-96.96325472511609,41.32978243930963
3102300002P,1249,-97.25833014682546,41.34895350294770
3110100005P,502,-101.70585948704860,41.05987655052149
3118500007P,850,-97.59734437755711,40.74206885126858
3118500004W,1095,-97.59715651050396,40.84626973088901
3118500006P,1047,-97.54009715447430,40.82900700000000
3102300006P,703,-97.31066141488712,41.22111835786262
3112900001P,507,-98.21754681317550,40.21984365407199
3102900007P,880,-101.63205414447656,40.51168333877716
3110100009P,1040,-101.72630414697284,41.14563028538564
3105700002P,561,-101.43397381355051,40.11359122319823
3113100016P,1262,-95.87755017654453,40.67798224607012
3113100011P,813,-95.94208430656785,40.56669381731524
3116900008P,704,-97.59503006957979,40.04552506128486
3112900002P,823,-98.05917815511891,40.20252912084685
3112900003P,304,-97.91538646452106,40.27793788865862
3104900003P,626,-102.16220039834387,41.10429068224884
3117300001P,238,-96.71905805127219,42.24630440527270
3118500005P,1508,-97.76878978153827,40.78555085473555
3117300002P,353,-96.65861641951757,42.20632897055798
3117300006P,302,-96.47033148883401,42.06024183936302
3113100005P,2376,-96.17921558779224,40.65350510889981
3113100021P,1296,-95.85085238139169,40.68418912241349
3113100020P,1328,-95.85051397213999,40.66444337289526
3113100009P,813,-96.29306005732609,40.56642850812663
3117300004P,1297,-96.68728295502832,42.12648822949906
3105700004P,245,-101.94747148495655,40.15961759609952
3105700003P,237,-101.75168120653196,40.16353355626967
3115900014P,1867,-97.10365753396550,40.89222600000000
3115900006P,541,-97.08026997679160,40.91678333545563
3115900004P,1014,-97.31097077894964,40.91636069923589
3115900008P,712,-97.19664469327432,40.87269040352312
3115100005P,922,-96.97085007759904,40.60990842792157
3115100013P,1370,-96.97304170408420,40.62314631753346
3115100015P,1883,-96.94759369657459,40.61916648217071
3115100007P,432,-97.19803304275955,40.43705041744942
3113500002P,1011,-101.70581290359448,40.85122300000000
3113500001P,880,-101.38932381669223,40.84899899669433
3115100001P,627,-97.31895945913833,40.60300316224856
3115700017P,743,-103.80608625808748,41.94177838978931
3105900010P,594,-97.72926429121100,40.42311204507708
3103500011P,330,-98.10323850911615,40.43231060802924
3103500004P,322,-97.99281646123274,40.52461550000000
3115700002P,189,-103.42752975151743,41.72807486176192
3108100008P,603,-97.99994195034577,41.00006504818431
3112100009P,230,-98.06204215133172,41.07891769116135
3108100007P,620,-97.88304342689612,41.05848357561135
3112100011P,500,-98.15173755088482,41.02833451142106
3112100012P,724,-98.23886227229801,40.97669028489224
3108100003P,773,-97.88318747927893,40.87239179683733
3112100008P,470,-98.00114120232099,41.14645134403607
3115900011P,650,-97.08321320556696,40.74109205835348
3103500003P,450,-97.91038688497655,40.58952188424026
3113500003P,967,-101.93340204553986,40.85039264250877
3116900001P,660,-97.74556969014807,40.27073771741470
3116900004P,387,-97.42559754490046,40.21985960997733
3116900002P,537,-97.57619094103023,40.29247833230317
3116900014P,1157,-97.57633423125995,40.12961271678137
3116900007P,915,-97.74571970782362,40.13988082930803
3108100005P,911,-98.21036936810260,40.87833505648709
3108100011P,1572,-97.99470617199488,40.86884527918723
3108100010P,1464,-98.00773684793643,40.86216769904564
3115700001P,385,-103.54127615983572,41.75140403562182
3115700003P,943,-103.51699061187716,41.89782766688438
3105900008P,621,-97.42566935486251,40.48117111183501
3115100012P,820,-97.02739599212360,40.39317530254566
3109700001P,1055,-96.34768283818043,40.46170928943977
3115700028P,1766,-103.66772701872091,41.88130916263017
3110500001P,289,-103.92287040036140,41.19473076133105
3110500003P,370,-103.47062784344425,41.20196160185240
3111500001P,607,-99.45442056754646,41.91384686927339
3115900010P,338,-97.08254005309890,40.82888818013853
3115900009P,505,-97.24884780680176,40.73872293004936
3115100003P,1143,-97.12880267305681,40.60498342704125
3112300003P,52,-102.80683463285642,41.87235129912771
3108100004P,433,-98.04040298191936,40.83479872040162
3108100009P,1494,-98.00911542278368,40.87257047773691
3108100001P,352,-97.93988425506475,40.74190605758567
3108100002P,771,-98.16827554759554,40.75998467941591
3109100001P,711,-101.13533461176526,41.91591259279345
3114700009P,342,-95.45830378421914,40.02508351660115
3112300006P,255,-102.77862525721349,41.58727311310044
3117300009P,1989,-96.44471365514704,42.23457953996108
3103500002P,1078,-98.10846418169490,40.65494107125166
3100700001P,674,-103.71046021773357,41.54593898516760
3103500007P,607,-97.93796400537406,40.39402879560116
3115700019P,896,-103.92454403140144,41.96403767175752
3115700014P,773,-103.96220447288749,41.82426420296478
3115700006P,628,-103.92605785330869,41.97614817567894
3115700011P,1812,-103.65619505423318,41.82652966317584
3115700008P,1198,-103.66071117304141,41.76618270979486
3115700009P,1929,-103.67256191273859,41.83779366505659
3115700016P,605,-103.79894296233843,41.87455245016446
3115700024P,1626,-103.65037246175282,41.85470584905362
3108700004P,948,-100.84376079633709,40.20360375347591
3108700005P,790,-100.99231848488276,40.12495320286513
3115700013P,474,-103.41045818986173,41.88032949422808
3115700020P,148,-103.79153303020773,41.76851325669413
3115700005P,1089,-103.76436954282748,41.95605259651950
3115700027P,1892,-103.67353782505256,41.87047613030871
3115700022P,2241,-103.65216483237093,41.86894085519696
3101700002P,572,-99.74838196896782,42.43661273281025
3114700012P,1270,-95.59953472164179,40.07399037661276
3114700001P,334,-95.95410098558439,40.13023461453407
3117300008P,997,-96.47798180731708,42.14777530985576
3101700003P,712,-99.98999997674933,42.42768848425084
3110500004P,859,-103.66646915798687,41.23168514727144
3110500002P,482,-103.67856442404793,41.19722384042917
3110500005P,1434,-103.65324007088236,41.23068350000000
3108700001P,530,-101.21934729567721,40.15815430865553
3115700018P,805,-103.81395605369168,41.94362630321873
3115700015P,715,-103.50171883942932,41.81101806180738
3116500003P,481,-103.78517596386058,42.15261478606284
3116500001P,654,-103.74772857941613,42.62983351509177
3108300005P,403,-99.46111404825369,40.13269137860743
3108300006P,481,-99.52693202391593,40.12853883323938
3113300002P,393,-96.29316741266763,40.21875408224608
3113300005P,302,-96.35038099053192,40.08812624406587
3113300013P,845,-96.12433296755381,40.04503548370931
3114700018P,924,-95.59756534817815,40.05085100419186
3116100001P,989,-102.67948067753942,42.74995171115621
3114700014P,978,-95.59787782751550,40.06082915764792
3114700008P,462,-95.61565773844897,40.08879445245731
3114700003P,432,-95.53184475885151,40.16495263287498
3103500005P,397,-98.22166800759246,40.48095085086429
3103500001P,414,-98.22174035073606,40.61143942533953
3117300007P,1414,-96.34475100963031,42.09904082950469
