BLOCK,PRECINCT
340010001001000,34001010501
340010001001001,34001010501
340010001001002,34001010501
340010001001003,34001010501
340010001001004,34001010501
340010001001005,34001010501
340010001001006,34001010501
340010001001007,34001010602
340010001001008,34001010501
340010001001009,34001010501
340010001001010,34001010501
340010001001011,34001010501
340010001001012,34001010501
340010001001013,34001010501
340010001001014,34001010501
340010001001015,34001010501
340010001001016,34001010602
340010001001017,34001010602
340010001001018,34001010602
340010001001019,34001010602
340010001001020,34001010602
340010001001021,34001010602
340010001001022,34001010602
340010001001023,34001010501
340010001002000,34001010602
340010001002001,34001010602
340010001002002,34001010602
340010001002003,34001010602
340010001002004,34001010602
340010001002005,34001010602
340010001002006,34001010602
340010001002007,34001010602
340010001002008,34001010602
340010001002009,34001010602
340010001002010,34001010602
340010001002011,34001010602
340010001002012,34001010602
340010001002013,34001010602
340010001002014,34001010602
340010001002015,34001010602
340010001002016,34001010602
340010001002017,34001010602
340010001002018,34001010602
340010001002019,34001010602
340010001002020,34001010602
340010001002021,34001010602
340010001002022,34001010602
340010001002023,34001010602
340010001002024,34001010602
340010001002025,34001010602
340010001002026,34001010602
340010001002027,34001010602
340010001002028,34001010602
340010002001000,34001010601
340010002001001,34001010603
340010002001002,34001010603
340010002001003,34001010603
340010002001004,34001010603
340010002001005,34001010603
340010002001006,34001010603
340010002001007,34001010601
340010002001008,34001010601
340010002001009,34001010603
340010002001010,34001010603
340010002001011,34001010603
340010002001012,34001010603
340010002001013,34001010603
340010002001014,34001010604
340010002001015,34001010604
340010002002000,34001010603
340010002002001,34001010603
340010002002002,34001010604
340010002002003,34001010604
340010002002004,34001010604
340010002002005,34001010603
340010002002006,34001010604
340010002002007,34001010604
340010002002008,34001010604
340010002002009,34001010604
340010002002010,34001010603
340010002002011,34001010603
340010002002012,34001010604
340010002002013,34001010604
340010002002014,34001010604
340010002002015,34001010604
340010002002016,34001010603
340010002002017,34001010604
340010002003000,34001010604
340010002003001,34001010604
340010002003002,34001010604
340010002003003,34001010604
340010002003004,34001010604
340010002003005,34001010604
340010002003006,34001010604
340010002003007,34001010604
340010002003008,34001010604
340010002003009,34001010604
340010002003010,34001010604
340010002003011,34001010604
340010002003012,34001010604
340010002003013,34001010604
340010002003014,34001010604
340010003001000,34001010502
340010003001001,34001010501
340010003001002,34001010501
340010003001003,34001010501
340010003001004,34001010502
340010003001005,34001010502
340010003001006,34001010502
340010003001007,34001010502
340010003001008,34001010502
340010003001009,34001010501
340010003002000,34001010502
340010003002001,34001010502
340010003002002,34001010501
340010003002003,34001010501
340010003002004,34001010501
340010003002005,34001010501
340010003002006,34001010501
340010003002007,34001010501
340010003002008,34001010501
340010003002009,34001010501
340010003002010,34001010501
340010003002011,34001010501
340010003003000,34001010601
340010003003001,34001010601
340010003003002,34001010601
340010003003003,34001010601
340010003003004,34001010601
340010003003005,34001010501
340010003003006,34001010501
340010003003007,34001010501
340010003003008,34001010601
340010003003009,34001010601
340010003003010,34001010601
340010003003011,34001010601
340010003003012,34001010601
340010003003013,34001010501
340010003003014,34001010501
340010004001000,34001010502
340010004001001,34001010502
340010004001002,34001010501
340010004001003,34001010501
340010004001004,34001010501
340010004001005,34001010501
340010004001006,34001010501
340010004001007,34001010501
340010004001008,34001010501
340010004001009,34001010502
340010004001010,34001010501
340010004001011,34001010601
340010004001012,34001010601
