GEOID,POP,X,Y
320019501001,1015,-118.10996268475559,39.59404868131038
320019501002,1449,-118.62528677926126,39.24760340999569
320019503011,859,-118.77369724865163,39.47169027702994
320019503012,1550,-118.76663124760796,39.48087045708109
320019503013,1741,-118.76925647075146,39.46614253926322
320019503021,1665,-118.79203646956555,39.46644213345105
320019503022,789,-118.78622137619689,39.47214894087868
320019503023,1540,-118.78734553618106,39.48236095438403
320019503024,608,-118.77945921201908,39.46811618170443
320019503025,924,-118.78973275028531,39.47695881723583
320019504001,291,-118.70422101468276,39.42222014556035
320019505001,886,-118.63124275300493,39.54896720087783
320019505002,641,-118.70752446830959,39.60614058780752
320019506001,2059,-118.97149986735356,39.79539429249319
320019506002,1909,-118.81045381815341,39.56455358313725
320019506003,1768,-118.79534414867280,39.49231735039128
320019507001,1648,-118.84821050084412,39.28765313553208
320019507002,1500,-118.81621616538938,39.46979548111707
320019507003,937,-119.01716063054050,39.49775398309907
320019507004,1737,-118.83550911201890,39.46363864901932
320030001011,1293,-115.18418029609488,36.17814246719459
320030001012,1765,-115.19976461995159,36.17762648985052
320030001013,644,-115.19791045159369,36.18470946525328
320030001014,2062,-115.18589216539411,36.18424623862523
320030001015,905,-115.18125650158601,36.18590941269774
320030001031,1064,-115.23732329533021,36.16480767197916
320030001032,1299,-115.22854369349631,36.16469539723978
320030001033,2225,-115.23794382946312,36.16129436054155
320030001034,1329,-115.22870426903481,36.16107520738273
320030001051,1088,-115.19876318259905,36.17052659799448
320030001052,1722,-115.19920978316871,36.16490771290236
320030001053,1152,-115.19933819941045,36.16114646723560
320030001061,1132,-115.21097868569737,36.16818602892380
320030001062,2438,-115.21959496079236,36.17015366209528
320030001063,957,-115.21044598453199,36.17187591968248
320030001071,1654,-115.21491038975694,36.16465250341692
320030001072,2355,-115.21489615561183,36.16116035874412
320030001081,1407,-115.20814774760028,36.17709890683704
320030001082,2341,-115.21059344691706,36.18458173514115
320030001091,1107,-115.21741396808497,36.17542152631689
320030001092,861,-115.21233219963538,36.17858980666321
320030001093,1623,-115.21948827461013,36.17889328488106
320030002011,2396,-115.17436242296847,36.18475206904677
320030002012,1207,-115.17384387341619,36.17922912357551
320030002013,1184,-115.16579177497788,36.18178009979734
320030002031,1388,-115.16818062334202,36.17353859516124
320030002032,786,-115.16891065733132,36.16852458588777
320030002033,449,-115.16675664582374,36.16258198593496
320030002034,1364,-115.16310601412674,36.16985653453548
320030002041,409,-115.16702236423791,36.15635663733494
320030002042,545,-115.16659788831677,36.15058501408900
320030003011,1899,-115.14740032487835,36.19211170083388
320030003012,140,-115.15391179200678,36.17112420220889
320030003013,957,-115.14663360341865,36.18473332289204
320030003021,1033,-115.16530330564464,36.19209452529923
320030003022,1427,-115.15569816161184,36.18779587170599
320030003023,687,-115.15649948837843,36.18302691534206
320030003024,1147,-115.15705539091007,36.19267081578097
320030003025,894,-115.15607233337288,36.17924110322684
320030004011,666,-115.13890904251214,36.17862199458100
320030004012,1797,-115.13762544003779,36.18475671259966
320030004021,1477,-115.12968994488185,36.18241402915304
320030004022,624,-115.12717591977098,36.17553916332628
320030004023,1164,-115.13335047488789,36.17555696246737
320030004031,786,-115.13254982507982,36.17155565317966
320030004032,691,-115.12709665274231,36.17252694103656
320030004033,839,-115.12759752035264,36.16886956619335
320030005101,997,-115.12260100286993,36.18243539406436
320030005102,1741,-115.11832839041247,36.18482475310416
320030005103,1410,-115.12255578642232,36.17687389870698
320030005104,1126,-115.11807130005000,36.17799618326988
320030005131,1935,-115.07261318555510,36.18697422208751
320030005132,1040,-115.07490606105259,36.18278113174978
320030005133,691,-115.06627018137257,36.18425056940848
320030005141,893,-115.09658244071157,36.17533485720152
320030005142,1415,-115.08729638725227,36.17902024165501
320030005143,1687,-115.08505992842689,36.17530784109741
320030005144,791,-115.10107047183249,36.17773671779381
320030005145,1064,-115.09230425331235,36.17534445863836
320030005151,1655,-115.07630747789764,36.17874928836113
320030005152,1279,-115.06668689706370,36.17945897589918
320030005153,1039,-115.06880847075270,36.17615334140037
320030005154,1102,-115.07759031190822,36.17504082172631
320030005161,1819,-115.08495703900759,36.16799214454169
320030005162,1217,-115.08483272518140,36.17159697436710
320030005163,1142,-115.09153701723167,36.17049318094850
320030005164,1617,-115.09936427030783,36.16966162565603
320030005171,1297,-115.07586106173784,36.17183099317301
320030005172,1716,-115.06599962331856,36.17128943498047
320030005173,1311,-115.07585500146014,36.16820126143494
320030005174,933,-115.06796306529277,36.16829068763659
320030005181,749,-115.10186145306369,36.16253449095142
320030005182,935,-115.09502286353784,36.16290232758000
320030005183,1842,-115.08951451557013,36.16279491667955
320030005184,1694,-115.08314480005326,36.16278848738920
320030005185,448,-115.09603633895955,36.16051950331214
320030005191,977,-115.07786155828403,36.16252171290968
320030005192,863,-115.07383656384388,36.16390472997210
320030005193,1866,-115.06640241210879,36.16306611211764
320030005194,1449,-115.07147816494489,36.16041240293345
320030005201,1123,-115.12286814540271,36.17091330020347
320030005202,855,-115.11833543708595,36.17085176698416
320030005211,829,-115.12236576085841,36.16058509376150
320030005212,1133,-115.12278878076111,36.16519261394181
320030005213,875,-115.11804502287332,36.16119814693661
320030005214,1121,-115.11813288985185,36.16547960716118
320030005221,803,-115.10870751434526,36.17185960145039
320030005222,1305,-115.11073767800339,36.16897012402683
320030005223,1098,-115.11391371907969,36.17201359683325
320030005231,1937,-115.10994525000133,36.16213103227848
320030005232,911,-115.11229032662499,36.16578187684452
320030005241,743,-115.11141456749831,36.17924289456266
320030005242,713,-115.11412657526790,36.17569832664377
320030005243,1021,-115.10897531510867,36.17556659152136
320030005251,1149,-115.11392491434101,36.18574801491358
320030005252,679,-115.11078840724647,36.18208707273230
320030005253,1034,-115.10988021790602,36.18538208711898
320030005261,1364,-115.10243361365974,36.18640041105322
320030005262,1497,-115.10307477398123,36.18286246034967
320030005271,997,-115.08516646387554,36.18188416553479
320030005272,1572,-115.09599554893572,36.18455220299863
320030005273,982,-115.09183646429270,36.18401641287711
320030005281,578,-115.08340250844404,36.18365416521996
320030005282,954,-115.08884061909650,36.18611867425011
320030005283,1585,-115.08340551605903,36.18654971217538
320030006001,1378,-115.12765948592086,36.16432694199461
320030006002,1266,-115.13037934993912,36.16111855161215
320030007001,1174,-115.14754570858004,36.16940447445737
320030007002,23,-115.14415045640601,36.16759620736534
320030007003,561,-115.14124012502793,36.17255979301567
320030007004,1112,-115.13513816009323,36.16761929919949
320030010031,1086,-115.22106441835544,36.15166889462698
320030010032,1789,-115.21200072610741,36.15565933098685
320030010033,1336,-115.21247125291877,36.14815642808636
320030010041,1390,-115.20357922791760,36.15521112732167
320030010042,1110,-115.19524072704300,36.15540230090964
320030010043,788,-115.18847368060568,36.15531051777332
320030010044,1610,-115.20397804658093,36.14816737977648
320030010045,1229,-115.19701609845073,36.14809016778772
320030010046,693,-115.19249648508412,36.14816991363301
320030010051,933,-115.18298497290004,36.17080519497946
320030010052,595,-115.18260327745234,36.16261330636414
320030010061,765,-115.18002276310050,36.15638965439385
320030010062,1357,-115.18615991779869,36.14889002270327
320030010063,1810,-115.17765739755572,36.14912740669352
320030011001,490,-115.15437074439733,36.15514222074875
320030011002,856,-115.15714007330236,36.14913933469037
320030011003,1608,-115.16106640093864,36.14636617268919
320030012001,717,-115.14424194329509,36.15528830550780
320030012002,1366,-115.14411996331336,36.14697167378280
320030012003,1972,-115.15102210462605,36.14948611511432
320030013001,676,-115.13043693451792,36.15584052983656
320030013002,923,-115.13028531004943,36.14870319966390
320030013003,1203,-115.13574877874505,36.14807560615163
320030013004,943,-115.13822954965312,36.15225946819986
320030013005,879,-115.13646888916261,36.15645057994308
320030014011,1780,-115.11648089240002,36.15520685523625
320030014012,1644,-115.12405287044869,36.15481879057530
320030014021,978,-115.11474831802224,36.14996854264007
320030014022,1113,-115.12128374090386,36.14654320119092
320030014023,1114,-115.12331629845981,36.15031014035838
320030014024,887,-115.10809822487670,36.14711642835952
320030015011,1142,-115.11095767450573,36.15737519969795
320030015012,1049,-115.10484038505129,36.15222526961026
320030015013,1204,-115.10419031997614,36.15720678743566
320030015021,1625,-115.09630905269626,36.14904477485958
320030015022,1143,-115.09640311190837,36.15724008287606
320030015023,895,-115.09631982085203,36.15369355744055
320030015024,487,-115.09637949709918,36.14537912760862
320030016071,1561,-115.07058955055010,36.11930699999999
320030016072,2171,-115.07421000527209,36.12716801325718
320030016073,920,-115.06862972358584,36.12466797195336
320030016074,1897,-115.06790867199722,36.12050816708117
320030016081,1090,-115.08606471867547,36.13639436668284
320030016082,900,-115.09069845161987,36.14210837419608
320030016091,765,-115.08606684869764,36.15730147817025
320030016092,1016,-115.08720540154896,36.15377644867174
320030016093,1380,-115.08535514484109,36.14806855862634
320030016094,1102,-115.08948148521161,36.14841445369898
320030016101,1442,-115.07819058681032,36.15473028510697
320030016102,1510,-115.07865138583273,36.14776641911480
320030016111,2110,-115.06658401357558,36.15576035471668
320030016112,1806,-115.06984901294915,36.14812745096479
320030016113,875,-115.07217151160198,36.15549044972241
320030016131,1489,-115.08021757603886,36.13346337420744
320030016132,1810,-115.06985276209629,36.13327859677236
320030016133,910,-115.07601670163960,36.13320039250900
320030016141,639,-115.08081744879017,36.13982361781793
320030016142,1699,-115.07639770551101,36.13963657779439
320030016151,1355,-115.06777487715304,36.13983830735160
320030016152,1759,-115.07388033863347,36.14334848125002
320030016153,1649,-115.07199474264063,36.13944763013539
320030017061,1787,-115.11056869561597,36.11853040559257
320030017062,1569,-115.09710641206816,36.11910245067299
320030017071,1792,-115.11212130935824,36.12606341023135
320030017081,1977,-115.10160695795652,36.12638571675870
320030017082,1456,-115.09518326255295,36.12554343381549
320030017091,1715,-115.08803480968487,36.12126761259245
320030017101,2876,-115.08128438476061,36.12388784378773
320030017102,1918,-115.07545584150766,36.11709574468254
320030017111,2146,-115.10995139418696,36.11311988794248
320030017112,1294,-115.11674834059029,36.10553428838679
320030017121,2070,-115.11220678126446,36.10547700000000
320030017122,2186,-115.10538967412182,36.10378422309566
320030017131,1590,-115.08717800841642,36.11144778194275
320030017132,1724,-115.08708077481073,36.10391362401056
320030017141,1729,-115.07813054047857,36.11129808834156
320030017142,1773,-115.07784040557429,36.10396801939591
320030017151,1037,-115.07086309162563,36.10521902529942
320030017152,1648,-115.06749271854599,36.10315180877234
320030017161,1689,-115.06777507583652,36.11090275005864
320030017171,1542,-115.09627246654821,36.10770001436326
320030017181,1742,-115.06186764392450,36.10365429087027
320030017182,1438,-115.05668683598982,36.10348498435039
320030018011,1426,-115.10240715378970,36.13942803000545
320030018012,1815,-115.09717926053125,36.13808346329847
320030018013,843,-115.08912534285986,36.13269265916124
320030018014,1509,-115.09478944184880,36.13258193987799
320030018015,1168,-115.10122535279436,36.13242223653076
320030018031,1173,-115.11523296279431,36.13401467324210
320030018032,1716,-115.10937403812325,36.13293790351482
320030018041,1228,-115.10763987148643,36.14072185152045
320030018042,1308,-115.11426059720112,36.13886296294037
320030018043,1224,-115.11431925094683,36.14254556112128
320030019011,1641,-115.12807953072004,36.14186468913103
320030019012,844,-115.12306150609973,36.14032697572485
320030019013,1576,-115.13326512002045,36.14267559657125
320030019014,1188,-115.13283375740211,36.13853345527509
320030019021,1942,-115.13257400618326,36.13383180195470
320030019022,1070,-115.12302325295333,36.13543087101962
320030019023,1219,-115.12515004724962,36.13158018950741
320030020001,2279,-115.15145946329827,36.13630603684761
320030020002,1468,-115.14577415982204,36.13658249232639
320030020003,1137,-115.13829263513514,36.13708800000000
320030022011,1488,-115.17785425912906,36.14191614954548
320030022012,1305,-115.18280577742509,36.14063405710619
320030022013,1973,-115.18105975467658,36.13496087958724
320030022031,1345,-115.20210364751530,36.14075413531623
320030022032,974,-115.19525330168150,36.14289327710092
320030022033,2266,-115.20635529550395,36.14012252107614
320030022041,1041,-115.19756271471559,36.13811729050914
320030022042,761,-115.19494227025092,36.13552478858738
320030022043,1241,-115.19512711317552,36.14000150901978
320030022044,1245,-115.19251033370784,36.13812853292968
320030022061,1460,-115.19470893788565,36.13006909012788
320030022062,1884,-115.20287803298859,36.12927796957713
320030022071,1804,-115.20343295359349,36.13450041587215
320030022072,1442,-115.20232130011296,36.13640487530251
320030022073,620,-115.20566414512136,36.13181274854272
320030023021,757,-115.16413143424211,36.13176457558184
320030023031,1025,-115.15747369967281,36.13933896867314
320030024031,1504,-115.14807245904770,36.12388374339931
320030024032,1762,-115.15285063487376,36.12302885038809
320030024033,0,-115.15038996918884,36.12816594999877
320030024034,1347,-115.15175532091959,36.12562283525128
320030024041,1505,-115.14314459866254,36.12529623164450
320030024042,291,-115.14374704652150,36.12834159561113
320030024043,1206,-115.13944567634279,36.12454047384819
320030024044,1428,-115.13922845726655,36.12833865478653
320030024045,1396,-115.14462124274307,36.12377485149001
320030024051,1778,-115.15173617810619,36.11744795523648
320030024052,1255,-115.14849719763500,36.11771502500081
320030024053,1200,-115.14832833947219,36.12010300795586
320030024061,967,-115.14415312244870,36.11699504909242
320030024062,2956,-115.14093662292549,36.11904991721465
320030025011,1268,-115.12814151458552,36.12516592677249
320030025012,3531,-115.13358538849694,36.11774138128349
320030025013,1311,-115.12435641874079,36.11754712422724
320030025041,1500,-115.13369708665614,36.10523378338654
320030025042,1105,-115.12955820868915,36.10341263303243
320030025043,1215,-115.12286755030931,36.10381739559438
320030025051,804,-115.12600074751737,36.10925615891050
320030025052,1322,-115.12299814383380,36.11166504138977
320030025061,1293,-115.13530781112269,36.11119099128399
320030025062,820,-115.13077113640604,36.11287713448991
320030025063,1431,-115.13059432405326,36.10933651070987
320030026031,58,-115.14348447116971,36.10958108111209
320030026032,1170,-115.14626991493247,36.10601174011369
320030026033,2369,-115.14092692055551,36.11311399230321
320030026041,0,-115.15434543628012,36.10902835252698
320030026042,1661,-115.16013672017851,36.10404083259068
320030026043,859,-115.15405932385092,36.10476367441819
320030026051,16,-115.16191869464012,36.10971860873669
320030026052,1364,-115.15825230548823,36.11189835197757
320030027061,1113,-115.13462963316505,36.09912184656333
320030027062,1757,-115.12348683204492,36.09865941825169
320030027063,998,-115.13016120321288,36.09909985168213
320030027071,1172,-115.12582728160567,36.09171913103947
320030027072,1096,-115.12283347797444,36.08576375215073
320030027073,1727,-115.12570545896102,36.09519705856020
320030027081,1401,-115.13460854855656,36.09545968779654
320030027082,1353,-115.13459059998586,36.09128515546131
320030028081,1369,-115.11143744508099,36.06078224722183
320030028082,786,-115.09875783406008,36.06590536763183
320030028101,1821,-115.17649543691127,36.03190819384704
320030028102,1725,-115.17658792060007,36.03926100311620
320030028111,1306,-115.12284762624743,36.03780748936276
320030028112,2832,-115.12643815388374,36.03230129341484
320030028141,2193,-115.13206659454953,36.02043683642670
320030028142,1735,-115.12321334579707,36.01512525887295
320030028143,1289,-115.12323023382798,36.02066780698934
320030028211,1635,-115.08689731676370,36.07829335109368
320030028212,2408,-115.07790052680149,36.08055308460997
320030028213,901,-115.07704233135087,36.07319994527572
320030028221,2182,-115.07360350026907,36.09754384083132
320030028222,1856,-115.06743893953379,36.09315188507752
320030028231,1717,-115.10572403696574,36.09460151027400
320030028232,1113,-115.11444586621505,36.09826372993268
320030028233,1028,-115.10537284370096,36.09785134638743
320030028241,801,-115.11435987142147,36.09143422167743
320030028242,899,-115.10536085713879,36.08988101261170
320030028251,1743,-115.09629570323987,36.09671504402215
320030028252,1581,-115.09615683145552,36.08965473299695
320030028261,1403,-115.08713503383477,36.09734431028255
320030028262,1624,-115.08634970920120,36.09042909276082
320030028271,1289,-115.07944966279392,36.09112651061473
320030028272,1633,-115.07292241986387,36.08852343321108
320030028281,3583,-115.16335806778174,36.03343395513853
320030028291,1031,-115.14669878183467,36.03419548982669
320030028292,855,-115.15241284032264,36.03259736191766
320030028293,723,-115.14911548455882,36.03238412196494
320030028294,981,-115.15069200078406,36.04005977423189
320030028301,1154,-115.14297043478707,36.03890271220668
320030028302,1151,-115.13715093274615,36.03889625514872
320030028303,2888,-115.13801609318027,36.03146191751552
320030028311,4246,-115.17659506197863,36.02101149561137
320030028331,2790,-115.14980585514874,36.02435089608597
320030028332,2396,-115.14073255648933,36.02430663868541
320030028341,793,-115.13862898450284,36.01731453606910
320030028342,1443,-115.14290759153980,36.01660043235809
320030028343,2997,-115.15004923258749,36.01690443008587
320030028351,1626,-115.15019440928261,36.01146948108399
320030028352,1161,-115.15029333757184,36.00810167882953
320030028361,869,-115.14126119171614,36.01155349951177
320030028362,1947,-115.14125846312309,36.00812246853446
320030028371,1052,-115.16959699764311,36.04978063087329
320030028372,1142,-115.15437016203380,36.04965032126228
320030028373,809,-115.14759333906615,36.04608891263610
320030028374,1228,-115.14199262231712,36.04565177726578
320030028375,1692,-115.14532810863194,36.05348590778509
320030028381,1099,-115.12385483834184,36.04571086171802
320030028382,1122,-115.13415487096989,36.04695870383856
320030028383,1517,-115.13408573424903,36.05367036921564
320030028384,1754,-115.12294281241745,36.05346141118111
320030028411,4302,-115.16989704233839,35.99711498149685
320030028412,1209,-115.15928337886993,36.00019512813058
320030028421,3064,-115.17433325439724,35.97243276074007
320030028422,2073,-115.16001373871100,35.97788828773463
320030028423,1612,-115.16819105036292,35.97922702736074
320030028441,4090,-115.14364378249897,36.00279498477198
320030028442,1835,-115.15262796977407,36.00295253807271
320030028451,4422,-115.12805505341463,36.00266940001057
