GEOID,POP,X,Y
440010301001,1555,-71.33546018865010,41.75489351171092
440010301002,867,-71.33584543251095,41.74093521196197
440010301003,1287,-71.34976187634939,41.73719570026122
440010301004,1092,-71.34657941529537,41.75182205092258
440010302001,1161,-71.32482454528107,41.75976897035902
440010302002,1377,-71.32305940069035,41.74354961625463
440010302003,1042,-71.31051542405744,41.74099447277901
440010303001,1426,-71.29087875281741,41.74937803373268
440010303002,1787,-71.30136133632162,41.75142508925923
440010303003,1562,-71.31041921264622,41.76251822394816
440010304001,1154,-71.29073749911657,41.72457500000000
440010304002,1636,-71.30198057024087,41.71744973345189
440010304003,1207,-71.32394778190073,41.71515909420766
440010305001,829,-71.28212229886390,41.73529911701474
440010305002,1192,-71.27539196565495,41.72848083213098
440010305003,1453,-71.28565839285514,41.73028984276129
440010306011,931,-71.27256979437024,41.74547354885220
440010306012,1365,-71.25706914470618,41.73394324591314
440010306013,1257,-71.23687029843622,41.71039163570195
440010306021,1191,-71.27004920285221,41.72426067791941
440010306022,1000,-71.26301373809379,41.71707508368058
440010306023,1306,-71.27488497054250,41.71666474529577
440010306024,623,-71.28570086567427,41.71614874937210
440010307001,927,-71.27209677676026,41.67609092092836
440010307002,999,-71.27090600155135,41.67329373896763
440010307003,811,-71.27046127732270,41.66945871313006
440010307004,1115,-71.27836612533349,41.67110187207899
440010308001,2034,-71.26347896476121,41.67105283449146
440010308002,786,-71.27119773672884,41.65330530432341
440010308003,2770,-71.24540539755203,41.66192779131819
440010309011,1897,-71.25779644137324,41.70760329286896
440010309012,2680,-71.24998687047781,41.69442575434925
440010309013,1508,-71.23788233703557,41.68322156264482
440010309021,1385,-71.27266039654643,41.70248356837223
440010309022,1812,-71.29232460805638,41.70012067078358
440010309023,1299,-71.30219537762103,41.66980656972058
440010309024,2470,-71.27051277051982,41.68550512193221
440030201011,2593,-71.50800349238860,41.67968152632494
440030201012,1555,-71.51586835189698,41.66765982181386
440030201013,1219,-71.51793455625400,41.67853299801541
440030201014,1490,-71.52630042805981,41.67628578813019
440030201021,1604,-71.50558920181585,41.69071178660622
440030201022,1378,-71.52503708486260,41.68636314018357
440030201023,2066,-71.51531370535922,41.69036539381977
440030202001,1774,-71.51439308013541,41.71224982913493
440030202002,1432,-71.51934571706686,41.70179050433732
440030202003,1906,-71.52833740262203,41.69187900685891
440030203001,863,-71.52990733112031,41.71710995968499
440030203002,1594,-71.52668533644450,41.71153040793796
440030203003,1281,-71.52720628497924,41.70656821594093
440030203004,1079,-71.52687401366512,41.70286946315286
440030203005,1401,-71.53071982101321,41.70061962433965
440030204001,714,-71.52029804611512,41.72669660155559
440030204002,921,-71.52365914890186,41.71940514212022
440030204003,1628,-71.52887569704930,41.72634040180358
440030205001,1502,-71.50018103783653,41.72818160498647
