GEOID,POP,X,Y
440010301001000,19,-71.33315330070420,41.76514873587271
440010301001001,12,-71.33227133059579,41.76500337065038
440010301001002,25,-71.33250699093414,41.76445303345417
440010301001003,36,-71.33286324244128,41.76387103619646
440010301001004,25,-71.33444602064525,41.76424923650837
440010301001005,58,-71.33399602221141,41.76100910402127
440010301001006,24,-71.33362756532451,41.76324861063254
440010301001007,33,-71.33479302660925,41.76293319711708
440010301001008,23,-71.33589306206531,41.76320462186764
440010301001009,103,-71.33781046972696,41.75939204758272
440010301001010,23,-71.33671203203954,41.75875856044213
440010301001011,25,-71.33381652716828,41.75798421087462
440010301001012,44,-71.33690909123182,41.75633446851480
440010301001013,16,-71.33617070245816,41.75543408252203
440010301001014,26,-71.33592701528890,41.75629523359031
440010301001015,46,-71.33380885429234,41.75650807966690
440010301001016,46,-71.33182473935550,41.75647669176636
440010301001017,23,-71.33108308185271,41.75500948423743
440010301001018,14,-71.33199419763618,41.75493231707814
440010301001019,22,-71.33289516284674,41.75489031744995
440010301001020,29,-71.33384427906984,41.75491009387903
440010301001021,15,-71.33479684572548,41.75496224870737
440010301001022,39,-71.33300294238619,41.75404773440242
440010301001023,0,-71.33644618986679,41.75315445485982
440010301001024,42,-71.33900270696340,41.75428500117230
440010301001025,93,-71.33508309628770,41.75204600000000
440010301001026,23,-71.33388952145926,41.75182590703866
440010301001027,20,-71.33412562768923,41.75319946617714
440010301001028,40,-71.33159597069302,41.75267090936131
440010301001029,42,-71.33160228816385,41.75182363006223
440010301001030,44,-71.33376467663530,41.75255685191035
440010301001031,167,-71.33344180097575,41.74882362077434
440010301001032,29,-71.33630293036896,41.75018097376951
440010301001033,39,-71.33646523165652,41.74811317129475
440010301001034,26,-71.33855141820584,41.75130856076802
440010301001035,33,-71.33718267946217,41.75023424647872
440010301001036,27,-71.33797228123602,41.75029336899039
440010301001037,20,-71.33868976681606,41.75034980715122
440010301001038,12,-71.33941993251045,41.75039085171078
440010301001039,0,-71.34020567809823,41.75044597203146
440010301001040,120,-71.33946255720322,41.74826441614608
440010301001041,52,-71.33741129951959,41.74820167556238
440010301002000,0,-71.33276571118978,41.74468437244260
440010301002001,48,-71.33492288621397,41.74507250000000
440010301002002,51,-71.33626663842259,41.74606198922975
440010301002003,31,-71.33762290653374,41.74614102299118
440010301002004,43,-71.33853635617284,41.74583286620299
