GEOID,POP,X,Y
44001030100,4801,-71.34425945127019,41.74363182301338
44001030200,3580,-71.32092058736953,41.75076874007292
44001030300,4775,-71.30232410420909,41.75569046772456
44001030400,3997,-71.31731834676866,41.71666330272919
44001030500,3474,-71.28119115774520,41.73143062471308
44001030601,3553,-71.25100796181907,41.72468594093545
44001030602,4120,-71.27454927224898,41.71851237537045
44001030700,3852,-71.27506209515364,41.67180210630045
44001030800,5590,-71.25332799786567,41.66061891020993
44001030901,6085,-71.24533506704864,41.69126933510643
44001030902,6966,-71.29515663442869,41.67844821108881
44003020101,6857,-71.51594345658806,41.67306762597390
44003020102,5048,-71.51444001013031,41.68948703944567
44003020200,5112,-71.52063413318345,41.70242644592533
44003020300,6218,-71.52826049462197,41.70911246483123
44003020400,3263,-71.52546767329855,41.72438412837730
44003020500,4514,-71.50266441529321,41.72303150950766
44003020601,6431,-71.55394538909509,41.71591770570911
44003020602,3512,-71.57399382381763,41.69123455758395
44003020603,6791,-71.55838165951630,41.67148270669878
44003020604,5441,-71.54458088102727,41.69451460696236
44003020701,1894,-71.74238993016272,41.69134875621329
44003020702,4595,-71.65764847788246,41.69060868029516
44003020703,7024,-71.60445774337151,41.70262536033825
44003020800,6528,-71.66685359794006,41.62917091488869
44003020901,3591,-71.45705453666474,41.65461274322713
44003020903,6876,-71.51737809646359,41.63301068058637
44003020904,3845,-71.47883982827398,41.64186221248393
44003021001,2421,-71.41327822602690,41.75941271425518
44003021002,4686,-71.39380920401484,41.75716996967883
44003021100,5380,-71.43332028095089,41.74320167761277
44003021200,3657,-71.41311569811182,41.74722687888078
44003021300,4624,-71.38792645432291,41.73957618772721
44003021401,4063,-71.40987720277505,41.72211130751374
44003021402,3882,-71.39581241626090,41.72480072542425
44003021501,3399,-71.36745709247151,41.72116009854967
44003021502,4212,-71.35619305022828,41.69767451791896
44003021600,1570,-71.37890650189024,41.67401602270854
44003021700,4927,-71.39996862674307,41.69248967662264
44003021800,4075,-71.39578675154223,41.70889218943820
44003021901,3152,-71.44159101761851,41.70732563826101
44003021902,2678,-71.42347855345898,41.71088238939831
44003021903,3888,-71.41757071456679,41.68751946051225
44003022000,3447,-71.44383096330314,41.68603489523348
44003022100,5588,-71.46399561454911,41.71433424704708
44003022201,6679,-71.46589519863575,41.67889478186376
44003022202,3912,-71.48839126257492,41.68620675777602
44003022300,4300,-71.49248841362746,41.71385550000000
44003022400,2283,-71.42671140667208,41.65829811762075
44003980000,0,-71.42858895496420,41.72282816271650
44005040101,4974,-71.23334414437285,41.63422852108088
44005040102,5968,-71.24403447710543,41.56115017858095
44005040104,5056,-71.27625811430448,41.57001910238100
44005040105,1873,-71.31154031815166,41.61950402324550
44005040200,1612,-71.31146544672119,41.54130259704912
44005040302,2615,-71.29834908212962,41.51120673578802
44005040303,3348,-71.29918595849732,41.54306209158532
44005040304,3340,-71.28424711887421,41.53426641831310
44005040400,6160,-71.26294791983700,41.50427052177027
44005040500,4409,-71.31274302458043,41.50743337906072
44005040600,4750,-71.30693510309980,41.49864791476677
44005040700,3210,-71.29899877456846,41.49227448339422
44005040800,2656,-71.30310845112373,41.48145594353803
44005040900,4896,-71.33177996283972,41.46366392337118
44005041000,2029,-71.31712388249025,41.48156139502017
44005041100,1479,-71.32784286886306,41.49196984259935
44005041200,1734,-71.32541839222910,41.51410202735406
44005041300,5559,-71.37723975753114,41.51078021485795
44005041400,3616,-71.16622806982630,41.51221604825166
44005041601,3155,-71.19125717905342,41.66714601966228
44005041602,4654,-71.20048818901004,41.64146523533523
44005041701,3346,-71.16288927343584,41.64311386797998
44005041702,5204,-71.17496919856409,41.58666683621153
44005990000,0,-71.22377159721304,41.49907500000000
44007000101,4571,-71.38860101283841,41.79276277211149
44007000102,5527,-71.41216974296005,41.78387832793865
44007000200,6957,-71.41900822206104,41.79423594510641
44007000301,2613,-71.42771640610830,41.80298973298660
44007000302,4728,-71.42258482555791,41.80403600004896
