GEOID,POP,X,Y
460039736001,961,-98.52351419591625,43.69828005803566
460039736002,692,-98.45476935540579,43.58719860563926
460039736003,1094,-98.59844543491756,43.76146034367925
460059566001,897,-98.07146100643780,44.27413924744346
460059566002,1065,-98.03114818972098,44.50402980114985
460059567001,1010,-98.47462488906895,44.52095401902969
460059567002,987,-98.49925654185478,44.31103328237003
460059568001,1109,-98.24349070175251,44.39164007160566
460059568002,758,-98.20550648839492,44.37592347043515
460059569001,829,-98.20641037664849,44.36145088478182
460059569002,1192,-98.21998307839735,44.36309443431121
460059569003,1144,-98.21513706758267,44.35846813980698
460059570001,907,-98.21663272386164,44.35076715693960
460059570002,1015,-98.22425636542575,44.35327150699916
460059570003,1103,-98.24110006236407,44.36332731130018
460059570004,1956,-98.26944647833005,44.33519061800027
460059570005,1333,-98.22506616898063,44.34554893392532
460059571001,1814,-98.18283335829648,44.32168470644702
460059571002,1154,-98.20079267957364,44.35387544291378
460059571003,876,-98.21083889304082,44.35252975484030
460079410001,717,-101.74192987338392,43.17956710730424
460079410002,803,-101.71142602369844,43.17857331282024
460079412001,680,-101.62872972128412,43.29940622591999
460079412002,1181,-101.68928979650524,43.11790471079992
460099676001,1055,-97.75434511572080,43.11874708018819
460099676002,1414,-97.75854353650224,43.01626169653353
460099676003,963,-97.74895475090398,42.90917285291521
460099677001,1212,-97.98502156204812,43.04761156260973
460099677002,2359,-98.00643541310556,42.85464670183978
460119586001,1496,-96.60439615796406,44.46370095717266
460119586002,679,-96.61436905873428,44.34063748124812
460119586003,1422,-96.64915113735665,44.24459566269381
460119586004,903,-96.49972409794081,44.25396425324415
460119587001,1138,-97.02746954949626,44.39901630518497
460119587002,899,-96.86000451204934,44.45796803398247
460119587003,2173,-96.92842751860675,44.31871372508075
460119587004,1156,-96.94296236191354,44.24157131117170
460119588031,1905,-96.80854456817603,44.26812362742605
460119588032,1473,-96.79363085008561,44.28978516476163
460119588033,2299,-96.81378503633070,44.28986997561810
460119588041,1056,-96.79145995523157,44.31091502533391
460119588042,865,-96.79590042892835,44.31538336700763
460119588043,345,-96.80165503365629,44.30934746979894
460119588044,443,-96.80407664997632,44.31416649836283
460119588051,531,-96.82516406274999,44.30418891042250
460119588052,1246,-96.79381397917500,44.30137284841838
460119588053,2072,-96.81934712301602,44.34158296132843
460119589001,805,-96.78270870582121,44.31025344068881
460119589002,1895,-96.78341832097011,44.31677551784299
460119589003,1606,-96.76741609414911,44.30565173039300
460119589004,719,-96.78294417908198,44.30558105294799
460119589005,1446,-96.77333104331763,44.33986056195663
460119590001,1242,-96.77973494549022,44.29984299123585
460119590002,1764,-96.76774417017720,44.29025212393063
460119590003,2797,-96.77455950949125,44.27122581000848
460139513001,1034,-98.48655859391715,45.48365749721383
460139513002,2122,-98.54665358800185,45.49147845341570
460139513003,1482,-98.48844359603109,45.47679961869157
460139513004,1368,-98.48546072686818,45.47132586325410
460139514001,920,-98.47477156891220,45.47731793806269
460139514002,1123,-98.46779286437254,45.46237999918831
460139514003,2004,-98.46492002485621,45.48174295077614
460139514004,1667,-98.43737482989890,45.49467480977259
460139514005,1700,-98.46655997957005,45.46986427819049
460139515001,815,-98.47847660703000,45.46076244506069
460139515002,685,-98.49166233038852,45.46046228120638
460139515003,770,-98.48632295800722,45.46475231372954
460139516001,1699,-98.48028507193361,45.44908925716606
460139516002,1158,-98.48848092278503,45.45493079286993
460139516003,879,-98.47712003199629,45.45508627584186
460139516004,851,-98.49150073031151,45.44883533327607
460139517001,959,-98.50141255399568,45.46081937581075
460139517002,1382,-98.53950357672912,45.42235381750801
460139517003,2084,-98.50580559639448,45.45124666905781
460139518001,2459,-98.42878385847904,45.43327855245885
460139518002,1113,-98.45614853989716,45.46219477551688
460139518003,1447,-98.46862604630947,45.45074777329910
460139518004,1124,-98.45937354099104,45.45537584059163
460139519001,715,-98.14851286796412,45.35106774041103
460139519002,1392,-98.10358759409151,45.44318934615741
460139519003,1273,-98.45837600397300,45.34033317870936
460139520001,603,-98.48263683880117,45.84302882731001
460139520002,1077,-98.63460278897105,45.54603881826723
460139520003,437,-98.11789068271381,45.80402491813335
460139520004,676,-98.12729694221959,45.60409049151391
460139520005,1283,-98.38952167270189,45.61997525198417
460159731001,793,-99.05706209703746,43.83403123260482
460159731002,664,-98.95989569230125,43.73511734854423
460159731003,1034,-99.09843156806829,43.61867589307032
460159732001,771,-99.28401636300461,43.82019348515988
460159732002,1446,-99.30434539255118,43.78245792932837
460159732003,539,-99.33745580753468,43.81133209453119
460179402001,1040,-99.38493193906189,44.13243819179559
460179402002,908,-99.12725518399790,44.05213522536072
460199676001,1135,-103.47915976039575,44.93695312882220
460199676002,1142,-103.60434557467903,44.66142201723793
460199676003,613,-103.42752703317241,44.71958941946939
460199677011,1765,-103.84972495380207,44.65262149945220
460199677012,2614,-103.95437677849627,44.64504498399833
460199677021,872,-103.81866959759378,44.68882136932024
460199677022,1372,-103.84918246111985,44.66225034087570
460199677023,730,-103.84385900675338,44.66902778157190
460219641001,590,-100.23162165009542,45.77398850749525
