GEOID,POP,X,Y
470010201001,1536,-84.25226564420970,36.00217100000000
470010201002,1628,-84.29122119144525,35.99316829898757
470010202011,3264,-84.19653252982688,36.00533071508263
470010202012,1263,-84.21751880258621,36.02159882750833
470010202021,1373,-84.20584775412098,36.03582838696895
470010202022,1463,-84.22825959899205,36.02641355777464
470010202023,1814,-84.24501012252180,36.00985322676387
470010203001,1434,-84.22257025394408,36.04365956563569
470010203002,1102,-84.22716289952106,36.04878453948541
470010203003,1492,-84.23229410865034,36.03582303298578
470010204001,1239,-84.25334918950594,36.03869540133606
470010204002,1520,-84.25956715767009,36.02380709020358
470010204003,1843,-84.24683004500676,36.02376599999999
470010205001,1357,-84.28091985945163,36.00997379218473
470010205002,993,-84.27368089501732,36.01910235035268
470010205003,1487,-84.29086289680227,36.01575184790848
470010206001,1493,-84.31353227125402,36.00057236394673
470010206002,1012,-84.30031791748259,36.00589871487882
470010207001,883,-84.31362117266073,36.16721514015394
470010207002,602,-84.20327794117034,36.15789268657088
470010208001,1700,-84.12619678014745,36.22168383470527
470010208002,1206,-84.14918091975075,36.21333591800437
470010208003,1726,-84.14127245112947,36.18968822694645
470010209011,1375,-84.07161491015073,36.19802870604421
470010209012,2128,-84.03661599987498,36.23867195675637
470010209013,1319,-84.01244708480979,36.16519724079713
470010209014,1390,-83.99451767996466,36.19765200121399
470010209021,1326,-84.08586587840543,36.18468770140692
470010209022,2904,-84.10408609229812,36.15847729085417
470010209023,870,-84.06952494474254,36.13912855374075
470010209024,1265,-84.05508899874303,36.11590459514636
470010210011,1461,-84.29338792644124,36.09367456649849
470010210012,1261,-84.25083972373876,36.06818017096540
470010210021,1778,-84.30181813131645,36.03571230569592
470010210022,1425,-84.31766769284255,36.01988191001382
470010211001,1473,-84.20375023325066,36.07678269363804
470010211002,1240,-84.16764666805659,36.09117950343349
470010211003,1374,-84.18989864655126,36.07588500000000
470010212011,1341,-84.13450630658900,36.11728270880302
470010212012,979,-84.15219124410142,36.10856639412465
470010212013,1705,-84.14509023470261,36.13936619638386
470010212014,865,-84.18002213244058,36.14296738752345
470010212021,871,-84.11138947500207,36.10124321804492
470010212022,1343,-84.12333793373479,36.11839293796361
470010212023,1531,-84.13206345941288,36.10530480058132
470010212024,1472,-84.14194995657994,36.08953107634886
470010213011,1025,-84.16983681902583,36.05243171507692
470010213012,2530,-84.12729262083025,36.08001157930576
470010213031,1203,-84.15345385223083,36.03627662003289
470010213032,1837,-84.10940282271959,36.05809478314287
470010213033,893,-84.08520794683123,36.04150240895702
470010213041,1797,-84.11178447306004,36.01586690223319
470010213042,1712,-84.14016646180002,36.01615108608702
470019801001,0,-84.25884784638198,35.96250739480988
470039501001,1576,-86.30606002881740,35.60881000528148
470039501002,2554,-86.42413219534093,35.59703154374036
470039502011,1270,-86.51035585517789,35.63119571078834
470039502012,2098,-86.58038962073159,35.66168604592043
470039502021,1488,-86.56555909236289,35.57088969605692
470039502022,1270,-86.61655870788232,35.59157950219955
470039502023,1233,-86.51905816772511,35.58194664068807
470039503001,2508,-86.59844885445082,35.50088997466689
470039503002,1425,-86.57196928194929,35.41171484630563
470039504011,2163,-86.48191650110560,35.44363874840491
470039504012,1805,-86.45871047044308,35.46675768719306
470039504013,2454,-86.48257053314349,35.47600436184869
470039504021,3173,-86.49914675387785,35.52993245371326
470039504022,1877,-86.48777238469852,35.48901983572813
470039504023,2859,-86.46941238761603,35.50949820615619
470039505001,1741,-86.41991428550453,35.49992796681732
470039505002,2173,-86.43256267599908,35.51099904743345
470039505003,1703,-86.44019339222395,35.53609580478335
470039505004,1043,-86.45351395733191,35.48933465518702
470039506001,1607,-86.45329546241790,35.47502960774442
470039506002,1836,-86.44408927928460,35.48073443177893
470039506003,1839,-86.42731045319456,35.48042389058646
470039506004,2532,-86.40886590878367,35.46816940313324
470039507001,1452,-86.28778916079195,35.51853107280114
470039507002,1593,-86.36583038235652,35.51806548194727
470039508001,1652,-86.42877918787960,35.38385825040078
470039508002,1313,-86.31865091785818,35.42860494012596
470059630001,717,-88.09181464526148,36.17567427284719
470059630002,640,-88.01294591620876,36.29735948508509
470059630003,904,-88.07062918093582,36.30726821111810
470059630004,933,-87.99329347184658,36.18870218314049
470059631001,1155,-88.02275108767279,36.09541732876598
470059631002,1068,-88.13126291790623,36.13201244355476
470059631003,718,-88.02050340021270,36.05229825176953
470059632001,932,-88.15608286782182,35.89963448581054
470059632002,1132,-88.01858906908873,35.89580494714816
470059633001,1023,-88.11381885805822,36.05861268394748
470059633002,1367,-88.11390445129510,36.07510562202673
470059633003,1432,-88.09131282528558,36.07298908101115
470059634001,1264,-88.17890690716236,36.04305406224121
470059634002,1160,-88.12451463794686,36.00315798407297
470059634003,1419,-88.06113948489144,36.00883688171606
470079530001,1757,-85.20015423928494,35.45846241860531
470079530002,1038,-85.09827059013050,35.60026927601979
470079530003,960,-85.00120924113929,35.70524767115572
470079531011,1687,-85.26260217695193,35.50143922563782
470079531021,1437,-85.10216606016557,35.67667753405242
470079531022,1002,-85.18489736844697,35.63074948888322
470079531023,1374,-85.22310642143403,35.59145164806196
470079532001,1719,-85.32353692509055,35.58095639362315
470079532002,2293,-85.24925204160277,35.74614874771604
470079532003,1646,-85.18486106059385,35.71805644942550
470090101001,1400,-83.96398143592567,35.78449054893037
470090101002,1488,-83.97738203431068,35.77399917711798
470090102001,783,-83.97014613699375,35.81348929093196
470090102002,2074,-83.97507219261139,35.79873546696812
470090102003,2037,-83.99371318103113,35.78506250069498
470090102004,2695,-84.01393955955892,35.77895892717550
470090103011,2183,-83.99547242161272,35.86530512570405
470090103012,1513,-83.97051322491753,35.84659825948690
470090103013,2017,-83.95499580648631,35.85261197246780
470090103021,1116,-84.03092848944117,35.83675287860763
470090103022,1169,-84.00811198919888,35.82920311951666
470090103023,1303,-84.01028725155193,35.81703300000000
470090104001,1730,-83.91526975544099,35.83783291551361
470090104002,1483,-83.95070218714146,35.81320754998497
470090105001,1593,-83.97898077167754,35.75778096660271
470090105002,1462,-83.98865358604667,35.74917392820751
470090106001,2029,-83.96317629778639,35.75072732758847
470090106002,1660,-83.97938217507645,35.74038650688002
470090106003,796,-83.97883243464906,35.74643291153057
470090107001,1496,-83.94842122593268,35.77160754715346
470090107002,738,-83.94422136886817,35.76638781116748
470090107003,1304,-83.94281610086024,35.75971016204760
470090107004,1458,-83.95820023703631,35.76087741847901
470090108001,1760,-83.95192685114074,35.78838276973320
470090108002,1477,-83.96040724024350,35.77096730027392
470090109001,2184,-83.93440304730512,35.78233841844656
470090109002,2217,-83.90766724163160,35.79406570147011
470090109003,2080,-83.93169151236823,35.80008149249831
470090110011,1646,-83.89479096252694,35.77157524417604
470090110012,2353,-83.92169493871016,35.76289474991688
470090110013,1814,-83.92700451988162,35.75199852833472
470090110014,892,-83.92841931844318,35.74183829980645
470090110021,1696,-83.86698315055500,35.76670745735970
470090110022,1247,-83.87430357461270,35.74014888460269
470090110023,1428,-83.90734693235994,35.73012078874612
470090111011,1239,-83.94400178006777,35.73370179356274
470090111012,1620,-83.95663364599761,35.69689742451290
470090111013,1402,-83.95851212508880,35.72389470637589
470090111014,1080,-83.93747043807306,35.71469142150085
470090111021,1699,-83.98766259118580,35.72851642280231
470090111022,3272,-83.97223267086916,35.72380002316941
470090111023,2639,-83.99623357306180,35.71422501869104
470090111024,1544,-83.97661759959141,35.70221029455152
470090112011,2175,-84.01032068234696,35.76060725081862
470090112012,2327,-84.02213516216224,35.74127668324032
470090112013,1601,-84.02449986991552,35.75084462475490
470090112021,1630,-83.99962136485195,35.73527304299331
470090112022,2551,-84.01615346495780,35.72795723841381
470090113011,2056,-83.84064457609378,35.83292967738662
470090113012,1091,-83.86843792021911,35.79918953790580
470090113013,1615,-83.79289966104368,35.85303750136727
470090113014,1340,-83.80092989218551,35.87032837704682
470090113021,1535,-83.79092143951661,35.78158495606431
470090113022,1494,-83.84735537270146,35.78888626195246
470090113023,2704,-83.80111406204530,35.82084420028077
470090114011,1027,-83.73356641517276,35.69421598819835
470090114012,788,-83.76730357647666,35.73110093132762
470090114031,1320,-83.93166274150931,35.67586485261945
470090114032,990,-83.86170327698240,35.71642144679524
470090114041,1440,-83.83601613328466,35.67351394205860
470090114042,1048,-83.75490212941683,35.66390371783881
470090115011,1730,-84.01098563958296,35.58086225532006
470090115021,1644,-84.07763785297871,35.65213117317860
470090115022,1691,-84.11354547525426,35.61564887105861
470090115023,996,-84.14991884557713,35.60975297464211
470090115031,1847,-84.01697040642658,35.69239785680188
470090115032,1823,-83.99124270368567,35.68459985631468
470090115033,2026,-84.00827112708134,35.65411885996010
470090115034,1473,-84.05801370711110,35.63640890836033
470090116031,1635,-84.14228631025962,35.72889614232630
470090116032,1043,-84.10868808368640,35.76693251126613
470090116033,2327,-84.08194793426789,35.74576007815070
470090116041,1397,-84.04165774474932,35.79477145257053
470090116042,2528,-84.06895382936638,35.78154306656076
470090116051,1526,-84.14341065068197,35.78446053454728
470090116052,1995,-84.10176457252439,35.82301663612765
470090116061,1682,-84.07804258719690,35.71956259613084
470090116062,2625,-84.11991441970615,35.69376410745867
470090116063,1738,-84.08576192740040,35.67867087438702
470090116071,1885,-84.05200272463388,35.72913086771240
470090116072,2093,-84.03297465277529,35.70949446646954
470099801001,0,-83.99679666765782,35.80919255801552
470099802001,28,-83.83185011655685,35.58911816512446
470110101001,1197,-84.85063641276398,35.20772629680935
470110101002,1390,-84.86449154021379,35.20008381858754
470110101003,1977,-84.87253291035788,35.18916401617829
470110102011,2099,-84.84379341280625,35.19215813189390
470110102012,714,-84.85870275027554,35.18922022120402
470110102021,1992,-84.84484516855238,35.17884476918790
470110102022,1908,-84.85664834974567,35.17451810950458
470110103001,992,-84.85165197198288,35.15658338522370
470110103002,2585,-84.83198160887025,35.16630349380669
470110104001,1357,-84.86398270698086,35.16545381335143
470110104002,1490,-84.86005373735557,35.16081040848473
470110105001,2717,-84.87280305802388,35.16817397920525
470110105002,969,-84.87787505042832,35.16156389466033
470110106001,1207,-84.87715241649578,35.18078923990507
470110106002,2302,-84.88624922135980,35.17226809609821
470110107001,834,-84.88304479698863,35.15247761002637
470110107002,1403,-84.87487080910196,35.14728497419252
470110107003,1367,-84.88046013390418,35.13572236201843
470110107004,1501,-84.89343906475113,35.14249534240192
470110108001,2542,-84.86129108766306,35.14535345296152
470110108002,852,-84.86812394250381,35.13537316733000
470110109001,1317,-84.84402380413165,35.13526685252302
470110109002,1652,-84.85457179089669,35.11342300443430
470110110001,1683,-84.88097992823219,35.12597519248546
470110110002,2612,-84.87228680944521,35.11431268614984
470110110003,1619,-84.88884649417157,35.11640383774502
470110111011,2157,-84.79841041331079,35.15387405180115
470110111012,1750,-84.81452598110700,35.17030445202793
470110111013,2152,-84.74557513948385,35.15329295067951
470110111021,1460,-84.73922171887746,35.21158238498762
470110111022,2189,-84.79257907459915,35.18989486871355
470110112011,1657,-84.77096086255555,35.28169632143606
470110112012,2341,-84.79475501943270,35.23696801838763
470110112013,2645,-84.82315995306072,35.20175949817288
470110112031,2496,-84.82740112498360,35.29152666358787
470110112032,2143,-84.81831639355698,35.24355525974293
470110112041,2612,-84.85377943709173,35.22219844688760
470110112042,3951,-84.86384577288852,35.22832588460765
470110113011,3017,-84.88153203999812,35.29219835274074
470110113012,2044,-84.95543732313081,35.22002669787079
470110113021,798,-84.98481845007065,35.15456795666704
470110113022,1741,-84.97026059802256,35.13139753341933
470110114021,1910,-84.89869227389005,35.18018413694666
470110114022,1279,-84.90829335649384,35.16194839309122
470110114031,2219,-84.89206717577225,35.23828244870288
470110114032,2084,-84.90205139659118,35.21795748900117
470110114041,1306,-84.90488219960413,35.19032739634641
470110114042,3106,-84.92362797647837,35.19485440260878
470110115011,2127,-84.91397029657668,35.12084471046158
470110115012,1783,-84.97175563940711,35.08708679658238
470110115013,1660,-84.94717256986806,35.04222016682932
470110115021,1929,-84.90991668851912,35.05421968071114
470110115022,1809,-84.88337606666161,35.03717772053217
470110116011,1954,-84.81549088084768,35.12397553209735
470110116012,1040,-84.77616701073624,35.08700478209884
470110116013,2040,-84.76096504127011,35.11390310994214
470110116021,1842,-84.78727356938531,35.05161501761690
470110116022,1267,-84.81674391547155,35.01508996881723
470110116023,1834,-84.84565554035230,35.05522293193565
470139501001,1550,-84.02554219592828,36.50828552320972
470139501002,631,-84.09318817794362,36.55059973484352
470139501003,791,-84.17607528753359,36.43926299283081
470139502001,1281,-84.11977472262444,36.58473514978873
470139502002,1107,-84.15441043603292,36.57752808209223
470139503001,821,-84.19486559246775,36.55365346099439
470139503002,911,-84.27673653556947,36.48425351578593
470139504001,869,-84.28194726623700,36.28865678689588
470139504002,1518,-84.20774897265117,36.29898385109311
470139504003,1681,-84.17523605299107,36.26987643539889
470139504004,576,-84.13008884356131,36.24668117934866
470139505001,1932,-84.19389799829705,36.33891277809477
470139505002,826,-84.17224504659262,36.33398113907399
470139505003,1450,-84.19353002784966,36.31496461820643
470139505004,1128,-84.20011103298530,36.32661932480487
470139506011,1279,-84.14741011872665,36.36752761230520
470139506012,817,-84.13005891038240,36.37683611203330
470139506021,814,-84.13227575989553,36.36855900000000
470139506022,1065,-84.12309996840614,36.36864649876625
470139506023,494,-84.12107317725638,36.36088364815485
470139507011,1021,-84.09871185376528,36.39991283998517
470139507012,770,-84.07095248796742,36.39169181680496
470139507021,1579,-84.09674827995025,36.38518088999155
470139507022,1281,-84.11127778852497,36.37436078277201
470139508001,1297,-84.00330462241516,36.44333703206954
470139508002,1070,-83.95502746059680,36.41677103864191
470139509001,1334,-83.99579584013367,36.34735625115674
470139509002,1572,-84.03672023513673,36.39119862220741
470139510001,936,-84.06731048968342,36.37135893306340
470139510002,1460,-84.05481643620229,36.32617830144263
470139511001,890,-84.08732554205211,36.30699385214517
470139511002,2232,-84.12310886573907,36.30307456510419
470139511003,2289,-84.14130393076624,36.28304724863296
470159601001,1139,-85.97380834430308,35.87665219446631
470159601002,1031,-86.05741146921737,35.90235713670796
470159601003,1900,-86.13020300347088,35.88266032962944
470159602011,807,-86.05661792911233,35.81226607301223
470159602012,1619,-86.07449080965264,35.80274055164621
470159602021,1675,-85.98869618068819,35.81101942919571
470159602022,1353,-86.10206005463345,35.76601246664533
470159602023,1504,-86.15920058689225,35.73286345508161
470159603001,1436,-85.99446385765424,35.76044790873608
470159603002,2042,-86.05051904973824,35.68772681481352
470179620001,634,-88.25721282492708,36.07826426529358
470179620002,925,-88.31570651320679,36.05866326198019
470179620003,1693,-88.25020383916839,36.04357815720493
470179620004,1008,-88.29408202235615,36.00309066019557
470179621011,1196,-88.38398565878369,36.07709953770888
470179621012,2177,-88.41534402271091,35.95638970340345
470179621021,901,-88.48406748526213,36.00483996748815
470179621022,1831,-88.42348659767667,36.01527568299799
470179621023,1099,-88.40559936681532,36.00659150000000
470179622011,1757,-88.56197021494954,36.08894353144897
470179622012,1453,-88.52381925208216,36.12722512281066
470179622021,1489,-88.44435610176627,36.11291282524772
470179622022,1239,-88.49965485587988,36.14239971019779
470179622023,1855,-88.52125853913404,36.14414457189294
470179623001,798,-88.58525088512678,36.04156052763554
470179623002,1170,-88.65318044227855,36.01466287213000
470179623003,1540,-88.63622791708835,35.95955199194334
470179623004,887,-88.53721099993579,35.96165620752407
470179624001,1337,-88.52400941089989,35.87240771753974
470179624002,1275,-88.63066794379384,35.84309591492664
470179625001,1203,-88.29094622687749,35.89446463653018
470179625002,973,-88.39492170258796,35.86900015430292
470179801001,0,-88.68048979332961,35.87504620819961
470190701001,1239,-82.22233970052559,36.35388340862089
470190701002,824,-82.21309108323577,36.34741918945419
470190702001,1184,-82.26141539454753,36.31863376594104
470190702002,1823,-82.24612525945854,36.32857993241758
470190702003,1096,-82.24347865799452,36.34582062664992
470190703001,1497,-82.23125914337975,36.34565276120571
470190703002,1776,-82.22614142959176,36.33903785967181
470190703003,2474,-82.21588722230906,36.32889608021188
470190704001,2221,-82.19365658672223,36.34456181632770
470190705001,2117,-82.17936987038557,36.32376418890713
470190705002,2062,-82.14102629545454,36.33269550000000
470190706001,1404,-82.21238222578147,36.29488279564915
470190706002,1076,-82.20346422645234,36.31186611203065
470190707001,1751,-82.25722811207838,36.28297662865231
470190707002,1687,-82.29395339085180,36.27102429031728
470190708001,1288,-82.31242668917066,36.28771904034679
470190708002,623,-82.32091190612350,36.29913850383998
470190708003,991,-82.32810079064269,36.27171145786363
470190709001,1880,-82.28097140107457,36.30590037004621
470190709002,1703,-82.30744496094012,36.30426359316763
470190710001,1347,-82.29327640958488,36.34131643837230
470190710002,1358,-82.29924700503084,36.31903139406180
470190711001,1538,-82.26948436645441,36.38072544821460
470190712001,2055,-82.21405233775283,36.38684292895650
470190712002,1751,-82.25039196751069,36.35795119732807
470190713011,721,-82.00528760107439,36.45549480857789
470190713012,1153,-82.06339910876284,36.39613457735540
470190713013,1892,-82.11287902132327,36.36334388068907
470190713021,1918,-82.15801675963785,36.39533466855035
470190713022,1525,-82.08156846580954,36.43962664840318
470190714001,1588,-82.21840812451730,36.25882074761984
470190714002,1726,-82.14114713635080,36.29053758580561
470190715001,1219,-82.16854112774332,36.19805972400093
470190715002,890,-82.21984857241375,36.22634994505616
470190716001,1462,-82.04437711651696,36.27317643797841
470190717001,687,-82.05946967974741,36.17925578764621
470190717002,1432,-82.06907182175662,36.13996249237896
470190717003,1378,-82.08001605663330,36.18608442687436
470210701021,1635,-87.01810557355412,36.17827244680404
470210701022,2473,-87.10542995787640,36.25676982620783
470210701031,1468,-86.95516644591738,36.31752470215121
470210701032,2056,-86.94068578892821,36.35589560396608
470210701041,1424,-87.00140700369846,36.33287245943119
470210701042,3312,-87.00733173506593,36.25724002932313
470210701043,1160,-86.97170693270738,36.29387815822141
470210702011,2127,-87.02296395732093,36.37828542380369
470210702012,2680,-87.06144818421677,36.39710546995694
470210702021,1622,-87.03756827641747,36.35212126274778
470210702022,1688,-87.08779607007324,36.35965226379816
470210702023,2277,-87.13822973856485,36.34331207405260
470210702031,1850,-87.11575796817608,36.42076445178567
470210702032,1913,-87.20651067372238,36.36264136238159
470210703001,1696,-87.06549191725927,36.29025691377097
470210703002,2158,-87.04840835879139,36.27767191950225
470210704011,849,-87.03673618387809,36.11472367262753
470210704012,1624,-87.10967003964687,36.16406882153412
470210704021,2971,-87.10957119254502,36.06733068068314
470210704022,1267,-87.06117922955778,36.09402306700652
470210704023,2822,-87.11976100171032,36.10269391783083
470239701011,1323,-88.59608163072487,35.48326771311741
470239701012,1307,-88.58605855331990,35.53757453717841
470239701021,910,-88.41253450559471,35.43348840946311
470239701022,735,-88.54598953215041,35.40231954094022
470239701023,518,-88.50509047284802,35.49291679850739
470239701024,1433,-88.52408230321581,35.44447554126748
470239702001,2181,-88.62539508347292,35.45190824428663
470239702002,1087,-88.65365473185928,35.45141234981335
470239702003,2219,-88.65125930196402,35.43799581748418
470239703011,1659,-88.71164256078997,35.32206368697920
470239703021,1540,-88.72654125794800,35.38279916453672
470239703022,1530,-88.67835030737574,35.45806478630263
470239703023,899,-88.77570234667374,35.41861003101238
470259701001,1104,-83.62108722385034,36.56803080328516
470259701002,1581,-83.51794057105968,36.56490119199575
470259702001,1600,-83.64304631460564,36.59137776671835
470259702002,1109,-83.64630602264923,36.57763130893567
470259703001,1807,-83.69794247044112,36.55840975753114
470259703002,2534,-83.71625021242045,36.50496804782069
470259704001,783,-83.87573088406279,36.54247533392040
470259705001,1377,-83.79123729312232,36.51117389583459
470259705002,1344,-83.85463447093392,36.45210611707936
470259706001,1388,-83.71654448584398,36.44089368780254
470259706002,2001,-83.64500011935951,36.39085065406853
470259706003,1195,-83.72432493078753,36.38232003382478
470259707001,886,-83.57790555378415,36.45371224645348
470259707002,1360,-83.59227394950302,36.46345700391399
470259707003,729,-83.64406675839469,36.50423351096913
470259707004,1605,-83.62886819721146,36.45347937052802
470259707005,1208,-83.61111865425818,36.48143103021533
470259708001,2155,-83.49167183638367,36.50579069439315
470259708002,1725,-83.58648442419960,36.51578449711294
470259709001,1070,-83.60671436314513,36.42743162907810
470259709002,1640,-83.55514137717871,36.43325652056448
470259709003,984,-83.53281077035854,36.38996091572555
470259709004,858,-83.43667622209405,36.45255661434997
470279550001,1057,-85.51759574859769,36.47959851897723
470279550002,1389,-85.49303280326656,36.53566174936552
470279550003,879,-85.56645057117774,36.55455991158546
470279550004,1585,-85.38886201912958,36.56867566630041
470279551001,1129,-85.64830570938447,36.56332107561798
470279551002,1542,-85.74533315421544,36.56092671747417
470299201001,1388,-83.18326563847357,36.11587888849306
470299201002,962,-83.10649637192161,36.06458703447300
470299201003,1624,-83.16948058116201,36.04494269191900
470299202001,2183,-83.18435671139827,35.99105094698598
470299202002,1821,-83.15061702701783,35.96831898867485
470299202003,2059,-83.23233447721205,36.01628242604968
470299203001,1706,-83.09799797820526,35.97545978407661
470299203002,1035,-83.05583861030787,36.04032514982518
470299203003,1302,-83.01447813422809,35.98917897700733
470299204001,1803,-83.00043711172172,35.88347771131168
470299205011,2011,-83.25449396100170,35.91084586440212
470299205012,1055,-83.27710864876913,35.93211143605810
470299205013,1948,-83.21678491747461,35.96581966654384
470299205014,1213,-83.25810970836800,35.96506303068444
470299205021,2034,-83.13336225026850,35.92904718581367
470299205022,1307,-83.16606624095564,35.86957180454031
470299205023,1874,-83.23893966051214,35.86497366552432
470299206001,1027,-83.20123263544887,35.92215514183167
470299206002,1413,-83.18522171752011,35.93363456075055
470299206003,1133,-83.18120146771540,35.95947340797849
470299206004,796,-83.18948099293752,35.96291782675328
470299207001,1332,-83.11317004554859,35.81526581522461
470299207002,1234,-83.25204124657282,35.79359066674756
470299207003,1728,-83.20972940882547,35.83265381998196
470299801001,11,-83.21381238845609,35.75505901144913
470319701001,1567,-86.00919985715495,35.59705369078149
470319701002,823,-85.95978189342401,35.48813465223670
470319701003,1487,-85.94770439942566,35.53462524186477
470319702011,1074,-86.15128929031404,35.64650780431614
470319702012,651,-86.10002618938661,35.64378215358355
470319702013,1757,-86.08235070334970,35.59682328369219
470319702021,2464,-86.11759708164256,35.52223256125739
470319702022,1513,-86.12340644620680,35.56986491202041
