GEOID,POP,X,Y
49001100100,4426,-112.58302129314009,38.34194127849395
49001100200,2646,-113.40185790011371,38.36085112627939
49003960100,3498,-113.17404244161605,41.51809233686436
49003960200,8037,-112.08006836288772,41.71764796566649
49003960301,4500,-112.13669454911765,41.69819510973308
49003960302,5746,-112.19112527868937,41.71480783829450
49003960400,5350,-112.28247060236639,41.56246824280358
49003960500,5311,-112.16106694078945,41.44614961652171
49003960601,3695,-112.00891791019298,41.51600018975731
49003960602,2620,-111.98438509482287,41.52930319167964
49003960701,5379,-112.02700592779001,41.49566862908321
49003960702,2893,-112.00691505876914,41.49663684816523
49003960801,5166,-112.00059956186946,41.42353624051099
49003960802,5471,-112.03707044157792,41.46997280693531
49005000101,5201,-111.82055831695546,41.94083194294029
49005000102,1682,-112.02025383945600,41.94884340546164
49005000201,4273,-111.85770870067823,41.84799116688802
49005000202,10042,-111.80325870748727,41.84291392998392
49005000301,2312,-111.96079152877573,41.84207659691445
49005000302,5869,-111.90476479353934,41.73819902831431
49005000401,4947,-111.81912942409964,41.76761196546269
49005000402,4567,-111.78775153326661,41.79051892610761
49005000403,6530,-111.84342595349598,41.79485501334553
49005000501,5247,-111.84517273658527,41.74192274415012
49005000502,6714,-111.84489912045207,41.76049598131993
49005000601,4277,-111.82424716220127,41.74733242816614
49005000602,4107,-111.82415708720470,41.75374132689808
49005000701,4947,-111.79334518009874,41.75195611355554
49005000702,3480,-111.80984115099558,41.74815509440717
49005000800,4737,-111.82721229129672,41.73891946732690
49005000900,3206,-111.82406366553192,41.73022015306069
49005001001,2882,-111.85357365542792,41.72041675989261
49005001002,4626,-111.84521643684535,41.72347036151970
49005001101,5816,-111.81799137632301,41.70908953542116
49005001102,5246,-111.80459183280591,41.72741443217502
49005001201,6226,-111.81448961406811,41.67133056683857
49005001202,7230,-111.85753980817410,41.67235095548006
49005001300,7159,-111.96987801162416,41.65318401192966
49005001401,5392,-111.82665056501011,41.62933326265350
49005001402,4149,-111.87664008157996,41.63753553449597
49005001500,2175,-111.85364100060546,41.55350773558939
49005980100,115,-111.63218699560147,41.67984634806668
49007000100,3236,-110.72596177141641,39.57926630009421
49007000200,4211,-110.82440791480579,39.62729269559757
49007000300,4202,-110.79574288244743,39.59564549875545
49007000500,4010,-111.01078335725133,39.66126277403935
49007000600,4753,-110.40031982885540,39.64475844967632
49009960100,935,-109.50761208880493,40.88728789322422
49011125102,4290,-111.88051932333305,41.06814101878616
49011125103,7390,-111.94976564305817,41.12768956066380
49011125104,6064,-111.88815600326453,41.12236892305120
49011125201,3548,-112.00345634544530,41.11078067328718
49011125301,5386,-112.03053104894111,41.13919380813073
49011125304,5606,-112.05037773882724,41.14620328983499
49011125305,6449,-112.05005354005537,41.13258875685262
49011125306,4335,-112.07370490140883,41.14599452070097
49011125307,8734,-112.09696157735506,41.13786061910562
49011125407,8219,-112.08053917482601,41.11004284501836
49011125408,6670,-112.22658454442913,41.11273649976765
49011125409,5271,-112.05920241421965,41.08451138482970
49011125410,4223,-112.05657240853721,41.07486435954990
49011125411,6523,-112.22427120243253,40.96989610560802
49011125412,2918,-112.03094480650546,41.08193772184093
49011125413,6232,-112.03729450166745,41.07246873084877
49011125414,5271,-112.01357105265480,41.08172582083888
49011125415,5093,-112.01817250623343,41.07100503254435
49011125501,6741,-112.05490264008961,41.11448254516846
49011125502,5555,-112.03568541907413,41.11606789326159
49011125503,5657,-112.05494626273843,41.09639111630915
49011125600,239,-112.03263714345474,41.09716641822440
49011125701,4972,-112.01144918083131,41.09826571444533
49011125702,3943,-112.01688064619911,41.11224144910204
49011125801,7086,-111.99487124621373,41.08182580643565
49011125804,6480,-111.93493908603764,41.09694664825476
49011125805,6377,-111.97179024485688,41.08255487155708
49011125807,3675,-111.96658655565881,41.09632155678764
49011125809,4513,-111.98353315525408,41.09940827733696
49011125810,2875,-111.98851539973948,41.09420987630265
49011125905,6701,-111.93698458831945,41.07060369140118
49011125906,7987,-111.93338904251229,41.05981927067403
49011125907,2596,-111.94518495427678,41.08395645526255
49011125908,5201,-111.92721093911790,41.08278227994585
49011126001,5835,-111.96826190128360,41.06401331922664
49011126002,7994,-111.99217378438387,41.05710312970163
49011126101,6670,-111.92967044852172,41.04685291629472
49011126105,6436,-111.93116996970478,41.01669878249496
49011126106,4590,-111.94885095833028,41.02385710772933
49011126107,3889,-111.98118985807805,41.04157202609090
49011126108,6625,-111.97661305108048,41.01473765041531
49011126203,4517,-111.89850541806240,41.00359762098292
49011126204,5304,-111.84716281162930,40.99403333192866
49011126205,6615,-111.91932712794097,40.99689527868755
49011126206,7040,-111.95614379244348,40.95658292378456
49011126303,4723,-111.85525584019075,40.95023934113218
49011126304,6955,-111.90028816914284,40.93456912606469
49011126305,2556,-111.83522025342339,40.92905138704911
49011126306,7585,-111.88178430182623,40.91775151735285
49011126402,3606,-111.81076180234555,40.87783233784125
49011126404,8413,-111.88037500696528,40.83363068820111
49011126405,3779,-111.88320249010957,40.84698418815608
49011126406,4770,-111.89737008707787,40.84944360924737
49011126500,6551,-111.86275409812262,40.89433361794975
49011126600,5502,-111.88266975754908,40.89992630067595
49011126700,4218,-111.88444494755892,40.88903473269388
49011126801,3534,-111.86114040962336,40.87700853251305
49011126802,5052,-111.86294449229250,40.86376928278604
49011126901,6123,-111.88617559108506,40.87597366929389
49011126902,7142,-111.88406231157207,40.86273881853250
49011127002,8272,-111.92823007339339,40.84344077422307
49011127003,8446,-111.93770568380360,40.88688202523021
49011127005,3899,-111.92089128107143,40.87290063406441
49011127006,4130,-111.90462158166939,40.87345360585014
49011127100,8538,-111.92389272529221,41.02958289992727
49011980000,550,-111.98983085484318,41.12774747637786
49013940300,3994,-110.50562999364124,40.29373738364228
49013940501,2888,-109.98420798173449,40.30220653251894
49013940502,5619,-110.02278593804138,40.31138507943971
49013940600,7095,-110.19220985723312,40.31163654978890
49015976200,3844,-110.81149612915060,39.33293814617877
49015976300,2903,-111.13236203386586,39.27516995468302
49015976500,3078,-110.63934524125665,38.89433359736747
49017000300,2342,-112.41698242058034,37.81686649586982
49017000400,2741,-111.26588069716293,37.86182432966081
49019000200,4676,-109.53579836160397,38.58385641502989
49019000301,2470,-109.42242079795844,38.53859217612297
49019000302,2523,-109.57181498372120,38.98904931357477
49021110100,4434,-112.76520972586037,37.90007415681406
49021110201,4488,-113.05459650983792,37.74938591438020
49021110202,5294,-113.15260209060210,37.99309383425067
49021110300,4527,-113.64152021489382,37.86290645380198
49021110400,5031,-113.07408990434874,37.66924433110115
49021110501,7022,-113.06196652939720,37.70786624596084
49021110502,4602,-112.99052780522581,37.71393267407215
49021110601,1980,-113.06064634928065,37.67557843411672
49021110602,4751,-113.00110897804468,37.57923430873688
49021110702,6609,-113.22556808791917,37.56743678305717
49021110703,4645,-113.09552256661169,37.67388435155850
49021110704,3906,-113.09157283275074,37.71815254026063
49023010100,6653,-111.86505922379638,39.70754535183264
49023010200,5133,-112.79016967472771,39.70267899414345
49025130100,2392,-111.84487686847608,37.29703451594324
49025130200,5275,-112.51806315093665,37.10970237497208
49027974100,5040,-112.36595966514533,39.39213055396070
49027974200,2918,-113.40882428567809,39.11999374367068
49027974300,5017,-112.59995343551991,38.89348264176346
49029970101,6568,-111.50567995291806,41.18146897211790
49029970102,4058,-111.62770109858587,41.02969592388013
49029970200,1669,-111.67646825307995,40.94612537749239
49031960100,1438,-112.12718652509147,38.33662046065346
49033950100,2510,-111.24450979722999,41.63225342579647
49035100100,2987,-111.91011877555043,40.79061232315046
49035100200,1333,-111.87036272299939,40.81227556768577
49035100306,6043,-111.94442611464245,40.77516578595318
49035100307,4968,-111.94564539859078,40.79548383830512
49035100308,4025,-111.93874748520736,40.79498783121873
49035100500,5893,-111.92431029021273,40.78667759507118
49035100600,6699,-111.92470595871434,40.77694314081788
49035100700,2683,-111.89466930640539,40.78127689547842
49035100800,2562,-111.89286650783441,40.77297480726768
49035101000,3127,-111.87400374111888,40.78045955041836
49035101101,1973,-111.87530742493031,40.77279496092638
49035101102,3431,-111.88316993021323,40.77302210147033
49035101200,3972,-111.86137820495546,40.77438778338205
49035101401,2171,-111.84286790948738,40.75439208546300
49035101402,4339,-111.82751533776170,40.76737608142112
49035101500,3288,-111.85740203626727,40.76500724731041
49035101600,3742,-111.85757160735712,40.75538154937369
49035101700,3582,-111.86675836199791,40.76500524120394
49035101800,3347,-111.86675829180658,40.75520028975642
49035101900,3103,-111.87534950261235,40.76500407703726
49035102000,2837,-111.87534679874831,40.75522144214015
