GEOID,POP,X,Y
550019501001,1136,-89.68689637656394,44.20655230690279
550019501002,808,-89.80519496994050,44.17709566068339
550019501003,634,-89.82493325512532,44.20376752719670
550019501004,664,-89.86720870531674,44.21840424681307
550019502011,675,-89.94210225677394,44.00873409941729
550019502012,711,-89.81683078126964,44.00489075748671
550019502031,442,-89.77418921020335,44.12519014984409
550019502032,493,-89.70507073454533,44.11603284877133
550019502041,795,-89.73267086284456,44.04824764850519
550019502042,851,-89.90861798006253,44.11253212842275
550019504001,696,-89.67300605359608,43.94162079490789
550019504002,1067,-89.86755630106805,43.93748300000000
550019504003,1067,-89.80753908570441,43.94870578732077
550019504004,1661,-89.82205927206326,43.97948117785420
550019505011,811,-89.88174938776929,43.87071240919012
550019505012,607,-89.94827559336603,43.92162400968613
550019505021,1491,-89.64072706177917,43.86287215210649
550019505022,860,-89.74154716168808,43.86155244823044
550019505023,805,-89.77661801824716,43.80509591988523
550019505024,619,-89.80367929490610,43.76619613619382
550019507001,1107,-89.66067483901736,43.78925145597500
550019507002,1054,-89.65692211678271,43.69764503147426
550019507003,1600,-89.76603977159731,43.69132170503101
550039400001,2066,-90.69172611405502,46.51900233461193
550039503001,1994,-90.87623295274781,46.57307733630598
550039503002,741,-90.88719149421512,46.57952768255323
550039504001,974,-90.90790037809025,46.57109498495038
550039504002,613,-90.89662228708876,46.58157089759361
550039504003,680,-90.89518475573014,46.58593188408988
550039505001,1411,-90.87882691252294,46.48111211224869
550039505002,801,-90.83037224619025,46.34511532029193
550039506001,766,-90.61635679739439,46.30354064454052
550039506002,590,-90.76166519842485,46.23009491874540
550039507001,716,-90.52714890168249,46.17766199916935
550039507002,514,-90.73299400702837,46.06254349217220
550039507003,813,-90.40843183169183,46.06757842710385
550039508001,428,-90.61428129940765,46.93275495651962
550039508002,1278,-90.87768939176291,46.59278747724960
550039508003,884,-90.84388467304905,46.58603367544368
550039508004,758,-90.86885068356636,46.59837056740944
550039900000,0,-90.28220860765073,46.92257400000000
550050001001,1008,-91.60758801974693,45.60721612085555
550050001002,1258,-91.69502899092882,45.58458267509035
550050001003,987,-91.83914257616911,45.59467354332565
550050001004,678,-91.95800232363894,45.59244858042232
550050002001,1054,-92.08073764843749,45.59987056840482
550050002002,1689,-92.00887212770517,45.54026253927156
550050002003,1336,-92.10119182946377,45.52174806865790
550050003001,1380,-92.09301572231544,45.43089713793546
550050003002,1119,-92.13562427678640,45.40274260279605
550050003003,860,-91.99034419119769,45.49082686835223
550050003004,823,-91.97088527043456,45.42810932666585
550050004001,985,-91.84278842517969,45.50929617478490
550050004002,1673,-91.85283916451370,45.41121109550839
550050004003,626,-91.84080210837955,45.43639419076451
550050004004,1336,-91.88129609168104,45.38532995744551
550050004005,1049,-91.82697632419939,45.39199548084042
550050005001,759,-91.74086732280884,45.49819727836923
550050005002,1702,-91.75701188685623,45.48074955656023
550050005003,1401,-91.75476447087141,45.51629408840439
550050005004,815,-91.74230201228012,45.50748226422408
550050006011,1490,-91.72850419381403,45.47616305928611
550050006012,976,-91.71067323517525,45.47354692076976
550050006021,1415,-91.72394571670594,45.51939489748172
550050006022,613,-91.72681389813488,45.50140677047400
550050006023,835,-91.72791097180109,45.49230442513711
550050006024,826,-91.71161156694971,45.49619663605779
550050008001,1043,-91.74506702252482,45.43487372904668
550050008002,2123,-91.62559108603168,45.47205140835751
550050008003,1168,-91.74002816669066,45.39902060538031
550050008004,1193,-91.73473159357219,45.41570072012634
550050009001,712,-91.83830231911600,45.33823170204196
550050009002,1230,-91.99493120120050,45.34322171618895
550050009003,1141,-92.08575378642475,45.27064369810154
550050009004,883,-91.95763279336757,45.24712532710125
550050009005,995,-91.84286966229406,45.25076794266647
550050010011,673,-91.74595381683834,45.35085285874042
550050010012,1262,-91.69709229158885,45.26028002671761
550050010031,669,-91.65871424911656,45.32296149059827
550050010032,938,-91.65834486254236,45.33777532502756
550050010041,978,-91.69647941650163,45.37398880297825
550050010042,764,-91.59112147064407,45.35329421640445
550050010043,1521,-91.63710570347872,45.30853510695164
550050010044,725,-91.57787518770280,45.26612509876038
550079601001,896,-90.82181987389981,46.80570668644906
550079601002,770,-90.96990510393638,46.81977068576971
550079601003,1575,-90.88858708800413,46.95422286686994
550079602001,773,-91.46960408560814,46.62764705035278
550079602002,1129,-91.29189132293740,46.71619895357643
550079603001,1043,-90.89541762469483,46.67222954288551
550079603002,1355,-90.94006456896146,46.71498120120781
550079603003,1273,-91.03803497138119,46.65292507363375
550079604011,2080,-91.41704184669125,46.45326744061611
550079604021,1585,-91.13196911394152,46.53154261339759
550079604022,703,-91.15917970628784,46.39845780544330
550079604023,806,-91.00347606006116,46.40072791287064
550079606001,1328,-91.42056984409024,46.25403602257657
550079606002,904,-91.10561175194320,46.23623722767832
550079900000,0,-91.19438067616255,46.96789364623260
550090001001,1435,-88.01977700237981,44.54604110983998
550090001002,1161,-88.02175140997569,44.52293218133529
550090002001,901,-88.04456848198090,44.54237870148335
550090002002,828,-88.03003130024702,44.53129388609333
550090002003,1013,-88.02846988114869,44.52528194890146
550090002004,1085,-88.03606747510396,44.52806617936555
550090002005,988,-88.04630485231674,44.53773360814915
550090002006,1278,-88.03869604584627,44.53434381288411
550090003021,1309,-88.06959744267211,44.52783098218579
550090003022,1468,-88.07290540899722,44.52209340796565
550090003023,1945,-88.07654080319571,44.51380560119398
550090003031,1395,-88.06253812625575,44.53858175177718
550090003032,1411,-88.06642529482225,44.53217829907367
550090004011,1394,-88.04483765330666,44.52743511973301
550090004012,777,-88.04992393729367,44.52200337146680
550090004013,1039,-88.05932259038705,44.52406472178421
