GEOID,POP,X,Y
560019627001,987,-105.59089100388118,41.28197899999999
560019627002,1455,-105.60729564237826,41.23083887940047
560019627003,929,-105.65564637625542,41.37781199944038
560019628001,1405,-105.62913893789081,41.32392801869091
560019628002,1109,-105.62291785152215,41.30612269677290
560019628003,655,-105.62154296433420,41.31134657280931
560019629001,983,-105.61174813288173,41.32326950000000
560019629002,722,-105.60136963999713,41.31431380981732
560019630001,945,-105.59102202729507,41.32176465734037
560019630002,1274,-105.58082853155368,41.35134417061015
560019631011,1802,-105.54756213739269,41.32857238420669
560019631012,1797,-105.56878481371419,41.33090342302930
560019631021,1572,-105.58028870255470,41.32536363775294
560019631022,756,-105.56432537142470,41.32279832625820
560019631023,1462,-105.57299507939194,41.32137164718186
560019634001,954,-105.59172266137782,41.31051404191012
560019634002,713,-105.58796735031677,41.31447864233453
560019634003,751,-105.58691970063524,41.31820068184491
560019634004,682,-105.58038278896525,41.31778476853293
560019635001,599,-105.56050703132823,41.31113950071747
560019635002,1916,-105.57022298297102,41.31476115976785
560019636001,1347,-105.58744447499453,41.30454914642541
560019636002,969,-105.58194727808954,41.30888318873438
560019636003,852,-105.57525518688853,41.30604730353664
560019636004,1151,-105.56671684935974,41.30701987094756
560019637001,1751,-105.58171366252390,41.28853400000000
560019637002,1086,-105.57709829626347,41.29816621868221
560019637003,2486,-105.55757741635668,41.29771909754974
560019637004,1799,-105.50353388505006,41.30672056528629
560019639001,639,-106.09578450148946,41.19197096226686
560019639002,523,-105.94296401474629,41.47934027364452
560019639003,465,-105.63241444988009,41.91869619359986
560019639004,530,-105.68669216876121,41.08298949000761
560039626001,897,-107.58145256040763,44.35904647089021
560039626002,1590,-108.27369321363733,44.28177705733265
560039627001,723,-108.04679776724707,44.62220561541479
560039627002,1094,-108.31223655980250,44.45499213728336
560039627003,1555,-108.05362099541473,44.49252483562827
560039628001,1584,-108.20241206379335,44.91405532266883
560039628002,1310,-108.38799179792377,44.85218820303105
560039628003,1589,-108.39585727052044,44.82302862633656
560039628004,1179,-108.37870871406948,44.74663992976039
560050001011,1779,-105.31885652718222,43.90841328728781
560050001021,2744,-105.83371569704840,44.15055372944224
560050001022,3085,-105.53187658064665,44.19787096094815
560050001031,2126,-105.74924513688997,43.73374266719502
560050002001,2518,-105.48063920454085,44.25830529768594
560050002002,1568,-105.46940823197707,44.21974705403259
560050002003,1737,-105.37578325043347,44.25702814887685
560050002004,1963,-105.49426118949678,44.24973710538885
560050003001,592,-105.50233347949239,44.27811566390054
560050003002,1406,-105.50181036593760,44.27278083333098
560050003003,2099,-105.43485260646762,44.27990765010438
560050003004,992,-105.47472484906415,44.28653470018537
560050004001,1316,-105.48475366260728,44.28523305412841
560050004002,726,-105.50213955443043,44.29104668939850
560050004003,1053,-105.50188531684215,44.28401884724277
560050004004,806,-105.49157761970825,44.28747393478209
560050005001,1369,-105.51590594562258,44.26566332079071
560050005002,2433,-105.58099936437999,44.27061080393700
560050005003,1993,-105.52489685267273,44.27901146231386
560050005004,1166,-105.53486307368460,44.26536301849770
560050006001,1875,-105.51077847311973,44.31013335073063
560050006002,2108,-105.55715501693227,44.30622097552916
560050006003,1236,-105.53027468222007,44.29309612781469
560050007011,1723,-105.74906369368412,44.66575511756943
560050007021,476,-105.46219201455609,44.29934601575074
560050007022,1146,-105.46047898850627,44.34965263021589
560050007023,1446,-105.29617622305989,44.63520012514691
560050007024,988,-105.38419234511959,44.33279078317699
560050007025,2557,-105.48121761523367,44.30258743814765
560079676001,570,-107.20632594458999,42.11821151220490
560079676002,1506,-107.50770523681744,41.39837158160273
560079677001,1354,-107.20378566385008,41.81362444671426
560079677002,724,-107.22758716451011,41.80319400968526
560079677003,834,-107.22374022649822,41.79351564952497
560079677004,1027,-107.22077237760726,41.78486890608806
560079678001,1010,-107.26070985667255,41.81285663724078
560079678002,703,-107.24024629275605,41.78189868489990
560079678003,1285,-107.24919220437694,41.79288549930359
560079678004,890,-107.24685341191447,41.78735704949298
560079680001,1018,-106.82311911958649,41.54115350000000
560079680002,1002,-106.80555777407257,41.47675938902010
560079680003,494,-106.68116843011261,41.15389653109401
560079680004,715,-107.00547607065936,41.27442251226762
560079681001,740,-106.46690073345125,42.18250482907705
560079681002,665,-106.45514462779387,41.71500216340164
560099564001,899,-105.32977578006111,42.79527183484289
560099564002,1159,-105.38646099413293,42.75743591131340
560099564003,994,-105.38048005879921,42.73846496745625
560099564004,1717,-105.31372876094099,42.75086476136320
560099565001,1797,-105.42818951544557,42.74653442612780
560099565002,1480,-105.40104052171532,42.75384968849763
560099566001,1312,-105.47738545493435,43.16825884732997
560099566002,853,-105.78845396188518,42.66574565721027
560099566003,937,-105.31036130713647,42.58180291869249
560099567001,1124,-105.85151081778032,42.85960170301902
560099567002,1479,-105.85993228374879,42.84642854245961
560119502001,1213,-104.54173267543437,44.83054426850710
560119502002,765,-104.86385742831679,44.43834365350537
560119502003,1357,-104.95116055430111,44.27179042171822
560119502004,1293,-104.75203943325081,44.37467707728659
560119503001,1239,-104.19114490726497,44.42402000000000
560119503002,1314,-104.37311960526092,44.41125917156961
560130001001,1940,-108.70927918983637,42.83910388979984
560130001002,2036,-108.74996803043391,42.86424265445051
560130002001,1766,-108.73599210429499,42.82970742214806
560130002002,1854,-108.78900967428885,42.83051302364904
560130003011,1773,-108.73678952601966,42.74184202264922
560130003012,880,-108.48207784859862,42.48805728806415
560130003021,1084,-107.96481120250370,42.82896482254611
560130003022,537,-107.81152937905424,43.32666885590957
560130004001,640,-109.70096610848131,43.39982094283545
560130004002,1143,-109.66451168085459,43.74924917320011
560139401001,780,-109.10799582580496,43.27896719877648
560139401002,1198,-108.88358640267623,42.97858897282824
560139401003,1551,-108.80234274619836,42.98696009428897
560139402011,879,-108.44795018289007,43.34785999932634
560139402012,1461,-108.57187163307636,43.17187400815449
560139402013,1739,-108.38012290565572,43.13264671748746
560139402021,1156,-108.66639963631862,42.94102769040162
560139402022,986,-108.63929818642494,43.07647269544611
560139402023,1337,-108.51026731042936,43.00023190558743
560139402024,1169,-108.27821786065388,43.02206724842507
560139403011,1055,-108.37060846544821,43.02316763775799
560139403012,804,-108.37161748211916,43.01429008665826
560139403021,1187,-108.35745106335148,43.03946802788077
560139403022,1303,-108.37528433002956,43.03039263621762
560139403023,832,-108.35148010018757,43.07790749295619
560139404001,1517,-108.40111249975470,43.05823724933922
560139404002,1030,-108.46031626741737,43.02930148729178
560139404003,931,-108.39054937473756,43.03759392449193
560139404004,1385,-108.41175787830815,43.02752767255961
560139404005,920,-108.42138820003053,43.01795801890619
560139405001,781,-108.39501633242733,43.02910184067257
560139405002,825,-108.38532680720481,43.03060009240548
560139405003,755,-108.38647949527403,43.02269222280667
560159577001,823,-104.33704820744168,42.38107032481071
