GEOID,DISTRICT
01133000007,6
01133000002,6
01133000004,6
01133000005,6
01133000003,6
01133000001,6
01063000202,3
01057001101,3
01057000101,3
01057001701,3
01069000101,5
01063000104,3
01063000201,3
01063000401,3
01063000501,3
01069000331,5
01069000501,5
01069000311,5
01069000181,5
01069000410,5
01069000352,5
01069000323,5
01069000371,5
01069000211,5
01069000141,5
01069000251,5
01069000271,5
01069000121,5
01069000233,5
01069000341,5
01063000105,3
01077000115,6
01077000108,6
01077000004,6
01077000005,6
01077000103,6
01103003011,6
01103000101,6
01103001501,6
01103002801,6
01103001301,6
01103000403,6
01103000402,6
01103000501,6
01103000303,6
01069000131,5
01017000014,5
01017000013,5
01017000007,5
01017000012,5
01103002101,6
01103002201,6
01063000301,3
01017000006,5
010170001-A,2
01017000005,2
01017000002,2
010170007-A,5
01041000003,5
01041000014,5
01041000012,5
010330006-1,6
010330016-1,6
010330016-4,6
010330016-2,6
010330016-3,6
010330016-7,6
010330016-6,6
010330017-3,6
010330014-1,6
010330014-2,6
010330014-3,6
010330017-4,6
010330017-1,6
010330011-1,6
010330002-2,6
01085000031,2
01077000008,6
01077000003,6
01071000004,1
01071000028,1
01071000001,1
01071000002,1
01071000003,1
01071000006,1
01113000501,5
01039000021,5
01039000001,5
01071000015,1
01049000003,1
01049000004,1
01039000007,5
01103001001,1
01103001901,6
01103001502,6
01095000026,1
01095000028,1
01095000010,1
01095000001,1
01095000015,1
01095000021,1
01095000019,1
01095000012,1
01095000002,1
01095000007,1
01095000008,1
01095000030,1
01113000002,5
01113000706,5
01083000101,6
01083001001,6
01083001401,6
01083000201,6
01083000801,6
01083000401,6
01083000301,6
01039000023,5
010130012.2,2
01071000021,1
01113000405,5
01113000301,5
01075001301,3
01103000901,1
01103000701,1
01075002001,3
01049000002,1
01049000001,1
01103003012,6
01103001601,6
01103000401,6
01103000309,6
01103000601,6
01103000201,6
01103000307,6
01103000308,6
01103003015,6
01077000001,6
01077000006,6
01017000008,5
01017000009,2
01017000010,5
010170010-A,5
01017000001,5
01017000003,2
010170003-A,2
01017000004,2
01071000039,1
01071000038,1
01071000029,1
01071000010,1
010330017-2,6
010330002-4,6
010330002-3,6
010330002-1,6
010330002-5,6
01103003010,6
01103001401,6
01071000030,1
01095000024,1
01085000131,2
01103002401,1
010330004-1,6
010330017-5,6
010330017-6,6
01071000020,1
01071000014,1
01071000022,1
01071000013,1
01071000018,1
01075000701,3
01031000029,5
01031000028,5
01005000011,5
01005000007,5
01005000009,5
01005000006,5
01005000010,5
01005000008,5
0100500008A,5
01013000009,2
01013000008,2
01013012.4A,5
01035000131,4
01013012.4B,5
01013000002,5
010130012.3,5
01083000901,6
01071000024,1
01113000702,5
01075001501,3
01075001401,3
010330018-1,6
010330007-1,6
01035000061,5
01083001101,6
01039000003,5
01039000014,5
01001000018,2
01001000016,2
01001000013,2
01001000004,2
01001000007,2
01001000011,2
01077000104,6
01019000010,1
01031000011,5
01031000026,5
01031000013,5
01031000012,5
01031000016,5
01031000025,5
01031000003,5
01031000017,5
010330003-1,6
010330013-1,6
010330008-1,6
01039000009,5
01031000020,5
01031000023,5
01077000012,6
01077000007,6
01077000106,6
01083000501,6
01039000018,5
01039000015,5
01083001301,6
010130014.5,5
01013000018,5
01071000032,1
01085000051,2
01013000017,5
01075001701,3
01075000301,3
01075002201,3
01075000201,3
01035000041,5
01035000062,5
01035000152,2
01077000011,6
010330001-1,6
01077000102,6
01077000100,6
01077000015,6
01077000107,6
01035000081,5
01035000101,5
01035000111,5
01073003040,3
01073003210,3
01073005010,7
01073003110,7
01073003130,3
01073003090,3
01073003250,3
01073003060,3
01073001350,3
01073005070,7
01073005140,7
01073005160,7
01073003160,3
01073003310,3
01073002350,3
01073004060,7
01073004180,7
01073005040,7
01073005130,7
01073001120,7
01073001230,7
01073001110,7
01073004040,7
01073004080,7
01073004230,7
01073003260,3
01073003200,3
01073003100,7
01073003070,7
01073002190,3
01073002050,7
01073001150,3
01073003120,3
01073001320,7
01073001160,3
01073001090,7
01073001240,3
01073000021,3
01073001050,3
01073003020,3
01073003080,3
01073003270,3
01073003300,3
01083000601,6
010330012-1,6
010330011-2,6
01073004070,7
01073001060,7
01073004015,7
01073004200,7
01075002101,3
010330001-2,6
01039000016,5
01073003170,3
01073004050,7
01073004110,7
01073004090,7
01073001270,7
01073002230,7
01073001190,7
01073004010,7
01073003280,7
01073004210,7
01073001250,7
01073002100,7
01073002170,7
01073002040,3
01073002290,7
01073002030,7
01075000501,3
01075000102,3
01115000004,7
01115000003,7
01115000025,7
01115000015,7
01115000016,7
01115000024,7
01115000010,7
01075000801,3
01075000402,3
01075000902,3
01057000501,3
01065000008,3
01005000005,5
01005000001,5
01005000004,5
01073002160,7
01073002310,7
01073002010,7
01073002260,7
01073003140,3
01073003050,3
01073003150,3
01073001010,7
01073004160,7
01073004030,7
01057000901,3
01057001501,3
01021000050,2
01021000240,2
01115000009,1
01115000007,7
01115000017,7
01115000030,7
01115000023,7
01041000011,5
01065000006,3
01073001020,7
01073004100,7
01095000025,1
01095000018,1
01073002370,3
01073002390,3
01073003010,3
01073003025,3
01073003290,3
01073003030,3
01073004170,7
01073001260,7
01073004150,7
01073002200,3
01073002060,3
01073001330,7
01073001360,7
01073004130,7
01073001100,7
01035001141,5
01035000042,5
01073002090,7
01073005290,7
01073005210,7
01073002430,7
01073002420,7
01073002250,7
01073001300,7
01073001340,7
01073005100,7
01073005050,7
01073005030,7
01073005220,7
01073005020,7
01073005120,7
01065000003,3
01021000260,2
01021000270,2
01115000020,7
01115000019,7
01021000030,2
01073004140,7
01073005090,7
01039000002,5
01099001302,4
01019000012,1
01019000008,1
01019000015,1
01019000018,1
01019000020,1
01099000306,2
01099000005,2
01099001301,4
01099001405,4
01099000303,2
01025000006,4
01025000020,3
01025000014,3
01073003220,3
01073004020,7
01073003190,3
01073002120,3
01073003015,3
01073004190,7
01073004220,7
01073005190,7
01073005150,7
01073001370,7
01073002300,7
01073003240,3
01073003320,3
01073001210,7
01043000171,6
01043000010,6
01043000181,6
01043000300,6
01043000360,7
01043000340,6
01043000350,1
01079002801,6
01079000601,6
01079000501,6
01115000021,7
01021000170,2
01021000140,2
01115000026,7
01115000031,7
01015000004,1
01015000017,1
01015000013,2
01015000019,1
01015000014,1
01015000005,1
01015000015,1
01015000009,1
01015000016,1
01015000010,1
01073002150,3
01073005240,7
01073005280,7
01073001180,7
01073001070,7
01073001220,7
01073001290,7
01073004250,7
01043000142,6
01043000032,7
01043000250,7
01115000014,7
01043000202,1
01043000120,6
01043000090,7
01073004120,7
01073004240,7
01073001040,7
01073002130,7
01073002080,7
01073002320,7
01073002220,7
01073005080,7
01073005250,7
01115000012,7
01117000022,3
01117000032,7
01021000200,2
01019000009,1
01019000001,1
01023000013,3
01023000023,3
01023000024,3
01023000046,3
01023000001,3
01023000003,3
01023000039,4
01023000049,4
01023000043,4
01023000041,4
01023000036,4
01023000033,4
01023000042,4
01021000120,2
01021000220,2
01073002140,3
01073002110,3
01073002340,3
01073002210,3
01073003230,3
01073002240,3
01073005170,7
01073002020,7
01073001080,3
01117000020,7
01117000029,3
01117000025,3
01117000016,7
01117000007,2
01117000024,3
01117000008,7
01117000034,2
01117000035,2
01117000037,2
01117000041,2
01117000039,2
01117000038,2
01117000005,2
01015000012,1
01015000002,1
01127000001,3
01127000014,3
01015000007,1
01067000007,5
01127000007,3
01127000023,3
01127000011,3
01127000019,3
01127000022,3
01015000020,2
01015000018,1
01015000022,1
01015000001,1
01015000021,1
01019000017,1
01073005260,7
01073001140,7
01073005180,7
01131001001,2
01131002002,2
01021000070,2
01021000090,2
01021000250,2
01021000020,2
01117000036,2
01019000019,1
01079002901,6
01003000025,4
01003000024,4
01003000009,4
01003000018,4
01003000022,4
01003000008,4
01003000047,4
01003000038,4
01003000031,4
01003000032,4
01003000033,4
01003000048,4
01003000041,4
01003000034,4
01003000004,4
01003000015,4
01097000009,4
01003000002,4
01003000005,4
01123000901,2
01123000701,2
01027000601,2
01099000601,2
01099000301,4
01105000001,3
01105000002,3
01025000001,4
01079000301,6
01025000010,4
01025000022,4
01125000021,3
01125000017,3
01125000009,3
01125000015,3
01125000049,3
01125000050,3
01125000045,3
01125000007,3
01125000002,3
01125000001,3
01125000008,3
01125000011,3
01125000012,3
01125000013,3
01025000021,4
01025000002,4
01125000044,3
01125000041,3
01125000043,3
01125000046,3
01125000040,3
01125000052,3
01125000038,3
01125000028,3
01125000026,3
01125000042,3
01125000024,3
01125000018,3
01125000004,3
01125000033,3
01125000032,3
01099000302,2
01081000001,5
01081000008,5
01081000006,5
01081000003,5
01081000005,5
01081000002,5
01081000004,5
01081000014,5
01081000009,5
01081000010,5
01081000007,5
01081000023,5
01081000022,5
01081000013,5
01081000012,5
01081000015,5
01025000007,4
01003000046,4
01003000045,4
01003000007,4
01003000039,4
01003000040,4
01003000028,4
01003000006,4
01003000035,4
01003000020,4
01003000023,4
01003000042,4
01109000034,5
01109000007,5
01109000003,5
01109000021,5
01109000013,5
01109000001,5
01109000022,5
01109000006,5
01053000190,4
01109000033,5
01109000023,5
01109000019,5
01109000032,5
01109000008,5
01129000006,4
01129000007,4
01023000007,3
01023000010,3
01023000006,3
01023000047,3
01023000012,3
01079001701,6
01079003101,6
01079002401,6
01053000030,5
01053000300,4
01053000320,4
01053000270,4
01053000260,4
01001000014,2
01047009512,2
01047000801,2
01047000302,2
01047001001,2
01047000501,2
01047001201,2
01047000101,2
01107001800,3
01107001300,3
01001000012,2
01107001500,3
01127000004,3
01131005003,2
01131005001,3
01127000033,3
01127000034,3
01127000005,3
01127000002,3
01127000044,3
01131006001,3
01091000301,3
01091000306,3
01091000501,3
01091000407,3
01091000502,3
01091000405,3
01091000408,3
01097000029,4
01099001403,2
01099000001,4
01097000056,4
01097000055,4
01097000037,4
01097000032,4
