GEOID,DISTRICT
05051000021,1
05051000034,1
05051000051,1
05051000114,1
05051000112,1
05051000113,1
05051000132,1
050990000W3,1
050990000W1,1
050990000W2,1
05051000012,1
05051000011,1
05051000122,1
05051000103,1
05051000104,1
05051000102,1
05051000101,1
05051000094,1
05051000121,1
05051000032,1
050990000RW,1
050990000W4,1
050990000RE,1
05117000WAC,4
051170000H2,4
051170000H1,4
05051000111,1
05039000802,1
05039000801,1
0501900CRT1,1
05103000014,1
05051000115,1
05051000125,1
05051000123,1
05041000005,1
05041000001,1
05041000006,1
05041000014,1
05041000016,1
05041000013,1
05013000700,1
05013000201,1
05013000702,1
05013000301,1
05013000600,1
05013000300,1
05013000500,1
05013000701,1
05013000100,1
05013000200,1
05013000310,1
0502500002B,1
0502500002A,1
05025000010,1
0509900ROSR,1
05025000005,1
05025000003,1
05013000910,1
05013000810,1
05039000701,1
05039000704,1
05039000703,1
05039000602,1
0501900ECO1,1
05027000011,1
05027000009,1
05073000060,1
05027000001,1
05027000010,1
05025000014,1
0502500001B,1
0502500001A,1
05099000LAN,1
05099000GEO,1
050990000ER,1
05057000019,1
05013000401,1
05013000800,1
05013000900,1
05093000010,4
0509300007A,4
05093000013,4
05025000004,1
05027000002,1
05027000004,1
05051000014,1
05051000031,1
05051000044,1
05051000054,1
05051000033,1
05051000061,1
05051000043,1
05051000041,1
05051000063,1
05051000053,1
05051000064,1
05051000042,1
05053000022,1
05053000011,1
05053000012,1
05053000020,1
05053000021,1
05053000009,1
05053000003,1
05053000004,1
051170000CE,4
051170000HC,4
051170000H3,4
051170000DA,4
05053000019,1
05053000013,1
05039000603,1
05039000601,1
05039000901,1
05051000022,1
05117000RRC,4
05051000133,1
05051000131,1
05051000124,1
05125000002,1
05051000082,1
05051000071,1
05051000091,1
05051000072,1
05051000083,1
05051000093,1
0509900BODR,1
05051000062,1
05025000012,1
05053000002,1
050930029-1,4
05093000039,4
05093000018,4
05093000019,4
05093000024,4
05093000038,4
05129000005,3
05137000108,4
05129000006,3
05013000400,1
05013000410,1
05041000002,1
05041000003,1
05053000014,1
05129000012,3
05129000001,3
05129000014,3
05129000010,3
05107001173,4
05107002300,4
05057000005,1
05057000004,1
05057000002,1
05057000013,1
05057000016,1
05057000023,1
05057000021,1
05057000010,1
05091000MAN,1
05081000FRK,1
05057000014,1
05043000011,1
05043000003,1
05043000008,1
05043000004,1
05043000016,1
05043000001,1
05053000015,1
05053000008,1
05043000005,1
05057000003,1
05057000001,1
05057000017,1
05057000008,1
05069000102,1
05069000083,1
05069000045,1
05043000012,1
05011000014,1
05069000064,1
05069000065,1
05069000075,1
05069000110,1
05069000109,1
05069000108,1
05069000104,1
05069000111,1
05069000415,1
05069000084,1
050690733-1,1
05069000088,1
05069000081,1
05069000211,1
05069000206,1
05069000205,1
05069000207,1
05069000312,1
05069000311,1
05069000005,1
05069000011,1
05069000314,1
05069000419,1
05069000420,1
05069000418,1
05069000410,1
05069000304,1
05069000405,1
05147000018,4
05147000015,4
05147000017,4
05147000005,4
05121000008,4
05121000029,4
05121000028,4
05121000026,4
05121000027,4
05107001001,4
05147000011,4
05041000015,1
05041000018,4
05001000032,4
05001000031,4
05043000013,1
05043000009,1
05009000006,3
05009000007,3
050050001-3,4
05009000003,3
05009000002,3
05009000001,3
05009000005,3
05009000004,3
05009000008,3
05009000009,3
05009000011,3
05009000010,3
05015000023,3
05009000012,3
050050004-1,4
050050005-3,4
050050004-2,4
050050002-2,4
050050006-2,4
05069000950,1
05069000032,1
05069000223,1
05069000220,1
05069000319,1
05069000403,1
05069000424,1
05069000085,1
05069000422,1
05069000423,1
05069000309,1
05069000310,1
05091000DOD,1
05073000065,1
05091000CHM,1
05091000UNI,1
05091000GEN,1
05107001165,4
05107001203,4
05107001171,4
05107001201,4
05107001010,4
05107002102,4
05107001801,4
05107001800,4
05107001999,4
05107001040,4
05101000DOG,3
05101000MTS,3
05013000110,1
05041000010,1
05041000004,1
05041000020,1
05041000008,4
050050010-3,4
050050008-3,4
050050003-3,4
050050009-1,4
05069000203,1
050050011-2,4
050050008-1,4
05069000125,1
05069000114,1
05069000124,1
05069000128,1
05069000119,1
05069000106,1
05069000107,1
05069000105,1
05069000112,1
050050006-3,4
050050001-1,4
050050007-3,4
050050007-1,4
050050011-8,4
050050009-2,4
05043000006,1
05043000010,1
051310001-H,2
051310001-J,2
051310004-M,2
05131009-1M,2
051310004-I,2
051310004-L,2
05131009-1I,2
05131009-4I,2
05131009-2A,2
051310004-J,2
051310009-J,2
05131009-6C,2
05131009-6A,2
051310009-L,2
051310003-M,2
05131009-4H,2
05131009-1O,2
05087000010,2
05087000019,2
05087000023,2
05087000014,2
05087000024,2
05087000006,3
05131009-1E,2
05131009-1D,2
05131009-1B,2
051310001-M,2
051310002-G,2
051310002-F,2
05033000033,2
051310002-C,2
05033000011,2
05087000001,2
050050011-9,4
050050009-3,4
050050003-4,4
050050011-1,4
050050011-3,4
050050009-4,4
050050010-1,3
050050005-4,4
050050006-1,4
050050008-5,4
050050002-3,4
05033000012,2
05033000002,2
05087000009,3
05083000140,3
05131009-3K,2
051310002-B,2
05131009-1C,2
05083000146,3
05083000100,3
05083000138,3
05131009-3M,2
05131009-3O,2
05131009-3N,2
05131009-4B,2
05131009-4L,2
05131009-3C,2
05131009-2G,2
05087000022,2
05087000021,2
05131009-3B,2
05131009-2L,2
05131009-2K,2
05127000020,1
051310003-D,2
05131009-5A,2
051310003-E,2
05033000009,2
05033000038,2
051310004-G,2
05033000016,2
05033000015,2
05033000027,2
05033000007,2
05033000037,2
05033000032,2
05033000029,2
05055000023,4
05055000016,4
05055000018,4
05055000019,4
05055000028,4
05055000024,4
05055000025,4
05055000005,4
05055000004,4
0505500004A,4
0505500004C,4
05055000026,4
05131009-4C,2
05131009-4K,2
05131009-2C,2
05131009-2B,2
05131009-2D,2
05131009-2J,2
05131009-2F,2
05131009-2E,2
05131009-1K,2
051310001-K,2
051310001-I,2
051310001-A,2
05043000007,1
050050011-4,4
050050005-2,4
0505500001A,4
05055000001,4
05055000002,4
05055000014,4
05055000015,4
05055000003,4
0505500003A,4
05055000013,4
05055000007,4
05055000031,4
05055000027,4
05055000032,4
05033000031,2
05033000001,2
05091000FOU,1
05091000BRI,1
05057000012,1
05137000124,4
05137000106,4
05137000118,4
05137000105,4
05137000103,4
05137000129,4
05137000102,4
05137000104,4
05137000112,4
05127000022,1
05127000023,1
05097000013,1
05127000024,1
05127000006,1
05127000019,1
05137000119,3
05137000123,4
05035000063,4
05035000065,4
05035000013,4
05035000081,4
05035000067,4
05035000066,4
05035000078,4
05035000068,4
05035000032,4
05037000W08,4
05127000004,1
05091000GRV,1
05043000014,1
05043000015,1
05035000070,4
05035000077,4
05057000007,1
05057000022,1
05057000006,1
05057000020,1
05055000017,4
05055000010,4
05055000022,4
05055000021,4
05055000020,4
05123000007,4
05123000006,4
05123000053,4
05123000052,4
05123000066,4
05007000078,2
05007000028,2
05007000002,2
05007000033,2
05007000109,2
05007000058,2
05007000012,2
05007000041,2
05007000011,2
05007000085,2
05007000017,2
05007000016,2
050370000P2,4
050370000P4,4
05035000022,4
05035000055,4
05007000092,2
05007000050,2
05007000116,2
05007000061,2
05007000102,2
05007000066,2
05007000090,2
05007000046,2
05007000007,2
05007000096,2
05007000097,2
05007000009,2
05007000003,2
05007000004,2
05007000080,2
05007000089,2
05007000042,2
05007000084,2
05007000071,2
05007000074,2
05007000043,2
05007000106,2
05007000110,2
05007000076,2
05007000019,2
05007000015,2
05007000051,2
05007000086,2
05007000001,2
05007000083,2
05007000068,2
05007000094,2
05007000104,2
05007000115,2
05007000036,2
05007000039,2
05007000059,2
05129000007,3
05129000002,3
05123000027,4
05123000004,4
05035000074,4
05035000021,4
05035000071,4
05035000072,4
05035000023,4
05035000052,4
05037000C01,4
05037000W01,4
05037000W04,4
05037000W05,4
05035000076,4
05035000082,4
05035000080,4
05035000064,4
05021000001,4
05123000032,4
05123000031,4
05123000065,4
05123000021,4
05123000038,4
05007000008,2
05021000016,4
05021000003,4
05021000014,4
05021000017,4
05021000013,4
05067000045,4
05067000031,4
05067000030,4
05067000037,4
05067000028,4
05067000025,4
05067000014,4
05003000014,1
05003000011,1
05003000012,1
05067000033,4
05067000034,4
05067000035,4
05067000038,4
05067000039,4
05067000049,4
05067000048,4
