GEOID,DISTRICT
04013000006,1
04013000423,1
04013000216,1
04013000728,1
04013000007,1
04013000271,2
04013000082,2
04013000086,2
04013000060,2
04013000709,3
04013000369,3
04013000524,3
04013000558,4
04013000191,2
04013000032,5
04013000464,3
04013000143,3
04013000489,2
04013000056,5
04013000072,6
04013000643,6
04013000002,1
04013000661,1
04013000703,1
04013000510,6
04013000025,4
04013000364,4
04013000061,4
04013000107,6
04013000251,6
04013000513,6
04013000431,5
04013000475,5
04013000166,7
04013000539,5
04013000047,6
04013000290,6
04013000268,6
04013000601,6
04013000649,5
04013000315,5
04013000516,4
04013000118,7
04013000402,6
04013000677,2
04013000049,2
04013000410,5
04013000350,3
04013000574,3
04013000393,6
04013000099,5
04013000653,5
04013000447,2
04013000503,4
04013000642,4
04013000518,4
04013000233,4
04013000298,4
04013000106,6
04013000175,5
04013000724,4
04013000275,4
04013000122,7
04013000669,4
04013000331,7
04013000541,4
04013000149,1
04013000487,1
04013000748,1
04013000220,7
04013000253,7
04013000228,3
04013000176,3
04013000092,6
04013000459,6
04013000614,7
04013000360,7
04005000040,2
04005000079,2
04005000098,2
04005000099,2
04005000066,2
04005000024,2
04005000026,2
04005000080,2
04005000062,2
04005000058,2
04005000075,2
04005000048,2
04005000092,2
04005000063,2
04005000042,2
04005000059,2
04005000097,2
04005000043,2
04013000633,5
04013000108,5
04013000211,4
04013000517,4
04013000050,6
04013000623,5
04013000273,1
04013000034,6
04013000445,6
04013000212,6
04013000400,6
04013000078,4
04013000305,5
04013000027,5
04013000448,5
04013000582,3
04013000542,6
04013000227,7
04013000686,7
04013000207,7
04013000190,7
04013000386,1
04013000404,1
04013000483,1
04013000218,7
04013000085,7
04013000681,7
04013000246,7
04013000172,7
04013000011,7
04013000711,7
04013000451,7
04005000047,2
04005000056,2
04005000055,2
04005000084,2
04005000005,2
04005000069,2
04021000082,8
04021000036,8
04021000034,8
04021000025,8
04021000024,8
04021000023,8
04021000020,8
04021000001,8
04021000013,8
04021000105,8
04021000027,8
04021000017,8
04021000037,8
04021000062,7
04021000038,8
04021000029,8
04021000055,8
04021000097,8
04021000026,8
04021000070,8
04021000100,7
04021000030,7
04021000102,7
04021000090,7
04021000031,8
04021000077,7
04021000092,8
04021000008,8
04021000046,4
04021000005,9
04021000018,8
04021000041,8
04021000091,8
04021000053,8
04021000010,8
04013000561,3
04013000288,3
04013000671,3
04013000588,6
04013000500,6
04013000161,6
04013000576,4
04013000005,4
04021000009,8
04013000279,4
04013000379,4
04013000262,4
04013000485,5
04013000136,3
04013000575,3
04013000635,3
04013000302,4
04013000112,4
04013000356,7
04013000526,1
04013000093,3
04013000195,5
04013000171,5
04013000311,5
04013000038,4
04013000074,4
04013000265,4
04013000306,5
04013000287,4
04013000457,4
04013000610,1
04013000578,1
04013000015,6
04013000559,2
04013000314,4
04013000592,5
04013000131,5
04013000361,5
04013000114,5
04013000276,5
04013000540,2
04013000700,2
04013000506,2
04013000286,6
04013000214,6
04013000168,2
04013000250,2
04013000196,2
04013000738,5
04013000476,7
04013000427,7
04013000117,7
04013000245,7
04005000011,2
04005000022,2
04005000041,2
04005000053,2
04013000232,4
04013000163,4
04013000103,6
04013000068,6
04013000192,3
04013000073,5
04013000666,2
04013000133,6
04013000416,4
04013000377,2
04013000035,4
04013000494,4
04013000260,5
04013000733,5
04013000282,3
04013000465,3
04013000016,3
04013000627,5
04013000602,5
04013000215,5
04013000010,7
04013000587,5
04013000132,5
04013000679,4
04013000088,7
04013000182,1
04013000676,1
04013000439,1
04013000269,1
04013000701,1
04005000073,2
04001000085,2
04001000125,2
04001000170,2
04001000025,2
04001000080,2
04001000060,2
04001000065,2
04021000048,4
04021000059,4
04021000040,4
04021000007,8
04021000093,8
04021000015,8
04021000049,8
04021000051,8
04021000050,8
04013000291,3
04013000727,3
04013000205,3
04013000675,6
04013000374,5
04013000581,7
04013000732,5
04013000690,1
04013000521,1
04013000183,1
04013000580,5
04013000519,5
04013000628,6
04013000406,6
04013000248,5
04013000549,5
04013000066,7
04013000705,7
04013000178,4
04013000210,4
04013000467,4
04013000488,4
04013000330,1
04013000444,2
04013000662,2
04013000113,2
04013000244,1
04013000384,1
04013000284,1
04013000704,3
04013000646,3
04013000316,3
04013000378,3
04013000495,3
04013000729,4
04013000294,4
04013000511,4
04013000514,6
04013000162,6
04013000125,6
04013000645,6
04013000544,6
04013000706,1
04025000017,1
04013000270,1
04013000659,1
04013000551,6
04013000352,1
04013000009,3
04013000209,3
04013000146,3
04013000137,3
04013000045,5
04013000504,5
04013000667,5
04013000359,4
04013000398,6
04013000531,5
04013000647,5
04013000154,7
04013000664,3
04013000723,3
04013000234,1
04013000363,3
04013000141,1
04021000019,8
04021000075,8
04021000012,8
04021000068,8
04021000095,8
04021000096,8
04021000022,8
04013000206,1
04005000074,2
04005000072,2
04013000158,3
04013000548,6
04013000300,6
04013000620,6
04013000719,6
04013000179,2
04013000583,3
04013000256,3
04019000002,3
04013000029,3
