GEOID,POP,X,Y
08001001028,2452,-104.99383991493512,39.85236202383835
08001001250,4063,-104.98230561096337,39.85860854700490
08001001029,4361,-104.99582555849616,39.86075158517309
08001001105,520,-104.98357199420828,39.87811982178011
08001001109,2217,-104.96363246921986,39.87328151305321
08001001108,2829,-104.97461158061566,39.87319774431425
08001001106,3544,-104.96837035296599,39.88152172355719
08001001113,2534,-104.96081776863279,39.86532436083732
08001001098,1906,-104.98474954791264,39.89295785588561
08001001099,1362,-104.98014337632874,39.89195906772152
08041041168,1901,-104.82517740906501,38.85503498665069
08041041500,616,-104.10892502025717,39.06343000507495
08041041501,1652,-104.25879185867966,38.99566352588290
08041041320,2011,-104.74422073769114,39.11296496523604
08041041317,2472,-104.81606924195908,39.11031348449810
08041041423,2417,-104.69300591045591,38.93435122126951
08041041401,3093,-104.71027559485293,38.93157730568029
08041041402,3474,-104.71454255496796,38.91847550669902
08041041170,2390,-104.82729585581302,38.86734097160343
08041041200,6611,-104.85896707164454,38.99522637158388
08041041210,2410,-104.83860424962037,39.04608276311934
08041041301,1155,-104.96473145455305,39.05169907829750
08041041221,2823,-104.81888777069472,39.02508896324737
08041041222,3100,-104.79296449015868,38.97715024020630
08041041216,4594,-104.80973637859412,39.00502782335987
08041041242,3224,-104.80323588083287,38.93479205963695
08077077045,4401,-108.54599525054529,39.07574655908027
08077077046,3357,-108.53790150951083,39.08896054561252
08077077003,2103,-108.73502342101673,39.16853719636287
08077077007,2766,-108.88083944494386,39.11559990899690
08077077001,2540,-108.93421228485825,39.26157727068204
08077077009,1242,-108.82683871495273,38.95536609413951
08077077039,3254,-108.56278119866766,39.07175225417368
08077077033,2416,-108.65990062933227,39.07863712212654
08077077057,3614,-108.50874081646765,39.03529296945950
08077077014,1842,-108.46686154761639,39.04334779208298
08077077010,1387,-108.51663694904622,39.01861009640484
08077077013,3156,-108.51570448615956,39.04979477194416
08047047001,1074,-105.50342450785210,39.78688574815428
08019019004,1276,-105.62344188105516,39.80677786033198
08047047002,789,-105.53707950646638,39.83153883076216
08001001122,1875,-104.97065591616298,39.81320067932634
08031031502,2049,-104.98390105549622,39.78697418331991
08001001127,2438,-104.93963353842804,39.82204555847350
08001001066,1383,-104.99637172297943,39.93440119101752
08001001067,1063,-105.00156291417888,39.93826753871549
08001001174,855,-104.77586299188718,39.99047567473380
08001001176,866,-104.75704758450823,39.99362766988055
08001001175,2299,-104.76645798655623,39.99365070430171
08001001173,134,-104.78067601769533,39.99580433777868
08001001183,612,-104.76644155763510,39.97970094775403
08001001196,457,-104.77838573080872,39.96552225399269
08001001195,726,-104.80403406594927,39.95800786107661
08001001182,1458,-104.75699042988879,39.97956510277604
08001001194,1030,-104.81355376732191,39.95418090652073
08001001181,2359,-104.74672333555056,39.98179711130368
08001001124,3909,-104.90811813625076,39.80148646851629
08001001057,1432,-105.04853184531720,39.90666265747426
08001001058,1947,-105.03790645026520,39.91002268339484
08041041801,4990,-104.78494538774807,38.60198597766150
08041041828,813,-104.46512934350301,38.61358590952630
08041041807,3270,-104.69577863105793,38.67697234516991
08041041740,2514,-104.97387756354365,38.84232932415762
08041041174,1708,-104.78714621193249,38.85726450105022
08041041130,2490,-104.78997947254885,38.86505996175923
08005005237,1563,-104.89725931146941,39.58474160344170
08005005104,1768,-105.00843639065745,39.66603485276332
08031031240,1672,-104.99837010708919,39.67197571441953
08005005546,2292,-104.80543086469491,39.73124610429602
08005005119,1165,-104.98311462191373,39.63946893361135
08005005136,1234,-104.92465783770106,39.64183344389109
08005005152,1013,-105.02241351752281,39.61738789358512
08005005346,2197,-104.71967263817652,39.71730921580985
08005005381,2884,-104.69251962982848,39.71833053717378
08005005347,2387,-104.69437817085780,39.72993125114398
08005005360,1771,-104.66614164175243,39.70046448072410
08005005358,86,-104.63191099376949,39.66638953600028
08005005359,0,-104.61259029576452,39.70000626306597
08005005345,662,-104.72301203156755,39.69123574783157
08005005311,2838,-104.75731235010419,39.67522814378643
08005005312,3009,-104.76404405306307,39.66810193191393
08005005283,1291,-104.76374892328626,39.60515775043017
08041041126,3196,-104.80694629941780,38.87455380593127
08041041122,4383,-104.82272455169323,38.88944596560422
08041041405,2414,-104.69832257258969,38.90698863153871
08041041406,2954,-104.68796883581899,38.90613025042884
08041041414,2535,-104.70708242591547,38.86538114240276
08041041415,2765,-104.68939847484219,38.86122765379915
08041041418,2357,-104.70942576039880,38.85858886370359
08041041203,1796,-104.85832953438580,38.93286908840970
08041041205,2653,-104.83907221455583,38.92261687763516
08041041134,1949,-104.72286197258950,38.92972171611178
08041041164,2714,-104.72929444497782,38.92077498176145
08041041143,1626,-104.72761089404642,38.93459347740116
08041041142,2930,-104.73967543622986,38.93474275199508
08041041144,2155,-104.77068752634155,38.91875614203591
08041041148,3270,-104.76847934821404,38.90922328995605
08041041204,2227,-104.85666795151602,38.94090462130734
08041041201,2258,-104.91015209734694,38.94303874617169
08041041101,2477,-104.87858046876359,38.93426626152259
08041041129,3979,-104.76344063706739,38.88502843092273
08041041146,1489,-104.73394252129026,38.92732951153359
08041041163,2675,-104.74279195588544,38.92568206269610
08041041177,2179,-104.82158815865915,38.84114272988069
08041041189,2506,-104.82043383112662,38.82974471220262
08041041172,1821,-104.81407774458199,38.85658295228748
08041041171,1821,-104.81178094892479,38.86527903595255
08041041176,3091,-104.82102225768081,38.84771116011137
08041041409,2405,-104.70870120190881,38.89277829285925
08041041411,3173,-104.68898328046032,38.89505391058395
08041041410,2885,-104.69714426116300,38.89117026474850
08041041140,2215,-104.78376344716320,38.92196518593551
08041041141,2446,-104.76472566654454,38.92729446642893
08041041742,1560,-104.91982005056050,38.86168231304764
08041041115,1748,-104.87064092779089,38.82864933496682
08041041118,2750,-104.87728417287524,38.84406397208873
08041041302,2652,-104.90485654839512,39.11480306169814
08041041445,3260,-104.70860146186573,38.94633570481711
08041041224,3274,-104.70907825165918,38.95806747074143
08041041223,3142,-104.71254291045130,38.97340252721325
08041041220,3784,-104.73102088089276,38.96582296306757
08041041319,2358,-104.84147913294811,39.06941450040350
08041041315,2086,-104.83069337876164,39.06536425894576
08041041800,16148,-104.78360486749241,38.74145983402156
08041041802,2808,-104.71014701779082,38.69700185137153
08041041604,3747,-104.80779091543408,38.76986383644732
08041041632,4162,-104.72806826436725,38.73023946176156
08055055004,1194,-104.77786197815141,37.62208445542755
08055055008,64,-104.94763783878000,37.68766952100781
08055055001,488,-105.24334434178247,37.78881016549509
08001001007,2699,-105.03138877881989,39.80813423671361
08001001004,2062,-105.00167184629838,39.82470249928881
08001001005,3242,-105.01109782223486,39.82617105294746
08001001006,2848,-105.02683028677106,39.81717784186994
08001001003,2966,-104.99570653845910,39.81245392099349
08001001002,3023,-105.00897609480477,39.79935115707457
08001001065,1725,-105.01117919370384,39.93386214610677
08001001068,2009,-105.00748748266795,39.94097753259962
08001001001,3990,-105.03813713349135,39.79512475932979
08001001086,1478,-104.94440822322586,39.93501690196338
08001001149,1788,-104.93680543507543,39.93050430247582
08001001150,2267,-104.93157563719355,39.93890889457701
08001001115,2373,-104.96004321514403,39.85976593023388
08001001112,2339,-104.97342798046630,39.86155221902219
08001001024,2406,-105.00235893925814,39.84140723853992
08001001021,3893,-104.99219483425709,39.83154703382879
08001001072,1105,-104.95757234229619,39.99072729458213
08001001073,3023,-104.96980516815002,39.97319770241592
08001001071,1528,-104.97089768960721,39.99688904286149
08014014036,4680,-105.01039500444611,39.98958985995586
08001001236,3841,-104.81485063839898,39.75042674855390
08001001037,4672,-105.01102974961705,39.87298413915524
08001001038,3507,-104.99939076127895,39.86960333603417
08001001255,1870,-104.92641480601199,39.83553404704857
08001001012,2261,-105.03210352255154,39.83391184688055
08001001018,2174,-105.02922593028333,39.84790234455119
08001001011,3647,-105.02269945275712,39.82749735002224
08001001017,1809,-105.03792279372242,39.84703922355872
08113113004,1364,-108.45538597075465,38.02931077532083
08113113005,156,-108.88546152625142,37.98522972852830
08113113003,895,-108.01877925187117,38.00560078362773
08113113002,1786,-107.85935230552502,37.90318777154014
08001001145,2684,-104.92653337941752,39.91958834570073
08001001137,2444,-104.92782228485467,39.90933976271330
08001001135,2530,-104.92870067628998,39.89968716449748
08001001217,1958,-104.79685300543997,39.87581816401116
08001001221,896,-104.78668268959102,39.87528303495213
08001001216,3212,-104.80471460850404,39.87812513013710
08001001231,4819,-104.85761077156552,39.74751892374498
08001001230,3882,-104.86578266005928,39.74754624198785
08001001190,2061,-104.80817366679413,39.97888792327944
08001001084,1031,-104.96146280638396,39.93334017887728
08001001085,1747,-104.95221350978058,39.93153202905656
08001001023,2271,-104.99099354320694,39.84476171113613
08001001022,2924,-104.99322941432914,39.83878893219646
08001001120,2924,-104.97580651661998,39.84244991785992
08001001128,4349,-104.91231302663465,39.83498888374637
08001001119,3257,-104.96692149175540,39.84604874455629
08001001121,2519,-104.96160229573432,39.83463583300415
08001001117,3321,-104.96857098462517,39.85158177490233
08001001087,3273,-104.97375776355256,39.92118969246848
08001001246,2519,-104.43456476858859,39.74861727579489
08001001247,1451,-104.32721792422194,39.90888648904391
08001001245,609,-104.45349661209717,39.85411022035747
08001001139,627,-104.91117432020627,39.90083229058175
08001001248,1431,-104.29268055760586,39.79678008980385
08001001251,2092,-104.29267138914341,39.74590606731731
08001001052,3703,-104.99241191016962,39.89782721485275
08001001090,3686,-104.98468196424892,39.90507337672356
08001001095,2145,-104.97240825065003,39.90358006588190
08001001091,2774,-104.98254282321292,39.91034571084084
08001001237,4278,-104.79081848360271,39.75703644340550
08031031733,6293,-104.79228714960161,39.77861526427969
08087087011,1423,-103.80516785732674,40.40274710913676
08087087003,1805,-103.88152484232394,40.27336240514955
08087087002,877,-104.02547892922634,40.40536195342212
08087087001,3237,-104.04684509973876,40.15384170527333
08087087009,1886,-103.79663492281486,40.25308050542615
08005005170,2071,-105.04152020553462,39.57362117447635
08005005427,2373,-104.84198162224413,39.67135042588492
08005005320,2574,-104.75837358585524,39.63079744038168
08005005321,1896,-104.75855441362961,39.61885218957342
08005005274,1646,-104.76782503817371,39.62039898520086
08005005273,1407,-104.77490595049669,39.62761250000000
08005005243,3701,-104.83398824911065,39.57929398497583
08005005286,3124,-104.86690321892429,39.58151374801969
08005005234,2039,-104.88501603351952,39.60016393067635
08005005544,3145,-104.79850101479602,39.70983691647353
08057057005,554,-106.07941347379746,40.63896402945674
08057057003,165,-106.46056081021557,40.50541646142679
08057057002,92,-106.44002131910776,40.90854401625121
08005005259,3723,-104.80695059079106,39.58446323835980
08005005258,1039,-104.80476239263594,39.59393895236397
08005005255,2249,-104.84375698262753,39.62968419156418
08005005260,2777,-104.79658223682257,39.57264398667463
08005005130,1366,-104.98319892130962,39.63314126550886
08005005109,791,-104.97088269874526,39.66107728024914
08005005105,2350,-104.99175184992177,39.66124920628056
08077077055,3100,-108.54921771964075,39.04924040372789
08077077056,4170,-108.54811856712530,39.03856396983265
08057057001,500,-106.48962413418016,40.73358524090019
08077077030,4728,-108.62231296765326,39.10472383538880
08077077028,1943,-108.60196529020942,39.14194981981532
08077077029,2693,-108.65055053220269,39.28736367298718
08077077051,2604,-108.49301495243587,39.09537598336920
08077077050,2961,-108.50679898291352,39.09644699268914
08077077027,3056,-108.48484814851072,39.11289370625079
08077077054,5834,-108.52870096687894,39.06432365044009
08077077053,4124,-108.49262549341874,39.07327278050011
08077077052,3895,-108.47420610000000,39.07133050000000
08001001069,2427,-104.99805834587083,39.95454201545374
08001001070,1292,-105.00639669391589,39.96931139628269
08001001039,1741,-104.99223820396534,39.87802317205649
08001001111,2678,-104.94836901606233,39.87149071881954
08001001035,5293,-105.02028136424433,39.86964288617765
08001001036,1176,-105.01026918814095,39.86587327414017
08001001169,639,-104.85539665058769,39.97226281566603
08001001164,629,-104.87827830994024,39.98102571845606
08001001193,2593,-104.83658708526404,39.95804398125818
08001001163,917,-104.85636086437987,39.99368778481757
08001001170,3066,-104.81829224624427,39.99345457562088
08001001184,688,-104.77585717867115,39.98442466182976
08001001185,818,-104.77621118117406,39.97710404758161
08001001241,88,-104.60532949586614,39.74717197029409
08001001242,831,-104.56384712323346,39.81899220371741
08001001243,1516,-104.58792200325132,39.93854628805867
08031031742,2893,-104.68677201031248,39.85783686413574
08029029008,1984,-107.92370320413485,38.73824223816435
08029029003,1377,-108.10257368802573,38.75127060419163
08029029002,1479,-108.18876857104762,38.81060457205405
08029029013,1188,-107.98871626584719,38.96536461188557
08029029009,1816,-108.00105459261044,38.80350344512228
08029029017,1409,-107.63696120481693,38.72293231720602
08029029016,1571,-107.70608457770228,38.78179386292849
08077077048,2781,-108.53281722950057,39.12034090293520
08077077019,928,-108.36383652901843,39.26037971084115
08077077021,3705,-108.44989925437815,39.10454802234383
08077077024,5101,-108.45931224884086,39.07856846271288
08077077047,2497,-108.53761682874047,39.10339796292925
08077077042,2142,-108.55719632779088,39.10714576339340
08077077043,4336,-108.56322406332761,39.08660014738357
08041041615,3960,-104.77704634122257,38.78534952610681
08041041613,3517,-104.79034007475222,38.77388608833470
08041041631,1143,-104.76387938356783,38.76705558223667
08041041626,2942,-104.75284201086779,38.81533960397569
08041041623,4308,-104.73806925060993,38.80646352811247
08041041560,2186,-104.16687060989138,38.83654320760903
08041041554,346,-104.16559206133452,38.61621336098234
08029029001,2100,-108.23610530635302,38.71916785440284
08029029007,1749,-108.02923293995150,38.71458779930381
08077077038,3639,-108.59167568422851,39.06593114271265
08077077017,1552,-108.29017549305215,39.15569226113895
08077077015,1409,-108.34209949769533,39.05965469435681
08077077020,2627,-108.39503882985191,39.10060257493407
08039039015,1515,-103.93007798599379,39.09880871103591
08039039014,2192,-104.06860350915747,39.42299780451828
08033033004,1075,-108.92298253385205,37.81891624742754
08033033003,474,-108.96434221440651,37.66767573848032
08033033001,397,-108.36455953069249,37.76041528137679
08001001153,1503,-104.89365794093509,39.93221475791547
08001001156,1527,-104.90900019861961,39.93951814750621
08001001155,660,-104.89367828486564,39.93946066538090
08001001142,1784,-104.88404907865394,39.91868962135394
08001001154,77,-104.86678107987299,39.93432351325679
08001001191,3133,-104.81876829899007,39.98014967394933
08001001215,2175,-104.80149245733152,39.88937420088219
08001001213,1717,-104.77750344408565,39.89414990417020
08001001214,2048,-104.78460637478925,39.88869336792555
08001001212,1252,-104.79570397296447,39.89674936555640
08001001211,832,-104.81854226937355,39.89265010473421
08001001200,186,-104.78362067143915,39.90650415964320
