GEOID,DISTRICT
08001001028,7
08001001250,7
08001001029,7
08001001105,7
08001001109,7
08001001108,7
08001001106,7
08001001113,7
08001001098,7
08001001099,7
08041041168,4
08041041500,4
08041041501,4
08041041320,2
08041041317,2
08041041423,2
08041041401,2
08041041402,2
08041041170,4
08041041200,2
08041041210,2
08041041301,2
08041041221,2
08041041222,2
08041041216,2
08041041242,2
08077077045,3
08077077046,3
08077077003,3
08077077007,3
08077077001,3
08077077009,3
08077077039,3
08077077033,3
08077077057,3
08077077014,3
08077077010,3
08077077013,3
08047047001,6
08019019004,3
08047047002,6
08001001122,7
08031031502,7
08001001127,7
08001001066,6
08001001067,6
08001001174,7
08001001176,7
08001001175,7
08001001173,7
08001001183,7
08001001196,7
08001001195,7
08001001182,7
08001001194,7
08001001181,7
08001001124,7
08001001057,6
08001001058,6
08041041801,4
08041041828,4
08041041807,4
08041041740,2
08041041174,4
08041041130,4
08005005237,2
08005005104,5
08031031240,5
08005005546,8
08005005119,5
08005005136,8
08005005152,5
08005005346,8
08005005381,8
08005005347,8
08005005360,8
08005005358,8
08005005359,8
08005005345,8
08005005311,8
08005005312,8
08005005283,8
08041041126,4
08041041122,2
08041041405,4
08041041406,4
08041041414,4
08041041415,4
08041041418,4
08041041203,2
08041041205,2
08041041134,2
08041041164,2
08041041143,2
08041041142,2
08041041144,2
08041041148,2
08041041204,2
08041041201,2
08041041101,2
08041041129,4
08041041146,2
08041041163,2
08041041177,4
08041041189,4
08041041172,4
08041041171,4
08041041176,4
08041041409,4
08041041411,4
08041041410,4
08041041140,2
08041041141,2
08041041742,2
08041041115,4
08041041118,4
08041041302,2
08041041445,2
08041041224,2
08041041223,2
08041041220,2
08041041319,2
08041041315,2
08041041800,4
08041041802,4
08041041604,4
08041041632,4
08055055004,4
08055055008,4
08055055001,4
08001001007,7
08001001004,7
08001001005,7
08001001006,7
08001001003,7
08001001002,7
08001001065,6
08001001068,6
08001001001,7
08001001086,7
08001001149,7
08001001150,7
08001001115,7
08001001112,7
08001001024,7
08001001021,7
08001001072,6
08001001073,6
08001001071,6
08014014036,6
08001001236,8
08001001037,7
08001001038,7
08001001255,7
08001001012,7
08001001018,7
08001001011,7
08001001017,6
08113113004,3
08113113005,3
08113113003,3
08113113002,3
08001001145,7
08001001137,7
08001001135,7
08001001217,7
08001001221,7
08001001216,7
08001001231,8
08001001230,8
08001001190,7
08001001084,7
08001001085,7
08001001023,7
08001001022,7
08001001120,7
08001001128,7
08001001119,7
08001001121,7
08001001117,7
08001001087,7
08001001246,8
08001001247,8
08001001245,8
08001001139,7
08001001248,8
08001001251,8
08001001052,7
08001001090,7
08001001095,7
08001001091,7
08001001237,8
08031031733,8
08087087011,1
08087087003,1
08087087002,1
08087087001,1
08087087009,1
08005005170,5
08005005427,8
08005005320,8
08005005321,8
08005005274,8
08005005273,8
08005005243,2
08005005286,2
08005005234,8
08005005544,8
08057057005,3
08057057003,3
08057057002,3
08005005259,2
08005005258,8
08005005255,8
08005005260,2
08005005130,5
08005005109,5
08005005105,5
08077077055,3
08077077056,3
08057057001,3
08077077030,3
08077077028,3
08077077029,3
08077077051,3
08077077050,3
08077077027,3
08077077054,3
08077077053,3
08077077052,3
08001001069,6
08001001070,6
08001001039,7
08001001111,7
08001001035,7
08001001036,7
08001001169,7
08001001164,7
08001001193,7
08001001163,7
08001001170,7
08001001184,7
08001001185,7
08001001241,8
08001001242,8
08001001243,8
08031031742,8
08029029008,3
08029029003,3
08029029002,3
08029029013,3
08029029009,3
08029029017,3
08029029016,3
08077077048,3
08077077019,3
08077077021,3
08077077024,3
08077077047,3
08077077042,3
08077077043,3
08041041615,4
08041041613,4
08041041631,4
08041041626,4
08041041623,4
08041041560,4
08041041554,4
08029029001,3
08029029007,3
08077077038,3
08077077017,3
08077077015,3
08077077020,3
08039039015,4
08039039014,2
08033033004,3
08033033003,3
08033033001,3
08001001153,7
08001001156,7
08001001155,7
08001001142,7
08001001154,7
08001001191,7
08001001215,7
08001001213,7
08001001214,7
08001001212,7
08001001211,7
08001001200,7
08001001229,8
08001001253,8
08001001240,8
08013013209,6
08013013823,6
08013013412,6
08013013400,6
