GEOID,DISTRICT
1705700LS02,15
17169000802,15
17169000803,15
1710300AL01,13
1705700DE01,15
1705700AS01,15
1705700AS02,15
17003000104,8
1705700PT02,15
1705700PT01,15
17095000301,15
1705700LS06,15
1705700CA10,15
1705700CA01,15
1705700FA05,15
17129000005,6
17129000008,6
17129000006,6
1702100TL04,6
1702100SF03,6
1702100TL05,6
1702100TL03,6
17169000501,15
1705700WD01,15
17141000008,13
17141000007,13
17141000006,13
17141000005,13
1710300AM01,13
1710300AM02,13
1705700CA16,15
1705700VT02,15
1705700VT01,15
1703700SH01,13
1703700FR01,13
1703700CO04,13
1705100LO01,8
1705100BG01,8
1705100SF01,8
1705100ST01,8
17065000301,8
17003000301,8
1705100RA01,8
17065000401,8
17091Arom04,17
17091Arom02,17
17093SE0901,17
17093SE0903,16
17093SE0902,16
17093LI0104,16
17093LI0107,16
17093LI0106,16
17093LI0101,16
17093LI0105,16
17091Sumn01,17
17091Yell01,17
17091Pilo02,17
17091Pilo01,17
1705100SM01,8
1705100PO01,8
1702100JN01,6
1702100LT01,6
1702100PN03,8
1702100MT01,6
1702100RM01,8
1717500WGOS,15
1719700JO30,17
1719700LO24,9
1719700LO19,9
17095000402,15
1702500BBG1,8
17129000012,6
17129000014,6
17141000021,13
17141000046,13
17141000050,13
1719700JO29,17
1719700JA02,17
1719700TR18,17
1719700TR19,17
1719700TR16,17
1719700TR17,17
1719700TR10,17
1719700TR11,17
1719700TR21,17
1719700JO36,17
1719700JO34,17
1719700PL33,16
1719700HO10,9
1719700HO13,9
1719700HO01,9
1719700JO27,17
1719700JO31,17
1719700JO33,17
1719700JO25,17
171670CA001,6
171670WD005,6
171670WD006,6
171670CP021,6
171670CP048,6
171670CP087,6
171670CP076,6
171670CP083,6
171670CP084,6
171670CP023,6
171670SP003,6
171670SP002,6
171670SP001,6
171670CP026,6
171670CP051,6
171670CP040,6
171670WD010,6
171670CP020,6
171670CP022,6
171670BH001,6
171670CP031,6
171670AU004,3
171670AU003,3
171670AU005,3
171670CL003,6
171670CL004,6
1719700CR09,14
1719700CR03,14
1719700CR08,14
1719700CR01,14
1719700CR04,14
1719700CR06,14
1719700LO05,9
1719700LO04,9
1719700WE01,17
1719700PL21,16
1719700PL32,16
1719700LO03,9
1719700LO02,9
1719700LO17,9
1719700LO11,9
1719700LO12,9
1719700FR11,14
1719700DU33,9
1719700DU32,9
1719700HO05,14
1719700HO04,9
1719700JA01,17
1719700DU37,9
17083000901,3
17141000013,13
17141000017,13
17141000037,13
17141000002,13
17141000003,13
17093OS0305,16
17091Kank03,17
17091Kank02,17
171670CP089,6
171670CP075,6
171670CP018,6
171670CP008,6
171670AU001,3
171670WI002,6
171670BA002,6
171670CP066,6
171670CP029,6
171670CP067,6
171670GA003,6
171670CP016,6
171670CP030,6
171670SP004,6
171670CP059,6
171670CU001,6
171670CU002,6
171670CP090,6
171670CP069,6
171670CP091,6
171670CP063,6
171670GA001,6
171670AU002,3
171670DI001,3
1710300PM02,13
17141000052,13
17133000005,3
17133000015,3
17133000022,3
17133000014,3
17133000028,3
17133000021,3
17133000010,3
17133000030,3
1705100BW01,8
17043004049,9
17043004048,9
17043004093,9
17043004128,9
17043004002,9
17043004071,9
17043004054,9
17043004028,9
17043004099,9
17043005009,9
17043005065,9
17043005023,9
17043005003,9
17043005020,9
17043005127,9
17043009054,7
17043009094,7
17043002089,9
17043002043,9
17043002018,9
17043002009,9
17043005088,9
17043005099,9
17043005024,9
17043005081,9
17043005086,9
17043002082,9
17043002060,9
17043002053,9
17043007044,10
17043007030,10
17043003101,9
17043003153,9
17043003116,9
17043003024,9
17043003152,9
17043003081,9
17043003135,9
17043003127,9
17043003048,9
17043003019,9
17043004022,9
17043004030,9
17043004020,9
17043004064,9
17169001201,15
17003000201,8
17133000009,3
17133000024,3
17133000008,3
17133000001,3
1703700DK08,13
1703700DK03,13
1703700SY10,13
1703700SQ01,13
171670IL001,6
1703700MA01,13
1703700DK21,13
1703700SO01,13
1702100AP01,6
1702100SF01,6
1702100SF02,6
17201001005,13
17201001002,13
17201000202,13
1720100Rs05,13
1720100Rt03,13
1720100Ha21,13
1720100Ha15,13
1720100Ha04,13
1720100Ha19,13
1704500EL01,8
17091Arom01,17
17091Nort01,17
17091Lime04,17
17091Lime01,17
17091Pemb02,17
17093OS0339,16
17093OS0337,16
17093OS0304,16
17093OS0325,16
17093LI0801,16
17043005008,9
17043005032,9
17043005091,9
17043002079,7
17043002054,7
17043002093,7
17043005037,9
17043004009,9
17043004032,9
17043004078,9
17043004061,9
17043004112,9
17043004107,9
17043003126,9
17043003144,9
17043003058,9
17043003041,9
17043003124,9
17043002040,10
17043002100,10
17165000201,8
17165000101,8
