GEOID,DISTRICT
18039000960,1
18039000460,1
18039000450,1
18039000310,1
18131000130,1
18149000090,1
18149000080,1
18149000020,1
18149000210,1
18039000850,1
18039000760,1
18039000750,1
18131000110,7
18149000010,1
18149000120,1
18149000160,1
18149000180,1
18039000090,1
18039000100,1
18039000990,1
18039000980,1
18039000200,1
18065000150,6
18065000400,6
18011000220,7
18011000360,7
18011000240,7
18011000100,7
18011000130,7
18065000170,6
18065000210,6
18065000120,6
18133000130,5
18133000040,5
18133000290,5
18181000090,7
18065000050,6
18065000060,6
18133000140,5
18143000070,6
18133000060,5
18133000280,5
18143000160,6
18143000120,6
18143000150,6
18143000130,6
18143000140,6
18143000050,6
18143000030,6
18047000090,6
18047000040,6
18065000330,6
18065000340,6
18065000110,6
18023000250,7
18181000140,7
18141001120,1
18141001100,1
18181000010,7
18181000030,7
18141002220,1
18141002250,1
18141001160,1
18141000640,1
18141000690,1
18141000040,1
18141001980,1
18141002050,1
18141001880,1
18141000010,1
18141001130,1
18141001330,1
18141001320,1
18141000330,1
18141001400,1
18141001440,1
18141000340,1
18141001600,1
18141000720,1
18181000170,7
18039000220,1
18039000270,1
18141000950,1
18141000960,1
18141002110,1
18141001300,1
18141000620,1
18141001580,1
18141000100,1
18141000130,1
18141000870,1
18141001530,1
18141001340,1
18141001460,1
18141001500,1
18141000250,1
18141000300,1
18141001420,1
18141002120,1
18141001570,1
18117000120,2
18117000130,2
18117000190,2
18117000050,2
18117000040,2
18023000050,7
18023000190,7
18131000050,7
18131000060,7
18131000100,7
18023000330,7
18023000320,7
18065000320,6
18011000370,7
18011000440,7
18021000130,5
18021000140,5
18169000170,3
18169000200,7
18125000010,2
18125000050,2
18125000150,2
18125000180,2
18155000090,6
18083000070,2
18083000140,2
18173000600,2
18173000290,2
18173000360,2
18173000280,2
18155000070,6
18021000200,5
18159000130,8
18095000080,8
18095001040,8
18095001100,8
18095001110,8
18095000510,8
18095000480,8
18095000610,8
18095000660,8
18095000650,8
18011000500,7
18011000520,7
18011000530,7
18011000280,7
18011000380,7
18141001360,1
18141001350,1
18141001390,1
18141001450,1
18141001770,1
18141001090,1
18141001250,1
18141000670,1
18181000060,7
18181000180,7
18141001670,1
18141000630,1
18141001550,1
18141000110,1
18141001140,1
18141000990,1
18141001190,1
18141001000,1
18173000100,2
18173000130,2
18173000160,2
18173000060,2
18173000430,2
18083000310,2
18011000300,7
18011000340,7
18011000390,7
18011000480,7
18065000370,6
18065000410,6
18065000100,6
18065000130,6
18065000180,6
18155000060,6
18155000010,6
18011000050,7
18011000060,7
18011000010,7
18065000140,6
18065000090,6
18047000130,6
18047000060,6
18047000220,6
18097002340,4
18097002670,4
18133000240,5
18023000390,7
18023000230,7
18155000030,6
18097000730,4
18097000720,4
18097000750,4
18097000760,4
18023000280,7
18047000070,6
18047000110,6
18047000160,6
18047000200,6
18007000150,7
18007000110,7
18019000090,6
18019000190,2
18109000140,5
18109000010,5
18109000060,5
18097000680,4
18097003960,8
18097004020,8
18097001630,8
18097001610,8
18097001600,8
18097004040,4
18097004030,4
18097004050,8
18097002880,4
18097002870,4
18097005550,4
18097005490,4
18097005610,4
18097005380,4
18097005400,4
18097002890,4
18097003630,4
18097003460,4
18097004760,8
18097004180,8
18097000690,4
18097000660,4
18097000230,4
18097000300,4
18097000370,4
18097000990,4
18097000060,4
18097002920,4
18097003430,4
18097002940,4
18097005180,4
18097000190,4
18097004850,8
18097004230,8
18181000130,7
18133000070,5
18097000550,4
18097003620,8
18097003870,8
18083000090,2
18083000110,5
18173000550,2
18173000400,2
18173000190,2
18183000330,3
18183000180,3
18183000160,3
18021000160,5
18097005620,5
18097001340,4
18097001350,4
18097001490,4
18097005440,4
18097005230,4
18097004640,8
18097001750,8
18097001040,4
18097000930,4
18097000950,4
18097003980,8
18097002240,8
18097002230,8
18097002090,8
18097004420,8
18097004410,8
18097005110,8
18097003600,8
18097000280,4
18097004170,4
18097004160,4
18097000200,4
18097005160,4
18091000480,9
18019000230,2
18019000510,2
18019000450,2
18117000080,2
18117000070,2
18039000340,1
18169000010,3
18183000210,3
18183000050,3
18183000120,3
18183000140,3
18183000230,3
18183000190,3
18091000070,9
18091000890,9
18125000130,2
18125000030,2
18125000090,2
18125000100,2
18169000260,7
18125000040,2
18039000280,1
18039000890,1
18039000880,1
18039000900,1
18039000300,1
18039001070,1
18039000550,1
18097002480,4
18097002620,4
18097002560,4
18097002570,4
18097002420,4
18097002460,4
18097005670,4
18097005660,4
18097005650,4
18097005760,4
18097002290,8
18097002300,8
18097001080,4
18097001060,4
18097001090,4
18097001330,4
18097001390,4
18097005270,4
18097005140,4
18169000080,3
18169000100,3
18125000080,2
18169000030,1
18111000160,9
18111000170,9
18111000120,9
18139000020,6
18139000090,6
18139000010,6
18141000310,1
18015000110,7
18015000100,7
18017000013,7
18017000009,7
18017000006,7
18017000005,7
18017000029,7
18017000018,7
18017000038,7
18111000010,9
18131000140,7
18149000170,1
18039001020,1
18039001010,1
18039001150,1
18039001160,1
18039001130,1
18083000270,2
18083000220,2
18083000240,2
18097003550,8
18097001670,8
18111000130,9
18155000110,6
18039000780,1
18039000820,1
18097003730,8
18097003670,8
18097003740,8
18097005970,4
18097002630,4
18097004950,4
18165000080,5
18071000250,6
18083000100,2
18083000030,2
18173000450,2
18097000840,4
18097000940,4
18097000920,4
18097002410,4
18097001120,5
18097001110,5
18097001160,5
18097005390,4
18097005370,4
18045000090,7
18045000150,7
18045000170,7
18045000160,7
18045000080,7
18173000570,2
