GEOID,DISTRICT
220850006-2,4
220850006-4,4
220850005-8,4
220750001-1,1
220750008-3,1
220750009-1,1
220750008-1,1
220750006-2,1
220750007-1,1
220010007-4,5
220010006-1,5
22001006-13,5
220010006-5,5
220010006-3,5
22019000405,5
22019000441,5
220850003-6,4
220850004-1,4
22019000407,5
22019000408,5
22019000601,5
22019000262,5
220750003-1,1
220750002-2,1
220750005-2,1
220750004-1,1
220750004-2,1
220750002-1,1
220750006-1,1
220750005-1,1
220750008-2,1
22085002-6A,4
22103000502,2
22103000S25,2
22103000906,2
22055000034,5
22055000008,5
22055000119,5
22055000025,5
22055000092,5
22055000109,5
22055000117,5
22055000108,5
22055000081,5
22103000114,2
22103000104,2
22103000108,2
22103000C05,2
22103000403,2
22103000410,2
22103000M02,2
22103000415,2
22103000C01,2
22103000C11,2
22103000118,2
22103000205,2
22103000914,2
22103000S06,2
22103000504,2
2201100012B,5
22055000039,5
22055000040,5
22103000505,2
22103000A02,2
22103000308,2
22103000C09,2
22103000C06,2
22103000501,2
22019000702,5
22019000761,5
22019000370,5
22019000562,5
22019000364,5
2201900371N,5
22019000308,5
22019000260,5
2202300016C,5
22019000307,5
22103000314,2
22103000301,2
22103000S19,2
22103000902,2
22103000305,2
22103000818,2
22103000814,2
22011000001,5
22011000017,5
22103000106,2
22103000116,2
22103000111,2
22055000100,5
22055000094,5
22055000011,3
22103000604,2
22103000P01,2
22103000M09,2
22103000M10,2
22103000409,2
22103000M05,2
22055000103,5
220450014-1,5
22055000101,5
22055000065,5
22055000062,5
22055000091,5
22103000811,2
22103000817,2
22103000806,2
22103000C08,2
22103000304,2
22103000703,2
22103000807,2
22103000812,2
22019000310,5
22019000465,5
22019000406,5
22019000311,5
22019000321,5
22019000165,5
2201900313E,5
22019000314,5
22019000469,5
22019000361,5
22019000318,5
22019000464,5
22055000037,5
22055000030,5
22055000005,3
22055000002,3
22055000122,3
22055000027,5
22055000051,5
22055000099,5
22011000003,5
22011000002,5
22011000019,5
22011000025,5
22011000026,5
2201100025B,5
22011000028,5
22055000093,5
22055000086,5
22055000102,5
22055000116,5
22011000014,5
2201100014A,5
22011000027,5
22055000073,5
22055000057,5
22103000A01,2
22103000312,2
22103000S02,2
22103000S03,2
22103000412,2
22067000053,3
22067000014,4
22031000005,4
22031000063,4
22049000006,4
2204900006A,4
22067000042,4
22031000032,4
22031000048,4
22067000050,3
220570007-1,6
22055000096,5
22055000127,5
22055000104,5
22055000128,5
22055000126,5
22055000006,3
22055000063,3
22055000020,3
22103000A04,2
22103000609,2
22103000601,2
22049000005,4
220570010-7,1
22051000248,1
220570010-8,1
22057010-11,1
22057010-10,1
220570002-2,6
220890006-2,2
220890006-4,2
220890006-1,2
220890001-1,1
220890004-1,1
220890005-5,2
220890001-2,1
22051000134,1
22051000084,1
22051000175,1
22051000237,1
22051000059,2
22051000060,1
220070004-2,6
22051000046,2
22051000043,2
2205100125B,1
2205100125A,1
220510027-K,1
22051000058,2
22051000151,1
22051000150,1
22051000156,1
22051000029,2
22051000083,1
220890001-3,1
220890001-5,1
220890002-5,1
220890007-3,1
220890004-4,1
220890004-2,1
22067000040,4
22067000013,4
22031000037,4
22067000016,4
22031000053,4
220570002-3,6
220570001-3,6
2201900160W,5
22101000039,6
22101000037,6
22101000011,6
22101000010,6
22101000013,6
22101000021,6
22101000014,6
22101000032,6
22101000030,6
220570003-5,1
220570011-1,1
22031000042,4
22031000009,4
22031000026,4
220570011-2,1
220570011-4,6
220570003-3,1
22057010-15,1
22011000005,5
2201100016A,5
22011000016,5
22019000322,5
2201900861E,5
2201900460W,5
22101000009,6
