GEOID,DISTRICT
25003001385,4
25003002050,4
25003001675,4
25003000614,4
25003001500,4
25003001502,4
25003001507,4
25003001508,4
25003000999,4
25013001781,4
25013001760,4
25013001784,4
25013001976,4
25013001974,4
25013001992,4
25013001990,4
25013000607,4
25013000608,4
25003000122,4
25003000849,4
25003000848,4
25003000017,4
25003001004,4
25003000915,4
25003002070,4
25003000974,4
25003000777,4
25011000851,4
25011000853,4
25011000825,4
25011000854,4
25011001265,4
25003000028,4
25025001207,5
25025000301,8
25025000306,5
25025001208,5
25025001606,5
25025000604,5
25025000605,5
25025001102,5
25025000705,5
25025000706,5
25025000709,5
25025001307,5
25003001383,4
25003001387,4
25003002051,4
25013000938,4
25013001975,4
25013001076,4
25013001078,4
25025000201,2
25025000580,8
25025002072,8
25025002071,8
25025001202,5
25025000803,5
25025000802,5
25025002020,2
25025000707,5
25019001279,1
25025000103,8
25025001401,5
25025000304,5
25025000589,8
25025000408,5
25025002017,2
25025000410,2
25021000503,2
25025000303,5
25025001599,8
25025000590,8
25025000591,8
25025001822,5
25025016020,8
25025001593,8
25025001598,8
25025002002,5
25025001911,5
25025016040,8
25025016030,8
25025016050,8
25025001594,8
25025001701,5
25025002006,2
25025002019,2
25017000160,6
25017001913,2
25017001819,3
25017001820,3
25017000953,3
25017000952,3
25017001908,3
25017001907,3
25017001909,3
25017001120,8
25017001121,8
25017001369,2
25017001368,2
25017001371,2
25017001946,2
25017001891,8
25017001203,8
25017001204,8
25017000007,3
25017000167,3
25017001698,2
25017001699,2
25017000518,2
25017000529,2
25017000519,2
25017001695,2
25017000860,3
25017001053,6
25017000622,3
25017000626,3
25017001045,6
25017001047,6
25017001702,2
25017001703,2
25027001728,9
25027001725,9
25027001971,9
25027002135,9
25027002131,9
25027002100,9
25027001624,9
25027001622,9
25027000944,3
25027001002,9
25027001017,9
25027001019,9
25027001007,9
25027001018,9
25027001683,9
25027001680,9
25027001682,9
25017000722,8
25017000721,8
25017000719,8
25017000540,2
25017000534,2
25017002083,6
25017002088,6
25017002085,6
25017002086,6
25017001949,3
25017000797,3
25017001678,3
25017000859,3
25017000527,2
25017001035,3
25017001710,2
25027000769,9
25027000775,9
25027000768,9
25027000770,9
25027000771,9
25027000772,9
25027000774,9
25027002118,9
25027002117,9
25027002121,9
25027001494,9
25027000085,9
25027000086,9
