GEOID,DISTRICT
29189NOR030,1
29091000002,2
29091000004,3
29091000003,2
29091000018,3
29091000006,2
29091000019,2
29091000020,2
29043000013,4
29043000014,4
29043000011,4
29043000012,4
29043000025,4
29043000015,4
29043000016,4
29043000029,4
29189FLO022,1
291890SF018,1
291890SF008,1
29107000021,5
29091000015,2
29091000021,2
29091000010,2
29043000020,4
29043000023,4
29043000024,4
29043000017,4
29043000018,4
29043000032,4
29189MER029,6
29189MER001,6
29189MER200,6
29189LEM006,1
29015000005,2
29021000034,7
29021000031,7
29003000005,7
29021000022,7
29021000032,7
29021000030,7
29021000014,7
29021000008,7
29021000023,7
29021000024,7
29021000012,7
29043000030,4
29043000019,4
29043000003,4
29043000022,4
29043000034,4
29043000008,4
29043000028,4
29043000026,4
29091000014,2
29163000009,8
29091000017,2
29091000009,3
29037000012,5
29037000013,5
29037000024,5
29037000011,5
29037000003,5
29037000017,5
29037000002,5
29037000022,5
29067000018,2
29091000011,2
29091000005,3
29009000007,4
29009000015,4
29009000017,4
29189LEM001,1
29189MER030,6
29189MER040,6
291890SF034,1
291890SF023,1
291890SF033,1
29189QUE008,6
29189BON033,6
29189SPL018,1
29055000010,8
29055000016,8
29055000019,8
29037000040,5
29037000041,5
29037000036,5
29037000030,5
29037000034,5
29037000047,5
29037000029,5
29031000016,3
29031000005,3
29031000035,3
29121000011,8
29121000004,8
29121000003,8
29163000003,8
29121000007,8
29197000008,8
29031000022,3
29031000002,3
29031000018,3
29031000036,3
29031000023,3
29031000039,3
29031000017,3
29181000008,3
29015000004,2
29085000009,2
29015000009,2
29133000013,3
29189NOR026,1
29189NOR025,1
29189FLO021,1
291890NW013,6
291890NW035,6
291890LC026,1
29189CLA040,6
29189OAK022,3
29189NRW003,1
29189QUE043,6
29189NOR009,1
29021000029,7
29021000027,7
29021000016,7
29021000002,7
2920112-002,3
29201000013,3
29201000014,3
29201000012,3
29143000006,3
29163000008,8
2912112-014,8
29121000005,8
29121000008,8
29163000002,8
29163000012,8
29051000007,2
29051000003,2
29031000021,3
29031000030,3
29009000014,4
29031000020,3
29121000012,8
29163000006,8
29021000018,7
29021000004,7
29021000021,7
29021000020,7
290150012-6,2
29015000001,2
29015000007,2
29073000006,8
29073000010,8
29189SPL024,1
29189SPL019,1
29189LAF033,6
29189MID021,1
29189MHT030,6
29189MHT016,6
29189MHT019,6
29189MHT027,6
291890NW204,6
291890NW220,6
291890MR003,6
29189JEF022,1
29003000003,7
29085000007,2
29085000010,2
29085000002,2
29085000005,2
29163000005,8
29163000010,8
29031000015,3
29031000014,3
29031000011,3
29189JEF031,1
29189NRW019,1
291890MR038,6
291890MR018,6
291890MR032,6
291890SF019,1
291890SF028,1
291890SF025,1
291890SF035,1
291890SF032,1
29189FER043,1
291890SF022,1
29189MID053,6
29189OAK011,3
29189MID043,6
29189BON030,6
29041000424,2
29041000392,8
29167000003,2
29021000006,7
29021000011,7
29021000035,7
29131000013,2
29131000023,2
29051000046,2
2905116-001,2
29051000011,2
2905116-002,2
29051000010,2
29051000040,2
2905116-3-8,2
2905116-3-9,2
29131000012,2
29131000019,2
29131000029,2
29131000008,2
29131000016,2
29131000009,2
29131000005,2
29009000022,4
29009000016,4
29009000011,4
29009000018,4
29009000010,4
29189CHE034,6
29189QUE036,6
29189JEF017,6
291890AP203,6
291890NW042,6
29021000033,7
29021000028,7
29015000002,2
29133000020,3
29133000015,3
29133000017,3
29133000018,3
29133000012,3
29009000021,4
29009000023,4
29043000006,2
29073000012,8
29073000016,8
29073000007,8
29073000013,8
29073000014,8
29510000012,1
2951016-014,1
291890SF027,1
29510000063,1
29073000005,8
29189BON039,6
291890NW008,1
291890LC006,1
29015000008,2
29021000001,7
29021000010,7
29043000004,4
29043000031,4
29043000009,4
29043000021,4
29055000011,3
29055000015,3
29167000004,2
29167000007,2
29167000015,4
29167000012,2
29131000018,2
29131000020,2
29131000011,2
29051000008,2
2905116-512,2
29181000006,3
29163000015,8
291890CC011,6
291890CC021,6
291890CC016,6
291890MR039,6
291890CC020,6
29189CC1603,6
29189CC1602,6
291890CC040,6
29189HAD033,1
29189FER013,1
29097000007,4
29097000010,4
29097000004,4
29097000033,4
29097000006,4
29097000013,4
29097000045,4
29007000506,8
29007000508,8
29103000005,8
29103000006,8
29007000657,8
29077000036,4
29077000097,4
29007000513,8
29189CON014,1
291890NW011,6
291890NW031,6
29189OAK002,3
29189UNV001,1
291890MR057,6
291890WH012,6
29189TSF018,6
29189TSF005,6
29189MER019,6
29189MER022,6
29181000010,3
29097000038,4
291890AP031,6
29189CLA007,1
29189MHT020,6
291890AP027,1
291890AP003,1
29189QUE003,6
29189MHT017,6
291890WH003,6
29189MER003,6
291890NW037,6
29189NOR038,1
29189LEM020,1
29007000642,8
29007000633,8
29007000545,8
29207000018,3
29165000014,7
29207000020,3
29207000009,3
29207000010,3
29207000014,3
29165000041,7
29207000012,3
29207000013,3
29207000003,3
29207000004,3
29067000007,2
29067000010,2
29510000159,1
29510000160,1
29077000055,4
29077000051,4
29077000066,4
29077000056,4
29077000102,4
29077000101,4
29077000111,4
29077000109,4
29077000011,4
29077000112,4
29077000100,4
29077000065,4
29077000113,4
29077000040,2
29077000016,2
29077000014,2
29097000027,4
29097000029,4
29097000024,4
29097000011,4
29097000043,4
29510000076,1
29510000077,1
29510000070,1
2951016-091,1
29510000142,1
29510000144,1
29510000141,1
29510000139,1
29510000044,1
29510000008,1
29510000030,1
2951016-218,1
29510000157,1
29510000027,1
29510000042,1
29510000040,1
29510000046,1
29510000178,1
29510000202,1
29510000179,1
29510000188,1
29510000191,1
29510000088,1
29510000086,1
29510000064,1
29510000109,1
2951016-156,1
29510000165,1
29510000176,1
29510000073,1
29165000004,7
29165000023,7
29165000028,7
29165000006,7
29165000043,7
29165000007,7
29207000011,3
29207000006,3
29207000017,3
29097000005,4
29097000003,4
29097000044,4
2909716-004,4
29097000030,4
29097000031,4
29067000020,2
29067000023,2
29510000199,1
29510000198,1
29510000193,1
2951016-013,1
29510000115,1
29510000168,1
29510000113,1
29510000111,1
29510000112,1
29510000153,1
29510000023,1
29510000089,1
29510000090,1
29510000092,1
29077000038,4
29077000007,4
29077000029,4
29077000032,4
29077000058,4
29077000093,4
29077000057,4
29077000037,4
29077000063,4
29077000098,4
29077000013,4
29077000107,4
29077000031,2
29077000042,2
29077000019,4
29077000067,4
29077000106,4
29077000035,4
29077000110,2
29165000044,7
29077000077,4
29077000006,4
29077000015,2
29077000076,4
29077000003,4
29077000090,4
29077000059,4
29077000041,2
29143000030,3
29189CLA035,1
29189CLA038,1
29189TSF006,3
29189OAK012,3
29001000006,8
29001000007,8
29189MHT034,6
29189MID012,6
29189MID003,6
29189FLO009,1
29189CLA013,1
29009000003,4
29155000018,3
29189SPL016,1
29189BON038,6
291890SF016,1
29189NRW046,1
29189GRA018,1
29189HAD030,1
291890AP038,1
291890CC017,6
29189JEF034,6
29143000014,3
29143000029,3
29189CON048,6
29001000008,8
29510000184,1
29510000108,1
2951016-255,1
29510000187,1
29510000186,1
29510000161,1
29510000052,1
29510000037,1
2951016-058,1
29510000080,1
29510000082,1
29510000083,1
29510000019,1
29510000022,1
29510000059,1
29510000056,1
29510000060,1
2951016-202,1
29510000130,1
29510000143,1
29510000183,1
2951016-257,1
29510000206,1
29103000003,8
29007000658,8
29007000667,8
29103000007,8
29077000070,4
29077000060,4
29077000094,4
29077000054,4
29077000075,4
29155000005,3
29155000012,3
29155000011,3
29155000014,3
29001000005,8
29001000002,8
29097000015,4
29097000036,4
29510000105,1
29510000106,1
29510000004,1
29510000196,1
29510000031,1
29510000133,1
29510000135,1
29510000095,1
29510000093,1
29510000096,1
29510000097,1
29510000069,1
29510000067,1
29510000068,1
29510000054,1
29510000162,1
29510000007,1
29175000015,8
29143000012,3
29143000008,3
29143000018,3
29143000021,3
29039003054,4
29039003052,4
29039003129,2
29051000016,2
2905116-2-5,2
29051000041,2
29510000099,1
29510000100,1
29510000074,1
29510000078,1
29077000053,4
29077000049,4
29077000039,4
29077000044,4
29077000030,2
29219000016,8
29219000009,8
29219000005,8
29039003178,4
29039003139,4
29219000007,8
29141000008,2
29009000006,4
29143000005,3
29143000010,3
29069000017,3
29225000003,2
29225000011,2
2922512-020,2
29225000002,2
29103000002,8
29095000142,5
29095FO1609,5
29095000140,7
29095000007,7
29095000207,7
29095000469,5
29095000462,5
29095000434,5
29095K16459,5
29013002703,5
2913716-015,8
29137000003,8
2913716-014,8
29137000002,8
29223000005,3
29223000010,3
2951016-164,1
29510000118,1
29165000027,7
29207000002,3
29017000006,3
29017000012,3
29017000007,3
29017000015,3
29165000011,7
29165000030,7
29165000038,7
29165000037,7
29129000004,7
29129000007,7
29129000009,7
29129000006,7
29129000008,7
2908316-020,2
29083000013,2
29083000015,2
29083000004,5
29083000003,2
29510000152,1
29510000025,1
29510000151,1
29510000028,1
29510000057,1
2951016-109,1
29510000079,1
29510000131,1
29510000032,1
29510000017,1
2951016-303,1
29510000053,1
29510000003,1
2951016-228,1
29510000066,1
29165000013,7
29165000042,7
29165000012,7
29077000022,4
29129000002,7
29003000018,7
29003000020,7
29003000010,7
29510000174,1
2951016-241,1
29510161012,1
29510161011,1
29510000119,1
29510000122,1
29510000136,1
29077000089,4
29077000028,4
29077000096,4
29041000431,8
29027001189,8
29173000009,8
29019000029,8
2901916-043,8
29019000030,2
2901900003C,8
2901916-03I,8
29019000041,8
2901916-01M,8
2901900001B,8
29155000009,3
29143000015,3
29143000013,3
29143000025,3
29143000003,3
29173000004,8
2901900006D,8
2901916-06K,8
29019000028,8
29019000018,2
2901900005L,2
29019000023,8
2901900003F,8
2901916-03J,8
29041000381,2
29223000008,3
29087000002,7
29087000003,7
29155000021,3
29155000016,3
29143000007,3
29510000148,1
29510000175,1
29007000502,8
29007000510,8
29007000512,8
29510000087,1
29510000085,1
29510000062,1
29041000386,8
29041000346,7
29017000003,3
2951016-024,1
29510000011,1
2951016-279,1
29510000197,1
2951016-053,1
29510000036,1
2951016-031,1
29510000033,1
2951016-207,1
2951016-097,1
29223000011,3
29109000013,4
29109000003,4
29109000004,4
29109000009,4
29017000010,3
29017000009,3
29017000011,3
29087000004,7
29087000007,7
29077000073,4
29077000072,4
29109000017,4
29003000004,7
29051000044,2
29051000045,2
29083000009,2
29185000015,2
29167000011,2
29167000010,2
29167000009,2
29223000020,3
29127000009,8
29127000003,8
29127000004,8
2912716-020,8
29005000004,7
29003000017,7
29167000014,2
29223000007,3
29223000018,3
29167000023,4
29167000008,2
29093000002,3
29093000004,3
29223000003,3
29223000021,3
29223000004,3
29165000019,7
29165000029,7
29109000008,4
29109000016,4
29109000002,4
29109000011,4
29005000002,7
29005000007,7
29109000006,4
29229000005,2
29229000003,2
29209003842,4
29209003889,4
29209003900,4
29213000017,4
29213000021,4
29213000024,4
29167000002,2
29001000009,8
29165000020,7
29165000033,7
29165000040,7
29165000010,7
29145000003,4
2914516-030,4
2914516-029,4
29145000002,4
2914516-032,4
29145000011,4
29097000026,4
29145000015,4
29145000014,4
29145000018,4
29145000005,4
2914516-027,4
2914516-021,4
29109000018,4
29109000012,4
29109000007,4
29109000015,4
29109000010,4
29213000014,4
29213000013,4
29213000011,4
29213000015,4
29213000018,4
29169000009,2
29169000004,2
29169000003,2
29169000008,2
29109000014,4
29109000020,4
29213000016,4
29213000023,4
29213000009,4
29213000020,4
29213000010,4
29183000190,8
29183000187,8
29183000184,8
29183000086,6
29183000091,6
29183000080,6
29183000015,6
29183000087,6
29183000154,6
29183000146,6
29183000071,6
29183000014,6
29183000047,6
29183000031,6
29183000041,6
29183000159,6
29183000153,6
29183000016,6
29183000140,6
29183000165,8
29183000166,8
29183000001,6
29183000122,6
29183000043,6
29183000163,8
29183000161,8
29183000169,8
29183000113,6
29183000225,8
29183000221,8
29183000185,8
29183000182,8
29183000227,6
29183000231,6
29183000150,6
29183000126,6
29183000128,6
29183000129,6
29183000121,6
29183000024,6
29183000100,6
29183000028,6
29183000160,6
29183000208,8
29183000228,6
29183000111,6
29127000013,8
2912716-034,8
2912716-033,8
2912716-032,8
29133000005,3
29047000029,7
29049000002,7
29047000074,7
29047000075,7
29047000059,7
29049000003,7
29049000005,7
29127000014,8
29045000004,8
29127000002,8
29127000019,8
29183000022,6
29183000167,8
29183000214,8
29183000207,8
29183000217,8
29183000210,8
29183000229,8
29229000002,2
29209003903,4
29141000004,2
29141000016,2
29045000010,8
29113000011,8
2909916-093,3
2909916-091,3
29099000015,3
29099000013,3
29059000007,2
2909916-111,3
29099000065,3
29099000040,3
2909916-110,3
2909916-112,3
29099000031,3
29099000048,3
29099000020,3
29099000002,3
29099000077,6
2909916-097,3
29099000004,3
29099000087,3
29099000022,3
29099000023,3
2909916-102,3
2909916-108,3
29099000030,3
2909916-109,3
2909913-107,3
29011000004,4
2901116-021,4
29011000011,4
29011000016,4
29141000009,2
29183000226,8
29011000008,4
29183000107,6
29183000063,6
29183000106,6
29045000008,8
29081000009,7
29081000004,7
2909916-107,3
2909916-106,3
2909916-103,3
29099000034,6
2909916-090,6
2909916-092,6
29099000064,6
29099000008,3
29099000006,3
29099000009,3
29113000015,8
29183000212,6
29183000193,8
29183000197,8
29183000213,8
29035003628,3
29047000028,7
29047000037,7
29047000046,7
29047000036,7
29035003789,3
2901116-018,4
29095000453,5
29095K16814,5
29035003668,3
29047000017,7
29047000057,7
29047000058,7
29047000056,7
29047000078,7
29047000007,7
29047000069,7
29047000073,7
29047000072,7
29047000060,7
2904716-214,7
29095K16611,5
29095000455,5
29095SB1602,5
29095000578,5
29095000579,5
29095000561,5
29095KC1113,7
29095000176,7
29095000175,7
29095000196,7
29095KC2212,5
29095000335,5
29187000012,3
29187000025,3
29095000209,7
29095000456,5
29013002930,4
29013002847,5
2922516-018,2
2922514-017,2
2922516-015,2
2922516-016,2
29095000091,5
29095000092,5
29095000044,7
29095000010,7
29095000003,7
29095000050,5
29095000026,5
29095000045,7
29095000210,7
29095000217,7
29095000461,5
29095000514,5
29095PR1610,5
29095000536,5
29095000623,5
29095000586,5
29095000198,7
29119000008,4
29119000015,4
29119000017,4
29119000010,4
29119000004,4
29119000003,4
29141000006,2
29095000019,7
29095000017,7
29139000010,8
29137000004,8
29137000008,8
29139000003,8
29139000011,8
29187000018,3
29187000021,3
29187000024,3
29187000023,3
29187000008,3
29093000010,3
29207000019,3
29013002705,5
29013002850,5
29013002904,4
29093000008,3
29023000011,3
29023000020,3
29023000007,3
29187000007,3
29187000019,3
29141000014,2
29095000150,7
29095K16218,7
29095000157,7
29081000003,7
29171000003,7
29059000006,2
29099000007,3
29099000024,3
29099000039,6
29099000074,6
2909916-089,6
29113000005,8
29113000008,8
29113000024,8
29099000028,3
29099000086,3
29099000085,3
29229000009,2
29099000010,3
29099000062,3
29099000068,3
2909916-100,3
29099000036,3
29099000038,3
29099000026,3
2909916-099,3
29099000037,3
2913716-020,8
29137000006,8
2913716-021,8
29137000007,8
2908116-012,7
29099000018,3
29099000016,3
29099000078,3
29039003191,4
29039003092,4
29171000012,7
29171000013,7
29171000006,7
29115000006,8
29115000011,7
29115000024,8
29115000017,8
29113000019,8
29113000021,8
29113000009,8
29113000025,8
29113000023,8
29113000018,8
29113000020,8
29187000011,3
29187000009,3
29081000010,7
29225000006,2
2922512-019,2
29225000013,2
29013002849,5
29113000013,8
29113000012,8
29213000004,4
29213000005,4
29213000019,4
29213000002,4
29175000013,8
29175000004,8
29175000009,8
29175000010,8
29115000023,7
29115000003,7
29115000016,7
29213000012,4
29213000022,4
29213000006,4
29169000010,2
29169000006,2
29229000004,2
29209003782,4
29209003751,4
29027001989,2
29027000998,8
29175000002,8
29023000018,3
29023000025,3
29023000012,3
29023000004,3
29023000010,3
29023000017,3
29045000005,8
29095000082,5
29095000081,5
29229000008,2
29213000003,4
29229000006,2
29095KC1507,5
29095000225,5
29095000339,5
29209003800,4
29215000018,2
29215000014,2
29215000007,2
29095000087,5
29095000622,5
29095000606,5
29095000593,5
29095000076,5
29095000034,7
29095000036,7
29095000136,5
29095000345,5
29095VB1611,5
29095VB1610,5
29095000645,5
29095000520,5
29095000539,5
29095000350,5
29095000495,5
29095000663,5
29095000662,5
29095000392,5
29186000006,3
29095000321,5
29095000664,5
29095000650,5
29095000551,5
29095000550,5
29095PR1661,5
29095000149,7
29095000066,5
29095000467,5
29095000261,5
29095000090,5
29095000232,5
29095000177,7
29095000358,5
29095KC2403,5
29095KC2430,5
29095000242,5
29095000543,5
29095000366,5
29095KC2419,5
29095000373,5
29095000263,5
29095KC1523,5
29095000206,5
29145000012,4
29145000016,4
29145000007,4
29145000013,4
29095000324,5
29095000634,5
29095000614,5
2909516-101,5
29095000523,5
29095000519,5
29095PR1601,5
29095000414,7
29095000638,5
29095160103,5
29095160102,7
29095160104,7
29209003814,4
29209003935,4
29205000005,8
29205000002,8
29089000006,2
29095000193,7
29095KC1212,7
29095000562,5
29095000079,5
29095000060,5
29095000247,5
29095000153,7
29095K16106,7
29095000389,5
29095000493,5
29147000015,7
29095000525,5
29095000527,5
29095000084,5
29095000342,5
29095000147,5
29095000152,7
29095000394,5
29095000391,5
29111000003,8
29111000008,8
29111000002,8
29089000008,2
29089000003,2
29095000599,5
29209003908,4
29059000008,2
29059000009,2
29137000005,8
29113000002,8
29113000004,8
29095000243,5
29095000572,5
29145000006,4
29147000016,7
29147000008,7
29025000280,7
29025000281,7
29069000014,3
29069000011,3
29069000016,3
29025000389,7
29069000009,3
29069000004,3
2915716-020,3
29157000012,3
29186000012,3
29095000100,5
29095000582,5
29095000020,7
29095160406,5
29095000371,5
29095000233,5
29095000227,5
29095000226,5
29089000002,2
29205000007,8
29089000009,2
2909916-105,3
29099000069,3
2909916-104,3
29157000003,3
29157000002,3
29069000008,3
29095000031,7
29095000033,7
29095000015,7
29095000104,5
29095000301,7
29186000013,3
29186000011,3
29095000228,5
29095PR1654,5
2909516-100,5
29095000555,5
29095PR1658,5
29095VB1604,5
29095000556,5
29095VB1609,5
29095VB1603,5
29095000642,5
29095PR1655,5
29095VB1606,5
29095PR1657,5
29095PR1625,5
29095000515,5
29095000660,5
29095000656,5
29095000608,5
29095000057,5
29095000006,7
29095000290,5
29205000009,8
29205000004,8
29069000021,3
29157000008,3
2915716-018,3
29157000013,3
2915716-019,3
29187000005,3
29187000027,3
29099000052,3
29219000013,8
29219000018,8
29071000047,8
2907116-064,8
29071000004,8
29071000014,8
29071000030,8
29071000005,8
29071000007,6
29071000033,6
29025000357,7
29025000277,7
29069000018,3
29069000022,3
29069000007,3
29029000013,2
29029000003,2
29029000014,2
29093000005,3
29025000358,7
29025000390,7
29069000003,3
29025000356,7
29219000010,8
29219000008,8
29029000006,2
29029000002,2
29029000008,2
29029000024,2
29147000020,7
29147000018,7
29095KC1111,7
29095000181,7
29095KC1107,7
29095000648,5
29095000595,5
29186000004,3
29095000161,5
29095VB1613,5
29095VB1607,5
29095VB1608,5
29095000639,5
29095000408,5
29095000633,5
29095000446,5
29095K16463,5
29095K16469,5
29095K16467,5
29095000497,5
29095000478,5
29186000014,3
29095000486,5
29195000010,2
29195000006,2
29209003730,4
29209003698,4
29095000125,5
29147000013,7
29211000019,7
29211000011,7
29211000015,7
29211000016,7
29033000014,7
2903316-019,7
29061000002,7
29071000019,8
29071000052,8
29071000055,8
29071000053,8
29071000054,8
29071000056,8
29071000039,8
29071000044,3
29071000045,8
29071000046,8
29071000037,3
29057003289,4
29057003263,4
29057003246,4
29151000003,8
29071000059,8
29071000058,8
29071000041,8
29217000008,4
29175000012,8
29175000008,8
29115000014,7
29115000010,8
29175000017,8
29115000015,7
29209003723,4
29135000002,2
29147000017,7
29069000005,3
29149000015,3
29149000002,3
29149000005,3
29149000007,3
29135000008,2
29025000353,7
29069000015,3
29039003192,4
29101000006,2
29101000009,5
29135000007,2
29147000011,7
29147000004,7
29217000010,4
29135000006,2
29135000013,2
29069000006,3
29069000020,3
