30049000002,30049000029
300130019A2,30099000006
30005000001,30005000010
30083000022,30083000023
3006300089P,30063100SJE
301110047.1,301110047.2
30003000014,30003000025
30013000023,3001300020A
3006300091L,300630089UC
3006300096E,300630095He
30003000003,301110042.1
30035000012,3003500021C
30011000003,30075000011
30085000022,30085000027
30095000002,301110055.3
301110043.2,301110044.3
30053000008,30089000001
30083000003,30083000008
3002304-78E,30043005-75
3006300094F,300630094SM
30029000036,30053000003
30083000019,30085000015
301110051.2,301110054.2
30061000025,30061000030
301110055.4,301110055.5
30053000003,30053000011
3003100066A,3003100066B
3009300012E,3009300027N
30049000016,30049000020
30095000004,30097000004
3003100062C,3003100062D
30041000009,30041000014
3003100067C,3003100068C
30029000024,30029000089
30093000001,30093000021
30029000003,30029000041
30097000001,30097000002
30053000005,30053000006
30029000024,30089000008
3006700059C,3006700059D
30017000004,30017000006
3003100063B,3003100066C
30003000004,3000300004N
30043008-75,30049000011
30029000008,30029000011
3004700STI1,3006300094E
3003100065B,3003100066B
30017000008,30017000009
30029000001,30029000003
30083000001,30083000003
3006300092B,300630092EM
30035000008,30073000035
3001300022C,300130019A1
30057000007,300570001-2
30035000009,30035000019
30003000005,30003000007
30081000019,30081000020
30015000002,30015000006
30043002-75,30043003-75
3003100061A,3003100061B
30029000020,30029000047
3006300014S,30089000007
30017000012,30025000001
30003000003,301110042.2
3006300092P,3006300094E
30093000006,3009300009N
30049000001,30049000028
30043004-75,30049000026
30013000027,3001300019E
30015000002,30015000008
30081000007,30081000010
30009000007,30095000001
3006300094F,3006300096F
30049000008,30049000017
30049000032,30077000014
30041000020,30041000025
3006300089L,30081000024
300630095Ha,300630095He
30029000014,30029000023
301110046.1,301110046.2
30091000003,30091000006
30095000010,30095000011
3006300095L,300630095He
30093000028,3009300026E
301110048.1,301110048.2
30035000005,30035000007
30035000007,30035000008
30049000008,30049000009
30029NAHD15,30099000001
30027000004,30045000003
30045000001,30045000003
30061000027,30089000004
3006300094F,300630097PC
30097000001,30097000004
30001000005,30001000008
30073000020,30073000035
30085000016,30085000018
3006300091L,3006300094L
3003100064B,3006700059C
301110047.2,301110048.1
30045000004,30107000004
3006300014S,3006300094F
30035000006,3010100Sh-6
30029000033,30029000043
30021000005,30021000006
3003100067B,3003100069D
30075000004,30075000005
30029000003,30029000033
30061000022,3006300014S
300630091SC,300630095SC
300630092Sw,30077000014
30043005-75,30077000003
30107000003,30107000009
30029000038,30029000042
30049000008,30049000014
3003100065C,3003100066A
30065000008,30069000001
30017000009,30075000004
3004700PAB1,3004700PAB2
3002301-77E,3002301-77W
30017000007,30079000004
30011000013,30011000014
3003100067A,3003100067B
30009000001,30009000015
30035000008,30035000013
3001300019D,30015000006
30053000009,30053000013
300130019B2,30059000005
3006300092P,30077000012
30029000039,30053000002
30075000009,30075000011
301110051.3,301110052.2
30049000010,30049000027
30009000003,30095000001
30055000027,30085000018
3004700DAY1,3004700POL1
30029000006,30029000034
30015000004,30015000006
3004700ARL1,3004700STI1
3003100059A,3003100069D
30027000003,30045000004
30035000002,30035000004
301110046.1,301110053.1
30051000001,30051000002
30077000002,30077000008
3006300092C,300630089LC
30053000008,30053000012
30001000002,30001000017
30077000003,30077000006
30017000005,30017000007
301110043.3,301110044.1
30049000013,30049000022
30079000003,30079000004
30003000004,30003000017
30053000010,30053000013
30061000026,30089000007
3006300094H,300630096SM
30081000007,30081000009
30053000011,30089000002
30057000020,30057000021
30061000026,30089000005
30005000010,30005000011
30029000029,30029000037
30035000006,3010100Ke-1
3006700059B,3006700060B
300630098TR,300630099RS
30001000006,30001000012
30019000005,30019000006
3006300089B,300630089LC
30029000015,30029000036
30035000009,30035000015
30019000003,30019000006
30001000004,300570001-2
30049000018,30049000023
3006300097L,300630089CS
30093000014,3009300012E
30003000008,30003000021
30003000001,30003000019
301110049.2,301110050.1
30023001-78,3002304-78W
30057000020,300570001-2
300630097TR,300630099CS
3006300091L,30063091RsE
3002301-77W,3002305-77N
30003000019,3000300004N
30065000005,30069000001
30029000008,30029NAHD15
30029000034,30029000037
3003100061C,3003100065A
30013000030,30045000004
300630099CS,300630099MH
30049000028,30077000001
3006300090W,30063100SJE
30085000024,30085000027
30085000002,30085000010
3006300098N,300630095Ha
30029000004,30029000032
30029NAHD15,30073000020
3003100063A,3003100063B
3006300091L,300630091SC
301110043.2,301110043.3
30003000010,30003000026
30045000004,30107000001
30063091RsE,30063091RsW
30029000018,30029000035
30001000003,30001000005
30001000008,30001000020
3006300094H,30063091RsW
30049000007,30049000017
301110049.1,301110051.1
30049000011,30049000020
301110043.1,301110056.1
30049000031,30077000012
30015000007,30015000008
30029000011,30029000043
30029000001,30029000041
30091000005,30091000006
3006300096F,3006300096W
3006300091L,300630092EM
300470000NA,3004700BEA1
30087000003,30087000006
300630089LC,300630090CC
301110039.2,301110042.1
30095000001,30095000002
30003000015,30003000021
30029000014,30029NAHD15
30049000003,30049000023
30049000007,30049000009
30027000002,30027000008
30019000002,30019000003
30057000005,30057000007
301110053.2,301110054.2
30015000004,30099000006
3009300010N,3009300012E
30083000001,30083000004
301110042.2,301110055.3
30021000004,30021000007
30029000021,30029000023
30049000030,30049000031
300130019B2,30049000033
3009300019S,3009300019W
3004700POL1,30089000008
30085000018,30085000022
30081000014,30081000015
30051000003,30051000004
30049000031,30077000001
30003000001,30003000007
30019000002,30085000017
30029000013,30029000038
30093000003,30093000021
3003100069A,3003100069D
3006300090W,300630090CC
3006700060A,300670060DL
30029000006,30029000007
30003000009,30003000021
30053000009,30053000010
30035000005,3010100Ke-1
30105000031,30105000033
30091000002,30091000006
30019000003,30085000028
301110048.1,301110049.2
30041000013,30041000016
3003100068C,3003100069D
30085000022,30085000026
30043002-75,30043004-75
30027000005,30065000005
30015000006,30045000002
3006300100S,30063100SJE
30009000016,30095000013
30093000022,3009300019N
3003100061B,3003100061C
301110053.1,301110053.2
3002304-78E,3009300027N
300470000NA,3004700POL1
30087000026,30103000001
30029000025,30029000033
30093000016,30093000021
3009300026W,3009300027N
3006300098S,300630095Ha
301110055.3,301110055.5
30017000006,30017000013
30085000015,30085000016
30053000009,30053000012
3004700PAB1,3004700POL5
3004700ARL1,30089000009
3004700POL6,30089000008
30073000020,30099000011
30081000005,30081000010
30043008-75,30049000021
300670060EL,300670060FL
301110051.2,301110054.1
301110049.1,301110049.2
30075000003,30075000004
30043003-75,30043005-75
3001300021A,3001300022A
30029000026,30029000089
3004700PAB1,3004700POL6
3003100063C,3003100066A
3009300010N,3009300010S
30087000032,30103000001
3006300089B,300630092EM
30029000020,30029000048
30105000031,30105000034
30093000003,30093000022
30039000002,30081000001
30087000010,30087000020
300630089CS,300630089LC
301110053.2,301110053.3
3009300026E,3009300026W
30027000010,30027000017
30029000038,3004700BEA1
30093000016,3009300026E
