GEOID,DISTRICT
34007043046,8
34007043036,8
34007175001,4
34007175003,4
34007040402,8
34007135005,8
34007005005,8
34007043022,8
34007080014,8
34007090007,8
34007020001,8
34007030003,4
34007180102,4
34007170018,8
34007170004,8
34007175008,4
34007175006,4
34007040303,8
34007135014,8
34007135010,8
34007125002,8
34007055002,8
34015120002,8
34015045001,8
34033035001,8
34015045004,8
34015120003,8
34015050002,8
34015050004,8
34015075004,4
34015090011,4
34015070004,8
34015070005,8
34015100001,8
34015095003,8
34007077302,8
34007180106,4
34007180104,4
34007045001,4
34007180202,4
34007180105,4
34007180205,4
34007180401,4
34007005007,8
34007090002,8
34007110001,8
34007110002,8
34007140005,4
34007050001,4
34007075028,8
34007075037,8
34007077101,8
34007077201,8
34007077301,8
34007043027,8
34007043013,8
34007180306,4
34007180201,4
34007040106,8
34007040110,8
34007040109,8
34007043026,8
34007043033,8
34015025010,4
34015025002,4
34015025011,4
34015055404,4
34015055411,4
34031075009,7
34031075012,7
34031010205,3
34031010118,3
34031010101,3
34031005003,7
34031005004,7
34031010307,3
34031070104,3
34031070105,3
34007075005,8
34007075007,8
34041110003,7
34031010302,3
34031010106,3
34031010123,3
34031040605,3
34031010110,3
34031020402,3
34015015007,8
34015050012,8
34015015001,8
34015070001,8
34015100004,8
34015035001,8
34015010014,8
34015010003,8
34015010008,8
34015090007,8
34015105001,8
34015010019,8
34015035002,8
34007170001,8
34007170012,8
34007055001,8
34007155003,8
34007015002,8
34007100001,8
34007160005,8
34007040407,8
34007075019,4
34007180204,4
34007155004,8
34007040401,8
34041005004,7
34041005001,7
34041005002,7
34031020401,3
34031040102,3
34031010105,3
34015025003,4
34015120001,8
34015055120,4
34015055124,4
34031055005,3
34031055008,3
34031055004,3
34031055002,3
34031035304,3
34041110002,7
34041065001,7
34041065002,7
34041095703,6
34031070101,3
34015020003,4
34015080001,4
34015090006,8
34015090009,4
34015090001,4
34015095002,8
34015010010,8
34015010021,8
34015010001,8
34015090002,4
34015055123,4
34015070002,8
34015030009,4
34041010001,6
34041010002,6
34041095101,6
34041095201,6
34041095601,6
34041095501,6
34031010102,3
34031010506,3
34031010504,3
34031010505,3
34031010502,3
34031010503,3
34031040103,3
34031070207,3
34031040610,3
34031040609,3
34031010404,3
34031010405,3
34031010401,3
34031040603,3
34031055007,3
34031055003,3
34011035001,4
34011035002,4
34011005301,4
34011025003,4
34011005202,4
34027110023,7
34027110018,7
34027110022,7
34027135012,7
34015110301,8
34033040001,8
34033070002,4
34033010001,4
34015110202,8
34015110101,8
34015085002,8
34031025008,3
34031040204,3
34033000705,8
34033050005,4
34011015001,4
34033020001,4
34033001501,4
34027100002,7
34027100003,7
34027190012,7
34027190006,7
34015020004,4
34015025005,4
34015100015,8
34015100007,8
34011060001,4
34011010004,4
34011010003,4
34011005101,4
34011005302,4
34011065002,4
34027075005,7
34027180401,7
34027145024,7
34027145020,7
34031010204,3
34031040503,3
34031040504,3
34031040602,3
34031040509,3
34031040211,3
34031040507,3
34031045001,3
34031045003,3
34031045004,3
34031075011,7
34031075001,7
34027070013,7
34027070011,7
34031075010,7
34011070303,4
34011050202,4
34023077101,5
34023085203,9
34023085209,9
34023090004,6
34023090005,6
34023005017,10
34023065211,9
34023065209,9
34023025054,10
34023025044,10
34023025050,10
34023077103,5
34023080610,10
34023080602,10
34023090008,6
34023085304,9
34023020038,9
34023055007,9
34031030006,3
34031030001,3
34031035306,3
34031040505,3
34031005005,3
34031005002,3
34031005001,3
34031060006,3
34031070603,3
34031070602,3
34031070605,3
34041030001,7
34041045001,7
34041105002,7
34027040401,7
34027040301,7
34027040403,7
34023025012,9
34023025010,10
34023025011,10
34011035003,4
34027075001,7
34027065002,7
34011025002,4
34011005501,4
34027170002,7
34027100001,7
34015120005,8
34015120004,8
34015015005,8
34015015006,8
34015090016,4
34015030002,4
34015010004,8
34015010020,8
34015050009,8
34015050010,8
34035070015,9
34035030003,9
34035030014,9
34035090009,9
34035010008,7
34035105004,9
34035030005,9
34035030034,9
34035050001,6
34035050030,6
