GEOID,DISTRICT
40079000102,4
40113000113,2
40113000103,2
40113000102,2
40113000101,2
40079000301,4
40079000302,4
40079000107,4
40079000109,4
40079000111,4
40079000110,4
40079000204,4
40079000211,4
40079000207,4
40079000208,4
40079000310,4
40113000107,2
40113000108,2
40113000112,2
40113000201,2
40113000203,2
40113000306,2
40037000143,2
40037000121,2
40037000402,2
40037000421,2
40037000419,2
40037000408,2
40037000411,2
40037000410,2
40037000409,2
40037000211,2
40037000241,2
40113000204,2
40113000205,2
40113000311,2
40113000309,2
40049000007,1
40049000005,1
40049000006,1
40099000018,1
40099000007,1
40099000005,1
40099000009,1
40099000012,1
40151000001,3
40151000002,3
40049000024,1
40049000025,1
40053000017,5
40053000023,5
40045000006,3
40045000007,3
40045000008,3
40045000003,3
40045000004,3
40007000025,3
40007000013,3
40053000011,5
40053000025,5
40007000023,3
40027000016,1
40027000089,1
40027000034,1
40027000029,1
40053000029,5
40053000030,5
40007000033,3
40079000104,4
40037000401,2
40037000422,2
40113000301,2
40113000312,2
40143000858,2
40095000202,1
40125000012,1
40125000006,1
40125000002,1
40125000003,1
40125000009,1
40125000027,1
40125000022,1
40033000003,3
40033000009,3
40053000026,5
40037000414,2
40037000415,2
40037000111,2
40037000122,2
40037000311,2
40071000503,5
40071000001,5
40071000413,5
40071000412,2
40071000517,5
40079000311,4
40067000009,1
40067000001,3
40121000031,4
40121000028,4
40121000037,4
40121000042,4
40121000041,4
40121000015,4
40121000020,4
40121000047,4
40121000053,4
40121000040,4
40121000034,4
40139000304,3
40139000302,3
40071000101,5
40071000516,5
40071000202,5
40121000038,4
40121000027,4
40121000046,4
40121000049,4
40121000026,4
40121000029,4
40121000036,4
40121000019,4
40121000033,4
40139000205,3
40139000201,3
40139000202,3
40139000305,3
40139000102,3
40139000104,3
40067000003,3
40137000062,3
40139000101,3
40139000303,3
40027000064,1
40027000068,1
40027000035,1
40027000095,1
40027000015,1
40027000030,1
40027000094,1
40027000082,1
40027000012,1
40033000004,3
40033000005,3
40033000007,3
40095000302,1
40095000106,1
40095000204,1
40131000130,2
40131000021,2
40131000010,2
40131000033,2
40131000116,2
40131000032,2
40139000107,3
40091000203,4
40117000314,2
40117000307,2
40117000217,2
40117000202,5
40117000104,2
40117000215,2
40145000308,4
40145000201,4
40145000101,4
40111000018,4
40111000015,4
40111000016,4
40111000014,4
40111000013,4
40111000035,4
40067000006,1
40145000107,4
40145000301,4
40145000312,4
40145000306,4
40145000307,4
40145000109,4
40145000305,4
40145000108,4
40145000303,4
40145000210,4
40145000313,4
40145000304,4
40145000309,4
40037000231,2
40037000405,2
40027000002,1
40027000048,1
40027000044,1
40027000021,1
40027000076,1
40027000038,1
40027000025,1
40095000303,1
40095000102,1
40121000023,4
40121000039,4
40121000014,4
40095000101,1
40131000002,4
40131000003,4
40131000007,2
40131000005,4
40131000013,4
40131000018,4
40069000005,1
40069000004,1
40069000001,1
40069000003,1
40111000029,4
40111000033,4
40111000009,4
40091000205,4
40091000104,4
40091000102,4
40117000118,2
40091000201,4
40091000307,4
40091000310,4
40091000103,4
40069000011,1
40069000012,1
40091000314,4
40107000312,4
40107000311,4
40107000314,4
40107000101,1
40107000206,2
40107000102,2
40027000026,1
40059000301,3
40059000303,3
40153000302,3
40005000003,1
40005000011,4
40005000009,1
40005000012,4
40005000013,4
40111000008,4
40111000021,4
40111000032,4
40107000208,4
40107000209,4
40107000210,4
40107000207,2
40117000111,2
40079000201,4
40079000101,4
40079000304,4
40089000027,4
40037000404,2
40037000403,2
40117000309,2
40005000008,1
40005000016,1
40005000006,1
40005000001,4
40005000018,4
40029000005,1
40059000201,3
40027000001,1
40027000055,1
40027000010,1
40027000060,1
40059000402,3
40111000027,4
40111000020,2
40107000105,2
40111000004,4
40111000036,4
40111000026,4
40059000302,3
40027000056,1
40027000013,1
40027000014,1
40027000047,1
40119000403,5
40119000103,5
40119000102,5
40119000101,5
40119000011,5
40119000104,5
40119000401,5
40119000405,5
40119000402,5
40071000527,5
40071000403,5
40071000205,5
40083000101,5
40083000105,5
40083000104,5
40083000203,5
40083000205,5
40083000207,5
40083000310,5
40083000201,5
40083000309,5
40083000204,5
40083000308,5
40083000307,5
40071000103,5
40071000419,5
40071000409,5
40071000400,2
40111000011,4
40091000313,4
40119000007,5
40119000003,5
40119000001,5
40045000001,3
40007000031,3
40007000026,3
40125000031,1
40125000030,1
40125000001,1
40125000040,1
40125000038,1
40125000024,1
40069000009,1
40069000014,1
40069000010,1
40069000007,1
40069000013,1
40083000301,5
40083000102,5
40083000306,5
40083000303,5
40083000103,5
40083000305,5
40005000010,4
40029000004,4
40121000035,4
40121000004,4
40121000006,4
40121000007,4
40121000032,4
40121000011,4
40067000002,3
40113000111,2
40113000110,2
40113000303,5
40113000105,2
40083000206,5
40069000006,1
40145000208,4
40145000209,4
40071000404,5
40071000406,5
40071000535,5
40109000070,1
40109000251,1
40109000006,3
40109000005,3
40109000118,5
40109000126,5
40109000129,5
40109000136,5
40109000060,5
40109000158,3
40109000138,5
40109000137,5
40109000034,5
40109000256,5
40109000193,5
40109000202,5
