GEOID,DISTRICT
45079000401,2
45079000132,2
45079000458,7
45079000446,7
45079000426,7
45079000129,2
45071000005,2
45071000020,2
45071000001,2
45071000034,7
45071000040,2
45071000015,2
45079000448,7
45079000126,5
45079000483,5
45079000484,7
45071000002,2
45071000019,2
45071000042,2
45071000027,7
45079000480,5
45079000479,5
45079000102,2
45079000455,5
45079000507,5
45079000442,5
45079000441,5
45079000403,2
45079000402,2
45079000431,2
45079000420,2
45079000478,2
45079000413,7
45079000474,7
45079000452,7
45079000440,2
45079000492,2
45079000493,2
45079000491,2
45079000109,2
45079000449,7
45079000408,7
45079000501,2
45079000421,2
45079000400,5
45079000513,2
45071000007,2
45071000008,2
45079000123,2
45079000457,5
45079000417,2
45079000118,2
45079000464,7
45079000508,7
45079000514,7
45079000463,7
45079000465,7
45079000114,2
45079000467,7
45079000466,2
45079000468,2
45071000039,2
45071000013,2
45071000036,2
45071000051,2
45071000028,7
45079000462,7
45079000113,2
45079000494,2
45079000450,2
45079000459,5
45079000406,7
45079000430,2
45079000131,2
45079000103,2
45079000405,5
45079000415,2
45079000427,7
45079000122,2
45079000439,2
45079000472,2
45079000125,5
45023000001,7
45023000003,7
45023000011,7
45079000497,7
45079000454,7
45079000509,7
45027000016,5
45027000019,5
45027000006,5
45027000020,5
45027000021,5
45079000506,7
45079000410,5
45079000411,5
45079000460,7
45079000445,7
45059000007,4
45059000001,4
45059000006,4
45059000004,4
45059000005,4
45079000433,2
45079000471,2
45063000054,2
45079000503,7
45089000022,5
45089000014,5
45035000049,5
45035000092,5
45035000043,5
45035000072,5
45035000107,5
45035000073,3
45035000063,3
45079000511,5
45079000423,5
45079000496,2
45079000104,2
45079000515,5
45079000447,2
45079000106,2
45059000013,4
45059000022,4
45045000337,4
45083000027,4
45079000453,7
45015000002,5
45015000035,5
45015000085,5
45015000088,5
45015000093,5
45015000098,5
45015000029,5
45015000096,5
45015000001,5
45015000087,5
45015000099,3
45015000057,5
45015000058,5
45015000054,5
45015000012,3
45015000063,3
45015000064,3
45015000062,3
45059000018,4
45059000029,4
45059000015,4
45057000009,7
45057000023,7
45057000026,7
45057000013,7
45023000018,7
45059000002,4
45059000003,4
45059000009,4
45059000020,4
45059000010,4
45029000024,5
45029000029,5
45029000019,5
45029000015,3
45029000025,5
45029000031,5
45029000040,5
