GEOID,POP,X,Y
49047FD0018,1439,-109.84223198266010,40.31010580830475
49047LT021S,1400,-109.77612026112102,40.44924022673806
49047MD0790,10,-109.69968198858327,40.70182494773177
49047LT021N,7,-109.91169727823087,40.65005946061049
49047DN0024,718,-109.45587897717405,40.40535269216096
49035WJD035,3042,-112.06588475496297,40.60915201618251
49035SAN086,1561,-111.82298472436294,40.54272383283021
49035SLC149,1437,-111.85940635910053,40.71616668114455
49035WVC057,1948,-112.01965728765948,40.67808526994870
49035WJD039,2405,-112.01463727705099,40.60226359899694
49035WJD043,543,-112.00032963782115,40.60716875481673
49035SJD030,2265,-111.99089958533604,40.54973430331231
49035SJD029,1677,-111.99525693285914,40.54127780402806
49035SJD006,2595,-112.00868195120935,40.54183649333127
49035SJD046,684,-111.98919441991379,40.54114230904094
49035DRP025,2250,-111.87377751213531,40.48985182460363
49035DRP027,3047,-111.89614071821691,40.47567976146513
49035DRP007,5954,-111.90383762826905,40.50716246268797
49023NEP4IA,1098,-111.82438339711091,39.72236854729803
49023NEP4UA,21,-111.71428043108246,39.76026526145808
49023NEP5UA,3,-111.78242756393891,39.71167262036397
49023NEP5IA,1031,-111.82036244743770,39.71334444709237
49017ES04US,62,-111.51920338931728,37.63177443510139
49017ES04UN,106,-111.70310758417719,37.84683123124940
49017ES04I0,786,-111.60015419693026,37.76502012979580
49017BO02UW,18,-111.51873440640988,38.02285577308091
49025KAN01I,873,-112.51060014383951,37.01845290895685
49025KAN02U,458,-112.15723438730879,37.28143112417406
49025BULL00,84,-111.34136886563130,37.31962096831518
49025ORD0UW,43,-112.78674580009026,37.24743813297762
49025ORD00I,598,-112.65739012597881,37.25396177741304
49023CA0011,136,-113.35985801799529,39.73416828355566
49023NEP2IA,1516,-111.83451815819248,39.68914500000000
49023NEP2UA,104,-111.85356229601882,39.68988240428686
49023NEP2UB,59,-111.95971830610183,39.64688052279888
49023LEV06W,23,-112.07583682953316,39.49668777929728
49017HA005I,132,-112.43474727649186,37.64935023072680
49017HA05UW,92,-112.55461690756454,37.62316838227963
49017HA05UE,82,-112.35063020843755,37.63018046785909
49047WR020S,455,-109.93745683888629,40.47363006479912
49047WR020N,6,-109.95223073237511,40.58819173669652
49047VC0009,1199,-109.53341444278011,40.44735943293992
49049VI0200,3836,-111.74503701649033,40.31722134876608
49049VI0100,8435,-111.75462354932306,40.30193651970867
49049VI01S2,54,-111.74778350475765,40.28409088055532
49049OR042B,1029,-111.73912041240840,40.28421798352601
49049OR042C,158,-111.74463096500114,40.28895717939761
49049VI01S1,157,-111.73699000944163,40.28690622552783
49049LV000U,29,-111.73273906714880,40.25817426039730
49049LE0026,3240,-111.84374066688159,40.37006599598865
49049LE0001,2645,-111.84292414225939,40.38454521547322
49049LE0002,2375,-111.84704366081753,40.39494473147393
49049LE001S,10,-111.83007368782270,40.38728975389974
49049PA006I,1781,-111.76913771077164,40.03873140501436
49049PA006U,1568,-111.78461048814620,40.05572960237951
49049PA0005,1762,-111.74301843760692,40.03453171601066
49049PA0002,3592,-111.75104853243270,40.02364402064719
49049GE0001,1548,-111.84621135042627,40.00970672743175
49049EM0008,7079,-111.95459481468218,40.35478079373589
49049EM0005,4897,-111.97015634170410,40.35467483751753
49049EM005A,0,-111.97491733215323,40.34271941141534
49049EM0006,6240,-111.96751423851236,40.37196194087977
49049OR0038,1689,-111.70127261020114,40.32303722339088
49049PR0038,739,-111.63870370545163,40.26566812663575
49049PR0037,1141,-111.65080753131058,40.26747601862210
49049PR0030,1339,-111.65494824102842,40.27502665440921
49049PR0039,1520,-111.63938993546708,40.27156143934668
49049SF0015,3467,-111.62148955169079,40.09453808064387
49049SF0014,1725,-111.61122415214687,40.08814961693417
49049SR009I,3509,-111.91252433468301,40.32290398393719
49049FF000U,33,-112.03142702567126,40.17367335332317
49049SR010I,4208,-111.88859383146948,40.28597826064773
49049SR0008,3608,-111.89479978929997,40.30704031806245
49049SR009U,11,-111.94526430959498,40.30634354251093
49049EL001U,284,-111.94617209980828,40.04413739986133
