GEOID,DISTRICT
51117000901,9
51117000601,9
51117000201,9
51117000803,9
51117000702,9
51053000201,3
51053000202,3
51053000502,3
51053000102,6
51053000402,6
51053000403,3
51147000601,9
51147000501,9
51163000203,9
51147000302,9
51147000301,9
51163000503,9
51117000802,9
51163000501,9
51163000301,9
51009000303,9
51005005701,9
51005005601,9
51079000401,10
51079000201,10
51113000003,10
51137000101,10
51003000603,10
51079000101,10
51079000301,10
51113000006,10
51700000302,11
51700000108,3
51700000106,3
51700000311,11
51700000102,11
51700000314,11
51163000202,9
51163000201,9
51163000504,9
51163000502,9
51163000101,9
51163000104,9
51163000302,9
51023000301,9
51125000101,10
51125000401,9
51053000303,3
51161000105,4
51770000001,4
51161000304,4
51810000024,2
51810000082,2
51810000086,2
51810000093,2
51810000001,2
51810000042,2
51810000052,2
51163000401,9
51163000402,9
51117000701,9
51117000203,9
51117000302,9
51117000501,9
51117000401,9
51117000103,9
51117000903,9
51005005201,4
51107000615,5
51107000625,5
51107000819,5
51810000037,2
51810000011,2
51810000017,2
51810000059,2
51710000512,2
51810000041,2
51161000104,4
51770000003,4
51009000101,9
51031000601,9
51009000201,9
51005005101,4
51107000416,5
51107000409,5
51107000403,5
51107000402,5
51107000808,5
51107000122,5
51107000124,5
51107000120,5
51107000112,5
51107000119,5
51083000401,9
51083000502,9
51083000701,9
51107000121,5
51107000210,8
51107000209,8
51107000401,5
51107000421,5
51065000301,10
51065000201,10
51077000203,4
51077000101,4
51085000704,6
51085000101,6
51085000602,3
51085000406,3
51087000209,3
51085000703,10
51199000502,11
51199000501,11
51199000201,11
51199000103,3
51095000503,3
51700000110,3
51095000502,3
51077000202,4
51197000602,4
51125000501,9
51125000201,9
51185000502,4
51185000501,4
51167000403,4
51167000303,4
51167000602,4
51167000402,4
51107000207,5
51107000307,5
51107000503,5
51107000114,5
51107000107,5
51107000123,5
51107000629,5
51107000117,5
51107000411,5
51167000501,4
51167000302,4
51185000214,4
51167000301,4
51077000108,4
51077000104,4
51107000316,5
51107000312,5
51107000321,5
51107000118,5
51107000701,8
51107000702,8
51095000403,3
51095000303,3
51095000402,3
51095000401,3
51095000202,3
51095000304,3
51810000030,2
51810000070,2
51810000050,2
51810000003,2
51810000027,2
51810000099,2
51810000044,2
51810000065,2
51810000038,2
51810000019,2
51141000501,4
51141000503,4
51590000016,9
51143000705,9
51590000004,9
51083000302,9
51083000103,9
51083000203,9
51141000301,4
51141000203,4
51141000502,4
51141000202,4
51141000302,4
51141000401,4
51053000501,3
51053000302,3
51125000502,9
51125000402,9
51163000403,9
51035000303,4
51035000301,4
51011000102,9
51011000202,9
51011000401,9
51011000101,9
51011000501,9
51057000301,3
51035000102,4
51035000105,4
51035000103,4
51810000083,2
51810000046,2
51810000080,2
51810000021,2
51810000016,2
51810000039,2
51810000063,2
51810000095,2
51035000402,4
51035000502,4
51035000406,4
51035000503,4
51035000202,4
51185000401,4
51185000402,4
51027000702,4
51141000402,4
51185000204,4
51185000209,4
51185000102,4
51107000622,5
51107000626,5
51107000707,5
51107000619,5
51107000308,5
51043000302,5
51057000201,3
51107000311,5
51107000305,5
51107000315,5
51590000003,9
51197000203,4
51197000402,4
51197000303,4
51199000401,11
51199000303,3
51199000102,3
51685000002,5
51685000001,1
51685000003,1
51167000102,4
51167000202,4
51590000013,9
51125000301,9
51035000201,4
51197000102,4
51197000101,4
51199000302,11
51199000301,11
51127000501,3
51107000319,5
51107000318,5
51107000322,5
51107000313,5
51071000302,4
51820000001,10
51015000603,10
51125000202,9
51199000403,11
51043000201,5
51043000101,5
51043000301,5
51590000011,9
51035000302,4
51185000104,4
51590000010,9
51590000017,9
51069000302,5
51043000401,5
51069000401,5
51161000106,4
51161000103,4
51775000009,4
51161000302,4
51161000507,4
51810000014,2
51810000025,2
51810000023,2
51710000408,2
51810000064,2
51810000034,2
51810000005,2
51810000004,2
51043000501,5
51155000202,4
51155000501,4
51820000002,10
51820000004,10
51083000702,9
51141000201,4
51161000405,9
51161000401,9
51165000201,10
51165000103,10
51165000104,10
51165000204,10
51165000406,10
51165000401,10
51165000205,10
51165000402,10
51085000303,6
51085000506,3
51101000501,3
51085000601,3
51085000603,3
51165000502,10
51165000501,10
51185000103,4
51185000301,4
51185000303,4
51049000501,9
51057000101,3
51107000218,5
51107000813,5
51107000309,5
51107000219,5
51107000208,5
51107000504,5
51107000502,5
51177000302,1
51177000301,1
51630000101,1
51177000103,1
51177000102,1
51177000602,1
51177000601,1
51177000504,1
51177000303,1
51165000503,10
51165000504,10
51101000201,3
51101000101,3
51177000402,1
51177000704,1
51177000703,1
51083000101,9
51085000301,6
51087000222,6
51087000223,6
51087000103,6
51087000109,6
51107000314,5
51107000320,5
51107000616,5
51107000628,5
51107000125,5
51107000509,5
51107000414,5
51107000508,5
51107000413,5
51107000501,5
51049000401,9
51107000820,5
51107000814,5
51690000005,9
51195000401,4
51195000102,4
51740000024,11
51740000022,11
51770000019,4
51770000008,9
51770000009,4
51770000020,4
51770000007,9
51770000006,9
51161000403,9
51510000109,7
51510000110,7
51510000105,7
51510000112,7
51510000103,7
51059000621,7
51510000108,7
51510000107,7
51510000106,7
51510000111,7
51013000050,7
51013000003,7
51013000052,7
51510000102,7
51510000202,7
51113000005,10
51770000015,4
51770000017,4
51770000011,4
51770000002,4
51173000401,4
51173000402,4
51173000201,4
51770000014,9
51770000013,9
51023000403,9
51195000302,4
51740000014,2
51740000017,2
51740000019,11
51550000025,2
51740000016,2
51740000005,2
51740000026,11
51740000028,11
51775000005,4
51775000001,4
51195000203,4
51195000104,4
51199000402,11
51065000101,10
51119000102,3
51775000006,4
51195000101,4
51195000301,4
51740000001,2
51173000502,4
51770000012,4
51161000505,4
51023000102,4
51023000101,9
51023000406,9
51165000101,10
51165000404,10
51165000302,10
51165000403,10
51195000402,4
51195000103,4
51047000703,10
51047000401,10
51630000401,1
51630000201,1
51109007021,10
51075000202,10
51109007022,10
51075000102,10
51109007023,10
51085000701,6
51087000308,6
51085000203,6
51085000105,6
51085000201,10
51033000601,1
51033000402,1
51161000202,4
51173000601,4
51177000702,1
51177000401,1
51177000403,1
51177000701,1
51117000604,9
51117000301,9
51041000208,6
51041000108,3
51041000405,6
51041000516,6
51041000409,6
51041000301,3
51730000701,3
51041000501,6
51041000513,6
51119000201,11
51119000501,3
51740000021,11
51740000031,11
51510000204,7
51510000305,7
51510000306,7
51510000304,7
51510000309,7
51740000039,11
51740000037,11
51740000036,11
51775000007,4
51775000004,4
51775000002,4
51195000202,4
51085000404,3
51087000503,3
51127000202,3
51047000702,10
51047000201,10
51683000001,1
51683000003,1
51683000006,1
51153000214,1
51107000623,5
51107000627,5
51107000620,5
51083000603,9
51155000102,4
51155000301,4
51155000101,4
51155000304,4
51195000201,4
51740000025,11
51071000202,4
51165000203,10
51510000308,7
51510000209,7
51510000206,7
51071000103,4
51071000201,4
51071000203,4
51041000204,6
51041000212,6
51173000101,4
51161000506,4
51770000010,4
51177000201,1
51177000203,1
51071000101,4
51155000302,4
51087000110,6
51087000101,6
51087000312,6
51087000117,6
51760000111,6
51087000203,6
51760000309,6
51087000407,6
51101000301,3
51101000202,3
51510000208,7
51510000210,7
51510000205,7
51059000402,7
51083000305,9
51115000001,11
51115000003,11
51041000515,6
51041000207,6
51041000216,6
51083000102,9
51173000301,4
51173000501,4
51165000405,10
51165000304,10
51165000108,10
51165000107,10
51165000102,10
51023000302,9
51019000601,9
51770000005,9
51770000004,9
51041000504,6
51041000511,6
51041000505,6
51041000507,6
51037000101,9
51037000702,9
51037000501,9
51037000401,9
51037000201,9
51690000001,4
51041000503,6
51041000518,6
51041000508,6
51041000416,6
51041000105,3
51041000214,3
51195000403,4
51051000301,4
51740000007,11
51740000030,11
51165000505,10
51023000501,9
51023000502,9
51173000602,4
51770000018,4
51775000008,4
51173000202,4
51173000701,4
51173000302,4
51023000202,9
51087000513,3
51087000201,3
51087000511,3
51087000220,3
51760000604,6
51087000515,3
51520000002,4
51520000003,4
51003000302,10
51139000301,10
51139000201,10
51139000401,10
51047000603,10
51047000602,10
51630000301,1
51630000402,1
51041000209,3
51710000201,11
51710000208,11
51139000501,10
51620000601,3
51041000509,6
51041000410,6
51041000110,3
51041000101,3
51109000601,10
51109000503,10
51790000201,10
51790000501,10
51015000405,9
