GEOID,DISTRICT
53011000909,10
53011000947,10
53011000910,10
53011000914,10
53011000912,10
53011000110,10
53011000654,10
53011000426,10
53011000371,10
53011000370,10
53011000617,10
53011000616,10
53011000614,10
53011000620,10
53011000130,10
53011000147,10
53011000587,10
53011000585,10
53011000589,10
53011000586,10
53011000560,10
53011000553,10
53011000958,10
53011000957,10
53011000961,10
53011000690,10
53011000959,10
53005005629,3
53005002565,3
53005003003,3
53005001680,3
53005001674,3
53005002590,3
53005002595,3
53049000015,2
53049000013,2
53049000011,2
53049000034,2
53049000006,2
53005005638,3
53005005625,3
53005005639,3
53005005630,3
53071000053,8
53071000034,3
53011000630,10
53011000120,10
53011000125,10
53011000490,10
53011000480,10
53005002640,3
53005000465,3
53011000684,10
53011000697,10
53011000340,10
53011000337,10
53011000175,10
53011000294,10
53017000309,3
53017000304,3
53017000209,3
53017000210,3
53017000213,3
53011000605,10
53011000537,10
53011000603,10
53071000052,8
53071000014,8
53071000018,8
53011000502,10
53011000503,10
53017000110,3
53017000301,3
53017000306,3
53017000101,3
53017000102,3
53017000313,3
53017000103,3
53017000114,3
53017000107,3
53017000109,3
53005000450,3
53005002401,3
53005002580,3
53011000484,10
53011000550,10
53011000440,10
53011000658,10
53071000025,8
53071000009,8
53071000019,8
53071000021,8
53071000003,8
53071000042,3
53071000043,3
53005006285,3
53005006293,3
53049000027,2
53049000110,2
53049000023,2
53049000024,2
53049000103,2
53049000025,2
53005004012,3
53005004011,3
53005004016,3
53005004009,3
53039000001,3
53039000014,3
53017000303,3
53017000111,3
53017000112,3
53039000002,10
53039000003,10
53005005627,3
53005006320,3
53005005637,3
53005006311,3
53005002403,3
53033000455,6
53033003282,4
53033001493,5
53033001099,4
53033000901,4
53033003735,4
53033002309,1
53033002277,5
53033001925,6
53033001765,5
53033002350,1
53033002338,1
53033000547,4
53033000639,4
53033000233,6
53033000690,6
53033000848,6
53033000739,6
53033000111,4
53033001061,6
53033001064,6
53033002674,6
53033002598,4
53033003738,4
53033003739,4
53033002967,4
53033001991,5
53033002058,5
53033001992,5
53011000250,10
53011000245,10
53011000671,10
53071000041,8
53071000050,8
53011000940,10
53071000006,8
53071000005,8
53005005621,3
53005004001,3
53005006150,3
53005000099,3
53005000096,3
53005006286,3
53005006284,3
53005006278,3
53005006288,3
53005006289,3
53005006283,3
53033000525,4
53033001565,6
53011000675,10
53011000240,10
53011000195,10
53011000200,10
53011000113,10
53011000516,10
53011000523,10
53011000514,10
53011000525,10
53011000527,10
53011000520,10
53011000521,10
53011000524,10
53011000522,10
53011000935,10
53011000906,10
53011000917,10
53011000104,10
53049000108,2
53049000001,2
53005002404,3
53005002405,3
53005001023,3
53005000455,3
53005002620,3
53005002625,3
53005002626,3
53005002630,3
53005002637,3
53005002633,3
53005002636,3
53033003636,6
53033001646,6
