GEOID,DISTRICT
55099004857,1
55099004862,1
55099004865,1
55099004863,1
55099004858,1
55099004859,1
55099004889,1
55099004884,1
55099004872,1
55099004882,1
55099004887,1
55099004880,1
55099004870,1
55099004871,1
55099004856,1
55099004855,1
55135006989,2
55135006943,2
55135006990,2
55135006963,2
55017000595,1
55017000593,1
55017000580,1
55017000588,1
55017000587,1
55127006278,3
55127006268,4
55127006277,3
55127006271,4
55127006276,3
55127006218,3
55127006204,3
55127006219,3
55127006222,3
55127006233,3
55127006231,3
55127006174,3
55127006175,4
55127006176,3
55127006285,3
55127006151,3
55127006150,3
55127006164,3
55127006283,3
55127006173,3
55127006159,3
55127006158,3
55127006289,3
55127006291,3
55127006288,3
55127006292,3
55127006296,3
55127006297,3
55127006241,3
55127006239,3
55127006242,3
55127006211,3
55127006181,3
55135006931,2
55135006968,2
55135006962,2
55135006947,2
55135006985,2
55135006988,2
55135006930,2
55135006941,2
55135006940,2
55135006925,2
55135006984,2
55135006998,2
55135008074,2
55099004878,1
55099004877,1
55135006936,2
55135006911,2
55099004861,1
55099004860,1
55099004886,1
55099004873,1
55099004875,1
55099004874,1
55125006134,1
55125006124,1
55125006121,2
55067002994,2
55067002991,2
55067003020,2
55067003006,2
55067003011,2
55067003005,2
55067003023,2
55067003009,2
55135006982,2
55135006916,2
55135006927,2
55135006906,2
55135006996,2
55135006919,2
55135006918,2
55135006956,2
55135006908,2
55135006924,2
55135006979,2
55135007001,2
55135006967,2
55135006969,2
55135006952,2
55135006991,2
55135006994,2
55135006987,2
55135007002,2
55135006973,2
55135006974,2
55135006960,2
55135006959,2
55009000383,5
55009000309,5
55009000382,5
55009000385,5
55009000206,5
55009000254,5
55027001487,3
55027001565,3
55067002988,2
55067002995,2
55067003022,2
55125006123,2
55125006127,2
55125006126,2
55125006119,2
55125006116,2
55125006108,2
55009000282,5
55141007305,6
55141007304,6
55141007296,6
55141007302,6
55141007289,6
55141007356,6
55141007264,6
55141007349,6
55141007372,6
55141007283,6
55141007324,6
55053002396,6
55053002390,6
55141007303,6
55141007348,6
55141007284,6
55141007268,6
55141007341,6
55141007360,6
55141007371,6
55141007373,6
55027001547,3
55027001548,3
55027001514,3
55027001601,3
55027001559,3
55027001515,3
55027001516,3
55009000269,5
55009000218,5
55009000247,5
55009000333,5
55009000239,5
55099004866,1
55099004864,1
55141007338,6
55141007339,6
55141007262,6
55141007261,6
55141007362,6
55141007359,6
55141007363,6
55125006130,2
55125006137,1
55125006143,2
55125006141,2
55125006138,2
55027001602,3
55027001518,3
55027001519,3
55009000234,5
55009000387,5
55009000341,5
55009000324,5
55009000348,5
55085004221,2
55085004263,2
55085004239,2
55085004270,2
55085004259,1
55085004278,2
55085004245,2
55085004258,2
55085004246,2
55085004255,1
55085004233,2
55085004249,2
55085004226,2
55125006103,2
55125006133,2
55125006125,2
55125006122,2
55125006135,2
55027001525,3
55027001460,3
55027001480,4
55027001463,4
55027001481,4
55027001471,4
55027001464,4
55027001588,4
55027001589,4
55027001501,4
55033001739,1
55033001752,1
55033001750,1
55033001778,1
55033001786,1
55033001779,1
55127006207,4
55127006161,4
55127006162,4
55127006212,3
55127006209,3
55127006298,3
55127006258,3
55127006224,3
55127006208,3
55127006195,3
55127006194,3
55127006193,3
55127006237,3
55127006236,3
55127006185,3
55127006183,3
55127006184,3
55127006295,3
55127006186,3
55127006188,3
55127006187,3
55127006189,3
55127006294,3
55127006263,3
55127006262,3
55127006251,3
55127006261,3
55127006264,3
55127006163,3
55127006265,3
55127006156,3
55127006240,3
55127006192,3
55127006160,3
55127006293,3
55027001557,3
55085004243,2
55085004280,2
55085004257,2
55085004252,2
55085004273,2
55085004276,2
55085004272,2
55033001743,1
55033001790,1
55033001774,1
55033001781,1
55033001784,1
55033001780,1
55033001756,1
55033001787,1
55033001770,1
55033001769,1
55085004275,2
55085004274,2
55009000220,5
55009000198,5
55009000310,5
55009000330,5
55009000320,5
55009000281,5
55009000394,5
55009000210,5
55009000284,5
55009000197,5
55009000323,5
55009000253,5
55009000292,5
55009000318,5
55009000205,5
55017000611,1
55017000609,1
55017000608,1
55017000604,1
55037001942,2
55037001938,2
55037001944,2
55037001950,2
55037001941,2
55085004282,2
55085004269,2
55085004238,2
55085004267,2
55085004261,2
55085004240,2
55085004241,2
55085004271,2
55085004237,2
55085004253,2
55125006118,2
55125006109,2
55009000335,5
55009000258,5
55009000349,5
55009000267,5
55009000396,5
55009000215,5
55027001466,4
55027001473,4
55027001465,4
55027001593,3
55027001510,3
55027001517,3
55019000699,1
55037001948,2
55085004260,2
55085004242,2
55085004247,2
55015000484,5
55015000520,5
55015000497,5
55015003031,5
55015000498,5
55015000468,5
55027001530,3
55027001529,3
55009000367,5
55009000311,5
55009000314,5
55009000262,5
55009000236,5
55009000347,5
55027001459,3
55027001462,3
55027001599,2
55027001491,3
55027001604,3
55009000213,5
55009000204,5
55009000212,5
55009000201,5
55009000306,5
55009000298,5
55009000217,5
55009000244,5
55009000243,5
55009000196,5
55009000264,5
55009000203,5
55009000293,5
55125006111,2
55125006112,2
55027001544,3
55027001592,3
55027001539,3
55027001591,3
55009000261,5
55009000265,5
55009000327,5
55009000363,5
55009000273,5
55009000377,5
55009000374,5
55009000351,5
55009000263,5
55009000223,5
55009000207,5
55009000277,5
55015000506,5
55015000508,5
55015000472,5
55015000471,5
55015000499,5
55015000496,5
55075003380,5
55075003377,5
55075003393,5
55075003392,5
55075003399,5
55045002206,4
55045002218,4
55045002219,4
55045002216,4
55045002224,4
55093004617,1
55093004615,1
55093004660,1
55093004623,1
55019000677,1
55019000711,1
55019000712,1
55019000680,1
55019000684,1
55019000652,1
55019000705,1
55075003431,2
55075003432,5
55075003430,5
55045002254,4
55045002226,4
55075003407,5
55075003410,5
55075003405,5
55075003401,5
55075003400,5
55075003379,5
55075003404,5
55075003403,5
55019000670,1
55053002406,1
55019000687,6
55019000668,6
55019000673,6
55019000690,1
55019000656,6
55019000674,1
55019000706,1
55019000666,1
55019000658,1
55019000701,1
55019000720,1
55019000675,1
55041002108,2
55041002099,2
55041002098,2
55137007056,2
55137007052,2
55137007042,2
55137007057,2
55137007059,2
55115005774,2
55115005806,2
55115005775,2
55115005770,2
55115005771,2
55089004572,7
55089004534,7
55089004575,7
55089004542,7
55089004556,7
55089004541,7
55089004524,7
55089004540,7
55089004502,7
55089004530,7
55089004544,7
55089004583,7
55033001785,1
55033001782,1
55089004545,7
55089004492,7
55033001768,1
55033001741,1
55033001771,1
55033001734,1
55033001755,1
55033001738,1
55033001753,1
55033001737,1
55033001751,1
55033001742,1
55115005804,2
55115005809,2
55115005768,2
55115005769,2
55115005808,2
55115005764,2
55115005797,2
55137007022,6
55137007006,6
55129006318,1
55129006317,1
55129006311,1
55129006341,1
55129006312,1
55129006313,1
55129006319,1
55129006314,1
55049002345,6
55093004658,1
55093004610,1
55033001773,1
55075003385,5
55075003397,5
55075003387,5
55045002251,4
55049002340,6
55049002302,6
55049002337,6
55049002342,6
55049002339,6
55049002335,6
55049002350,6
55049002357,6
55049002358,6
55049002307,6
55079003868,8
55079003869,8
55079003670,8
55079003667,8
55079003782,7
55079003784,7
55079003769,7
55079003763,7
55079003786,7
55079003886,8
55079003881,8
55079003864,8
55079003778,7
55079003779,7
55079003922,8
55079003927,8
55079003531,8
55079003513,8
55079003565,8
55079003764,7
55079003896,3
55079003858,8
55079003860,3
55079003728,7
55079003729,7
55079003730,7
55079003750,7
55079003625,7
55079003740,7
55049002352,6
55049002353,6
55045002252,4
55045002253,4
55063002931,6
55063002924,6
55063002840,6
55063002871,6
55063002872,6
55063002873,6
55063002854,6
55063002861,6
55063002868,6
55125006102,2
55125006132,2
55125006113,2
55125006136,2
55085004251,2
55085004228,2
55085004232,2
55085004230,2
55085004250,2
55115005746,2
55115005793,2
55115005794,5
55115005761,2
55115005762,2
55115005750,2
55015000513,5
55015000514,5
55015000533,5
55015000489,5
55015000527,5
55015000485,5
55015008001,5
55015000532,5
55015000503,5
55015000501,5
55015000519,5
55015000518,5
55015000502,5
55015000483,5
55015000534,5
55015000493,5
55015000494,5
55105005348,4
55105005136,4
55105005343,4
55041002093,2
55041002103,2
55031001731,1
55031001729,1
55031001673,1
55031001728,1
55031001695,1
55031001694,1
55137007024,2
55137007031,2
55137007048,2
55079003870,8
55129006308,1
55129006307,1
55129006315,1
55079003621,7
55079003777,7
55079003857,3
55079003776,7
55079003713,7
55079003712,7
55079003538,8
55079003477,7
55079003986,8
55119005942,1
55119005945,1
55119005960,1
55105005124,4
55105005222,4
55105005201,4
55105005176,4
55041002084,2
55079003652,8
55079003673,8
55079003657,8
55079003648,8
55137007029,2
55137007027,2
55137007015,2
55137007060,2
55137007058,6
55137007053,2
55137007039,6
55137007037,6
55137007040,2
55137007055,2
55115005779,2
55137007013,2
55137007004,2
55115005757,2
55115005776,2
55137007043,2
55033001759,1
55033001758,1
55031001706,1
55031001707,1
55031001685,1
55031001698,1
55031001697,1
55031001700,1
55015000505,5
55079003603,7
55079003722,7
55079003724,7
55119005963,1
55119005964,1
55119005976,1
55119005969,1
55119005970,1
55119005973,1
55079003973,3
55079003974,3
55079003963,3
55079003999,8
55079003948,8
55079003981,8
55079003534,8
55079003535,8
55079003690,7
55079003701,7
55079003631,7
55079003623,7
55079003755,7
55079004041,7
55079003902,8
55079003898,8
55079003742,7
55079003741,7
55079003751,7
55079003795,7
55079003803,7
55119005959,1
55119005974,1
55119005957,1
55043002129,6
55043002147,6
55043002113,6
55043002149,6
55043002184,6
55043002191,6
55043002202,6
55043002201,6
55043002183,6
55043002133,6
55105005382,4
55105005234,4
55105005233,4
55105005194,4
55105005196,4
55105005208,4
55105005356,4
55105005189,4
55105005207,4
55105005206,4
55105005304,4
55105005188,4
55105008078,4
55105005166,4
55105005164,4
55105005165,4
55105005182,4
55105005205,4
55105005243,4
55105005198,4
55105005204,4
55079003586,8
55119005952,1
55119005956,1
55079003913,8
55079003919,8
55079003711,7
55079003714,7
55079004036,7
55079003851,7
55079003841,3
55079003581,8
55079003580,8
55079003582,8
55079003888,8
55079003899,8
55079003914,8
55079003918,8
55079003920,8
55079003854,7
55079003855,7
55079003839,7
55079004013,7
55079003852,7
55079004016,7
55079003762,7
55079003629,7
55079003821,7
55079003794,7
55063002930,6
55063002934,6
55075003418,2
55075003429,2
55075003426,5
55075003422,5
55075003421,5
55045002228,4
55045002241,6
55045002242,6
55045002222,6
55045002243,6
55045002208,6
55129006336,1
55133006594,3
55133006819,3
55133006606,3
55133006607,3
55133006691,3
55071003118,5
55071003119,5
55071003136,5
55071003123,5
55133006804,3
55133006799,3
55133006680,3
55109005537,1
55109005542,1
55109005554,1
55109005540,1
55109005538,1
55109005539,1
55109005460,1
55109005530,1
55109005533,1
55109005453,1
55109005562,1
55109005544,1
55109005461,1
55109005551,1
55109005573,1
55109005575,1
55109005568,1
55109005567,1
55109005471,1
55109005451,1
55109005547,1
55109005563,1
