#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
23,AL20C_I022K01N07,True,2203195.070771,0.003950,0.000000,1.000000,0.000000,0.000000
22,AL20C_I021K01N07,True,2203708.997882,0.003020,0.000233,0.988160,0.088656,0.024358
62,AL20C_I061K01N07,True,2204081.646038,0.011350,0.000402,0.975903,0.163603,0.050257
77,AL20C_I076K01N07,True,2208335.407530,0.008530,0.002333,0.940805,0.353893,0.130200
59,AL20C_I058K01N07,True,2208966.064391,0.012060,0.002619,0.916112,0.440537,0.194491
49,AL20C_I048K01N07,True,2209294.732301,0.010480,0.002769,0.968419,0.202224,0.066291
79,AL20C_I078K01N07,True,2209382.140425,0.008970,0.002808,0.942540,0.348360,0.126168
93,AL20C_I092K01N07,True,2210018.790204,0.014140,0.003097,0.973497,0.177605,0.055314
99,AL20C_I098K01N07,True,2210530.433710,0.016480,0.003329,0.965375,0.215529,0.073310
74,AL20C_I073K01N07,True,2210810.867216,0.007260,0.003457,0.970704,0.186868,0.061329
8,AL20C_I007K01N07,True,2211312.735280,0.005950,0.003684,0.910213,0.463812,0.209263
89,AL20C_I088K01N07,True,2211312.735280,0.005950,0.003684,0.910213,0.463812,0.209263
15,AL20C_I014K01N07,True,2212344.084280,0.008980,0.004153,0.976633,0.166884,0.048645
29,AL20C_I028K01N07,True,2212594.276103,0.005770,0.004266,0.911334,0.460825,0.206522
55,AL20C_I054K01N07,True,2212711.283133,0.006830,0.004319,0.981339,0.133727,0.038592
78,AL20C_I077K01N07,True,2213194.883414,0.005560,0.004539,0.968841,0.214541,0.065533
83,AL20C_I082K01N07,True,2213234.331213,0.006570,0.004557,0.976704,0.167096,0.048505
61,AL20C_I060K01N07,True,2213592.958715,0.007350,0.004719,0.960770,0.219280,0.083981
19,AL20C_I018K01N07,True,2214121.784671,0.011650,0.004959,0.983272,0.118760,0.034547
43,AL20C_I042K01N07,True,2214132.557478,0.011650,0.004964,0.983243,0.119166,0.034606
26,AL20C_I025K01N07,True,2214372.863133,0.003190,0.005073,0.923018,0.418150,0.175803
56,AL20C_I055K01N07,True,2215718.115674,0.007600,0.005684,0.977942,0.152120,0.045771
91,AL20C_I090K01N07,True,2215722.126351,0.005690,0.005686,0.950724,0.266552,0.107016
4,AL20C_I003K01N07,True,2217199.086690,0.010910,0.006356,0.949166,0.281380,0.110717
58,AL20C_I057K01N07,True,2217337.164684,0.006620,0.006419,0.822230,0.675896,0.465378
88,AL20C_I087K01N07,True,2217778.367863,0.014660,0.006619,0.972504,0.194515,0.057388
71,AL20C_I070K01N07,True,2218218.181002,0.011660,0.006819,0.970069,0.208497,0.063103
37,AL20C_I036K01N07,True,2218302.591375,0.006100,0.006857,0.945231,0.299382,0.119738
60,AL20C_I059K01N07,True,2220791.011432,0.013900,0.007987,0.973698,0.192972,0.054761
45,AL20C_I044K01N07,True,2221758.101053,0.017770,0.008426,0.962330,0.237090,0.079928
