MAP,ENERGY
AR20C_I000K01N04,1642195.762941
AR20C_I001K01N04,1642195.762941
AR20C_I002K01N04,1622213.191910
AR20C_I003K01N04,1644376.292834
AR20C_I004K01N04,1640048.249174
AR20C_I005K01N04,1642195.762941
AR20C_I006K01N04,1624188.032345
AR20C_I007K01N04,1624188.032345
AR20C_I008K01N04,1624188.032345
AR20C_I009K01N04,1624188.032345
AR20C_I010K01N04,1624188.032345
AR20C_I011K01N04,1642195.762941
AR20C_I012K01N04,1625329.907231
AR20C_I013K01N04,1642195.762941
AR20C_I014K01N04,1625329.907231
AR20C_I015K01N04,1616149.669401
AR20C_I016K01N04,1625329.907231
AR20C_I017K01N04,1624188.032345
AR20C_I018K01N04,1624188.032345
AR20C_I019K01N04,1642195.762941
AR20C_I020K01N04,1622213.191910
AR20C_I021K01N04,1624188.032345
AR20C_I022K01N04,1621262.917253
AR20C_I023K01N04,1624188.032345
AR20C_I024K01N04,1623311.678714
AR20C_I025K01N04,1620196.183939
AR20C_I026K01N04,1624188.032345
AR20C_I027K01N04,1623149.582546
AR20C_I028K01N04,1642195.762941
AR20C_I029K01N04,1625329.907231
AR20C_I030K01N04,1622213.191910
AR20C_I031K01N04,1625329.907231
AR20C_I032K01N04,1620187.534211
AR20C_I033K01N04,1624188.032345
AR20C_I034K01N04,1640048.249174
AR20C_I035K01N04,1625329.907231
AR20C_I036K01N04,1625329.907231
AR20C_I037K01N04,1620869.235869
AR20C_I038K01N04,1621891.874593
AR20C_I039K01N04,1640048.249174
AR20C_I040K01N04,1620187.534211
AR20C_I041K01N04,1642195.762941
AR20C_I042K01N04,1640048.249174
AR20C_I043K01N04,1642195.762941
AR20C_I044K01N04,1625329.907231
AR20C_I045K01N04,1625329.907231
AR20C_I046K01N04,1642195.762941
AR20C_I047K01N04,1643124.723936
AR20C_I048K01N04,1642195.762941
AR20C_I049K01N04,1620187.534211
AR20C_I050K01N04,1624188.032345
AR20C_I051K01N04,1624188.032345
AR20C_I052K01N04,1625329.907231
AR20C_I053K01N04,1624188.032345
AR20C_I054K01N04,1640048.249174
AR20C_I055K01N04,1625329.907231
AR20C_I056K01N04,1620187.534211
AR20C_I057K01N04,1640048.249174
AR20C_I058K01N04,1643883.143537
AR20C_I059K01N04,1625329.907231
AR20C_I060K01N04,1624188.032345
AR20C_I061K01N04,1625329.907231
AR20C_I062K01N04,1624188.032345
AR20C_I063K01N04,1640048.249174
AR20C_I064K01N04,1624188.032345
AR20C_I065K01N04,1620187.534211
AR20C_I066K01N04,1642318.273827
AR20C_I067K01N04,1620187.534211
AR20C_I068K01N04,1620869.235869
AR20C_I069K01N04,1624188.032345
AR20C_I070K01N04,1625329.907231
AR20C_I071K01N04,1642462.137575
AR20C_I072K01N04,1640048.249174
AR20C_I073K01N04,1624188.032345
AR20C_I074K01N04,1625224.573424
AR20C_I075K01N04,1624188.032345
AR20C_I076K01N04,1640952.525209
AR20C_I077K01N04,1640048.249174
AR20C_I078K01N04,1640048.249174
AR20C_I079K01N04,1620187.534211
AR20C_I080K01N04,1626824.805264
AR20C_I081K01N04,1625224.573424
AR20C_I082K01N04,1625329.907231
AR20C_I083K01N04,1624188.032345
AR20C_I084K01N04,1620187.534211
AR20C_I085K01N04,1644436.582469
AR20C_I086K01N04,1624188.032345
AR20C_I087K01N04,1625329.907231
AR20C_I088K01N04,1640048.249174
AR20C_I089K01N04,1640377.689321
AR20C_I090K01N04,1624188.032345
AR20C_I091K01N04,1625224.573424
AR20C_I092K01N04,1642195.762941
AR20C_I093K01N04,1625329.907231
AR20C_I094K01N04,1643075.035408
AR20C_I095K01N04,1624188.032345
AR20C_I096K01N04,1620869.235869
AR20C_I097K01N04,1643335.301329
AR20C_I098K01N04,1620869.235869
AR20C_I099K01N04,1620187.534211
