GEOID,DISTRICT
05051000021,2
05051000034,2
05051000051,2
05051000114,2
05051000112,2
05051000113,2
05051000132,2
050990000W3,2
050990000W1,2
050990000W2,2
05051000012,2
05051000011,2
05051000122,2
05051000103,2
05051000104,2
05051000102,2
05051000101,2
05051000094,2
05051000121,2
05051000032,2
050990000RW,2
050990000W4,2
050990000RE,2
05117000WAC,0
051170000H2,0
051170000H1,0
05051000111,2
05039000802,2
05039000801,2
0501900CRT1,2
05103000014,2
05051000115,2
05051000125,2
05051000123,2
05041000005,3
05041000001,3
05041000006,3
05041000014,3
05041000016,3
05041000013,3
05013000700,2
05013000201,2
05013000702,2
05013000301,2
05013000600,2
05013000300,2
05013000500,2
05013000701,2
05013000100,2
05013000200,2
05013000310,3
0502500002B,3
0502500002A,3
05025000010,3
0509900ROSR,2
05025000005,3
05025000003,3
05013000910,2
05013000810,2
05039000701,2
05039000704,2
05039000703,2
05039000602,2
0501900ECO1,2
05027000011,2
05027000009,2
05073000060,2
05027000001,2
05027000010,2
05025000014,3
0502500001B,3
0502500001A,3
05099000LAN,2
05099000GEO,2
050990000ER,2
05057000019,2
05013000401,2
05013000800,2
05013000900,2
05093000010,0
0509300007A,0
05093000013,0
05025000004,3
05027000002,2
05027000004,2
05051000014,2
05051000031,2
05051000044,2
05051000054,2
05051000033,2
05051000061,2
05051000043,2
05051000041,2
05051000063,2
05051000053,2
05051000064,2
05051000042,2
05053000022,3
05053000011,3
05053000012,3
05053000020,3
05053000021,3
05053000009,3
05053000003,2
05053000004,2
051170000CE,0
051170000HC,0
051170000H3,0
051170000DA,0
05053000019,3
05053000013,2
05039000603,2
05039000601,2
05039000901,2
05051000022,2
05117000RRC,0
05051000133,2
05051000131,2
05051000124,2
05125000002,2
05051000082,2
05051000071,2
05051000091,2
05051000072,2
05051000083,2
05051000093,2
0509900BODR,2
05051000062,2
05025000012,3
05053000002,2
050930029-1,0
05093000039,0
05093000018,0
05093000019,0
05093000024,0
05093000038,0
05129000005,0
05137000108,0
05129000006,2
05013000400,2
05013000410,2
05041000002,3
05041000003,3
05053000014,3
05129000012,0
05129000001,0
05129000014,0
05129000010,0
05107001173,0
05107002300,0
05057000005,2
05057000004,2
05057000002,2
05057000013,2
05057000016,2
05057000023,2
05057000021,2
05057000010,2
05091000MAN,2
05081000FRK,2
05057000014,2
05043000011,3
05043000003,3
05043000008,3
05043000004,3
05043000016,3
05043000001,3
05053000015,3
05053000008,2
05043000005,3
05057000003,2
05057000001,2
05057000017,2
05057000008,2
05069000102,3
05069000083,3
05069000045,3
05043000012,3
05011000014,3
05069000064,3
05069000065,3
05069000075,3
05069000110,3
05069000109,3
05069000108,3
05069000104,3
05069000111,3
05069000415,3
05069000084,3
050690733-1,3
05069000088,3
05069000081,3
05069000211,3
05069000206,3
05069000205,3
05069000207,3
05069000312,3
05069000311,3
05069000005,3
05069000011,3
05069000314,3
05069000419,3
05069000420,3
05069000418,3
05069000410,3
05069000304,3
05069000405,3
05147000018,0
05147000015,0
05147000017,0
05147000005,0
05121000008,0
05121000029,0
05121000028,0
05121000026,0
05121000027,0
05107001001,0
05147000011,0
05041000015,3
05041000018,3
05001000032,3
05001000031,3
05043000013,3
05043000009,3
05009000006,1
05009000007,1
050050001-3,0
05009000003,1
05009000002,1
05009000001,1
05009000005,1
05009000004,1
05009000008,1
05009000009,1
05009000011,1
05009000010,1
05015000023,1
05009000012,1
050050004-1,0
050050005-3,0
050050004-2,0
050050002-2,0
050050006-2,0
05069000950,3
05069000032,3
05069000223,3
05069000220,3
05069000319,3
05069000403,3
05069000424,3
05069000085,3
05069000422,3
05069000423,3
05069000309,3
05069000310,3
05091000DOD,2
05073000065,2
05091000CHM,2
05091000UNI,2
05091000GEN,2
05107001165,0
05107001203,0
05107001171,0
05107001201,0
05107001010,0
05107002102,0
05107001801,0
05107001800,0
05107001999,0
05107001040,0
05101000DOG,1
05101000MTS,1
05013000110,2
05041000010,3
05041000004,3
05041000020,3
05041000008,3
050050010-3,0
050050008-3,0
050050003-3,0
050050009-1,0
05069000203,3
050050011-2,0
050050008-1,0
05069000125,3
05069000114,3
05069000124,3
05069000128,3
05069000119,3
05069000106,3
05069000107,3
05069000105,3
05069000112,3
050050006-3,0
050050001-1,0
050050007-3,0
050050007-1,0
050050011-8,0
050050009-2,0
05043000006,3
05043000010,3
051310001-H,1
051310001-J,1
051310004-M,2
05131009-1M,2
051310004-I,2
051310004-L,2
05131009-1I,2
05131009-4I,2
05131009-2A,2
051310004-J,2
051310009-J,2
05131009-6C,2
05131009-6A,2
051310009-L,2
051310003-M,2
05131009-4H,2
05131009-1O,2
05087000010,1
05087000019,1
05087000023,1
05087000014,1
05087000024,1
05087000006,1
05131009-1E,2
05131009-1D,2
05131009-1B,2
051310001-M,1
051310002-G,1
051310002-F,1
05033000033,1
051310002-C,1
05033000011,1
05087000001,1
050050011-9,0
050050009-3,0
050050003-4,0
050050011-1,0
050050011-3,0
050050009-4,0
050050010-1,0
050050005-4,0
050050006-1,0
050050008-5,0
050050002-3,0
05033000012,1
05033000002,1
05087000009,1
05083000140,2
05131009-3K,2
051310002-B,1
05131009-1C,2
05083000146,2
05083000100,2
05083000138,2
05131009-3M,2
05131009-3O,2
05131009-3N,2
05131009-4B,2
05131009-4L,2
05131009-3C,2
05131009-2G,2
05087000022,1
05087000021,1
05131009-3B,2
05131009-2L,2
05131009-2K,2
05127000020,2
051310003-D,1
05131009-5A,1
051310003-E,1
05033000009,1
05033000038,1
051310004-G,1
05033000016,2
05033000015,1
05033000027,1
05033000007,1
05033000037,1
05033000032,1
05033000029,1
05055000023,0
05055000016,0
05055000018,0
05055000019,0
05055000028,0
05055000024,0
05055000025,0
05055000005,0
05055000004,0
0505500004A,0
0505500004C,0
05055000026,0
05131009-4C,2
05131009-4K,2
05131009-2C,2
05131009-2B,2
05131009-2D,2
05131009-2J,2
05131009-2F,2
05131009-2E,2
05131009-1K,2
051310001-K,1
051310001-I,1
051310001-A,1
05043000007,3
050050011-4,0
050050005-2,0
0505500001A,0
05055000001,0
05055000002,0
05055000014,0
05055000015,0
05055000003,0
0505500003A,0
05055000013,0
05055000007,0
05055000031,0
05055000027,0
05055000032,0
05033000031,1
05033000001,1
05091000FOU,2
05091000BRI,2
05057000012,2
05137000124,0
05137000106,0
05137000118,0
05137000105,0
05137000103,0
05137000129,0
05137000102,0
05137000104,0
05137000112,0
05127000022,2
05127000023,2
05097000013,2
05127000024,2
05127000006,2
05127000019,2
05137000119,0
05137000123,0
05035000063,0
05035000065,0
05035000013,0
05035000081,0
05035000067,0
05035000066,0
05035000078,0
05035000068,0
05035000032,0
05037000W08,0
05127000004,2
05091000GRV,2
05043000014,3
05043000015,3
05035000070,0
05035000077,0
05057000007,2
05057000022,2
05057000006,2
05057000020,2
05055000017,0
05055000010,0
05055000022,0
05055000021,0
05055000020,0
05123000007,0
05123000006,0
05123000053,0
05123000052,0
05123000066,0
05007000078,1
05007000028,1
05007000002,1
05007000033,1
05007000109,1
05007000058,1
05007000012,1
05007000041,1
05007000011,1
05007000085,1
05007000017,1
05007000016,1
050370000P2,0
050370000P4,0
05035000022,0
05035000055,0
05007000092,1
05007000050,1
05007000116,1
05007000061,1
05007000102,1
05007000066,1
05007000090,1
05007000046,1
05007000007,1
05007000096,1
05007000097,1
05007000009,1
05007000003,1
05007000004,1
05007000080,1
05007000089,1
05007000042,1
05007000084,1
05007000071,1
05007000074,1
05007000043,1
05007000106,1
05007000110,1
05007000076,1
05007000019,1
05007000015,1
05007000051,1
05007000086,1
05007000001,1
05007000083,1
05007000068,1
05007000094,1
05007000104,1
05007000115,1
05007000036,1
05007000039,1
05007000059,1
05129000007,0
05129000002,0
05123000027,0
05123000004,0
05035000074,0
05035000021,0
05035000071,0
05035000072,0
05035000023,0
05035000052,0
05037000C01,0
05037000W01,0
05037000W04,0
05037000W05,0
05035000076,0
05035000082,0
05035000080,0
05035000064,0
05021000001,0
05123000032,0
05123000031,0
05123000065,0
05123000021,0
05123000038,0
05007000008,1
05021000016,0
05021000003,0
05021000014,0
05021000017,0
05021000013,0
05067000045,0
05067000031,0
05067000030,0
05067000037,0
05067000028,0
05067000025,0
05067000014,0
05003000014,3
05003000011,3
05003000012,3
05067000033,0
05067000034,0
05067000035,0
05067000038,0
05067000039,0
05067000049,0
05067000048,0
05067000047,0
05067000018,0
05067000043,0
05067000004,0
05063000100,0
05063000041,0
05063000022,0
05063000021,0
05017000205,3
05017000101,3
05017000104,3
05079000009,3
05079000008,3
05103000005,2
05103000006,2
05003000022,3
05003000021,3
05003000013,3
05003000002,3
05071000GRA,2
05083000117,2
050470006-A,2
05141000021,0
05141000015,0
05141000022,2
05141000026,0
05141000023,0
05141000019,0
05141000025,0
05141000020,0
05141000002,0
05125000038,2
05125000006,3
05125000013,2
05019000AW1,2
05019000AW4,2
05019000AW2,2
05019000AW3,2
0501900GDG1,2
05125000004,3
05125000036,2
05125000014,2
05125000034,3
05125000017,2
05125000011,2
05029000024,2
05125000031,2
05125000003,2
05103000013,2
05065000302,0
05145000017,0
05045000016,0
05045000021,3
05045000022,3
05045000039,3
05045000025,3
05119000085,3
05119000055,3
05085000015,3
05085000051,3
05119000053,3
05119000054,3
05119000052,3
05119000129,3
05119000134,3
05119000048,3
05119000007,3
05119000012,3
05119000006,3
05119000019,3
05119000013,3
05119000074,3
05119000071,3
05103000009,2
05103000003,2
05103000002,2
05103000012,2
05103000015,2
05103000016,2
05103000007,2
05103000011,2
05103000018,2
05095000008,0
05095000001,0
05095000002,0
05095000017,0
05095000029,0
05095000010,0
05095000011,0
05095000013,0
05095000012,0
05145000026,0
05145000041,0
05145000015,0
05145000081,0
05145000032,0
05145000075,0
05145000072,0
05145000073,0
05145000018,0
05145000069,0
05145000036,0
05145000031,0
05145000079,0
05145000022,0
05145000004,0
05145000003,0
05001000038,3
05001000081,0
05001000041,3
05001000071,0
05001000037,3
05049000006,0
05049000010,0
05049000009,0
05033000040,1
05033000024,1
05049000005,0
05065000015,0
05065000104,0
05065000202,0
05065000200,0
05065000025,0
05103000010,2
05103000008,2
05037000W03,0
05037000W06,0
05035000054,0
05049000003,0
050050003-2,0
05071000SP2,2
05071000SP1,2
05083000111,2
05071000SP4,2
05105000015,2
05105000005,2
05105000010,2
05105000012,2
05135000026,0
05149000010,2
05149000009,2
05149000007,2
051230026-2,0
05123000026,0
05123000035,0
050370000P1,0
05037000W11,0
05135000008,0
05135000017,0
05135000020,0
05135000022,0
05135000021,0
05079000014,3
05135000003,0
05135000007,0
05135000006,0
050370000P3,0
05049000004,0
05097000010,2
05097000011,2
05097000009,2
05097000005,2
05097000015,2
05097000016,2
05097000002,2
05097000014,2
05097000006,2
05015000009,1
05015000031,1
05015000006,1
05015000007,1
05015000027,1
05015000020,1
05015000021,1
05015000015,1
05015000017,1
05015000004,1
05015000016,1
05015000002,1
05015000029,1
05015000001,1
05113000012,2
05149000008,2
05113000016,2
05113000011,2
05139000HIB,2
05139000HUT,3
051390000W1,2
05119000095,3
05119000109,3
05119000026,3
05119000028,3
05085000006,0
05119000122,3
05145000050,0
05145000062,0
05145000040,0
05145000023,0
05045000038,3
05045000037,3
05065000012,0
05065000027,0
05065000019,0
05139000CAL,2
05139000CB7,2
05139000FEL,3
05015000022,1
05015000014,1
05015000011,1
05067000021,0
05067000011,0
05023000009,0
050470001-A,2
050470001-B,2
050470002-B,2
05063000029,0
05063000009,0
05063000200,0
05063000300,0
05063000400,0
05063000016,0
05063000040,0
05063000014,0
05063000039,0
05063000042,0
05133000028,2
05061000020,2
05133000017,2
05133000015,2
05061000009,2
05133000020,2
05133000004,2
05133000003,2
05133000026,2
05045000036,3
05045000024,3
05045000005,3
05045000015,3
05045000034,0
05045000017,0
05015000024,1
05015000030,1
05081000JKS,2
05081000FW3,2
05119000066,3
05119000068,3
05119000047,3
05119000046,3
05119000102,3
05119000050,3
05119000044,3
05119000043,3
05119000014,3
05119000010,3
05119000100,3
05145000085,0
05045000013,3
05045000045,3
05045000050,3
05045000053,3
05045000014,3
05045000028,3
05045000029,3
05045000018,0
05045000023,3
05045000035,3
05003000004,3
05123000014,0
05123000009,0
0501900GSO1,2
0501900GMS1,2
05019000AW5,2
0501900CEN1,2
05085000004,0
05085000002,0
05085000005,3
05085000007,0
05085000003,0
05085000008,3
05085000043,3
05085000049,0
05085000047,0
05085000050,0
05085000040,0
05085000039,0
05085000009,3
05133000023,2
05073000080,2
05073000100,2
05119000130,3
0501900AMC1,2
05045000011,3
05085000027,3
05085000028,3
05085000001,3
05085000011,0
05085000031,3
051170000BT,0
05085000037,3
05085000055,3
05085000053,3
05085000034,3
05085000056,3
05085000036,3
0505900MA1B,2
0505900MA1A,2
05059000MA3,2
05001000053,0
05075000004,0
05075000016,0
05075000003,0
05125000010,2
05125000032,2
05125000016,2
05125000039,2
05125000040,2
05125000026,3
05125000015,2
05125000041,2
05125000027,2
05029000020,2
05029000015,2
05029000007,2
05139000UNI,2
05139000CLN,2
05139000STR,2
051390000W2,2
05001000055,0
05001000022,3
05001000045,3
05059000DER,2
05023000016,0
05023000018,0
05023000017,0
05023000019,0
05065000031,0
05065000028,0
05065000100,0
05123000013,0
05123000010,0
05123000015,0
0505900FENB,2
05051000074,2
05059000MA4,2
05115000011,2
05115000031,2
05115000012,2
05115000026,2
05115000008,2
05115000027,2
05097000007,2
05119000117,3
05119000049,3
05061000051,2
05061000043,2
05061000026,2
05061000035,2
05061000034,2
05061000022,2
05061000025,2
05061000024,2
05061000032,2
05061000023,2
05109000006,2
05109000007,2
05109000002,2
05109000010,2
05075000012,0
05075000009,0
05075000010,0
05075000008,0
05075000011,0
05075000021,0
05115000003,2
05115000015,2
05115000051,2
05115000016,2
05115000013,2
05115000044,2
05115000056,2
05113000009,2
05061000002,2
05061000001,2
05149000006,2
05119000032,3
05119000033,3
05119000118,3
05119000128,3
05119000115,3
05119000016,3
05119000015,3
05145000030,0
05145000042,0
05145000058,0
05045000032,0
05143000744,1
05143000060,1
05143000100,1
05143000460,1
05023000003,0
05023000002,0
05135000025,0
05061000011,2
05061000010,2
05061000013,2
05109000003,2
05109000008,2
05079000001,3
05069000010,3
05011000008,3
05061000028,2
05061000004,2
05061000003,2
05081000L/C,2
05007000024,1
05007000101,1
05007000114,1
05125000023,2
05125000001,2
05125000030,2
05125000012,2
05133000007,2
05059000MON,2
05141000024,0
05141000004,0
05141000006,0
05141000012,0
05133000001,2
05133000022,2
05105000002,2
05075000013,0
05081000AW3,2
05149000023,2
05083000139,2
05149000017,2
05149000018,2
05149000019,2
05011000010,3
05011000009,3
05011000003,3
05113000002,2
05113000001,2
05113000003,2
05113000015,2
05079000021,3
05077000008,0
05077000007,0
05077000006,0
05149000025,2
05113000013,2
05095000018,0
05095000022,0
05145000033,0
05145000025,0
05145000071,0
05145000074,0
05045000048,3
05045000008,3
05045000054,3
05045000001,3
05045000003,3
05045000009,3
05095000003,0
05031000042,0
05031000007,0
05031000011,0
05145000016,0
05145000082,0
05145000007,0
05145000008,0
05079000024,3
05079000004,3
05079000023,3
05079000022,3
05079000006,3
05095000028,0
05095000021,0
05011000012,3
05111000019,0
05111000020,0
05031000008,0
05031000006,0
05031000010,0
05031000018,0
05031000009,0
05031000017,0
05031000044,0
05031000019,0
05031000045,0
05031000021,0
05031000022,0
05031000012,0
05031000043,0
05031000053,0
05031000015,0
05031000013,0
05031000014,0
05031000020,0
05031000016,0
05031000023,0
05031000052,0
05031000051,0
05031000049,0
05001000091,3
05001000042,0
050470002-A,2
050470002-E,2
050470001-C,2
050470003-C,1
050470003-F,2
050470003-E,2
05105000004,2
05015000010,1
050890MAP17,0
05031000031,0
05031000030,0
05031000027,0
05031000028,0
05031000029,0
05031000025,0
05119000035,3
05119000037,3
05119000027,3
05065000006,0
05065000008,0
05065000203,0
05065000304,0
05073000030,2
05119000029,3
05119000078,3
05119000008,3
05119000005,3
050890MAP25,0
050890MAP24,0
050890MAP16,0
05059000MAG,2
0505900MID2,2
05059000LON,2
05059000GRO,2
05079000007,3
05069000009,3
05059000GIF,2
05081000ARK,2
05081000W/R,2
05139000WES,2
05101000WHI,2
05111000031,0
05111000030,0
05081000ARD,2
05081000JEW,2
05119000039,3
05143000120,1
05143000270,1
05143000356,1
05143000280,1
05143000344,1
05119000081,3
05143000860,1
05143000880,1
05143000881,1
05143000861,1
05143000421,1
05143000361,1
05143000741,1
05143000745,1
05143000357,1
05143000803,1
05143000420,1
05143000422,1
05143000419,1
05143000352,1
05143000340,1
05143000362,1
05143000250,1
05143000820,1
05143000812,1
05143000810,1
05143000811,1
05143000350,1
05143000290,1
05143000358,1
05143000355,1
05143000742,1
05143000758,1
05143000690,1
05081000CLE,2
05101000BOS,2
05007000069,1
05007000037,1
05007000111,1
05081000JEF,2
05081000JHN,2
05105000016,2
05061000055,2
05059000OUA,2
05059000CEN,2
05059000DON,2
05059000DOV,2
05115000039,2
05115000041,2
05115000040,2
05115000045,2
05115000029,2
05115000042,2
05115000049,2
05115000054,2
05115000047,2
05125000022,3
05125000035,2
05125000008,2
05125000033,3
05059000MA2,2
0505900FENA,2
05059000RP1,2
0505900RP14,2
05109000004,2
05109000005,2
05097000004,2
05111000032,0
05111000041,0
05111000040,0
05111000037,0
05111000038,0
05111000021,0
05111000018,0
05031000047,0
05031000046,0
05031000035,0
05031000026,0
05031000032,0
05031000036,0
05063000036,0
05031000038,0
05031000039,0
05031000040,0
05031000048,0
05031000050,0
05059000PER,2
0505900FENC,2
05095000016,0
05077000001,0
05095000026,0
05011000011,3
050890MAP06,0
050890MAP08,0
050470005-A,2
050470002-D,2
05033000022,1
050470002-C,2
05143000779,1
05143000752,1
05143000748,1
05143000541,1
05143000746,1
05143000335,1
05143000342,1
05143000680,1
05125000025,3
05125000020,2
05125000029,2
05029000029,2
05125000024,2
05125000005,2
05031000041,0
05031000005,0
05031000033,0
05031000003,0
05061000014,2
05143000840,1
05143000400,1
05143000380,1
05143000710,1
05143000367,1
05143000331,1
05143000480,1
05143000363,1
05143000347,1
05111000028,0
05101000LOW,1
05031000004,0
05031000034,0
05031000001,0
05007000095,1
05007000075,1
05007000113,1
05077000003,0
05077000005,0
05077000004,0
05111000003,0
05111000002,0
05111000001,0
050890MAP19,0
050890MAP18,0
050890MAP20,0
050890MAP29,0
05007000054,1
050890MAP01,0
050890MAP03,1
050890MAP09,1
050890MAP10,1
050470004-D,2
050470006-B,2
050470006-D,2
050470004-A,2
050470008-A,2
050470009-C,2
050470009-B,2
050470008-F,2
050470007-A,2
