GEOID,DISTRICT
08001001028,4
08001001250,4
08001001029,4
08001001105,4
08001001109,4
08001001108,4
08001001106,4
08001001113,4
08001001098,4
08001001099,4
08041041168,2
08041041500,3
08041041501,3
08041041320,3
08041041317,3
08041041423,3
08041041401,3
08041041402,3
08041041170,2
08041041200,3
08041041210,3
08041041301,3
08041041221,3
08041041222,3
08041041216,3
08041041242,3
08077077045,6
08077077046,6
08077077003,6
08077077007,6
08077077001,6
08077077009,6
08077077039,6
08077077033,6
08077077057,6
08077077014,6
08077077010,6
08077077013,6
08047047001,6
08019019004,6
08047047002,6
08001001122,4
08031031502,4
08001001127,4
08001001066,5
08001001067,5
08001001174,4
08001001176,4
08001001175,4
08001001173,4
08001001183,4
08001001196,4
08001001195,4
08001001182,4
08001001194,4
08001001181,4
08001001124,4
08001001057,5
08001001058,5
08041041801,2
08041041828,2
08041041807,2
08041041740,2
08041041174,2
08041041130,2
08005005237,7
08005005104,8
08031031240,8
08005005546,7
08005005119,8
08005005136,7
08005005152,8
08005005346,7
08005005381,7
08005005347,7
08005005360,7
08005005358,7
08005005359,7
08005005345,7
08005005311,7
08005005312,7
08005005283,7
08041041126,2
08041041122,3
08041041405,3
08041041406,2
08041041414,2
08041041415,2
08041041418,2
08041041203,3
08041041205,3
08041041134,3
08041041164,3
08041041143,3
08041041142,3
08041041144,3
08041041148,3
08041041204,3
08041041201,3
08041041101,3
08041041129,2
08041041146,3
08041041163,3
08041041177,2
08041041189,2
08041041172,2
08041041171,2
08041041176,2
08041041409,2
08041041411,2
08041041410,2
08041041140,3
08041041141,3
08041041742,2
08041041115,2
08041041118,2
08041041302,3
08041041445,3
08041041224,3
08041041223,3
08041041220,3
08041041319,3
08041041315,3
08041041800,2
08041041802,2
08041041604,2
08041041632,2
08055055004,2
08055055008,2
08055055001,2
08001001007,4
08001001004,4
08001001005,4
08001001006,4
08001001003,4
08001001002,4
08001001065,5
08001001068,5
08001001001,4
08001001086,4
08001001149,4
08001001150,4
08001001115,4
08001001112,4
08001001024,4
08001001021,4
08001001072,5
08001001073,5
08001001071,5
08014014036,5
08001001236,7
08001001037,4
08001001038,4
08001001255,4
08001001012,4
08001001018,4
08001001011,4
08001001017,5
08113113004,6
08113113005,6
08113113003,6
08113113002,6
08001001145,4
08001001137,4
08001001135,4
08001001217,4
08001001221,4
08001001216,4
08001001231,7
08001001230,7
08001001190,4
08001001084,4
08001001085,4
08001001023,4
08001001022,4
08001001120,4
08001001128,4
08001001119,4
08001001121,4
08001001117,4
08001001087,4
08001001246,7
08001001247,7
08001001245,7
08001001139,4
08001001248,7
08001001251,7
08001001052,4
08001001090,4
08001001095,4
08001001091,4
08001001237,7
08031031733,7
08087087011,1
08087087003,1
08087087002,1
08087087001,1
08087087009,1
08005005170,8
08005005427,7
08005005320,7
08005005321,7
08005005274,7
08005005273,7
08005005243,3
08005005286,7
08005005234,7
08005005544,7
08057057005,6
08057057003,6
08057057002,6
08005005259,3
08005005258,7
08005005255,7
08005005260,3
08005005130,8
08005005109,8
08005005105,8
08077077055,6
08077077056,6
08057057001,6
08077077030,6
08077077028,6
08077077029,6
08077077051,6
08077077050,6
08077077027,6
08077077054,6
08077077053,6
08077077052,6
08001001069,5
08001001070,5
08001001039,4
08001001111,4
08001001035,5
08001001036,4
08001001169,4
08001001164,4
08001001193,4
08001001163,4
08001001170,4
08001001184,4
08001001185,4
08001001241,7
08001001242,7
08001001243,7
08031031742,7
08029029008,6
08029029003,6
08029029002,6
08029029013,6
08029029009,6
08029029017,6
08029029016,6
08077077048,6
08077077019,6
08077077021,6
08077077024,6
08077077047,6
08077077042,6
08077077043,6
08041041615,2
08041041613,2
08041041631,2
08041041626,2
08041041623,2
08041041560,2
08041041554,2
08029029001,6
08029029007,6
08077077038,6
08077077017,6
08077077015,6
08077077020,6
08039039015,3
08039039014,3
08033033004,6
08033033003,6
08033033001,6
08001001153,4
08001001156,4
08001001155,4
08001001142,4
08001001154,4
08001001191,4
08001001215,4
08001001213,4
08001001214,4
08001001212,4
08001001211,4
08001001200,4
08001001229,7
08001001253,4
08001001240,7
08013013209,5
08013013823,5
08013013412,5
08013013400,5
08013013310,5
08123123306,5
08013013300,5
08013013309,5
08014014003,5
08014014010,5
08013013410,5
08013013409,5
08013013407,5
08035035311,3
08035035352,3
08035035349,3
08035035326,3
08035035312,3
08035035303,3
08035035350,3
08077077025,6
08077077026,6
08029029018,6
08029029020,6
08029029015,6
08029029014,6
08029029005,6
08029029006,6
08029029004,6
08029029011,6
08029029010,6
08041041114,2
08041041113,2
08041041119,2
08041041420,2
08041041422,2
08041041421,2
08041041451,3
08041041408,3
08057057004,6
08113113001,6
08085085012,6
08085085028,6
08085085007,6
08101101003,2
08101101004,2
08101101005,2
08101101202,2
08101101204,2
08101101001,2
08101101304,2
08101101301,2
08101101303,2
08103103002,6
08103103003,6
08035035232,3
08035035314,3
08035035315,3
08035035211,8
08035035228,3
08035035508,3
08035035345,3
08035035404,3
08035035406,3
08035035401,3
08035035257,3
08035035266,3
08035035259,3
08013013704,5
08013013877,5
08013013820,5
08013013600,1
08013013617,5
08013013618,5
08013013702,5
08013013908,5
08013013882,5
08085085002,6
08085085003,6
08085085021,6
08085085004,6
08085085008,6
08085085005,6
08085085009,6
08085085011,6
08013013880,5
08013013881,5
08013013832,5
08013013884,5
08013013804,5
08013013911,5
08013013912,5
08013013910,5
08013013613,5
08013013612,5
08013013621,5
08013013609,5
08013013623,5
08013013212,5
08013013806,5
08013013909,5
08013013813,5
08013013405,5
08013013403,5
08013013883,5
08013013906,5
08031031419,8
08031031420,8
08031031422,8
08031031421,4
08031031627,4
08031031622,4
08031031621,4
08031031131,8
08031031841,4
08031031827,4
08031031829,4
08031031818,4
08031031828,4
08031031830,4
08031031823,4
08031031132,8
08059059257,8
08031031739,7
08031031740,7
08031031914,7
08031031915,7
08031031805,4
08031031803,4
08031031806,4
08031031812,4
08031031810,4
08031031811,4
08031031708,4
08031031707,4
08031031703,4
08031031744,4
08031031702,4
08031031705,4
08031031706,4
08031031743,4
08031031618,4
08031031619,4
08031031820,4
08031031824,4
08031031835,4
08031031836,4
08031031612,4
08031031623,4
08031031855,4
08031031605,4
08031031508,4
08031031511,4
08031031418,4
08031031417,4
08031031429,8
08031031428,8
08031031535,8
08031031531,8
08031031425,8
08031031424,8
08031031423,8
08059059080,8
08059059058,8
08059059039,6
08059059101,5
08059059157,5
08059059153,5
08059059084,8
08059059191,8
08059059196,8
08031031108,8
08031031851,4
08031031850,4
08031031701,4
08031031433,8
08031031434,8
08031031208,4
08031031204,4
08031031207,4
08031031412,4
08031031414,4
08031031413,4
08031031247,7
08031031239,7
08031031731,7
08031031732,7
08031031737,7
08031031931,7
08031031426,8
08031031430,8
08031031431,8
08031031537,8
08031031539,8
08031031232,8
08031031233,8
08031031913,7
08031031626,7
08031031625,7
08031031629,7
08031031630,7
08083083010,6
08083083009,6
08059059164,8
08059059134,5
08059059141,5
08059059088,8
08059059158,8
08059059182,5
08059059093,5
08059059092,5
08059059097,5
08059059202,5
08059059204,5
08059059254,8
08059059223,8
08059059173,8
08059059160,8
08059059226,8
08059059242,8
08059059110,5
08059059112,5
08059059096,5
08059059211,5
08059059208,5
08059059206,5
08059059207,5
08059059099,5
08059059008,8
08059059152,5
08059059116,5
08059059115,5
08035035505,3
08035035354,3
08031031730,7
08031031736,7
08031031729,7
08031031925,7
08031031926,7
08031031102,8
08031031101,8
08031031405,4
08031031404,4
08031031408,4
08031031515,4
08059059133,5
08059059142,5
08059059172,8
08059059178,8
08059059063,8
08059059059,8
08059059062,8
08059059061,6
08039039012,3
08039039006,3
08013013707,5
08013013706,5
08013013625,5
08031031122,8
08031031123,8
08031031130,8
08031031911,7
08031031917,7
08031031916,7
08013013302,5
08013013210,5
08013013803,5
08013013916,5
08013013915,6
08013013917,5
08013013506,5
08085085022,6
08085085018,6
08085085027,6
08117117016,6
08117117005,6
08117117007,6
08117117004,6
08117117018,6
08117117003,6
08117117017,6
08117117002,6
08117117001,6
08117117014,6
08117117020,6
08117117008,6
08117117011,6
08117117013,6
08059059235,8
08059059236,8
08059059154,5
08059059037,8
08059059086,8
08059059094,5
08059059042,8
08101101027,2
08035035210,8
08035035509,3
08035035511,3
08035035503,3
08035035510,3
08035035504,3
08035035320,3
08035035344,3
08035035348,3
08103103005,6
08035035110,3
08035035112,3
08035035117,3
08035035254,3
08035035304,3
08035035317,3
08035035306,3
08035035305,3
08035035321,3
08035035322,3
08035035501,3
08035035242,3
08013013629,5
08035035405,3
08013013807,5
08013013888,5
08013013640,5
08061061002,2
08061061001,2
08121121005,3
08121121006,3
08035035343,3
08005005419,7
08005005420,7
08087087013,1
08087087014,1
08005005503,7
08005005507,7
08005005508,7
08005005525,7
08005005365,3
