MAP,ENERGY
CO20C_I000K01N08,2033052.926093
CO20C_I001K01N08,2025511.392066
CO20C_I002K01N08,2038049.356843
CO20C_I003K01N08,2029887.784769
CO20C_I004K01N08,2024810.726446
CO20C_I005K01N08,2030724.515868
CO20C_I006K01N08,2043312.107475
CO20C_I007K01N08,2026835.189685
CO20C_I008K01N08,2025016.562625
CO20C_I009K01N08,2075330.245171
CO20C_I010K01N08,2041396.479420
CO20C_I011K01N08,2025223.405938
CO20C_I012K01N08,2025529.924058
CO20C_I013K01N08,2030632.863266
CO20C_I014K01N08,2026940.645361
CO20C_I015K01N08,2027887.718246
CO20C_I016K01N08,2027034.272707
CO20C_I017K01N08,2025409.788831
CO20C_I018K01N08,2041218.161922
CO20C_I019K01N08,2029957.358094
CO20C_I020K01N08,2027319.512046
CO20C_I021K01N08,2037498.598117
CO20C_I022K01N08,2054346.485958
CO20C_I023K01N08,2030116.569433
CO20C_I024K01N08,2030384.724008
CO20C_I025K01N08,2027659.870285
CO20C_I026K01N08,2040929.786894
CO20C_I027K01N08,2034649.112165
CO20C_I028K01N08,2038584.670354
CO20C_I029K01N08,2031440.105497
CO20C_I030K01N08,2038608.126196
CO20C_I031K01N08,2030548.952938
CO20C_I032K01N08,2045604.334554
CO20C_I033K01N08,2032131.727600
CO20C_I034K01N08,2029786.560923
CO20C_I035K01N08,2057245.067912
CO20C_I036K01N08,2025277.937214
CO20C_I037K01N08,2050404.805233
CO20C_I038K01N08,2038380.669534
CO20C_I039K01N08,2034323.451316
CO20C_I040K01N08,2031341.605821
CO20C_I041K01N08,2040441.844709
CO20C_I042K01N08,2041644.151165
CO20C_I043K01N08,2031582.381676
CO20C_I044K01N08,2021349.063772
CO20C_I045K01N08,2038628.298191
CO20C_I046K01N08,2030805.689154
CO20C_I047K01N08,2040511.685989
CO20C_I048K01N08,2026738.591559
CO20C_I049K01N08,2045094.363134
CO20C_I050K01N08,2025658.547962
CO20C_I051K01N08,2030159.365775
CO20C_I052K01N08,2055637.353402
CO20C_I053K01N08,2035645.686842
CO20C_I054K01N08,2026478.472967
CO20C_I055K01N08,2031091.720861
CO20C_I056K01N08,2048049.232921
CO20C_I057K01N08,2030504.660631
CO20C_I058K01N08,2028476.745431
CO20C_I059K01N08,2045915.243368
CO20C_I060K01N08,2025824.399338
CO20C_I061K01N08,2031470.410609
CO20C_I062K01N08,2042531.345777
CO20C_I063K01N08,2041242.262409
CO20C_I064K01N08,2032714.208718
CO20C_I065K01N08,2028524.325191
CO20C_I066K01N08,2042040.248176
CO20C_I067K01N08,2036996.804057
CO20C_I068K01N08,2059275.470654
CO20C_I069K01N08,2051553.341191
CO20C_I070K01N08,2036747.043324
CO20C_I071K01N08,2025370.790357
CO20C_I072K01N08,2025194.425859
CO20C_I074K01N08,2036962.331838
CO20C_I075K01N08,2039203.427537
CO20C_I076K01N08,2038710.965622
CO20C_I077K01N08,2023460.920665
CO20C_I078K01N08,2041597.863789
CO20C_I079K01N08,2033213.521691
CO20C_I080K01N08,2034263.814521
CO20C_I081K01N08,2026394.768863
CO20C_I082K01N08,2027409.312153
CO20C_I083K01N08,2043766.604200
CO20C_I084K01N08,2038910.035405
CO20C_I085K01N08,2029016.637614
CO20C_I086K01N08,2034536.840392
CO20C_I087K01N08,2030387.573823
CO20C_I088K01N08,2057580.095279
CO20C_I089K01N08,2038440.801891
CO20C_I090K01N08,2038032.263176
CO20C_I091K01N08,2027009.737229
CO20C_I092K01N08,2041672.537318
CO20C_I093K01N08,2038807.094422
CO20C_I094K01N08,2041140.679303
CO20C_I095K01N08,2042907.565865
CO20C_I096K01N08,2029080.908998
CO20C_I097K01N08,2043532.505727
CO20C_I098K01N08,2030638.432188
CO20C_I099K01N08,2027531.943837
