GEOID,DISTRICT
08001001028,2
08001001250,2
08001001029,7
08001001105,7
08001001109,2
08001001108,2
08001001106,7
08001001113,2
08001001098,7
08001001099,7
08041041168,3
08041041500,3
08041041501,3
08041041320,6
08041041317,6
08041041423,6
08041041401,6
08041041402,6
08041041170,3
08041041200,6
08041041210,6
08041041301,6
08041041221,6
08041041222,6
08041041216,6
08041041242,6
08077077045,0
08077077046,0
08077077003,0
08077077007,0
08077077001,0
08077077009,0
08077077039,0
08077077033,0
08077077057,0
08077077014,0
08077077010,0
08077077013,0
08047047001,7
08019019004,0
08047047002,0
08001001122,2
08031031502,2
08001001127,2
08001001066,7
08001001067,7
08001001174,1
08001001176,1
08001001175,1
08001001173,1
08001001183,1
08001001196,1
08001001195,1
08001001182,1
08001001194,1
08001001181,1
08001001124,2
08001001057,7
08001001058,7
08041041801,3
08041041828,3
08041041807,3
08041041740,6
08041041174,3
08041041130,3
08005005237,6
08005005104,4
08031031240,4
08005005546,1
08005005119,4
08005005136,2
08005005152,4
08005005346,1
08005005381,1
08005005347,1
08005005360,1
08005005358,1
08005005359,1
08005005345,1
08005005311,1
08005005312,1
08005005283,1
08041041126,3
08041041122,6
08041041405,3
08041041406,3
08041041414,3
08041041415,3
08041041418,3
08041041203,6
08041041205,6
08041041134,6
08041041164,6
08041041143,6
08041041142,6
08041041144,6
08041041148,6
08041041204,6
08041041201,6
08041041101,6
08041041129,3
08041041146,6
08041041163,6
08041041177,3
08041041189,3
08041041172,3
08041041171,3
08041041176,3
08041041409,3
08041041411,3
08041041410,3
08041041140,6
08041041141,6
08041041742,6
08041041115,3
08041041118,3
08041041302,6
08041041445,6
08041041224,6
08041041223,6
08041041220,6
08041041319,6
08041041315,6
08041041800,3
08041041802,3
08041041604,3
08041041632,3
08055055004,3
08055055008,3
08055055001,3
08001001007,2
08001001004,2
08001001005,2
08001001006,2
08001001003,2
08001001002,2
08001001065,7
08001001068,7
08001001001,2
08001001086,7
08001001149,7
08001001150,7
08001001115,2
08001001112,2
08001001024,2
08001001021,2
08001001072,7
08001001073,7
08001001071,7
08014014036,7
08001001236,1
08001001037,7
08001001038,7
08001001255,2
08001001012,7
08001001018,7
08001001011,2
08001001017,7
08113113004,0
08113113005,0
08113113003,0
08113113002,0
08001001145,7
08001001137,2
08001001135,2
08001001217,1
08001001221,1
08001001216,1
08001001231,1
08001001230,1
08001001190,1
08001001084,7
08001001085,7
08001001023,2
08001001022,2
08001001120,2
08001001128,2
08001001119,2
08001001121,2
08001001117,2
08001001087,7
08001001246,1
08001001247,1
08001001245,1
08001001139,2
08001001248,1
08001001251,1
08001001052,7
08001001090,7
08001001095,7
08001001091,7
08001001237,1
08031031733,1
08087087011,1
08087087003,1
08087087002,1
08087087001,1
08087087009,1
08005005170,4
08005005427,1
08005005320,1
08005005321,1
08005005274,1
08005005273,1
08005005243,6
08005005286,6
08005005234,6
08005005544,1
08057057005,0
08057057003,0
08057057002,0
08005005259,6
08005005258,6
08005005255,2
08005005260,6
08005005130,4
08005005109,2
08005005105,4
08077077055,0
08077077056,0
08057057001,0
08077077030,0
08077077028,0
08077077029,0
08077077051,0
08077077050,0
08077077027,0
08077077054,0
08077077053,0
08077077052,0
08001001069,7
08001001070,7
08001001039,7
08001001111,2
08001001035,7
08001001036,7
08001001169,1
08001001164,1
08001001193,1
08001001163,1
08001001170,1
08001001184,1
08001001185,1
08001001241,1
08001001242,1
08001001243,1
08031031742,1
08029029008,0
08029029003,0
08029029002,0
08029029013,0
08029029009,0
08029029017,0
08029029016,0
08077077048,0
08077077019,0
08077077021,0
08077077024,0
08077077047,0
08077077042,0
08077077043,0
08041041615,3
08041041613,3
08041041631,3
08041041626,3
08041041623,3
08041041560,3
08041041554,3
08029029001,0
08029029007,0
08077077038,0
08077077017,0
08077077015,0
08077077020,0
08039039015,3
08039039014,1
08033033004,0
08033033003,0
08033033001,0
08001001153,1
08001001156,7
08001001155,1
08001001142,1
08001001154,1
08001001191,1
08001001215,1
08001001213,1
08001001214,1
08001001212,1
08001001211,1
08001001200,1
08001001229,2
08001001253,2
08001001240,1
08013013209,7
08013013823,7
08013013412,7
08013013400,7
08013013310,7
08123123306,7
08013013300,7
08013013309,7
08014014003,7
08014014010,7
08013013410,7
08013013409,7
08013013407,7
08035035311,6
08035035352,6
08035035349,6
08035035326,6
08035035312,6
08035035303,6
08035035350,6
08077077025,0
08077077026,0
08029029018,0
