#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
45,CT20C_I044K01N05,True,652062.062136,0.008950,0.000000,1.000000,0.000000,0.000000
98,CT20C_I097K01N05,True,652220.114907,0.012850,0.000242,0.998875,0.010025,0.002262
27,CT20C_I026K01N05,True,652757.037895,0.014090,0.001066,0.963982,0.240241,0.075631
48,CT20C_I047K01N05,True,652757.037895,0.014090,0.001066,0.963982,0.240241,0.075631
23,CT20C_I022K01N05,True,652906.899210,0.009810,0.001296,0.981987,0.134402,0.037073
67,CT20C_I066K01N05,True,653227.083210,0.010630,0.001787,0.945822,0.310030,0.118376
43,CT20C_I042K01N05,True,653339.217341,0.008350,0.001959,0.951776,0.282728,0.103762
93,CT20C_I092K01N05,True,653352.545431,0.009980,0.001979,0.953490,0.292075,0.099219
4,CT20C_I003K01N05,True,653436.059127,0.006870,0.002107,0.946809,0.303614,0.115814
39,CT20C_I038K01N05,True,653436.059127,0.006870,0.002107,0.946809,0.303614,0.115814
70,CT20C_I069K01N05,True,653438.411117,0.007000,0.002111,0.946809,0.303520,0.115808
83,CT20C_I082K01N05,True,653502.146591,0.024960,0.002209,0.970686,0.203434,0.061130
80,CT20C_I079K01N05,True,653807.317108,0.011140,0.002677,0.984417,0.118235,0.032129
17,CT20C_I016K01N05,True,653878.472827,0.012020,0.002786,0.973470,0.187100,0.055050
60,CT20C_I059K01N05,True,653878.472827,0.012020,0.002786,0.973470,0.187100,0.055050
76,CT20C_I075K01N05,True,653912.365763,0.004670,0.002838,0.935868,0.371664,0.139743
92,CT20C_I091K01N05,True,653912.365763,0.004670,0.002838,0.935868,0.371664,0.139743
75,CT20C_I074K01N05,True,654050.419482,0.008480,0.003049,0.972165,0.193451,0.057833
18,CT20C_I017K01N05,True,654050.419482,0.008480,0.003049,0.972165,0.193451,0.057833
20,CT20C_I019K01N05,True,654075.818910,0.008700,0.003088,0.969251,0.209035,0.064439
40,CT20C_I039K01N05,True,654086.750851,0.027860,0.003105,0.959771,0.248474,0.085014
25,CT20C_I024K01N05,True,654309.898399,0.007620,0.003447,0.933931,0.380938,0.143806
54,CT20C_I053K01N05,True,654309.898399,0.007620,0.003447,0.933931,0.380938,0.143806
