MAP,ENERGY
CT20C_I000K01N05,165604.019026
CT20C_I001K01N05,158326.713686
CT20C_I002K01N05,164385.188517
CT20C_I003K01N05,158690.520030
CT20C_I004K01N05,158185.519435
CT20C_I005K01N05,157783.023467
CT20C_I006K01N05,157866.502402
CT20C_I007K01N05,166115.141147
CT20C_I008K01N05,157052.116492
CT20C_I009K01N05,160906.640800
CT20C_I010K01N05,157783.023467
CT20C_I011K01N05,157594.422743
CT20C_I012K01N05,157866.502402
CT20C_I013K01N05,157976.216000
CT20C_I015K01N05,158326.713686
CT20C_I016K01N05,158326.713686
CT20C_I017K01N05,157783.023467
CT20C_I018K01N05,157598.604782
CT20C_I019K01N05,157682.150280
CT20C_I020K01N05,157783.023467
CT20C_I021K01N05,158326.713686
CT20C_I022K01N05,157960.784785
CT20C_I023K01N05,157866.502402
CT20C_I024K01N05,158727.724186
CT20C_I025K01N05,158829.835932
CT20C_I026K01N05,157349.417285
CT20C_I027K01N05,165753.132891
CT20C_I028K01N05,157960.784785
CT20C_I029K01N05,165089.159510
CT20C_I030K01N05,157866.502402
CT20C_I031K01N05,157866.502402
CT20C_I032K01N05,164878.208296
CT20C_I033K01N05,157783.023467
CT20C_I034K01N05,158548.336408
CT20C_I035K01N05,157985.091876
CT20C_I036K01N05,157783.023467
CT20C_I037K01N05,159169.654991
CT20C_I038K01N05,165012.759356
CT20C_I039K01N05,165493.422724
CT20C_I040K01N05,166416.875022
CT20C_I041K01N05,174449.125547
CT20C_I042K01N05,165688.295363
CT20C_I043K01N05,157367.393889
CT20C_I044K01N05,165936.329963
CT20C_I045K01N05,165690.517475
CT20C_I046K01N05,157783.023467
CT20C_I047K01N05,165383.382435
CT20C_I048K01N05,157486.310002
CT20C_I049K01N05,157700.548404
CT20C_I050K01N05,157738.357575
CT20C_I051K01N05,157783.023467
CT20C_I052K01N05,157594.422743
CT20C_I053K01N05,157594.422743
CT20C_I054K01N05,157824.779027
CT20C_I055K01N05,158185.519435
CT20C_I056K01N05,158326.713686
CT20C_I057K01N05,157864.522234
CT20C_I058K01N05,157598.604782
CT20C_I059K01N05,157783.023467
CT20C_I060K01N05,157349.417285
CT20C_I061K01N05,157783.023467
CT20C_I062K01N05,157174.121329
CT20C_I063K01N05,164255.687263
CT20C_I064K01N05,157486.310002
CT20C_I065K01N05,157109.225888
CT20C_I066K01N05,157866.502402
CT20C_I067K01N05,157783.023467
CT20C_I068K01N05,165954.378022
CT20C_I069K01N05,157407.891526
CT20C_I070K01N05,157594.422743
CT20C_I071K01N05,157742.667058
CT20C_I072K01N05,168360.083699
CT20C_I073K01N05,157174.121329
CT20C_I074K01N05,157730.310179
CT20C_I075K01N05,157021.644829
CT20C_I076K01N05,157594.422743
CT20C_I077K01N05,175400.867830
CT20C_I078K01N05,166380.053391
CT20C_I079K01N05,158690.520030
CT20C_I080K01N05,157349.417285
CT20C_I081K01N05,159132.581801
CT20C_I082K01N05,157763.905119
CT20C_I083K01N05,158667.607387
CT20C_I084K01N05,157562.808860
CT20C_I085K01N05,165089.159510
CT20C_I086K01N05,157367.393889
CT20C_I087K01N05,157594.422743
CT20C_I088K01N05,157074.228221
CT20C_I089K01N05,158326.713686
CT20C_I090K01N05,157594.422743
CT20C_I091K01N05,165305.888616
CT20C_I092K01N05,166226.814386
CT20C_I093K01N05,157783.023467
CT20C_I094K01N05,158829.835932
CT20C_I095K01N05,163445.861923
CT20C_I096K01N05,157976.216000
CT20C_I097K01N05,159510.654392
CT20C_I098K01N05,157869.871823
CT20C_I099K01N05,166122.735622
