MAP,ENERGY
FL20C_I000K01N28,1753903.423147
FL20C_I002K01N28,1786923.271599
FL20C_I003K01N28,1581650.328614
FL20C_I008K01N28,1684782.927619
FL20C_I009K01N28,1943801.431519
FL20C_I015K01N28,2078324.759063
FL20C_I018K01N28,1958786.667350
FL20C_I021K01N28,1837592.995281
FL20C_I022K01N28,1749658.859939
FL20C_I025K01N28,1900777.382730
FL20C_I026K01N28,2007365.834818
FL20C_I027K01N28,1556393.414835
FL20C_I031K01N28,1937414.773576
FL20C_I033K01N28,1582363.359775
FL20C_I035K01N28,1734810.666051
FL20C_I038K01N28,1688707.753971
FL20C_I041K01N28,1939536.056614
FL20C_I043K01N28,1627596.436939
FL20C_I048K01N28,2020294.770931
FL20C_I049K01N28,1920781.443313
FL20C_I050K01N28,1583082.311162
FL20C_I054K01N28,1607620.128328
FL20C_I055K01N28,1605652.963226
FL20C_I056K01N28,1911891.628109
FL20C_I059K01N28,1635242.569641
FL20C_I060K01N28,1608134.587358
FL20C_I061K01N28,2092598.491662
FL20C_I062K01N28,1688127.641580
FL20C_I063K01N28,1687294.879539
FL20C_I064K01N28,1886671.830187
FL20C_I065K01N28,1559467.226106
FL20C_I067K01N28,1802105.325127
FL20C_I068K01N28,1569544.529235
FL20C_I069K01N28,1636620.422542
FL20C_I071K01N28,1704846.204377
FL20C_I073K01N28,1797516.819888
FL20C_I075K01N28,1635218.901634
FL20C_I077K01N28,1815438.620227
FL20C_I079K01N28,1773620.956816
FL20C_I082K01N28,1958913.908036
FL20C_I083K01N28,1630906.907904
FL20C_I085K01N28,1935022.355814
FL20C_I086K01N28,1955170.296394
FL20C_I088K01N28,1598045.946257
FL20C_I089K01N28,1977556.074785
FL20C_I091K01N28,1742049.191068
FL20C_I092K01N28,1585832.521855
FL20C_I094K01N28,1821244.844027
FL20C_I095K01N28,1949967.789258
FL20C_I096K01N28,1648691.974286
