GEOID,DISTRICT
1201100Q090,19
1201100U009,19
1201100U008,19
1201100C023,10
1201100D005,10
1201100D002,10
12009000516,3
12009000520,3
12009000517,5
12009000510,5
12009000313,3
12009000105,5
12009000100,5
12009000427,5
12009000410,5
12009000422,5
12009000135,5
12009000512,5
12009000525,5
12009000124,5
12009000125,5
12009000113,5
12009000506,5
1201100M024,19
12075000004,6
12075000ZZZ,14
12075000006,6
12075000002,6
12075000003,6
12075000008,14
12075000007,6
12045000003,24
12045000010,24
12119000130,14
12119000111,14
12119000113,14
12119000115,14
12119000112,14
12119000129,14
12057000707,20
12057000709,20
12057000951,7
12057000956,7
12057000557,21
12057000245,21
12057000555,21
12057000569,21
12057000247,21
12057000565,21
12057000014,21
12057000319,7
12057000318,7
12057000998,0
12057000116A,21
12031000140,4
12031000021,4
12086000348,15
12086000368,15
12086000360,15
12086000257,13
12086002581,13
12086000178,13
12086000241,13
12086000546,13
12086000582,13
12086000641,15
12009000527,3
12009000529,5
12009000108,5
12009000109,5
12009000428,5
12009000412,5
12009000322,3
12095000434,5
12009000118,5
12045000006,24
12045000005,24
12045000001,24
12045000002,24
12045000009,24
12037000001,24
12029000009,6
12055000023,16
1205500020N,16
12055000013,16
12055000010,16
1205500025D,16
12055000005,16
12055000022,16
12055000025,20
12055000017,16
1205500013L,16
12055000004,20
12055000002,20
1205500004A,20
12055000019,16
12055000016,20
1205500016A,20
12057000909,7
12057000932,7
12057000139B,7
12057000120,7
12057000901,7
12057000309,7
12057000535,17
12057000219,21
12057000159,7
12057000422,21
12057000457A,21
12057000423,21
12057000830,7
12057000834,7
12045000008,24
12045000007,24
12045000011,24
12045000004,24
12075000010,6
12055000012,16
1209300P-02,16
12055000021,16
12097000402,5
12097000403,26
12097000408,26
12097000420,5
12097000210,26
12097000410,26
12097000201,26
12097000211,26
12097000203,26
12097000112,26
12097000110,26
12097000523,5
12097000520,5
12097000506,5
12097000521,5
12097000522,5
12097000158,26
12097000300,26
12097000390,26
12097000105,26
12097000407,26
12097000451,26
12097000450,26
12097000401,26
12097000508,5
12097000504,5
12097000580,5
12097000400,26
12097000503,5
12097000202,5
12057000711,20
12057000754,20
12057000883,7
12057000969,7
12057000961,7
12057000973,7
12057000971,7
12057000012,7
12057000101A,0
12057000105A,21
12057000459,21
12057000463,21
12057000949,7
12057000713,20
12057000583,17
12057000595,17
12057000591,17
12057000585,17
12057000891,7
12057000721,7
12057000885,7
12057000889,7
12057000759,20
12057000755,20
12057000757,20
12057000160,7
12057000165,7
12057000301,7
12057000303,7
12057000307,7
12057000601,7
12009000114,5
12009000116,5
12009000134,5
12009000111,5
12009000112,5
12009000115,5
12009000106,8
12009000400,5
12009000403,5
12009000407,5
12009000417,5
12061000019,3
12061000005,3
12061000002,3
12061000017,3
12061000014,3
12061000016,3
12061ZZZZZZ,3
12061000015,3
12119000120,14
12119000118,14
12119000104,14
12119000103,14
12119000110,14
12119000114,14
12086000777,15
12086000727,15
12086000618,15
12086000627,2
12086000801,2
12086000856,2
12086000833,2
12086008391,2
12086000825,2
12086008390,2
12086000717,15
12086000543,13
12086000593,13
12086000997,13
12086009340,2
12086000888,2
12086000203,25
12105000225,20
12105000224,20
12105000514,20
12105000521,20
12105000513,20
12105000526,20
12105000307,20
12105000303,20
12105000540,5
12105000231,20
12105000233,20
12105000237,20
12105000238,20
12105000234,20
12105000235,20
12105000523,20
12105000527,20
12105000528,20
12105000229,20
12105000230,20
12105000517,20
12105000516,20
12105000250,20
12105000232,20
12105000251,20
12105000504,20
