#,MAP,CONTIGUOUS,ENERGY,DELTA,SHARED,UOM,ES,NOTE
74,GA20C_I073K01N14,True,3251083.675966,0.000000,1.000000,0.000000,0.000000,Lowest: 1-100
10,GA20C_I009K01N14,True,3256075.020634,0.001535,0.839846,0.583570,0.468064,Lowest: 1-10
83,GA20C_I082K01N14,True,3258321.852434,0.002226,0.905075,0.465177,0.232475,
56,GA20C_I055K01N14,True,3259690.080379,0.002647,0.809818,0.669923,0.520728,
19,GA20C_I018K01N14,True,3261077.540283,0.003074,0.855294,0.640502,0.386974,
75,GA20C_I074K01N14,True,3261295.329794,0.003141,0.848336,0.573584,0.401404,
3,GA20C_I002K01N14,True,3261446.304361,0.003187,0.957045,0.279796,0.091843,
16,GA20C_I015K01N14,True,3261527.627674,0.003212,0.838184,0.619188,0.446523,
63,GA20C_I062K01N14,True,3261707.284212,0.003268,0.922456,0.425956,0.180991,
88,GA20C_I087K01N14,True,3262601.256151,0.003543,0.869013,0.581616,0.357848,
54,GA20C_I053K01N14,True,3263277.332550,0.003751,0.855672,0.562355,0.378047,
17,GA20C_I016K01N14,True,3264547.731044,0.004141,0.854153,0.610570,0.372104,
33,GA20C_I032K01N14,True,3265041.790221,0.004293,0.860347,0.525910,0.374627,
62,GA20C_I061K01N14,True,3265612.774235,0.004469,0.862858,0.538657,0.387334,
73,GA20C_I072K01N14,True,3266294.205395,0.004679,0.833612,0.667958,0.480617,
20,GA20C_I019K01N14,False,3267648.913452,0.005095,0.927359,0.405864,0.169573,
99,GA20C_I098K01N14,True,3267653.269184,0.005097,0.837156,0.625619,0.426820,
23,GA20C_I022K01N14,True,3267727.553860,0.005119,0.835158,0.626421,0.438229,
29,GA20C_I028K01N14,True,3268103.461999,0.005235,0.763350,0.710140,0.592476,
14,GA20C_I013K01N14,True,3268295.099200,0.005294,0.843373,0.627125,0.408533,
8,GA20C_I007K01N14,True,3268383.164596,0.005321,0.885799,0.495807,0.286979,
43,GA20C_I042K01N14,True,3269171.272122,0.005564,0.832431,0.600516,0.424211,
18,GA20C_I017K01N14,True,3269326.672306,0.005611,0.827727,0.694563,0.467435,
92,GA20C_I091K01N14,True,3270689.263787,0.006030,0.860133,0.643386,0.361270,
46,GA20C_I045K01N14,True,3270981.952754,0.006121,0.892840,0.510437,0.265982,
60,GA20C_I059K01N14,True,3271486.974089,0.006276,0.812751,0.713697,0.529320,
82,GA20C_I081K01N14,True,3271751.582837,0.006357,0.889453,0.534225,0.264389,
100,GA20C_I099K01N14,True,3272078.928003,0.006458,0.815162,0.707242,0.510658,
71,GA20C_I070K01N14,True,3272118.978684,0.006470,0.817927,0.672796,0.489628,
45,GA20C_I044K01N14,True,3272510.432099,0.006591,0.804293,0.726141,0.554552,
69,GA20C_I068K01N14,True,3272811.313729,0.006683,0.822892,0.694263,0.477332,
52,GA20C_I051K01N14,True,3272842.121675,0.006693,0.804827,0.751173,0.547009,
22,GA20C_I021K01N14,True,3273209.969815,0.006806,0.796389,0.747372,0.573807,
57,GA20C_I056K01N14,True,3273282.905848,0.006828,0.814520,0.741597,0.502896,
38,GA20C_I037K01N14,False,3274518.083383,0.007208,0.836979,0.704139,0.431244,
39,GA20C_I038K01N14,True,3274634.417260,0.007244,0.796020,0.725503,0.572223,
40,GA20C_I039K01N14,True,3275139.823737,0.007399,0.864035,0.609356,0.349438,
26,GA20C_I025K01N14,True,3275651.129756,0.007557,0.842804,0.651579,0.438606,
66,GA20C_I065K01N14,True,3275663.404492,0.007560,0.842644,0.690606,0.440926,
25,GA20C_I024K01N14,True,3275900.239136,0.007633,0.797899,0.740876,0.590160,
50,GA20C_I049K01N14,True,3276337.955490,0.007768,0.797457,0.730859,0.567369,
1,GA20C_I000K01N14,True,3276772.208588,0.007902,0.807833,0.782208,0.547879,
98,GA20C_I097K01N14,True,3276978.283777,0.007965,0.811024,0.665212,0.498932,
84,GA20C_I083K01N14,True,3277398.672491,0.008094,0.807772,0.737792,0.554145,
85,GA20C_I084K01N14,True,3277460.440834,0.008113,0.786025,0.738430,0.609800,
78,GA20C_I077K01N14,True,3278260.967965,0.008359,0.827542,0.675470,0.470799,
77,GA20C_I076K01N14,True,3278335.712141,0.008382,0.797826,0.801453,0.579670,
42,GA20C_I041K01N14,False,3278435.630459,0.008413,0.823696,0.690920,0.478577,
9,GA20C_I008K01N14,True,3278571.414137,0.008455,0.889522,0.542550,0.273868,
51,GA20C_I050K01N14,True,3279158.167128,0.008635,0.806664,0.726671,0.560028,
36,GA20C_I035K01N14,True,3279496.004810,0.008739,0.833010,0.663709,0.430250,
41,GA20C_I040K01N14,True,3280191.810044,0.008953,0.799790,0.783205,0.569527,
35,GA20C_I034K01N14,True,3280757.472464,0.009127,0.804989,0.769591,0.557424,
32,GA20C_I031K01N14,True,3281054.038478,0.009219,0.803956,0.755929,0.560252,
80,GA20C_I079K01N14,True,3281920.167866,0.009485,0.861587,0.631416,0.361437,
91,GA20C_I090K01N14,True,3284201.678466,0.010187,0.886254,0.576505,0.280258,
15,GA20C_I014K01N14,True,3284247.621129,0.010201,0.778153,0.784492,0.616618,
70,GA20C_I069K01N14,True,3285593.887574,0.010615,0.781735,0.773921,0.596657,
12,GA20C_I011K01N14,True,3287121.580808,0.011085,0.861402,0.638108,0.347985,
5,GA20C_I004K01N14,False,3288520.863346,0.011515,0.864219,0.665438,0.348510,
30,GA20C_I029K01N14,True,3289765.605999,0.011898,0.784405,0.823963,0.636897,
90,GA20C_I089K01N14,True,3290420.566621,0.012100,0.795964,0.749521,0.596380,
34,GA20C_I033K01N14,True,3291530.399372,0.012441,0.793681,0.814511,0.599326,
53,GA20C_I052K01N14,True,3292263.999627,0.012667,0.767859,0.834742,0.663374,
89,GA20C_I088K01N14,True,3292419.009132,0.012714,0.808781,0.787528,0.556902,
21,GA20C_I020K01N14,True,3295812.394472,0.013758,0.874575,0.593817,0.320981,
4,GA20C_I003K01N14,True,3297140.542447,0.014167,0.845951,0.635850,0.469659,
13,GA20C_I012K01N14,True,3299246.368768,0.014814,0.790335,0.811239,0.599397,
95,GA20C_I094K01N14,True,3300163.567111,0.015096,0.774982,0.810526,0.628032,
72,GA20C_I071K01N14,True,3301617.819878,0.015544,0.751577,0.816221,0.728398,
76,GA20C_I075K01N14,True,3302206.732171,0.015725,0.763058,0.891702,0.681835,
93,GA20C_I092K01N14,True,3311368.964517,0.018543,0.807568,0.770730,0.532614,
68,GA20C_I067K01N14,False,3313648.278127,0.019244,0.804271,0.758014,0.565467,
28,GA20C_I027K01N14,True,3322266.350747,0.021895,0.807879,0.782382,0.529466,
96,GA20C_I095K01N14,True,3329244.925449,0.024042,0.743684,0.893639,0.837639,
