#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
36,IA20C_I035K01N04,True,2167290.038160,0.006560,0.000000,1.000000,0.000000,0.000000
64,IA20C_I063K01N04,True,2167290.038160,0.006560,0.000000,1.000000,0.000000,0.000000
65,IA20C_I064K01N04,True,2167290.038160,0.006560,0.000000,1.000000,0.000000,0.000000
100,IA20C_I099K01N04,True,2167290.038160,0.006560,0.000000,1.000000,0.000000,0.000000
1,IA20C_I000K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
6,IA20C_I005K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
14,IA20C_I013K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
17,IA20C_I016K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
34,IA20C_I033K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
35,IA20C_I034K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
38,IA20C_I037K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
41,IA20C_I040K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
56,IA20C_I055K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
60,IA20C_I059K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
67,IA20C_I066K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
73,IA20C_I072K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
85,IA20C_I084K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
89,IA20C_I088K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
94,IA20C_I093K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
99,IA20C_I098K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
11,IA20C_I010K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
29,IA20C_I028K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
52,IA20C_I051K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
98,IA20C_I097K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
19,IA20C_I018K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
59,IA20C_I058K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
93,IA20C_I092K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
3,IA20C_I002K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
4,IA20C_I003K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
7,IA20C_I006K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
9,IA20C_I008K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
21,IA20C_I020K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
23,IA20C_I022K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
26,IA20C_I025K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
27,IA20C_I026K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
28,IA20C_I027K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
39,IA20C_I038K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
42,IA20C_I041K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
43,IA20C_I042K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
47,IA20C_I046K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
48,IA20C_I047K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
54,IA20C_I053K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
55,IA20C_I054K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
58,IA20C_I057K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
61,IA20C_I060K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
69,IA20C_I068K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
71,IA20C_I070K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
72,IA20C_I071K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
74,IA20C_I073K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
76,IA20C_I075K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
78,IA20C_I077K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
84,IA20C_I083K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
86,IA20C_I085K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
88,IA20C_I087K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
90,IA20C_I089K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
92,IA20C_I091K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
95,IA20C_I094K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
96,IA20C_I095K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
32,IA20C_I031K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
25,IA20C_I024K01N04,True,2167411.855545,0.006320,0.000056,0.999940,0.000804,0.000119
53,IA20C_I052K01N04,True,2167822.006452,0.008430,0.000245,0.992762,0.060791,0.014604
40,IA20C_I039K01N04,True,2167822.006452,0.008430,0.000245,0.992762,0.060791,0.014604
12,IA20C_I011K01N04,True,2167822.006452,0.008430,0.000245,0.992762,0.060791,0.014604
68,IA20C_I067K01N04,True,2167822.006452,0.008430,0.000245,0.992762,0.060791,0.014604
83,IA20C_I082K01N04,True,2167822.006452,0.008430,0.000245,0.992762,0.060791,0.014604
82,IA20C_I081K01N04,True,2168866.465319,0.008430,0.000727,0.993435,0.055553,0.013247
22,IA20C_I021K01N04,True,2168866.465319,0.008430,0.000727,0.993435,0.055553,0.013247
30,IA20C_I029K01N04,True,2168866.465319,0.008430,0.000727,0.993435,0.055553,0.013247
13,IA20C_I012K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
16,IA20C_I015K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
45,IA20C_I044K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
50,IA20C_I049K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
51,IA20C_I050K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
63,IA20C_I062K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
75,IA20C_I074K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
77,IA20C_I076K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
97,IA20C_I096K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
57,IA20C_I056K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
70,IA20C_I069K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
5,IA20C_I004K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
62,IA20C_I061K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
20,IA20C_I019K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
33,IA20C_I032K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
81,IA20C_I080K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
2,IA20C_I001K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
8,IA20C_I007K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
10,IA20C_I009K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
15,IA20C_I014K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
18,IA20C_I017K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
24,IA20C_I023K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
31,IA20C_I030K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
37,IA20C_I036K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
44,IA20C_I043K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
46,IA20C_I045K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
49,IA20C_I048K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
66,IA20C_I065K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
79,IA20C_I078K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
80,IA20C_I079K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
87,IA20C_I086K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
91,IA20C_I090K01N04,True,2175090.032133,0.008100,0.003599,0.989747,0.080134,0.020793
