MAP,ENERGY
IL20C_I000K01N17,1966837.855042
IL20C_I001K01N17,1979562.118721
IL20C_I002K01N17,1940821.064816
IL20C_I003K01N17,1944344.932423
IL20C_I004K01N17,1931308.247011
IL20C_I005K01N17,1985989.134430
IL20C_I006K01N17,1949501.487195
IL20C_I007K01N17,1951083.265672
IL20C_I008K01N17,1919727.078780
IL20C_I009K01N17,1991390.921428
IL20C_I010K01N17,1962924.311969
IL20C_I011K01N17,1976885.817096
IL20C_I012K01N17,1973307.875419
IL20C_I013K01N17,1950324.292382
IL20C_I014K01N17,1959253.276837
IL20C_I015K01N17,1918593.340657
IL20C_I017K01N17,1952010.081334
IL20C_I018K01N17,1941200.711377
IL20C_I019K01N17,1967307.104077
IL20C_I020K01N17,1984390.335038
IL20C_I021K01N17,1946309.974878
IL20C_I022K01N17,1938773.645360
IL20C_I023K01N17,1966784.347601
IL20C_I024K01N17,1964797.526093
IL20C_I025K01N17,1929887.766948
IL20C_I026K01N17,1976614.268003
IL20C_I027K01N17,1944614.903622
IL20C_I028K01N17,1952743.895605
IL20C_I029K01N17,1937514.910714
IL20C_I030K01N17,1968706.330250
IL20C_I031K01N17,1959236.372397
IL20C_I032K01N17,2009874.118472
IL20C_I033K01N17,2007370.995755
IL20C_I034K01N17,1943937.961311
IL20C_I035K01N17,1947276.390939
IL20C_I036K01N17,1994629.585911
IL20C_I037K01N17,1928559.061562
IL20C_I038K01N17,1931052.658030
IL20C_I039K01N17,1950087.871463
IL20C_I040K01N17,2019541.210164
IL20C_I041K01N17,1926748.371214
IL20C_I042K01N17,1971982.701315
IL20C_I043K01N17,1971093.425699
IL20C_I044K01N17,1934665.768490
IL20C_I045K01N17,1941039.936159
IL20C_I046K01N17,2001499.033711
IL20C_I047K01N17,1933200.625670
IL20C_I048K01N17,1972333.010636
IL20C_I049K01N17,1982851.242611
IL20C_I050K01N17,1977717.947899
IL20C_I051K01N17,1982800.666518
IL20C_I052K01N17,1982366.665039
IL20C_I053K01N17,2043785.779644
IL20C_I054K01N17,1926522.442016
IL20C_I055K01N17,1937526.719598
IL20C_I056K01N17,1956978.619489
IL20C_I057K01N17,1940841.948299
IL20C_I058K01N17,1977366.441358
IL20C_I059K01N17,1914333.469275
IL20C_I060K01N17,1993840.068554
IL20C_I061K01N17,1918979.748808
IL20C_I062K01N17,1967799.815221
IL20C_I063K01N17,1972419.842757
IL20C_I064K01N17,1946193.028381
IL20C_I065K01N17,1970307.852886
IL20C_I066K01N17,1934134.797704
IL20C_I067K01N17,1954085.656699
IL20C_I068K01N17,2013097.249467
IL20C_I069K01N17,1919047.611708
IL20C_I070K01N17,1946861.435361
IL20C_I071K01N17,1957086.402418
IL20C_I072K01N17,2008532.803489
IL20C_I073K01N17,1957487.497860
IL20C_I074K01N17,1987924.394609
IL20C_I075K01N17,1926731.116963
IL20C_I076K01N17,1941479.786081
IL20C_I077K01N17,1921751.860896
IL20C_I078K01N17,2011097.040876
IL20C_I079K01N17,1910514.240476
IL20C_I080K01N17,1971641.458024
IL20C_I081K01N17,1976593.948139
IL20C_I082K01N17,2032651.303381
IL20C_I083K01N17,2001185.072371
IL20C_I084K01N17,2077197.549043
IL20C_I085K01N17,1935132.329097
IL20C_I086K01N17,1939368.498247
IL20C_I087K01N17,1953434.539954
IL20C_I088K01N17,1959813.982390
IL20C_I089K01N17,1988557.113676
IL20C_I090K01N17,1994967.616666
IL20C_I091K01N17,2011323.937175
IL20C_I092K01N17,1917540.212534
IL20C_I093K01N17,2032040.989661
IL20C_I094K01N17,1972351.257889
IL20C_I095K01N17,1926257.739462
IL20C_I096K01N17,1965274.671072
IL20C_I097K01N17,1919757.000122
IL20C_I098K01N17,1975014.772200
IL20C_I099K01N17,1924824.551525
