#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
24,IN20C_I023K01N09,True,2326733.268588,0.013450,0.000000,1.000000,0.000000,0.000000
22,IN20C_I021K01N09,True,2327399.442468,0.008660,0.000286,0.962808,0.255067,0.078777
78,IN20C_I077K01N09,True,2327668.213976,0.010020,0.000402,0.944058,0.342065,0.123233
39,IN20C_I038K01N09,True,2328330.703089,0.011940,0.000687,0.987007,0.105406,0.026436
40,IN20C_I039K01N09,True,2330534.020394,0.012400,0.001634,0.979908,0.147830,0.041741
91,IN20C_I090K01N09,True,2331086.427530,0.005290,0.001871,0.978013,0.164095,0.045568
100,IN20C_I099K01N09,True,2331149.974049,0.016410,0.001898,0.981393,0.144972,0.038415
44,IN20C_I043K01N09,True,2331333.498478,0.008350,0.001977,0.981674,0.140701,0.037709
30,IN20C_I029K01N09,True,2331837.844367,0.012320,0.002194,0.979490,0.156544,0.042238
59,IN20C_I058K01N09,False,2331958.148207,0.017270,0.002246,0.979467,0.150359,0.043133
60,IN20C_I059K01N09,True,2331999.897887,0.005720,0.002264,0.975722,0.175949,0.050412
67,IN20C_I066K01N09,True,2332086.512500,0.007790,0.002301,0.983508,0.128422,0.033939
55,IN20C_I054K01N09,True,2334550.393261,0.015970,0.003360,0.963404,0.227890,0.079967
16,IN20C_I015K01N09,True,2334907.105526,0.016330,0.003513,0.926977,0.420155,0.164645
46,IN20C_I045K01N09,True,2335274.960986,0.011190,0.003671,0.947423,0.298326,0.116607
26,IN20C_I025K01N09,False,2336195.571235,0.005830,0.004067,0.967200,0.222497,0.069938
98,IN20C_I097K01N09,True,2336395.087918,0.009130,0.004153,0.936365,0.383239,0.140780
68,IN20C_I067K01N09,False,2336833.595583,0.011690,0.004341,0.919435,0.455522,0.183470
70,IN20C_I069K01N09,True,2337020.664243,0.003760,0.004421,0.913745,0.450324,0.199264
29,IN20C_I028K01N09,True,2338078.757249,0.007120,0.004876,0.947029,0.320192,0.116375
64,IN20C_I063K01N09,True,2338451.148403,0.003310,0.005036,0.967563,0.224888,0.068540
20,IN20C_I019K01N09,True,2338853.660533,0.007130,0.005209,0.907303,0.456763,0.214459
81,IN20C_I080K01N09,True,2339178.312003,0.007790,0.005349,0.923776,0.449036,0.170884
1,IN20C_I000K01N09,True,2339330.576426,0.011650,0.005414,0.938744,0.333141,0.139012
80,IN20C_I079K01N09,True,2339796.614725,0.006100,0.005614,0.959188,0.260710,0.088388
7,IN20C_I006K01N09,True,2340118.473237,0.007580,0.005753,0.949119,0.310061,0.111236
53,IN20C_I052K01N09,True,2340708.313944,0.013740,0.006006,0.900505,0.498517,0.230410
79,IN20C_I078K01N09,True,2341760.605665,0.014340,0.006459,0.932701,0.366820,0.154824
57,IN20C_I056K01N09,True,2343913.727445,0.006840,0.007384,0.937260,0.373911,0.138617
42,IN20C_I041K01N09,True,2344843.313240,0.014780,0.007783,0.953209,0.285813,0.102482
87,IN20C_I086K01N09,True,2345558.419450,0.005380,0.008091,0.944144,0.337565,0.121522
38,IN20C_I037K01N09,True,2345872.548196,0.011540,0.008226,0.940970,0.343620,0.131986
93,IN20C_I092K01N09,True,2347593.321947,0.009320,0.008965,0.940731,0.351566,0.130677
52,IN20C_I051K01N09,True,2349249.435054,0.006040,0.009677,0.948211,0.313518,0.112133
89,IN20C_I088K01N09,True,2350556.863278,0.014790,0.010239,0.922948,0.384919,0.184096
92,IN20C_I091K01N09,True,2350636.317413,0.012250,0.010273,0.944291,0.333869,0.124350
18,IN20C_I017K01N09,True,2350898.134607,0.008320,0.010386,0.928189,0.385799,0.167350
11,IN20C_I010K01N09,True,2351064.611415,0.007390,0.010457,0.936442,0.353516,0.141453
97,IN20C_I096K01N09,True,2351132.498649,0.010690,0.010486,0.941394,0.336026,0.131890
96,IN20C_I095K01N09,True,2352917.793823,0.008230,0.011254,0.916436,0.445581,0.195608
74,IN20C_I073K01N09,True,2353065.506491,0.009760,0.011317,0.920857,0.427003,0.184246
41,IN20C_I040K01N09,True,2353500.126724,0.011770,0.011504,0.926524,0.398072,0.171429
19,IN20C_I018K01N09,True,2353988.372501,0.010230,0.011714,0.935444,0.372165,0.146280
49,IN20C_I048K01N09,True,2354051.426933,0.010720,0.011741,0.930360,0.391865,0.154627
62,IN20C_I061K01N09,True,2354191.932058,0.011850,0.011801,0.929561,0.403653,0.156876
32,IN20C_I031K01N09,True,2354696.476374,0.005610,0.012018,0.929670,0.406140,0.158263
31,IN20C_I030K01N09,True,2355683.055753,0.009980,0.012442,0.925391,0.424836,0.169616
69,IN20C_I068K01N09,True,2355734.554855,0.014970,0.012464,0.920507,0.410439,0.188856
27,IN20C_I026K01N09,True,2357182.672142,0.006740,0.013087,0.872583,0.606720,0.310220
48,IN20C_I047K01N09,True,2357505.648780,0.010590,0.013226,0.942186,0.361711,0.126162
58,IN20C_I057K01N09,True,2357762.918072,0.008960,0.013336,0.920193,0.439113,0.181991
50,IN20C_I049K01N09,True,2357846.246706,0.027630,0.013372,0.911155,0.445384,0.212343
21,IN20C_I020K01N09,True,2358332.395670,0.020120,0.013581,0.912916,0.430814,0.210710
84,IN20C_I083K01N09,True,2358769.125250,0.010550,0.013769,0.910186,0.470218,0.208560
72,IN20C_I071K01N09,False,2358817.893985,0.019450,0.013790,0.907384,0.452134,0.224428
66,IN20C_I065K01N09,True,2358872.548390,0.012300,0.013813,0.941354,0.361371,0.127848
4,IN20C_I003K01N09,True,2359266.893586,0.004240,0.013983,0.917555,0.437288,0.194740
73,IN20C_I072K01N09,True,2359276.301343,0.006270,0.013987,0.884821,0.544895,0.277284
8,IN20C_I007K01N09,True,2359286.970582,0.028700,0.013991,0.907695,0.455031,0.222024
43,IN20C_I042K01N09,True,2359711.926021,0.022360,0.014174,0.910202,0.440297,0.219401
88,IN20C_I087K01N09,True,2359919.318895,0.008500,0.014263,0.905822,0.489781,0.223093
13,IN20C_I012K01N09,True,2359939.257978,0.011200,0.014272,0.909668,0.471118,0.214091
10,IN20C_I009K01N09,True,2359955.507918,0.010640,0.014278,0.906308,0.482837,0.221641
34,IN20C_I033K01N09,True,2359999.994006,0.019870,0.014298,0.914734,0.429752,0.205059
25,IN20C_I024K01N09,True,2360319.050512,0.018500,0.014435,0.912718,0.443896,0.210571
47,IN20C_I046K01N09,True,2361132.071423,0.008120,0.014784,0.905288,0.488667,0.222745
54,IN20C_I053K01N09,True,2362114.363773,0.008090,0.015206,0.904756,0.491061,0.224167
99,IN20C_I098K01N09,True,2362258.236809,0.010660,0.015268,0.902743,0.499089,0.231017
71,IN20C_I070K01N09,True,2362548.634146,0.013650,0.015393,0.902768,0.497977,0.231446
5,IN20C_I004K01N09,True,2363088.083192,0.006050,0.015625,0.899764,0.503640,0.239575
45,IN20C_I044K01N09,True,2363146.128471,0.005010,0.015650,0.922286,0.441212,0.176012
36,IN20C_I035K01N09,True,2363675.824186,0.011730,0.015877,0.904548,0.496723,0.225482
56,IN20C_I055K01N09,True,2363693.201186,0.009390,0.015885,0.899070,0.507152,0.241141
9,IN20C_I008K01N09,True,2363710.348732,0.010350,0.015892,0.899067,0.507066,0.241141
37,IN20C_I036K01N09,True,2364370.037780,0.002210,0.016176,0.902429,0.501757,0.229734
94,IN20C_I093K01N09,True,2364486.093050,0.005780,0.016226,0.898120,0.515699,0.241766
65,IN20C_I064K01N09,True,2365193.779906,0.009060,0.016530,0.915873,0.462495,0.192885
82,IN20C_I081K01N09,True,2365748.730192,0.008030,0.016768,0.894849,0.527225,0.251067
95,IN20C_I094K01N09,True,2365803.670905,0.009690,0.016792,0.894800,0.527509,0.251253
76,IN20C_I075K01N09,True,2366658.447840,0.005420,0.017159,0.863999,0.636275,0.335120
63,IN20C_I062K01N09,True,2366870.334768,0.005130,0.017250,0.924241,0.431980,0.168742
6,IN20C_I005K01N09,True,2367462.085619,0.015890,0.017505,0.859016,0.653850,0.349177
3,IN20C_I002K01N09,True,2367477.941925,0.007240,0.017512,0.926270,0.433780,0.164375
28,IN20C_I027K01N09,True,2368773.338120,0.006660,0.018068,0.912839,0.483868,0.200063
2,IN20C_I001K01N09,True,2370247.379206,0.002850,0.018702,0.861478,0.646334,0.341266
15,IN20C_I014K01N09,True,2370247.379206,0.002850,0.018702,0.861478,0.646334,0.341266
33,IN20C_I032K01N09,True,2370370.032817,0.002730,0.018755,0.861311,0.646867,0.341777
90,IN20C_I089K01N09,True,2370836.311642,0.006280,0.018955,0.918970,0.455419,0.183148
85,IN20C_I084K01N09,True,2371153.125428,0.012400,0.019091,0.888137,0.534621,0.271105
17,IN20C_I016K01N09,True,2373582.111990,0.009390,0.020135,0.878738,0.567620,0.294443
