#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
1,KS20C_I000K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
7,KS20C_I006K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
27,KS20C_I026K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
42,KS20C_I041K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
44,KS20C_I043K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
45,KS20C_I044K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
51,KS20C_I050K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
100,KS20C_I099K01N04,True,2131768.480491,0.007960,0.000000,1.000000,0.000000,0.000000
57,KS20C_I056K01N04,True,2138162.553371,0.006250,0.002999,0.993924,0.055534,0.012286
16,KS20C_I015K01N04,True,2138162.553371,0.006250,0.002999,0.993924,0.055534,0.012286
22,KS20C_I021K01N04,True,2138754.627820,0.003320,0.003277,0.992958,0.062910,0.014262
69,KS20C_I068K01N04,True,2138754.627820,0.003320,0.003277,0.992958,0.062910,0.014262
94,KS20C_I093K01N04,True,2139031.669614,0.003930,0.003407,0.993108,0.061564,0.013949
10,KS20C_I009K01N04,True,2139603.682270,0.007650,0.003675,0.993634,0.057999,0.012888
98,KS20C_I097K01N04,True,2139603.682270,0.007650,0.003675,0.993634,0.057999,0.012888
67,KS20C_I066K01N04,True,2140640.377564,0.005980,0.004162,0.992058,0.069137,0.016085
18,KS20C_I017K01N04,True,2141425.420639,0.003100,0.004530,0.989507,0.087369,0.021283
74,KS20C_I073K01N04,True,2141425.420639,0.003100,0.004530,0.989507,0.087369,0.021283
92,KS20C_I091K01N04,True,2141425.420639,0.003100,0.004530,0.989507,0.087369,0.021283
9,KS20C_I008K01N04,True,2141448.513601,0.008860,0.004541,0.990431,0.082034,0.019423
12,KS20C_I011K01N04,True,2141448.513601,0.008860,0.004541,0.990431,0.082034,0.019423
52,KS20C_I051K01N04,True,2141448.513601,0.008860,0.004541,0.990431,0.082034,0.019423
93,KS20C_I092K01N04,True,2141448.513601,0.008860,0.004541,0.990431,0.082034,0.019423
70,KS20C_I069K01N04,True,2142783.352100,0.002730,0.005167,0.989224,0.090138,0.021887
58,KS20C_I057K01N04,True,2144020.045834,0.003440,0.005747,0.987462,0.100341,0.025496
23,KS20C_I022K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
32,KS20C_I031K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
48,KS20C_I047K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
53,KS20C_I052K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
66,KS20C_I065K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
89,KS20C_I088K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
96,KS20C_I095K01N04,False,2161927.193141,0.011440,0.014147,0.971742,0.193032,0.058774
60,KS20C_I059K01N04,True,2164447.533872,0.008220,0.015330,0.968474,0.214302,0.065645
35,KS20C_I034K01N04,True,2166315.508611,0.007530,0.016206,0.968812,0.212105,0.064991
39,KS20C_I038K01N04,True,2166315.508611,0.007530,0.016206,0.968812,0.212105,0.064991
21,KS20C_I020K01N04,True,2171757.065296,0.005230,0.018758,0.961821,0.250223,0.080228
83,KS20C_I082K01N04,True,2172311.021412,0.006300,0.019018,0.961555,0.251637,0.080829
40,KS20C_I039K01N04,True,2173198.103340,0.006230,0.019434,0.958029,0.268437,0.088747
62,KS20C_I061K01N04,True,2173198.103340,0.006230,0.019434,0.958029,0.268437,0.088747
84,KS20C_I083K01N04,True,2173198.103340,0.006230,0.019434,0.958029,0.268437,0.088747
6,KS20C_I005K01N04,True,2180797.164627,0.003320,0.022999,0.953338,0.291357,0.099235
