GEOID,DISTRICT
20171000090,3
20171000060,3
20171000020,3
20207000090,2
20207000050,2
20207000010,2
2020700008A,2
20207000070,2
20059000060,1
20059000090,1
20063000040,3
20063000090,3
20171000040,3
20145000200,3
20145000130,3
20059000140,1
2005900013A,1
20145000070,3
20145000090,3
20145000080,3
20109000060,3
20179000130,3
20179000020,3
20193000080,3
2019300003A,3
2019300004A,3
20193000060,3
20193000180,3
20193000010,3
20009000290,3
20009000320,3
20009000250,3
20009000350,3
20009900010,3
20009000210,3
20153000120,3
20145000030,3
20153000010,3
20179000060,3
20179000070,3
20179000090,3
20145000180,3
20145000110,3
2014500017A,3
20179000100,3
20179000030,3
20063000050,3
20145000140,3
20023000070,3
20023000010,3
20115000100,2
2011500011A,2
20155000710,3
20155000120,3
20155120030,3
20155000140,3
20155000610,3
20155000640,3
20063000030,3
20197000040,2
20197000010,1
20179000110,3
20023000020,3
20065000110,3
20065000010,3
20065000100,3
20065120080,3
20065120090,3
20065000040,3
20063000070,3
20089000010,3
20123000300,3
20123000270,3
20123000010,3
20095000170,3
20095000030,3
20181000040,3
20181000170,3
2018100004A,3
20181000090,3
20181000020,3
20181000010,3
20181000030,3
20089000110,3
20089000250,3
20145000100,3
20145000160,3
20089000070,3
20063000010,3
20059000050,1
20145000190,3
20175000180,3
20015000030,2
2001500002A,2
2001500004A,2
20015200010,2
20191000010,2
20191000050,3
20191000060,3
20191000040,3
20191000220,2
20191120030,2
20191120050,2
20191000020,2
2019100002B,2
20191900050,2
20191900060,2
2019100002A,2
2019112003A,2
20191000260,3
20175000170,3
20175000030,3
20115000010,2
20115000020,2
20115000230,3
20115000300,3
20115000030,2
20209600300,0
20193000090,3
20003000220,1
20155200020,3
20209600340,0
20209600090,0
20209600120,0
20209140020,1
20209140030,1
20209600560,1
20209600490,0
20209600350,0
20209600390,0
20209600500,1
2001500014A,2
20015000330,2
2001500016C,2
20015140080,2
20015000220,2
20015000190,2
20015140090,2
20015000430,2
20175000020,3
20175000110,3
20175000120,3
20191000110,3
20191900030,3
20191000230,3
20197000050,1
20075000010,3
20191000130,3
20191000240,2
20015000290,2
20015000300,2
20015000110,2
20191000270,2
20191120070,2
20175000160,3
20175000140,3
20175000130,3
2017500008A,3
20191000320,2
20015000250,2
20015000100,2
2001500001A,2
2001500009C,2
20197000060,1
20197120030,1
20197120020,1
20083150050,3
20083150010,3
20083150020,3
20083000110,3
20015000350,2
20015120090,2
20145120040,3
20145120050,3
20191000090,3
20191000380,2
2019100037A,2
20191000370,2
20003000180,1
20059000190,1
20059000030,1
2005900012A,1
2005900013B,1
20059000210,1
2005900020A,1
20059000070,1
20059000080,1
20003000240,1
20003000230,1
20003000210,1
20003000130,1
20003000190,0
20059000230,1
20199000050,3
20153000110,3
20153000070,3
2000900022C,3
20009000340,3
20009000370,3
20009000200,3
2000900023B,3
20205000080,2
20205000090,2
20205000020,2
2020500010A,2
20205000150,2
20205000160,2
20205000130,2
2020500015B,2
2020500014A,2
20205000170,2
20205000220,2
20205000070,2
20209600670,0
20135000070,3
20167000160,3
20167000020,3
20167000030,3
20167000080,3
20209600790,0
20209600020,1
20009000070,3
20077000010,3
20015800050,2
20191000300,3
20191000200,2
20191000280,2
20015000410,2
20015120050,2
2001500016A,2
20015000130,2
20015000450,2
20015120040,2
20015000050,2
20123000100,3
2012300006A,3
20123000190,3
20123000220,3
20123000050,3
20111000170,2
20111000300,2
20111000210,2
20111000230,1
20111000320,2
20111000270,2
2011100013A,2
2011100017C,2
20157000110,3
20157000100,3
20209600830,0
20009000050,3
2000900023A,3
20009000160,3
20009000180,3
20009000300,3
2015700005A,3
20009000100,3
20009000170,3
20007000050,3
20015000360,2
20015000390,2
20191000310,2
20191000030,3
20191000100,3
20191000350,2
20015000240,2
20169000180,3
20169000090,3
20157000070,3
20157000180,3
20191000360,2
20105000090,3
20075000040,3
20075000080,3
20075000100,3
20075180020,3
20157000170,3
20199000040,3
20075000050,3
20135000090,3
20199000030,3
20199000020,3
20135000050,3
20167000050,3
2015700006B,3
20157000200,3
20123000040,3
20177001130,1
20167000150,3
20155200030,3
20155000300,3
20155000170,3
20155000410,3
20155000160,3
20115000270,2
20115000290,2
20089000100,3
20089000230,3
20089000150,3
20205000180,2
20205000030,2
20205000010,2
20205000050,2
20205000120,2
20095000090,3
20095000190,3
20095000080,3
20167000060,3
20055000110,3
20205000040,2
2009500014A,3
20095000180,3
20095000100,3
20105000180,3
20105000040,3
20167000070,3
20167000040,3
20167000090,3
20157000160,3
20157000210,3
20177001410,1
20177000660,1
20177000500,1
20177001330,1
20177001000,1
20177500160,1
20177600060,1
20177600050,1
20177000950,1
20177600160,1
20177600370,1
20093000040,3
20111000080,2
20111000020,2
20111000220,1
20111000310,2
20111000240,2
20155000030,3
20155000440,3
20155000020,3
20115000200,2
20115000090,2
20031000140,1
20209600630,0
20209600270,0
20209601030,1
20209140090,1
20209600400,0
20209600860,0
20209120100,0
20209601110,1
20209600580,1
20209600760,1
20209600550,1
20031000100,1
20031000130,2
20031000150,1
20087000060,1
20209600170,0
20209600420,0
20209600510,0
20087000100,1
20087000050,1
20087000010,1
20087000070,1
20087000090,1
20001000140,0
20001170040,1
20001170030,1
20001170010,1
20001170020,1
20109000070,3
20107000050,0
20107000110,0
20107000060,0
20107000040,0
20157000150,3
20107000120,0
20177600570,1
20197000140,1
20013000010,1
20013000160,1
20007000010,3
20007000080,3
20007000070,3
20089000040,3
20089000050,3
20089000140,3
20155000360,3
20155000070,3
20155000530,3
20155000650,3
20115000170,3
20115000150,2
20155000330,3
20155200010,3
20155000200,3
20155000520,3
20099000050,0
2009900016A,0
2009900022A,2
20099000220,2
2009900024A,2
20049000100,2
20019000110,2
20019000050,2
20177120240,1
20177120230,1
20177900060,1
20177000370,1
20177000820,1
20177800060,1
20177800070,1
20177900030,1
20177400090,1
20177200020,1
20177400100,1
20177120210,1
20177120220,1
20177000580,1
20177120320,1
20177120310,1
20177900140,1
20007000060,3
20077000070,3
20177000420,1
20177001140,1
20177200070,1
20177120040,1
20177120030,1
20177200170,1
20177120050,1
20177200180,1
20177000610,1
20177001850,1
20177000150,1
20177001890,1
20139000240,1
20139000020,1
20027000210,3
20177000490,1
20139000080,1
20139000120,1
20197000110,1
20041000130,3
20041900020,3
2004100002A,3
20041000220,3
20041120030,2
2004112002A,2
20041120020,2
20177900050,1
20177000600,1
20177700020,1
20177700010,1
20177000340,1
20177001620,1
20177600580,1
20177120120,1
20177120100,1
2017712013A,1
20177120130,1
20177800020,1
2017712010A,1
20177600500,1
20169000030,3
20169120030,3
2016900012A,3
20169000500,3
20155000450,3
20155000690,3
20155000230,3
20115000050,2
20155000080,3
20155000560,3
20155000210,3
20139000230,1
20139000210,1
20143000120,3
20143000150,3
20143000060,3
20041000190,2
20041000080,2
20041000210,2
20041000010,3
20041900030,3
20027000140,2
20027000120,3
20027000170,2
20027000200,2
20027000150,2
20027000160,3
2002700006A,3
20029000090,3
20169000490,3
20169000440,3
2016900046A,3
20169000450,3
20115000070,2
20115000120,2
20115000260,2
20143000010,3
20021000330,0
20021000140,0
2002100015A,0
2002100013A,0
20021000060,0
20021000070,0
2002100030A,0
2002100030B,0
20027000090,3
20027000080,3
20027000110,3
20027000040,3
20155000590,3
20021000080,0
20021000090,0
20143000020,3
20139000190,1
20139000040,1
20139000007,1
20209600680,0
20041000030,3
20041000160,2
20041000260,2
2000900027A,3
20007000040,3
20077000050,3
20077000100,3
20077800060,3
2015100012A,3
2015100002B,3
2015100004A,3
20151190010,3
2015100005A,3
20151190020,3
20151190030,3
2013100023A,1
20071000030,3
20131000040,1
20041000310,3
20041000300,2
20131000110,1
20131000270,1
2013190001A,1
2013190001B,1
20131900010,1
2013100005A,1
20047000020,3
20151000080,3
20151000110,3
20151000100,3
2015100002A,3
20021000340,0
20021000220,0
20021000170,0
20021000030,0
20021000210,0
20021000110,0
2002100010A,0
2002100010B,0
20021000200,0
2002100012A,0
20131000140,1
20101000020,3
20101000080,3
20101000030,3
20101000040,3
20131000280,1
20131000290,1
2013100020B,1
20131000190,1
2013100005B,1
20175000100,3
20077000080,3
20077000060,3
20055000040,3
20055200020,3
20093000090,3
20113000200,3
20113900040,3
20113900010,3
2011390004B,3
2011309004A,3
20055000250,3
20055180050,3
20055000030,3
20055300020,3
20055000010,3
20203000030,3
20203000020,3
2002100007A,0
20007000200,3
20077000030,3
20203000010,3
20093000070,3
20093000050,3
20043000060,1
20087000130,1
2015900019A,3
20159000090,3
20087000120,1
20087000040,1
20043000100,1
20043000050,1
20137000110,3
20011000120,0
20113000090,3
20113000170,3
20113000370,3
20113000040,3
20113000110,3
20011000080,0
2001100005A,0
20055000190,3
20113000320,3
20113000130,3
20113000160,3
20113000120,3
20021000999,0
20021000250,0
20007000220,3
20077800030,3
20011000160,0
20011000110,0
20011000190,0
20025000030,3
20025000020,3
20025000070,3
20087000030,1
20067000040,3
20067000020,3
20025000040,3
2006700003A,3
20001000170,0
20001000150,0
20043000110,1
20165000040,3
20165000120,3
20057000210,3
2005700021A,3
20057000250,3
2005700025A,3
2005700025B,3
2005700005A,3
20057000320,3
2008500008A,1
20085000090,1
20085000180,1
20053000020,3
20011000070,0
20011000090,0
20157000140,3
20093000030,3
20093000080,3
20011000040,0
2001100003A,0
20001000040,0
2000100020A,1
2000100020C,1
20053000070,3
20081000010,3
20187000030,3
20127000150,2
20127000050,2
20127000060,2
20127000020,2
20127000100,2
20127000120,2
20127000170,2
20127000130,2
20127000070,2
20127000140,2
20127000010,2
20113000350,3
20113900020,3
20201000110,1
20187000020,3
20201000180,2
20081000060,3
20085000140,1
20165000110,3
20195000010,3
20195000020,3
20195000070,3
20035000310,2
20035000050,2
2003500005A,2
20081000040,3
20081120050,3
20081120040,3
20163000030,3
20163000040,3
20137000100,3
20137000080,3
20195000060,3
20131000300,1
20131000240,1
20131000220,1
2013100020A,1
20131000210,1
20071000020,3
20043000040,1
20165000090,3
20055180080,3
20055180190,3
20055190150,3
20055190120,3
20163000130,3
20085000130,1
20051000040,3
20051000050,3
20051000200,3
2016100005A,2
20061000270,2
20161300090,2
20161000020,2
20179000140,3
20053000050,3
20053000140,3
20051120050,3
20051120040,3
2005100021A,3
20051900040,3
20051000110,3
20051900030,3
20051900060,3
2005100019A,3
2005100026A,3
20051000180,3
20051900050,3
20053000240,3
20055000280,3
20149000040,1
20161400050,2
20161000070,2
2016100039A,2
2016100047F,2
20161190030,2
2016100047A,2
20161000350,2
2016100047D,2
20161000230,2
20109000120,3
20127000090,2
20127000080,2
20109000040,3
20127000160,2
20109000080,3
20109000100,3
20053000230,3
20051000290,3
20051000250,3
20051120060,3
20051120070,3
20051000080,3
20113000140,3
20113000150,3
20113000360,3
20051000010,3
20061000230,2
2006100002B,2
20061000271,2
2006100022B,2
2006100002O,2
2006100002R,2
20035000180,2
20035000290,2
20035000260,2
20141400010,3
20141000230,3
20053000150,3
20035000270,2
20055000200,3
20055190020,3
20055190030,3
20113900030,3
20113000010,3
20113000030,3
20031000060,1
20031900030,1
2003100005A,1
20031000080,1
20031000160,1
2003100004A,1
20031000070,1
20031000030,1
20035000280,2
20035000540,2
20149000020,1
20161000480,2
20149000100,1
20161400060,2
20161400030,2
2016100044A,2
20161300060,2
20147000070,3
20147000150,3
20053000210,3
20051000300,3
20165000100,3
20057000090,3
20057600010,3
2005700019A,3
2005700008A,3
20057000070,3
20057000190,3
2005700019B,3
20057800050,3
20057800020,3
20057800030,3
20057190010,3
20023000080,3
20147000170,3
20147000190,3
2020100025A,3
2020100026A,3
20201000100,3
20201000210,3
20165000030,3
20165000080,3
20165000020,3
20183000040,3
20183000100,3
20183000020,3
20013000110,1
20035000190,2
2003500041A,2
20201000050,3
20157000090,3
20087000080,1
20113000290,3
20113000180,3
20113000340,3
20147000230,3
20147000200,3
20147000270,3
20163000010,3
20147000020,3
20001000080,1
2000100006A,1
20107000100,0
20035000490,2
20035000100,2
20035000030,2
20113190010,3
20035000340,2
20019000070,2
20173500420,2
20173120040,2
20173500370,2
20173500360,2
20147000130,3
20107000030,0
20017000030,2
20147000100,3
20147190020,3
20147190010,3
20147000260,3
20099000110,2
20099000130,2
20099000140,2
20099000040,0
20099120040,0
20099000360,0
2009912004A,0
2009912004B,0
20019000080,2
20019000040,2
20107000010,0
20201000160,3
20017000020,2
20017000010,2
20037000A41,0
20037000400,0
20037000290,0
20037000310,0
2003790001A,0
20037900010,0
20037000030,0
20037000A51,0
20037000230,0
20099000180,0
20099000200,0
20099000060,2
20127000110,2
20099000030,0
20149000240,1
20017000110,2
20147000220,3
20049000030,2
20107000090,0
20107000020,0
20107000070,0
20173500910,2
20173120090,2
20173501110,3
20173503290,3
20173120470,3
20173180030,3
20173131600,3
20173131370,3
20173120480,3
20173130430,3
20149000010,1
20149000210,1
20085000170,1
20149000250,1
20149000180,1
20161400010,2
20079000180,3
20079000200,3
20173501650,3
20165000070,3
20165000010,3
20141000100,3
20141000050,3
20173121310,3
20173501930,3
20173502070,2
20173700400,3
20173131070,2
20173500990,2
20173501000,2
20173503260,3
20173503170,3
20119000040,3
20119000050,3
20033120020,3
20033120030,3
20099000150,0
20099000330,2
20119000030,3
20119000010,3
20119000090,3
20069000040,3
20137000090,3
20141000060,3
20183000120,3
20183000260,3
20183000230,3
20101000060,3
20101000070,3
20191000400,2
20015000320,2
20069000060,3
20035000110,2
20035000090,2
20067120030,3
20067120020,3
20191000170,2
20195000050,3
2007900027B,2
20079000210,3
2007900021A,2
20079000280,3
20141000090,3
20141000180,3
20035000390,2
20035000500,2
20163000140,3
20173500460,2
20173120020,2
20173500050,2
20173131620,3
20173700350,3
20173120540,3
20173130450,3
20173150030,3
20173131430,2
20173502240,2
20173131410,2
20173120190,2
20173120250,2
20173120230,2
20173120530,2
20173100010,3
20173130810,3
20173130560,3
20173130540,3
20173502130,3
20173130550,3
20173130830,3
20173120170,3
20173120160,3
20173130510,3
20173130530,3
