#,MAP,CONTIGUOUS,ENERGY,POPDEV,DELTA,SHARED,UOM,ES
18,KY20C_I017K01N06,True,2226857.255160,0.001880,0.000000,1.000000,0.000000,0.000000
42,KY20C_I041K01N06,True,2226884.369667,0.001430,0.000012,0.999163,0.008807,0.001677
46,KY20C_I045K01N06,True,2228266.883307,0.002860,0.000633,0.996067,0.036483,0.007909
1,KY20C_I000K01N06,True,2228702.948679,0.003170,0.000829,0.995872,0.037985,0.008304
37,KY20C_I036K01N06,True,2229084.568062,0.002080,0.001000,0.978990,0.150604,0.043320
79,KY20C_I078K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
77,KY20C_I076K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
90,KY20C_I089K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
47,KY20C_I046K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
5,KY20C_I004K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
40,KY20C_I039K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
51,KY20C_I050K01N06,True,2229106.049817,0.003570,0.001010,0.981626,0.134975,0.037747
88,KY20C_I087K01N06,True,2229108.742918,0.002670,0.001011,0.980763,0.141141,0.039565
9,KY20C_I008K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
12,KY20C_I011K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
71,KY20C_I070K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
98,KY20C_I097K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
13,KY20C_I012K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
97,KY20C_I096K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
95,KY20C_I094K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
33,KY20C_I032K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
91,KY20C_I090K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
25,KY20C_I024K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
70,KY20C_I069K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
14,KY20C_I013K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
20,KY20C_I019K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
75,KY20C_I074K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
84,KY20C_I083K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
64,KY20C_I063K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
28,KY20C_I027K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
10,KY20C_I009K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
83,KY20C_I082K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
65,KY20C_I064K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
80,KY20C_I079K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
76,KY20C_I075K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
29,KY20C_I028K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
94,KY20C_I093K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
74,KY20C_I073K01N06,True,2229573.731438,0.003080,0.001220,0.994878,0.045115,0.010321
