MAP,ENERGY
KY20C_I000K01N06,1558881.648255
KY20C_I001K01N06,1559081.440747
KY20C_I002K01N06,1564733.706984
KY20C_I003K01N06,1557373.651626
KY20C_I004K01N06,1555128.183580
KY20C_I005K01N06,1555703.405587
KY20C_I006K01N06,1559870.629012
KY20C_I007K01N06,1565390.157969
KY20C_I008K01N06,1559081.440747
KY20C_I009K01N06,1559081.440747
KY20C_I010K01N06,1560634.252341
KY20C_I011K01N06,1559081.440747
KY20C_I012K01N06,1559081.440747
KY20C_I013K01N06,1559081.440747
KY20C_I014K01N06,1556091.616168
KY20C_I015K01N06,1555053.332088
KY20C_I016K01N06,1560634.252341
KY20C_I017K01N06,1558706.660640
KY20C_I018K01N06,1558100.148281
KY20C_I019K01N06,1559081.440747
KY20C_I020K01N06,1560774.975908
KY20C_I021K01N06,1555911.811007
KY20C_I022K01N06,1557469.859967
KY20C_I023K01N06,1558824.188901
KY20C_I024K01N06,1559081.440747
KY20C_I025K01N06,1559909.582428
KY20C_I026K01N06,1560634.252341
KY20C_I027K01N06,1559081.440747
KY20C_I028K01N06,1559081.440747
KY20C_I029K01N06,1560634.252341
KY20C_I030K01N06,1560140.951964
KY20C_I031K01N06,1555141.178837
KY20C_I032K01N06,1559081.440747
KY20C_I033K01N06,1555341.224979
KY20C_I034K01N06,1561457.228298
KY20C_I035K01N06,1560497.924807
KY20C_I036K01N06,1555603.504026
KY20C_I037K01N06,1560634.252341
KY20C_I038K01N06,1557183.727744
KY20C_I039K01N06,1555128.183580
KY20C_I040K01N06,1556048.746469
KY20C_I041K01N06,1558048.443381
KY20C_I042K01N06,1555509.866833
KY20C_I043K01N06,1560253.074332
KY20C_I044K01N06,1560634.252341
KY20C_I045K01N06,1558648.352377
KY20C_I046K01N06,1555128.183580
KY20C_I047K01N06,1559815.047932
KY20C_I048K01N06,1559909.582428
KY20C_I049K01N06,1565441.041759
KY20C_I050K01N06,1555128.183580
KY20C_I051K01N06,1557754.897631
KY20C_I052K01N06,1560634.252341
KY20C_I053K01N06,1555526.455607
KY20C_I054K01N06,1561457.228298
KY20C_I055K01N06,1560634.252341
KY20C_I056K01N06,1559620.074665
KY20C_I057K01N06,1556603.667254
KY20C_I058K01N06,1555658.812502
KY20C_I059K01N06,1559909.582428
KY20C_I060K01N06,1559081.440747
KY20C_I061K01N06,1556187.052841
KY20C_I062K01N06,1559436.362701
KY20C_I063K01N06,1559081.440747
KY20C_I064K01N06,1559081.440747
KY20C_I065K01N06,1556027.990111
KY20C_I066K01N06,1555987.846030
KY20C_I067K01N06,1560634.252341
KY20C_I068K01N06,1560634.252341
KY20C_I069K01N06,1559081.440747
KY20C_I070K01N06,1559081.440747
KY20C_I071K01N06,1555627.010243
KY20C_I072K01N06,1555279.556897
KY20C_I073K01N06,1559081.440747
KY20C_I074K01N06,1559081.440747
KY20C_I075K01N06,1559081.440747
KY20C_I076K01N06,1555128.183580
KY20C_I077K01N06,1555524.448507
KY20C_I078K01N06,1555128.183580
KY20C_I079K01N06,1559081.440747
KY20C_I080K01N06,1555514.131891
KY20C_I081K01N06,1558386.800635
KY20C_I082K01N06,1559081.440747
KY20C_I083K01N06,1559081.440747
KY20C_I084K01N06,1559909.582428
KY20C_I085K01N06,1560634.252341
KY20C_I086K01N06,1559909.582428
KY20C_I087K01N06,1556168.829213
KY20C_I088K01N06,1558100.148281
KY20C_I089K01N06,1555128.183580
KY20C_I090K01N06,1559081.440747
KY20C_I091K01N06,1555716.265298
KY20C_I092K01N06,1560634.252341
KY20C_I093K01N06,1559081.440747
KY20C_I094K01N06,1559081.440747
KY20C_I095K01N06,1555911.811007
KY20C_I096K01N06,1559081.440747
KY20C_I097K01N06,1559081.440747
KY20C_I098K01N06,1560634.252341
KY20C_I099K01N06,1559909.582428
