MAP,ENERGY
LA20C_I000K01N06,1557069.661128
LA20C_I001K01N06,1557157.057826
LA20C_I002K01N06,1557330.016818
LA20C_I003K01N06,1837058.600093
LA20C_I004K01N06,1436260.251605
LA20C_I005K01N06,1433102.424681
LA20C_I006K01N06,1436294.024781
LA20C_I007K01N06,1557157.057826
LA20C_I008K01N06,1431364.715478
LA20C_I009K01N06,1840843.327127
LA20C_I010K01N06,1844652.621901
LA20C_I011K01N06,1557783.025867
LA20C_I012K01N06,1558276.511580
LA20C_I013K01N06,1557157.057826
LA20C_I014K01N06,1558276.511580
LA20C_I015K01N06,1558276.511580
LA20C_I016K01N06,1557157.057826
LA20C_I017K01N06,1559938.065160
LA20C_I018K01N06,1851779.399796
LA20C_I019K01N06,1557157.057826
LA20C_I020K01N06,1558276.511580
LA20C_I021K01N06,1556511.702957
LA20C_I022K01N06,1556641.577142
LA20C_I023K01N06,1430119.485539
LA20C_I024K01N06,1555433.975044
LA20C_I025K01N06,1430256.150820
LA20C_I026K01N06,1430109.603458
LA20C_I027K01N06,1557289.819445
LA20C_I028K01N06,1436294.024781
LA20C_I029K01N06,1436294.024781
LA20C_I030K01N06,1432332.599445
LA20C_I031K01N06,1430477.968926
LA20C_I032K01N06,1430477.968926
LA20C_I033K01N06,1558276.511580
LA20C_I034K01N06,1558276.511580
LA20C_I035K01N06,1430477.968926
LA20C_I036K01N06,1436260.251605
LA20C_I037K01N06,1557157.057826
LA20C_I038K01N06,1557157.057826
LA20C_I039K01N06,1557157.057826
LA20C_I040K01N06,1430409.130650
LA20C_I041K01N06,1556669.740855
LA20C_I042K01N06,1846559.913654
LA20C_I043K01N06,1557667.701087
LA20C_I044K01N06,1436294.024781
LA20C_I045K01N06,1558276.511580
LA20C_I046K01N06,1558276.511580
LA20C_I047K01N06,1558276.511580
LA20C_I048K01N06,1436466.462309
LA20C_I049K01N06,1844402.672596
LA20C_I050K01N06,1436294.024781
LA20C_I051K01N06,1430256.150820
LA20C_I052K01N06,1557157.057826
LA20C_I053K01N06,1845863.247492
LA20C_I054K01N06,1555045.792373
LA20C_I055K01N06,1558276.511580
LA20C_I056K01N06,1430768.643105
LA20C_I057K01N06,1432332.599445
LA20C_I058K01N06,1556918.260147
LA20C_I059K01N06,1557157.057826
LA20C_I060K01N06,1433102.424681
LA20C_I061K01N06,1839643.564567
LA20C_I062K01N06,1558276.511580
LA20C_I063K01N06,1430256.150820
LA20C_I064K01N06,1843161.345033
LA20C_I065K01N06,1436294.024781
LA20C_I066K01N06,1558276.511580
LA20C_I067K01N06,1430463.734669
LA20C_I068K01N06,1430477.968926
LA20C_I069K01N06,1558276.511580
LA20C_I070K01N06,1436260.251605
LA20C_I071K01N06,1436294.024781
LA20C_I072K01N06,1430477.968926
LA20C_I073K01N06,1558276.511580
LA20C_I074K01N06,1564608.063691
LA20C_I075K01N06,1555410.297391
LA20C_I076K01N06,1557928.266062
LA20C_I077K01N06,1436260.251605
LA20C_I078K01N06,1558276.511580
LA20C_I079K01N06,1436294.024781
LA20C_I080K01N06,1430256.150820
LA20C_I081K01N06,1557157.057826
LA20C_I082K01N06,1557157.057826
LA20C_I083K01N06,1430463.734669
LA20C_I084K01N06,1844331.819955
LA20C_I085K01N06,1557157.057826
LA20C_I086K01N06,1432332.599445
LA20C_I087K01N06,1557859.659409
LA20C_I088K01N06,1555118.082818
LA20C_I089K01N06,1838246.472855
LA20C_I090K01N06,1430463.734669
LA20C_I091K01N06,1837903.943197
LA20C_I092K01N06,1556448.914553
LA20C_I093K01N06,1430477.968926
LA20C_I094K01N06,1430880.764248
LA20C_I095K01N06,1436294.024781
LA20C_I096K01N06,1848442.792736
LA20C_I097K01N06,1882800.052061
LA20C_I098K01N06,1558276.511580
LA20C_I099K01N06,1430256.150820
