MAP,ENERGY
MD20C_I000K01N08,603651.320727
MD20C_I001K01N08,603722.627418
MD20C_I002K01N08,604109.824130
MD20C_I003K01N08,602511.177804
MD20C_I004K01N08,603057.633599
MD20C_I005K01N08,601782.645259
MD20C_I006K01N08,601143.087798
MD20C_I007K01N08,600790.049065
MD20C_I008K01N08,602258.608823
MD20C_I009K01N08,605050.382057
MD20C_I010K01N08,604745.971921
MD20C_I011K01N08,601167.850762
MD20C_I012K01N08,603080.643027
MD20C_I013K01N08,604553.761409
MD20C_I014K01N08,605078.193347
MD20C_I015K01N08,603940.517853
MD20C_I016K01N08,601982.778606
MD20C_I017K01N08,601942.274015
MD20C_I018K01N08,603969.328180
MD20C_I019K01N08,603180.993290
MD20C_I020K01N08,605086.810298
MD20C_I021K01N08,604676.749399
MD20C_I022K01N08,602879.440050
MD20C_I023K01N08,604601.192680
MD20C_I024K01N08,603969.328180
MD20C_I025K01N08,602997.198536
MD20C_I026K01N08,602653.774733
MD20C_I027K01N08,601034.910567
MD20C_I028K01N08,601067.667476
MD20C_I029K01N08,602605.912153
MD20C_I030K01N08,606485.588308
MD20C_I031K01N08,604278.535662
MD20C_I032K01N08,604720.349670
MD20C_I033K01N08,600809.412181
MD20C_I034K01N08,599737.749822
MD20C_I035K01N08,602905.868710
MD20C_I036K01N08,603476.140635
MD20C_I037K01N08,602675.795655
MD20C_I038K01N08,601545.586947
MD20C_I039K01N08,603362.796614
MD20C_I040K01N08,603426.595123
MD20C_I041K01N08,602923.262593
MD20C_I042K01N08,601446.368789
MD20C_I043K01N08,604585.823501
MD20C_I044K01N08,603222.252087
MD20C_I045K01N08,600349.324848
MD20C_I046K01N08,600663.099290
MD20C_I047K01N08,604055.743507
MD20C_I048K01N08,605768.323123
MD20C_I049K01N08,602605.912153
MD20C_I050K01N08,604120.748536
MD20C_I051K01N08,603191.730000
MD20C_I052K01N08,603741.173901
MD20C_I053K01N08,605078.193347
MD20C_I054K01N08,601995.794634
MD20C_I055K01N08,603735.098781
MD20C_I056K01N08,604535.318781
MD20C_I057K01N08,601545.734473
MD20C_I058K01N08,602655.013653
MD20C_I059K01N08,601193.039707
MD20C_I060K01N08,602747.220955
MD20C_I061K01N08,602511.177804
MD20C_I062K01N08,604599.224432
MD20C_I063K01N08,601490.629652
MD20C_I064K01N08,606129.917173
MD20C_I065K01N08,602992.536167
MD20C_I066K01N08,607838.231659
MD20C_I067K01N08,602693.577336
MD20C_I068K01N08,604165.507380
MD20C_I069K01N08,605078.193347
MD20C_I070K01N08,602385.875697
MD20C_I071K01N08,604253.258053
MD20C_I072K01N08,601199.150702
MD20C_I073K01N08,602668.992323
MD20C_I074K01N08,604601.192680
MD20C_I075K01N08,602039.782601
MD20C_I076K01N08,605078.193347
MD20C_I077K01N08,601587.023391
MD20C_I078K01N08,604915.050819
MD20C_I079K01N08,601458.054018
MD20C_I080K01N08,603261.252907
MD20C_I081K01N08,603405.548054
MD20C_I082K01N08,602871.581864
MD20C_I083K01N08,603695.441014
MD20C_I084K01N08,601795.263011
MD20C_I085K01N08,603700.426747
MD20C_I086K01N08,604553.761409
MD20C_I087K01N08,601755.854618
MD20C_I088K01N08,603415.936516
MD20C_I089K01N08,603490.709903
MD20C_I090K01N08,602242.125491
MD20C_I091K01N08,602079.257696
MD20C_I092K01N08,602039.782601
MD20C_I093K01N08,602541.015162
MD20C_I094K01N08,603351.155346
MD20C_I095K01N08,603853.050997
MD20C_I096K01N08,601590.453046
MD20C_I097K01N08,604273.268987
MD20C_I098K01N08,603940.517853
MD20C_I099K01N08,606036.451066
